timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769480281.119276,SENT,eb50a0e7-c56a-468a-896a-f648b44975c9,dac640f5-0b01-489c-8f69-6d9f0886983c,c1,c4,3387,?,p1,
1769480281.119422,CREATED,d1664987-31ec-4970-a9df-655e6baa4448,c7b53dba-d51c-47b6-a66c-7cfbe6006e4d,c1,c4,27,?,?,surb={'id': '1715aa82-c6fd-405e-88d5-d30fe9f3653a', 'route': ['p1', 'e10', 'i2', 'x11', 'p1', 'c1']}
1769480281.167427,RECEIVED,c04a19b4-c7e8-4a63-a85b-1cc628bb5866,4a5393c1-2a93-449d-a158-2abc896a6c33,c2,c1,27,p1,?,surb={'id': 'b6ce7506-1411-4c47-b85f-a1d8a19f4ea2', 'route': ['p1', 'e4', 'i7', 'x9', 'p2', 'c2']}
1769480281.247546,RECEIVED,f3e63ac5-6788-491a-bd84-6d72f00a6091,a69a4521-4e9f-4ba8-ae4a-947000f16ed7,c3,c1,27,p1,?,surb={'id': '38ed9e1c-5b27-409e-8ae0-a6ad9f847a28', 'route': ['p1', 'e8', 'i1', 'x1', 'p3', 'c3']}
1769480281.326988,RECEIVED,91f30dfd-ddca-409a-b0c7-0c0fc331fe76,752a5fc2-5db9-4af9-84f7-709bf644006f,c5,c1,27,p1,?,surb={'id': '09b7bc98-4d8a-43ec-80f5-cd97a2eed972', 'route': ['p1', 'e2', 'i9', 'x6', 'p2', 'c5']}
1769480281.3487158,RECEIVED,8e809aa1-055b-4877-b1fb-a875acc1cbb5,9c7f54c3-6f5c-4c5d-bf0c-59779c2ed882,c3,c1,26,p1,?,surb={'id': 'bd8c4004-ccdd-47c7-8cae-6183e7e6bab0', 'route': ['p1', 'e11', 'i2', 'x5', 'p3', 'c3']}
1769480281.4603984,RECEIVED,2aa72e0e-9247-4e77-a14d-d3b0fe33e6bf,208a2c1e-42fc-45cf-a335-7b3236089633,c5,c1,26,p1,?,surb={'id': '1753bebd-c057-4bd1-a2aa-4f537a2e1752', 'route': ['p1', 'e4', 'i6', 'x8', 'p2', 'c5']}
1769480281.5086844,RECEIVED,20101954-6ede-4ff9-bd63-20d888c54e6c,37dc3afa-1bd5-4308-b718-d93938b2ada4,c5,c1,27,p1,?,surb={'id': '257a3c05-fd2e-47b7-b300-e3713a7becd0', 'route': ['p1', 'e1', 'i6', 'x3', 'p2', 'c5']}
1769480281.5257828,RECEIVED,64ce3eac-e890-497e-9456-6c1ee36d924c,41a85ac4-99c7-444f-a499-c6b37269c15b,c3,c1,27,p1,?,surb={'id': 'ce444109-f882-4a8a-97fc-aba2e1423f15', 'route': ['p1', 'e2', 'i6', 'x2', 'p3', 'c3']}
1769480281.530215,SENT,fb50cc76-0ff6-4e89-bbc7-0f2f07c50daa,a0ef3e94-7a7b-464d-b15b-ffe9df9143ad,c1,c4,3359,?,p1,
