timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769741137.5955572,RECEIVED,f108c5ee-be24-4b7e-81b4-31b8b432734c,33b15350-21e9-448c-a5f0-2ac1354a0394,c4,c1,27,p1,?,surb={'id': '1e64a3c9-341d-48ee-90ae-75227330e1df', 'route': ['p1', 'e12', 'i8', 'x9', 'p1', 'c4']}
1769741137.706848,RECEIVED,f3886265-4893-4c89-a129-2273dc713ad5,df53d801-0efa-4974-8912-29c5ef512113,c4,c1,27,p1,?,surb={'id': '6ebb45ed-a70f-4d75-96eb-8a6c123bfd91', 'route': ['p1', 'e11', 'i8', 'x3', 'p1', 'c4']}
1769741137.7799404,SENT,c985162b-eccf-4978-9636-71f7f8d0ab09,e71f1738-bfd2-4bee-bd78-e5ff91b0d8ec,c1,c2,3400,?,p1,
1769741137.7800987,CREATED,37d78953-6eec-4be9-9bed-3de41a03c21c,fbb508c0-fb0d-4879-8045-96198d4875cb,c1,c2,27,?,?,surb={'id': '91c338d0-eeca-43e0-bb9f-25ef9876f9e2', 'route': ['p2', 'e12', 'i6', 'x12', 'p1', 'c1']}
1769741137.8107326,SENT,30462986-64d6-4720-9965-ccf87a5c1c1d,29913709-33b3-4af9-b399-1d60c58c1f4c,c1,c2,3384,?,p1,
1769741137.8108623,CREATED,a3dd3abf-e8cc-433b-bd0f-16fe9243bf2b,a72301c9-7378-4281-89ae-07e0a400a232,c1,c2,27,?,?,surb={'id': '035df247-e46a-42ce-a8ec-79c7110051ab', 'route': ['p2', 'e2', 'i7', 'x6', 'p1', 'c1']}
1769741137.9256272,RECEIVED,697b2331-f8e2-491b-a606-7267ed00ea10,6b3770dd-f482-493b-8e6c-987ab20c0e65,c5,c1,26,p1,?,surb={'id': 'f1aeadb9-835b-431f-99d8-5df076cf3d7d', 'route': ['p1', 'e1', 'i12', 'x7', 'p2', 'c5']}
1769741138.0429688,RECEIVED,00e6342f-d753-40d0-bfa3-6fe17b0d9111,e9041539-0953-46a0-a607-83a6ca2401b6,c4,c1,26,p1,?,surb={'id': '877b39d5-aaeb-423f-b2cf-5ddb58a9148d', 'route': ['p1', 'e11', 'i2', 'x1', 'p1', 'c4']}
1769741138.1606646,RECEIVED,078c40bd-bbab-4582-8995-2a729777514d,b5bbe832-d8f4-43f4-a3ba-a77bf2a3c9d9,c5,c1,27,p1,?,surb={'id': '32433554-ff5b-42a2-91de-319a05844195', 'route': ['p1', 'e6', 'i4', 'x10', 'p2', 'c5']}
1769741138.4222689,RECEIVED,bb6efa6b-b013-41a2-b277-ce3f97a95720,b7d56660-cf53-4468-b475-8eec60c9edab,c5,c1,27,p1,?,surb={'id': 'aaff5a0b-2ed3-4997-9102-9630ff5d98a4', 'route': ['p1', 'e8', 'i4', 'x11', 'p2', 'c5']}
1769741138.428582,SENT,e1c9624e-42a7-40fe-b13f-86746d188ecd,6fed6cdf-624a-451a-bc8f-fe4eb6e9698e,c1,c2,3361,?,p1,
1769741138.4287214,CREATED,9f94e5d6-3e77-4e2d-adfe-ada77c4c8374,a737b58a-9936-4aeb-939c-6dc27d54fd05,c1,c2,27,?,?,surb={'id': 'faf9e5a1-9745-48aa-be8e-891b3af5ae38', 'route': ['p2', 'e4', 'i12', 'x6', 'p1', 'c1']}
1769741138.4865198,RECEIVED,b9241c37-5556-4fd0-8fc3-20eff94d70be,d0cc1d12-decf-4f80-9078-11f995a44abf,c4,c1,26,p1,?,surb={'id': 'a81d0d1e-c16e-4855-bc6f-7a20a9294758', 'route': ['p1', 'e7', 'i3', 'x1', 'p1', 'c4']}
1769741138.549537,RECEIVED,c70a796d-8e77-4db2-aa7b-6df8f4bf0c98,176b8b4e-7489-4989-8095-ceea961533c0,c5,c1,27,p1,?,surb={'id': 'cec1e86e-9aac-42f5-a910-d1651f114e45', 'route': ['p1', 'e10', 'i8', 'x9', 'p2', 'c5']}
1769741138.6073701,RECEIVED,e828b2c4-e2fd-4084-8925-d4f9bf777ba7,8fc1a71e-e0c0-4c6d-95fe-234d07722569,c4,c1,27,p1,?,surb={'id': '81b1ea6d-2860-4d0d-bb7a-f5de81422da9', 'route': ['p1', 'e8', 'i2', 'x3', 'p1', 'c4']}
1769741138.6172802,RECEIVED,08aa6362-9ba7-484a-9e67-58341cce3379,3cb5748e-bbd2-400f-96fc-434dd1fb6847,c5,c1,26,p1,?,surb={'id': 'b12bd3f1-3467-4677-9591-f6ef37371689', 'route': ['p1', 'e12', 'i9', 'x8', 'p2', 'c5']}
1769741138.6407335,RECEIVED,a1e04cdb-bd23-4d31-bb4f-5b9ab42ed3b7,36373b3b-001e-45b0-a2d9-89c2840eb41b,c4,c1,27,p1,?,surb={'id': 'dd2a4a79-b383-430b-98ab-3b106c7c2038', 'route': ['p1', 'e12', 'i6', 'x5', 'p1', 'c4']}
1769741138.6783636,RECEIVED,edecbe94-e0c7-4108-955f-b66bff7c708d,87f121cc-7703-4a52-bee6-e230c773a124,c3,c1,27,p1,?,surb={'id': 'ec1d09b0-7cc5-49f3-acef-183d171f4540', 'route': ['p1', 'e12', 'i6', 'x10', 'p3', 'c3']}
1769741138.7951334,RECEIVED,8c77e826-f844-404b-8bb6-0b33031ae52a,500d8f07-4c81-4dd1-8628-c81bc48b5bb6,c5,c1,27,p1,?,surb={'id': '65d683a4-9fe1-420d-9d89-b6641a3d4c69', 'route': ['p1', 'e7', 'i1', 'x8', 'p2', 'c5']}
1769741138.8024967,RECEIVED,71f621ae-e770-41bd-978b-89ad18c0257f,038fc745-d0b2-4c9a-b9d2-3352ec0e56ac,c3,c1,27,p1,?,surb={'id': '00258402-3869-4b10-9d27-c10db1bddbd5', 'route': ['p1', 'e2', 'i9', 'x12', 'p3', 'c3']}
1769741138.8915734,RECEIVED,f25c3208-ab9d-4639-b8bc-6122d5779138,42405d53-14c9-4bb1-a88c-1d7613dc59b0,c5,c1,26,p1,?,surb={'id': '6425bdb7-b371-42b3-8793-fc5040cb5266', 'route': ['p1', 'e9', 'i10', 'x11', 'p2', 'c5']}
