timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769741132.4109297,SENT,759ab497-fe25-46f0-ac01-12c2e401fb8a,c85c222c-192b-4b15-a0eb-6b5e1c189cb5,c2,c5,3375,?,p2,
1769741132.4110985,CREATED,34c915fa-0cea-45b9-854f-ff27e88611ae,cd2ecf37-c55b-4d4d-873c-fb4caae5ec24,c2,c5,27,?,?,surb={'id': '69d5bf02-a19f-4b66-a048-9e69e604671c', 'route': ['p2', 'e10', 'i5', 'x8', 'p2', 'c2']}
1769741137.1320212,SENT,921b786a-97b2-421e-afb1-80abaceffbae,8f6dc750-c245-4617-838d-0e0b5cbf0d33,c2,c5,3363,?,p2,
1769741137.1321967,CREATED,023a611a-bdfd-454e-84f7-f11abbcd27e9,4f57f354-d9de-437b-bf93-c6970ab960e5,c2,c5,27,?,?,surb={'id': 'f980c65f-2be4-4c47-b9eb-8421d968315a', 'route': ['p2', 'e5', 'i3', 'x8', 'p2', 'c2']}
1769741137.1845057,RECEIVED,56d36670-c71f-4a4a-a306-1cb9deca473e,1c5317f3-4f20-4d8b-8941-35f6e5762c0a,c1,c2,27,p2,?,surb={'id': 'd0965abf-1251-4f7a-a98b-9ef88db6ccd6', 'route': ['p2', 'e10', 'i5', 'x8', 'p1', 'c1']}
1769741137.4099684,SENT,b1cc8d77-f235-439a-af86-be20bf2f78fd,1186ed39-90fd-47e6-9cf3-19f5e5424221,c2,c5,3392,?,p2,
1769741137.4101489,CREATED,5f928006-a427-49d7-aaae-e335d7653450,b5051adb-e1b7-45da-8d9f-f06b75e0d9b3,c2,c5,27,?,?,surb={'id': 'bab030bf-592b-462c-992f-133398811711', 'route': ['p2', 'e2', 'i5', 'x11', 'p2', 'c2']}
1769741137.5509076,RECEIVED,7b59aeb7-310a-495f-9868-a1cc9e181c24,caf74f68-9f90-47ce-97ec-8a7e056fe528,c1,c2,27,p2,?,surb={'id': '01a62b1e-7add-41b4-9855-df4cae99f9e1', 'route': ['p2', 'e1', 'i5', 'x8', 'p1', 'c1']}
1769741137.814232,SENT,54a56997-41f7-4235-ab25-3a7597f8f87c,ceb6f82f-11b2-48d9-9723-f0d39a8d9c47,c2,c5,3379,?,p2,
1769741137.8143673,CREATED,8f28fd42-54d7-40c0-8539-3c29941a022c,2b6ac040-4982-4239-bf32-d5a3caabd6e1,c2,c5,27,?,?,surb={'id': '10af765f-99f2-4088-aed5-f10bb8db726f', 'route': ['p2', 'e1', 'i11', 'x6', 'p2', 'c2']}
1769741138.019121,SENT,d997c0f8-f340-4f73-a0de-5b9262b61f10,52728732-f8f0-4c2f-982f-1bd5b80b357f,c2,c5,3376,?,p2,
1769741138.019293,CREATED,9b4917c7-b617-4719-b2cc-727e6da02085,b67194fe-64ae-4620-9f2d-b421e7b87753,c2,c5,26,?,?,surb={'id': '05ebab4e-ef0d-413e-858b-39a5b26163af', 'route': ['p2', 'e12', 'i1', 'x1', 'p2', 'c2']}
1769741138.5442185,SENT,261a210f-0b27-4c3f-b387-341672566e39,2c3499f3-5f07-4f8e-8862-e2835bc5b871,c2,c5,3367,?,p2,
1769741138.5443492,CREATED,6a44bb89-55ed-47f1-b6b8-dcdd21325eca,2c628b86-6e68-4201-abc3-ce5ead4261ab,c2,c5,27,?,?,surb={'id': 'ab19154c-4bc4-4ff0-af52-0d5df202f809', 'route': ['p2', 'e2', 'i8', 'x5', 'p2', 'c2']}
1769741138.7339742,RECEIVED,d9ae514d-3b5f-497d-8cb1-815304baa137,f148f2d3-6f7a-4441-9bca-c57083259950,c1,c2,27,p2,?,surb={'id': 'aa4852e7-e504-46a7-a1f1-d1d568cf3a79', 'route': ['p2', 'e9', 'i12', 'x4', 'p1', 'c1']}
1769741138.7675061,RECEIVED,22e803e6-81e1-499b-a29c-e983651b97d5,cf252439-1736-478f-b341-888d95d961c9,c1,c2,27,p2,?,surb={'id': '23f440de-2dcd-49b2-b7cd-a65190f53674', 'route': ['p2', 'e4', 'i1', 'x8', 'p1', 'c1']}
1769741138.7705514,RECEIVED,0fef1d56-a0cb-43d5-89e2-e2e84b875dd7,401408ce-7033-48b3-8e7d-736c589b5160,c1,c2,27,p2,?,surb={'id': '2ed0b642-d78c-4c00-be0e-f79cbbe397bb', 'route': ['p2', 'e11', 'i8', 'x6', 'p1', 'c1']}
1769741138.898955,RECEIVED,cf36691e-ff2c-4f06-9ab3-d29b253d39a3,2659a4bb-426e-4bf9-8079-bb4d7a0e3789,c1,c2,27,p2,?,surb={'id': 'b9a285b9-542f-4234-a143-5dd4196a43b7', 'route': ['p2', 'e6', 'i10', 'x5', 'p1', 'c1']}
1769741138.9822028,RECEIVED,dc837d75-a124-410c-82f1-daf75b75361b,556b7696-c5ea-415d-a42c-cc248210eeea,c1,c2,27,p2,?,surb={'id': '7598869a-717d-4380-b403-66724052305d', 'route': ['p2', 'e5', 'i9', 'x8', 'p1', 'c1']}
1769741139.0397813,SENT,9d59d932-db7e-4916-a64d-96485f71e281,13fe7fd1-5aed-42d7-802f-c6acf5055131,c2,c5,3396,?,p2,
1769741139.03995,CREATED,b27e5800-9061-4798-bf6d-4ee589fdc4ab,841946b6-c777-4353-abcc-b68c051a6df6,c2,c5,27,?,?,surb={'id': '228e5da0-650e-486f-ba1c-77e5ba0d1d75', 'route': ['p2', 'e12', 'i11', 'x7', 'p2', 'c2']}
1769741139.0690742,RECEIVED,a3dd3abf-e8cc-433b-bd0f-16fe9243bf2b,a72301c9-7378-4281-89ae-07e0a400a232,c1,c2,27,p2,?,surb={'id': '035df247-e46a-42ce-a8ec-79c7110051ab', 'route': ['p2', 'e2', 'i7', 'x6', 'p1', 'c1']}
1769741139.1712945,RECEIVED,37d78953-6eec-4be9-9bed-3de41a03c21c,fbb508c0-fb0d-4879-8045-96198d4875cb,c1,c2,27,p2,?,surb={'id': '91c338d0-eeca-43e0-bb9f-25ef9876f9e2', 'route': ['p2', 'e12', 'i6', 'x12', 'p1', 'c1']}
1769741139.2625842,SENT,f0fb8871-d7eb-4f0d-a3a3-8fd2cbb09373,fa6b675f-9aff-45d4-8d80-d30df9b8fb86,c2,c5,3395,?,p2,
1769741139.2627137,CREATED,19366bbc-dc08-4fbd-b065-eda6e6e2f7c4,caa149a3-45c6-48d6-b952-e8320e09e6a7,c2,c5,27,?,?,surb={'id': '24a1518a-b245-4a1c-b61a-93a350e603e9', 'route': ['p2', 'e10', 'i10', 'x6', 'p2', 'c2']}
1769741139.5292397,SENT,264788f1-173e-4aff-bf7c-a18167ff3e31,88e04e8e-40d4-46cd-8da7-06d961cee857,c2,c5,3388,?,p2,
1769741139.5293725,CREATED,7ccf8e8a-7040-4e1f-a283-06fb39fe256a,50eb044b-e170-4f94-9198-9c3a3f314e09,c2,c5,26,?,?,surb={'id': '8cacd246-c90d-4c18-9a68-c2acbe7c65f5', 'route': ['p2', 'e2', 'i2', 'x5', 'p2', 'c2']}
1769741139.5923638,RECEIVED,6c1db4ba-58c5-4b50-a850-a3f713bdb7bd,db04ebe1-acf6-4562-afe5-5bfd93ccfc6d,c1,c2,27,p2,?,surb={'id': '859c4ff7-66b6-44b9-8dd7-52fc676c06a2', 'route': ['p2', 'e12', 'i5', 'x11', 'p1', 'c1']}
1769741139.9151251,RECEIVED,bbd52875-a218-46de-9b88-e5a5568ba56c,e9c64928-7144-45e6-9efd-578ba6af353d,c1,c2,27,p2,?,surb={'id': '35eeecc6-745c-43d9-9b5c-1716e21290a8', 'route': ['p2', 'e9', 'i6', 'x5', 'p1', 'c1']}
1769741139.927269,SENT,c229a046-5515-4409-bd6b-3f8ec64692a9,f6ff4511-f756-49ec-bb05-1585fa37e7c3,c2,c5,3401,?,p2,
1769741139.9274156,CREATED,bf5f9192-040b-4e94-a008-e72b981eac2f,519079f9-c9d5-4758-990b-951918813f4e,c2,c5,27,?,?,surb={'id': 'b9f4906f-c101-4920-b0ec-2e040590956f', 'route': ['p2', 'e6', 'i8', 'x4', 'p2', 'c2']}
1769741139.991249,SENT,d171fcaa-5114-40cc-8fb7-483b62c04aff,fa1d19ef-d563-4653-b65e-550a20b0b937,c2,c5,3354,?,p2,
1769741139.9913964,CREATED,214000b0-467e-46ba-9485-61e42a8f1960,0857980e-8c49-4486-9ac7-a00a046f4848,c2,c5,26,?,?,surb={'id': 'e9111253-076d-4367-b0b1-2cdc67002eec', 'route': ['p2', 'e7', 'i5', 'x5', 'p2', 'c2']}
1769741140.0522556,SENT,339f3294-4ab7-4323-ae2f-6a4853535382,79672e39-1c70-437b-9b3b-3e9dca12b234,c2,c5,3397,?,p2,
1769741140.0523841,CREATED,7251551c-2255-4b31-8308-27699ab662ba,7b8d8ec3-3c72-45d3-b8f9-74d539f83c1b,c2,c5,27,?,?,surb={'id': 'eb87213c-2428-4068-8592-4c601bccfb98', 'route': ['p2', 'e9', 'i4', 'x11', 'p2', 'c2']}
1769741140.8242428,RECEIVED,2953547a-4669-4218-87b9-de5a6ced0c5d,97e1d700-788c-4f09-905a-4b9991640cb9,c1,c2,27,p2,?,surb={'id': 'f0e0478e-60b3-4ba6-8e4b-32a6fd4d7d12', 'route': ['p2', 'e3', 'i10', 'x2', 'p1', 'c1']}
1769741141.8894794,RECEIVED,84322811-d1bb-4d4d-98c4-05567f169b20,c1c01bd5-0cb8-45a5-9820-c2754747b729,c1,c2,27,p2,?,surb={'id': '64ad6c18-f3ba-4489-a298-831e5ac9bb47', 'route': ['p2', 'e7', 'i11', 'x11', 'p1', 'c1']}
1769741142.2031639,SENT,eb7aaa93-c44c-426b-a433-e408b84ffe23,4d9e5672-23ad-4461-9f65-5a523df91481,c2,c5,3376,?,p2,
1769741142.2033129,CREATED,4381719c-8f06-4d5d-ac07-8e2ed7b9a0f7,af33463f-0c4b-4e9e-b6ee-01226072ad87,c2,c5,27,?,?,surb={'id': 'ec554d9e-fa0d-4bd9-82b7-d838bca52658', 'route': ['p2', 'e6', 'i4', 'x5', 'p2', 'c2']}
1769741142.2407384,SENT,07396193-da62-4268-bb68-3ca6f583b69f,14987b1b-c1a3-4dc4-adda-7ee0d6824b1b,c2,c5,3379,?,p2,
1769741142.2408853,CREATED,9eaa352b-c6de-46e5-8465-6d487b4a8f08,4cd2ae6e-796a-4563-97de-e312a25ee7a0,c2,c5,27,?,?,surb={'id': 'e51f359f-f87a-476d-be80-6e6c079c06e3', 'route': ['p2', 'e3', 'i3', 'x8', 'p2', 'c2']}
1769741142.4374135,RECEIVED,b00f71aa-7169-4dc4-926a-b9dda6975655,a9a6f542-4bdf-4e5a-8d55-ca624dd960be,c1,c2,27,p2,?,surb={'id': 'c9272e24-b0fe-43cb-9643-1c0e30443dfb', 'route': ['p2', 'e6', 'i1', 'x9', 'p1', 'c1']}
1769741142.452085,RECEIVED,9f94e5d6-3e77-4e2d-adfe-ada77c4c8374,a737b58a-9936-4aeb-939c-6dc27d54fd05,c1,c2,27,p2,?,surb={'id': 'faf9e5a1-9745-48aa-be8e-891b3af5ae38', 'route': ['p2', 'e4', 'i12', 'x6', 'p1', 'c1']}
1769741142.5182822,SENT,d61a4956-2bc2-46a8-b24d-1298b50e888e,8f38988d-8cb0-4835-85a9-68da3bc51735,c2,c5,3397,?,p2,
1769741142.5184276,CREATED,2ac5dbd8-4593-4ef3-92c2-1ff5a3c47752,f0e8a622-358c-48ca-8215-2581cd32358d,c2,c5,27,?,?,surb={'id': '4284dd23-7995-41dd-9b3a-e5b28cfe634f', 'route': ['p2', 'e1', 'i1', 'x12', 'p2', 'c2']}
1769741143.3979266,RECEIVED,34c99d30-f203-4018-b6f1-1078809feab7,fb400cb4-e4c7-4082-a79f-a0c79590751d,c1,c2,26,p2,?,surb={'id': 'be4f79f0-33ee-41a9-8940-7f208fbc0b9e', 'route': ['p2', 'e3', 'i3', 'x2', 'p1', 'c1']}
1769741143.9129791,RECEIVED,8404f67b-9a82-4c44-b87e-1e36876a02c6,37a4e618-fe2d-404f-b70d-37ea20cb105b,c1,c2,27,p2,?,surb={'id': 'd1ea7b7b-6f13-481c-81ae-60cf0023d481', 'route': ['p2', 'e11', 'i12', 'x2', 'p1', 'c1']}
1769741143.9361887,SENT,b6ba8266-9b97-4ff1-ab56-5afce075840c,6cc04a2b-b0ca-46f4-8866-3c233ab55b92,c2,c5,3380,?,p2,
1769741143.9363382,CREATED,ca11a2ce-49cc-4f77-9cd7-7d80cad26d20,bd84742e-d24d-46a0-8405-ca1fbdf5f01e,c2,c5,27,?,?,surb={'id': 'f7185736-953c-4e8f-aedb-e65950788e8e', 'route': ['p2', 'e9', 'i3', 'x8', 'p2', 'c2']}
1769741144.0132227,RECEIVED,5bfb7e16-9571-46b0-afa4-14914d636ffd,b708e607-f944-4665-8c46-a7ea95504168,c1,c2,26,p2,?,surb={'id': 'b4b70422-7953-4454-a7ef-917f60cfbe71', 'route': ['p2', 'e11', 'i9', 'x1', 'p1', 'c1']}
1769741144.0500286,SENT,cfb7cbb7-53ba-492f-bfaf-708f99836bdb,c025b58c-6a31-492c-a59c-3f2e5045fe5d,c2,c5,3380,?,p2,
1769741144.0501523,CREATED,6bf06182-b1a3-486d-854f-aee9b6c8e482,3aef9deb-284a-40b3-afa6-eabc66f5a865,c2,c5,25,?,?,surb={'id': '7c3f521e-034e-4226-918c-34967cbb38be', 'route': ['p2', 'e12', 'i2', 'x2', 'p2', 'c2']}
1769741144.2430334,SENT,13eb96dc-4653-4700-ba4a-7713eefc10ef,85d28d88-0f66-4b11-9a2c-9d772971a2ba,c2,c5,3389,?,p2,
1769741144.243216,CREATED,0a500386-d77c-4e36-97c9-32d2cd5648d0,00a1ae49-4987-4002-a57a-1686dcc1397b,c2,c5,27,?,?,surb={'id': '3394f1c6-1c1f-4f81-b0e2-f0ef7f761cef', 'route': ['p2', 'e6', 'i8', 'x12', 'p2', 'c2']}
1769741144.2851355,SENT,a78f282e-601c-49a3-8f70-f2c4d8f76b40,d8e5c4c3-9426-496d-bb8f-f53b01d121b0,c2,c5,3396,?,p2,
1769741144.2852848,CREATED,779188af-b411-4834-8747-b50f64fd0a3b,a31ce9b7-ed39-47b1-8a6d-83c132ad8beb,c2,c5,27,?,?,surb={'id': '8f84c486-28d1-49be-a389-1ef27bce1f83', 'route': ['p2', 'e1', 'i11', 'x12', 'p2', 'c2']}
1769741144.4813514,RECEIVED,b87003ff-958e-4d7d-8fc1-9ac505bbbd90,c0476cd5-9525-4590-a687-94f6a460c295,c1,c2,27,p2,?,surb={'id': '10353bcf-4d77-4f99-b191-01900b767661', 'route': ['p2', 'e1', 'i1', 'x5', 'p1', 'c1']}
1769741144.5473795,SENT,6b4dd392-6b55-4686-897f-db9c11960bfb,8f3e6868-3ebb-4309-be0a-96ed564ffafc,c2,c5,3400,?,p2,
1769741144.5476058,CREATED,f778e51b-2020-495c-a768-9b9c43ed1ae6,dd052bc8-241b-40fc-a71c-2978e7d50241,c2,c5,27,?,?,surb={'id': '57cf51e9-7e04-4dd4-b7fc-6c502e392cb3', 'route': ['p2', 'e8', 'i3', 'x11', 'p2', 'c2']}
1769741144.6894686,SENT,75b34992-b967-43d4-9b07-e33d82385ea7,714019b6-0f71-44b2-a526-2e0c54472434,c2,c5,3396,?,p2,
1769741144.689615,CREATED,6e643bf0-0129-4498-9dfc-8ec3c140f7ae,8a301595-b2c7-47f8-bf5f-af5b5404940a,c2,c5,27,?,?,surb={'id': 'dcc5c2d5-3e60-41c4-a542-7cb87cdc98a4', 'route': ['p2', 'e5', 'i4', 'x12', 'p2', 'c2']}
1769741144.725741,SENT,877f6b2a-bfb1-4043-a90e-55ff9aa25da3,56486335-0e64-4dd2-999a-6f98f3cebadf,c2,c5,3392,?,p2,
1769741144.7258856,CREATED,4c108d8f-ec51-43f1-9ffc-36b5863a8f86,ea18a3cc-eaef-419a-b2e7-c9734f228015,c2,c5,27,?,?,surb={'id': '0402a1f5-22a8-49b9-9831-9066f0e400c2', 'route': ['p2', 'e5', 'i12', 'x4', 'p2', 'c2']}
1769741144.7378914,SENT,9a43e576-4f00-486e-9354-52e329ffe357,9e291482-449e-45ac-bdc9-1c7c43d1a539,c2,c5,3395,?,p2,
1769741144.7380304,CREATED,c4d6df57-82c5-4fc4-96c1-63e40a646f22,cdedb376-aa47-4319-a88a-0306aefd799e,c2,c5,27,?,?,surb={'id': 'bcbfd58a-46fb-4ac9-ab4a-bde195f3fcad', 'route': ['p2', 'e11', 'i10', 'x3', 'p2', 'c2']}
1769741144.7639446,RECEIVED,9fe78f6e-141b-4578-baa8-532ab24ed662,c52f7022-1779-40da-bb0d-a9dbd46528b9,c1,c2,27,p2,?,surb={'id': 'cc4deb50-c318-45ef-a8f4-301b42fa036b', 'route': ['p2', 'e1', 'i8', 'x11', 'p1', 'c1']}
1769741144.8768017,SENT,1f00b3b7-44e6-4709-96c0-7bd6f2feba32,5c6e30e5-8af6-4726-9f3c-0adb241a8eb3,c2,c5,3376,?,p2,
1769741144.876935,CREATED,d7709314-c4a8-4151-9eee-f402ad5c9afa,baf3437c-6a51-4410-84f1-d2c8f249a706,c2,c5,27,?,?,surb={'id': 'd59a6c60-7321-4408-bf97-320fffc857de', 'route': ['p2', 'e7', 'i1', 'x10', 'p2', 'c2']}
1769741145.0205123,SENT,8231b2bb-3c37-4e4c-9793-85a4ccd722e5,f5d78796-65da-4c21-8fdb-3f21290ecb27,c2,c5,3387,?,p2,
1769741145.0206623,CREATED,9b857dd9-47b4-4723-92de-7820d80cc471,8c138e7d-03d5-416e-a877-c16619125622,c2,c5,27,?,?,surb={'id': 'f1d8d8e5-ddaa-4dff-aded-f3c48a052f61', 'route': ['p2', 'e12', 'i10', 'x7', 'p2', 'c2']}
1769741145.1892354,SENT,cf0693ae-7276-4e93-8547-52f6956a61fa,176e3460-8ba8-4544-9bd4-fca102783979,c2,c5,3404,?,p2,
1769741145.1893878,CREATED,4b387b7e-b329-486e-b464-39a5a9cc1c96,910b3045-1358-4fff-ab49-4dd495659225,c2,c5,27,?,?,surb={'id': 'c3e384a6-18bc-440e-8338-0d4ef31f4116', 'route': ['p2', 'e5', 'i8', 'x10', 'p2', 'c2']}
1769741145.7427106,RECEIVED,a9cf8f0c-42d6-41e4-819f-1783189ba1d9,804613ff-8563-49dd-91c4-c6c8f3d4ecb5,c1,c2,27,p2,?,surb={'id': 'b87d6600-b2d7-447b-b38f-e6db7170026f', 'route': ['p2', 'e12', 'i6', 'x6', 'p1', 'c1']}
1769741145.788421,SENT,820465a7-2332-4f40-bf7d-74970ad5de35,80ce9ab9-0db1-4827-925c-e48268ac1bd0,c2,c5,3379,?,p2,
1769741145.7885668,CREATED,7e613f8e-5088-44ae-b60d-cd422fade2ab,b134ccd0-be55-46ea-8c86-ed32affbfb1b,c2,c5,27,?,?,surb={'id': 'eaafe821-3c63-4cd5-a80d-b91bd3ddd67b', 'route': ['p2', 'e1', 'i9', 'x1', 'p2', 'c2']}
1769741146.3307302,RECEIVED,efad186d-8a8b-415a-918d-7d1a33950ea4,2b8b0d75-0530-4b51-ace8-d9880c0e6fcb,c1,c2,27,p2,?,surb={'id': '58e7a7d2-8ea0-495e-9b67-13e02b6788e3', 'route': ['p2', 'e11', 'i6', 'x6', 'p1', 'c1']}
1769741146.9217427,SENT,9265b61c-63d1-43fa-a6e8-af363be1ba58,c40c0b43-f31d-4f51-a468-5d7aadf02056,c2,c5,3385,?,p2,
1769741146.921875,CREATED,a26df13d-975b-4e54-993c-cc48162b4407,b393f11d-0eea-4192-ac03-97c53899fbd0,c2,c5,27,?,?,surb={'id': '96df5561-7812-4e4e-9f78-7faebe34f17e', 'route': ['p2', 'e8', 'i9', 'x12', 'p2', 'c2']}
1769741147.006772,RECEIVED,73886159-dbaf-4543-afa4-6fe951569360,298ed24a-bd99-4696-b9c0-4fd717904ade,c1,c2,27,p2,?,surb={'id': '241a9859-4e80-4663-ae97-8a66a17a82ca', 'route': ['p2', 'e9', 'i1', 'x6', 'p1', 'c1']}
1769741147.316572,RECEIVED,b184123a-4048-495e-bf6f-c6f157ffd43f,f9bd3f07-7c28-427c-b8c8-bbd29273ab47,c1,c2,27,p2,?,surb={'id': '0ba77b06-ce7c-418b-9480-816c0decb612', 'route': ['p2', 'e9', 'i10', 'x4', 'p1', 'c1']}
1769741147.4325855,RECEIVED,daec5115-72e7-4e42-9f90-0ee4a53bad1a,b5252d43-4161-4ba4-9fab-fd91c165aadb,c1,c2,27,p2,?,surb={'id': '78d521e6-3c97-4765-aff0-7685793e3f30', 'route': ['p2', 'e4', 'i1', 'x3', 'p1', 'c1']}
1769741147.580316,SENT,6e1ca9d1-b6c2-488c-af53-b65e5ee9bbab,c8bd65b9-ad49-43bb-a240-fa85a75fcc37,c2,c5,3359,?,p2,
