timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769483364.152631,RECEIVED,29635ec2-d2eb-4b89-8716-3672f6cd21cc,2105adaa-7c2d-44b2-bdb7-8ede7d5c3c50,c4,c2,27,p2,?,surb={'id': 'fe4c5353-d09b-4bac-9a7f-91d36101941d', 'route': ['p2', 'e6', 'i3', 'x8', 'p1', 'c4']}
1769483364.245375,SENT,34c4ecf3-375c-4140-813f-8f6b1b4d8e57,1e84e181-6dc7-4e49-bccb-caa83c972576,c2,c4,3375,?,p2,
1769483364.2455254,CREATED,94021c00-4d79-4d14-92ec-84ab7b92679a,76386ba4-66f7-46bc-a2bd-438dcef60651,c2,c4,27,?,?,surb={'id': '0879a7c9-a3b5-4cc3-947d-655ca0e7534c', 'route': ['p1', 'e1', 'i4', 'x3', 'p2', 'c2']}
1769483364.2585733,RECEIVED,46f5b09c-26ea-4c11-90fd-d59c23bad563,0d1eb89f-110b-41bf-a521-cca474ace268,c4,c2,27,p2,?,surb={'id': '65eb20e6-11a0-4be0-81ab-6edc99f6d5ee', 'route': ['p2', 'e12', 'i10', 'x10', 'p1', 'c4']}
1769483365.0957522,SENT,62ca04be-51ce-425d-b889-7cbacd42ecf7,fa3c947d-45b4-4a7e-afd0-6edb7bc71d46,c2,c4,3391,?,p2,
1769483365.0958993,CREATED,e159215a-3bbf-4094-bafa-657efaea03f7,3f088bc4-658c-4ec6-bff6-2e11477353b8,c2,c4,27,?,?,surb={'id': '79e563c2-338e-48eb-b62f-afc572de7530', 'route': ['p1', 'e12', 'i4', 'x12', 'p2', 'c2']}
1769483365.3513334,RECEIVED,b3ddfd59-68fb-4809-ad7d-3e42ad38e055,853ad0b3-092b-45a3-834b-2ab807782def,c1,c2,27,p2,?,surb={'id': '45fb6158-24fb-439c-9e9e-87a10a2ded49', 'route': ['p2', 'e2', 'i7', 'x10', 'p1', 'c1']}
1769483365.6096873,SENT,3a9b7a30-67da-4e7d-91d7-027001b3d8fa,4d4542ce-5638-44bb-ad4b-17e74c7e1604,c2,c4,3388,?,p2,
1769483365.6098344,CREATED,6539cef1-9528-4fda-b3ee-a3b3b065fde1,09cdb355-f019-42a5-997b-8a50d1999c0d,c2,c4,25,?,?,surb={'id': 'b4e0a072-806b-4102-92a1-4c2e813cdd57', 'route': ['p1', 'e4', 'i5', 'x6', 'p2', 'c2']}
1769483365.619782,RECEIVED,13fd43e6-9d4e-40e3-a06c-46e3824a310c,2b2cee5f-48f6-4512-ac84-8eaa2f932a6c,c4,c2,27,p2,?,surb={'id': 'fa4bc155-3e68-463e-96d2-a79abfd5dcad', 'route': ['p2', 'e5', 'i12', 'x7', 'p1', 'c4']}
1769483365.6477332,SENT,ea9d5812-7b96-4cb0-9ffc-38654eb5af8e,d57a9bf6-120a-4f60-8f52-fab9db04dda9,c2,c4,3359,?,p2,
1769483365.647883,CREATED,3d8cf914-0f27-4ea2-9728-1be5ec216139,025350d2-f4a3-4cf5-b05e-fe869f4b57f1,c2,c4,27,?,?,surb={'id': '6217edb5-f01f-4113-9e82-8fc85cf041f1', 'route': ['p1', 'e11', 'i9', 'x5', 'p2', 'c2']}
1769483365.6562061,RECEIVED,bc0456b7-1ba5-40f4-ab32-c895a212555e,f4019f53-d9ee-4513-924f-a18ce3298bf4,c4,c2,26,p2,?,surb={'id': 'c1dbb407-fc1b-48c9-bca2-5057abc219ad', 'route': ['p2', 'e10', 'i10', 'x9', 'p1', 'c4']}
1769483365.6967428,SENT,807312e6-b782-4c11-bbdf-549ce5e431be,4e3bebde-c52d-4e68-8a72-877af4d08ac8,c2,c4,3391,?,p2,
1769483365.696893,CREATED,a1f8c5ce-ebbb-4079-b71a-05d59b17daa9,f97e9284-c04c-4203-a100-9130fb28ca54,c2,c4,27,?,?,surb={'id': '284752b7-6080-4c0f-9cdf-42df69125950', 'route': ['p1', 'e6', 'i10', 'x8', 'p2', 'c2']}
1769483365.9809408,SENT,7e5e44ec-7de4-426d-8051-d43f32bf8bd4,c5489a7d-c181-466c-a8e8-325aa419c89f,c2,c4,3374,?,p2,
1769483365.9811122,CREATED,c09c715e-3255-4bd5-ad0e-b68750cbfd25,64252169-a444-4b80-949e-b6109a220f56,c2,c4,26,?,?,surb={'id': 'fe466199-dd02-46d0-a02d-d45a261fb7ef', 'route': ['p1', 'e5', 'i9', 'x6', 'p2', 'c2']}
1769483366.0249336,RECEIVED,77a62c03-9dd2-47f5-a68d-842290aadd44,bd668d13-7ca9-4d2e-ac56-bbc085f61290,c4,c2,27,p2,?,surb={'id': '7d4e2dac-a000-41a2-a2ba-a2af9862fbc7', 'route': ['p2', 'e7', 'i6', 'x5', 'p1', 'c4']}
1769483366.097725,SENT,89a73187-9078-4b1d-b562-cc5971390eff,96f2166d-d8e3-465c-921d-10a8b078c654,c2,c4,3395,?,p2,
1769483366.0978703,CREATED,81bb73df-ddf3-49eb-b160-d26349a9e61e,a3864075-08c6-4cdf-9608-50ae570d24d0,c2,c4,27,?,?,surb={'id': '928783fe-5130-4feb-92f0-be3223a1bdd2', 'route': ['p1', 'e2', 'i12', 'x12', 'p2', 'c2']}
1769483366.1060326,SENT,284d25ee-86e9-400b-b4e4-8151a40e480a,bfd1da86-fccb-4e4d-9cd9-04878b675073,c2,c4,3388,?,p2,
1769483366.1068802,CREATED,67f183c6-b439-42c4-9aff-4166b9477961,8045e47a-c7e8-45f0-9c84-97deded24d8c,c2,c4,27,?,?,surb={'id': 'f5a4c3e8-d03f-4f05-b871-cc6b2377edc5', 'route': ['p1', 'e12', 'i5', 'x11', 'p2', 'c2']}
1769483366.1390893,SENT,416e3053-56a3-4fbd-b2ac-35abc8241526,2df833a6-7764-40b8-957c-f3c6a2862e38,c2,DROP,2011,?,p2,
1769483366.1392276,CREATED,6806a209-251b-49ab-aeed-07f8e9113fae,403ecaac-4ba0-4df2-8957-aa2a656925e5,c2,DROP,26,?,?,
1769483366.3089366,RECEIVED,76b7752e-6cce-4c4d-9182-4f697187187a,928e351c-7213-41a2-98b2-e5fcf1883b7a,c1,c2,27,p2,?,surb={'id': '3bba9fda-ccea-4854-82eb-794072ec3022', 'route': ['p2', 'e7', 'i7', 'x1', 'p1', 'c1']}
1769483366.5028453,RECEIVED,d784988a-d0bb-45c6-a5c1-106575801bed,7bedc5e4-3167-4dfd-ac88-471a1cb0d454,c4,c2,27,p2,?,surb={'id': 'af6cf2ea-6af7-41a1-a40f-b22a6cbb1ef5', 'route': ['p2', 'e8', 'i7', 'x8', 'p1', 'c4']}
1769483366.7756138,SENT,6a3f1ef7-f4fd-49de-bb99-e984a3d12f21,2a76a246-50ec-4456-abe0-8552acbb0625,c2,DROP,2015,?,p2,
1769483366.7756786,CREATED,842502c7-137f-40a4-a244-cbfd2b35e507,b15d39b8-a8da-4efa-87a7-8c4bec2f0033,c2,DROP,27,?,?,
