link,llr,obs_count,rate
e3->i8,1.4427357525129727,208,0.34260189707414396
i5->x7,1.4344061613839143,33,0.054355108670417075
x5->x10,1.431102425418577,9,0.014824120546477384
x8->i4,1.4215279681271573,9,0.014824120546477384
x12->e3,1.4104834834185755,7,0.011529871536149075
i4->x10,1.4083180878353874,203,0.3343662745483232
e10->i11,1.3742195562924415,226,0.37225013816709873
x3->e2,1.3713826801677946,7,0.011529871536149075
x5->p3,1.3354884866713341,435,0.7164991597464069
e8->i3,1.2903707766266637,191,0.31460078048635337
i5->x2,1.2526463549131828,22,0.03623673911361138
i5->x6,1.2471499749324106,14,0.02305974307229815
x2->i8,1.231159397876274,8,0.01317699604131323
x11->i2,1.201256488444142,10,0.016471245051641537
e6->i12,1.197269137871177,220,0.3623673911361138
i9->x3,1.1967398140146601,171,0.2816582903830703
e7->i4,1.1485900797871915,166,0.2734226678572495
x1->x8,1.139677730099585,6,0.009882747030984922
x8->p3,1.1301811043519638,378,0.6226130629520501
e9->i8,1.1257809229095832,15,0.024706867577462308
e8->i6,1.1106036570143765,209,0.34424902157930815
e9->i11,1.1060639919031612,15,0.024706867577462308
x8->x7,1.0819540803110579,7,0.011529871536149075
e10->i9,1.0810499868864891,189,0.31130653147602505
i5->x11,1.0782762824684857,14,0.02305974307229815
e2->i5,1.0471431242895042,24,0.03953098812393969
e11->i6,1.0401174792173329,200,0.32942490103283073
x4->i10,1.0308044772693288,7,0.011529871536149075
x12->e4,1.004378919642087,7,0.011529871536149075
x7->x12,1.0016192342966885,4,0.006588498020656615
i5->x4,0.978753841674771,23,0.037883863618775535
x6->i9,0.9758958664259261,8,0.01317699604131323
e9->i4,0.9681902796651869,17,0.028001116587790614
x6->x3,0.9500253607619351,7,0.011529871536149075
e8->i5,0.9273890562492113,22,0.03623673911361138
e9->i3,0.9244261234542739,16,0.02635399208262646
x11->x10,0.9223935173123721,9,0.014824120546477384
x1->e8,0.9217789225966166,11,0.01811836955680569
x3->x1,0.9151747007314954,7,0.011529871536149075
x2->x4,0.9103309423181116,5,0.008235622525820769
x7->e1,0.9023986801036754,6,0.009882747030984922
e4->i9,0.8967071623271279,217,0.3574260176206214
i5->x8,0.866493824307315,18,0.029648241092954768
i2->x4,0.8464826803297321,191,0.31460078048635337
x11->e11,0.8220971642080759,7,0.011529871536149075
x11->e2,0.8161967288032912,5,0.008235622525820769
x11->i4,0.8075785505172153,5,0.008235622525820769
x9->x12,0.8007342226698579,5,0.008235622525820769
x7->e6,0.7812521041033511,7,0.011529871536149075
e12->i9,0.7708841424679429,239,0.39366275673423273
x8->i10,0.7602363421753582,3,0.004941373515492461
x3->i2,0.7582474941208135,8,0.01317699604131323
x1->i7,0.7511790596563914,5,0.008235622525820769
x5->i12,0.7349713475445308,9,0.014824120546477384
x2->i3,0.7181892687675075,5,0.008235622525820769
x1->e7,0.7159210115612726,5,0.008235622525820769
x10->x4,0.7124455616281509,6,0.009882747030984922
x10->x1,0.7113027466205173,7,0.011529871536149075
x3->e5,0.7048943695610452,5,0.008235622525820769
p1->e1,0.7044166677001735,843,1.3885259578533815
x7->i9,0.693746421648437,10,0.016471245051641537
x5->x7,0.6909743842653882,6,0.009882747030984922
x12->i12,0.679632895520192,7,0.011529871536149075
x2->x12,0.6766353258956572,4,0.006588498020656615
x1->e11,0.6673189525218755,9,0.014824120546477384
x2->x8,0.6594123322025736,3,0.004941373515492461
e11->i3,0.6534513863508709,213,0.35083751959996473
x12->e12,0.6525927680237098,9,0.014824120546477384
x10->x9,0.6512024463530262,6,0.009882747030984922
i5->x1,0.6465056487179872,21,0.03458961460844723
x7->i2,0.6293340818437443,4,0.006588498020656615
x8->i7,0.6242798646549277,3,0.004941373515492461
x5->e6,0.6120247734550466,5,0.008235622525820769
x8->e7,0.61029129251264,7,0.011529871536149075
x2->e3,0.6099300382449151,7,0.011529871536149075
x6->e10,0.5993210196706906,4,0.006588498020656615
x5->e12,0.5796744852876428,3,0.004941373515492461
i5->x9,0.5759397791528125,16,0.02635399208262646
x9->x8,0.5726647408348162,6,0.009882747030984922
x4->e6,0.5611844858199806,8,0.01317699604131323
x5->e1,0.5558462273170246,7,0.011529871536149075
x6->i2,0.5216234956677539,4,0.006588498020656615
p1->e5,0.5206592507249796,845,1.39182020686371
x1->x9,0.510092222763026,5,0.008235622525820769
x1->i3,0.5086284570199551,4,0.006588498020656615
x9->x5,0.5062851739230734,5,0.008235622525820769
i4->x6,0.5015568754761031,192,0.3162479049915175
x7->i1,0.4961641895607576,4,0.006588498020656615
i7->x3,0.49520165164171637,160,0.2635399208262646
x8->x9,0.4911194842788458,9,0.014824120546477384
x8->i11,0.49014382130669887,6,0.009882747030984922
x11->i11,0.48700216678471797,5,0.008235622525820769
i2->x10,0.48604007410851047,217,0.3574260176206214
x6->i10,0.479583182162191,5,0.008235622525820769
x2->e8,0.47751211770423385,11,0.01811836955680569
x3->i10,0.4731516157742002,6,0.009882747030984922
x7->i3,0.46744166926933683,9,0.014824120546477384
x11->e3,0.4647181982626458,4,0.006588498020656615
x7->i8,0.461204762509162,3,0.004941373515492461
x3->e8,0.4605938813427075,1,0.0016471245051641538
x8->e3,0.45460103651344586,11,0.01811836955680569
x2->e11,0.4531485332508014,6,0.009882747030984922
x4->e12,0.448600656455727,6,0.009882747030984922
x1->x10,0.43794783285770933,6,0.009882747030984922
i9->x4,0.41129746534163125,178,0.29318816191921937
x1->x7,0.4091844961475424,7,0.011529871536149075
x3->i6,0.40437225817888045,4,0.006588498020656615
x6->x12,0.4029439520815643,5,0.008235622525820769
x11->x8,0.4000232694947048,4,0.006588498020656615
x11->x3,0.39681059244512795,4,0.006588498020656615
x7->i10,0.39579849430157044,6,0.009882747030984922
x10->i9,0.38604079016414694,4,0.006588498020656615
x1->e2,0.3824769059313793,1,0.0016471245051641538
e8->i1,0.37923956177977214,192,0.3162479049915175
e11->i2,0.37729039005009213,200,0.32942490103283073
x9->e1,0.3744676783244971,5,0.008235622525820769
e1->i12,0.3736413247410564,220,0.3623673911361138
x11->i6,0.37106678830107587,11,0.01811836955680569
x2->x5,0.36715777607624567,6,0.009882747030984922
e7->i11,0.3631839467965161,223,0.3673087646516063
x3->x9,0.3580546337740502,3,0.004941373515492461
x11->e12,0.3542415900046638,7,0.011529871536149075
x10->e10,0.35284296819432814,9,0.014824120546477384
x7->x5,0.3526769545099704,7,0.011529871536149075
x6->i6,0.35251690750409903,6,0.009882747030984922
x3->x11,0.3500615416526953,5,0.008235622525820769
e1->i5,0.3474074401655711,9,0.014824120546477384
x5->i1,0.34635652202886114,3,0.004941373515492461
x11->x2,0.3340049490472028,3,0.004941373515492461
x8->e9,0.33062767249741754,2,0.0032942490103283076
e3->i12,0.32309258530719287,226,0.37225013816709873
e5->i8,0.3187810646758553,200,0.32942490103283073
x6->e1,0.3170711895241647,4,0.006588498020656615
x10->x2,0.3157689590867223,3,0.004941373515492461
x10->x5,0.31424789906746753,3,0.004941373515492461
x1->i6,0.31295360765051417,6,0.009882747030984922
x3->x6,0.3117665332221895,3,0.004941373515492461
x5->e10,0.3067333935217187,4,0.006588498020656615
x3->x12,0.3046694548530926,6,0.009882747030984922
x7->x10,0.3010013047591604,13,0.021412618567133997
x12->e1,0.29449625419108294,4,0.006588498020656615
x12->i3,0.29284727121133436,4,0.006588498020656615
x3->e7,0.2913053763682676,5,0.008235622525820769
x4->i9,0.2873309499201202,3,0.004941373515492461
x4->e2,0.28335502012954006,6,0.009882747030984922
x12->x1,0.283327354820166,6,0.009882747030984922
x11->i10,0.28283363145811435,4,0.006588498020656615
x12->i10,0.27851467239226846,6,0.009882747030984922
x10->e8,0.27522247557298396,4,0.006588498020656615
x5->x1,0.27263148413591143,8,0.01317699604131323
x1->i1,0.27093151930913884,7,0.011529871536149075
x3->i1,0.27087840612568215,7,0.011529871536149075
x7->e4,0.26660049591505963,6,0.009882747030984922
x12->i1,0.2566682507750171,4,0.006588498020656615
x8->x6,0.25095932208801575,4,0.006588498020656615
x10->e6,0.24777928908721503,4,0.006588498020656615
x1->e5,0.2419595076230765,1,0.0016471245051641538
x4->i3,0.24030112258755842,4,0.006588498020656615
x12->e10,0.23849685525377584,5,0.008235622525820769
x5->x6,0.2359404308011923,5,0.008235622525820769
x6->e8,0.23527242422503214,4,0.006588498020656615
x10->i11,0.22820020416828424,7,0.011529871536149075
x10->i5,0.22723233814406818,1,0.0016471245051641538
x7->i7,0.22280911149877713,4,0.006588498020656615
x8->e1,0.21975673333360568,8,0.01317699604131323
x2->e12,0.216932633914257,5,0.008235622525820769
x12->x7,0.21623359907757056,4,0.006588498020656615
x8->e8,0.21217450123506687,5,0.008235622525820769
x6->x8,0.20907502020658608,7,0.011529871536149075
x4->e3,0.20695346425263228,9,0.014824120546477384
x11->e1,0.20541923473349222,4,0.006588498020656615
x8->x12,0.2028076348366552,9,0.014824120546477384
x8->e11,0.19951126151968435,5,0.008235622525820769
x7->x2,0.19565871848420802,4,0.006588498020656615
x5->e3,0.18220705407803894,2,0.0032942490103283076
x1->x11,0.18164226063824707,7,0.011529871536149075
x2->e1,0.17881168186804342,1,0.0016471245051641538
x7->i6,0.17668285078105672,4,0.006588498020656615
x11->i1,0.17611978508375437,4,0.006588498020656615
