timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769745452.7283893,SENT,0810bd3a-97e9-45ab-8085-1eda33d9b21b,59f57f0c-093a-46ae-8b9a-a035983074cd,c3,c2,3376,?,p3,
1769745452.7285225,CREATED,ad47bae1-f628-452d-a4c6-0539e4fbdeed,8519c918-3c0f-453c-8359-f0cf4788bcd0,c3,c2,27,?,?,surb={'id': '9ad3ab91-11f0-455c-a46c-13fa7cf6f3d7', 'route': ['p2', 'e7', 'i5', 'x9', 'p3', 'c3']}
1769745452.930632,SENT,7c44700d-bc6a-49d3-a7b2-8da46882727b,967e0dec-3574-4e12-be92-435adf03ac71,c3,c2,3362,?,p3,
1769745452.9307833,CREATED,a1095305-c439-455e-9815-d49b255cbf3f,f8165978-ce82-49a5-8b17-c40200f22d52,c3,c2,27,?,?,surb={'id': 'f7c20e97-93a0-462b-a1e6-afabd492ea6d', 'route': ['p2', 'e3', 'i12', 'x9', 'p3', 'c3']}
1769745453.04794,RECEIVED,4ec70ee9-f5dd-48b3-86ee-d216886db844,a75d49d0-fd3d-487d-b92d-e89eda785f9a,c2,c3,27,p3,?,surb={'id': '98c8fb19-649d-427c-ba80-daf315ece579', 'route': ['p3', 'e9', 'i2', 'x12', 'p2', 'c2']}
1769745453.0800204,SENT,f1dd1e2d-13ab-40bf-8c3a-237beb82cda2,a5c32190-8126-48f2-af20-e753a99c03b5,c3,c2,3392,?,p3,
1769745453.080178,CREATED,14811e03-f86f-4247-b362-ccb8c46ae268,2097ea3c-7e4e-4f7d-a90b-484e71795db8,c3,c2,27,?,?,surb={'id': 'd8076fa3-cf67-4e6e-88af-a5790dd35c9e', 'route': ['p2', 'e3', 'i11', 'x6', 'p3', 'c3']}
1769745453.0870905,SENT,4e0176ab-c418-4b51-8372-5172b98b981b,22ad2b50-9c95-4aa9-9a5f-0f34c0827fe5,c3,c2,3376,?,p3,
1769745453.087228,CREATED,88b4203e-c5f6-436d-bd55-c564e11a162c,05b6a58c-bb96-4a2b-aabe-1a4ad17cda48,c3,c2,27,?,?,surb={'id': 'ceb98c48-72e6-4fc4-9c28-f5839ec995c1', 'route': ['p2', 'e6', 'i10', 'x8', 'p3', 'c3']}
1769745453.3103623,RECEIVED,bd925c4e-2dc0-467a-b37a-76a8c3a90366,bb2f43ca-2385-471a-b26e-9820b3a127b0,c2,c3,27,p3,?,surb={'id': '8f498702-9207-4834-8e64-0732bda452e6', 'route': ['p3', 'e11', 'i9', 'x8', 'p2', 'c2']}
1769745453.3262768,SENT,6a30fcbb-4661-496f-b6a1-599717cb32d9,8986fbd0-e692-4a3c-9268-6c61effea489,c3,c2,3367,?,p3,
1769745453.326416,CREATED,eb3eed10-9a15-4a93-882a-de96f5072098,45d38720-757d-4988-b98f-3b5dba1f87be,c3,c2,27,?,?,surb={'id': '3dc5992e-a5ac-4412-bf1a-fb386cd7d7f1', 'route': ['p2', 'e3', 'i6', 'x2', 'p3', 'c3']}
1769745453.4107168,SENT,68a94e16-b79c-4a16-a6d5-543c9aac6e3f,a3d843ec-1727-4ae3-932d-098764c70449,c3,c2,3393,?,p3,
1769745453.4108686,CREATED,76aef3bd-ee43-48b5-a0cf-1d7ed3db00d4,efba11fc-4c78-4b69-a05d-12b6a679358a,c3,c2,27,?,?,surb={'id': 'd36498fc-087e-4e9a-9c8f-ebed2e25b3d5', 'route': ['p2', 'e8', 'i3', 'x1', 'p3', 'c3']}
1769745453.4326072,SENT,57fe20c5-3370-4271-9e5c-f76ad7559dca,55c14791-6457-40cf-93cb-a0f379de13df,c3,c2,3375,?,p3,
1769745453.4327295,CREATED,1d6e6b72-40d7-4277-a03e-1e68fd8d3293,4fb8a857-fb44-4c3f-9f15-bbe5a9744db4,c3,c2,27,?,?,surb={'id': 'bc59a73a-73bb-402d-ba92-9c8c8f8d417e', 'route': ['p2', 'e3', 'i8', 'x4', 'p3', 'c3']}
1769745453.611242,SENT,b829b86e-9558-4ce9-a01b-8775c4c9e216,f26b3f1b-bc1c-44a3-81b5-4cfbb7997676,c3,DROP,2032,?,p3,
1769745453.6113737,CREATED,109bc975-18e5-44ef-8d8a-31f4aff03cbb,b59fcb83-ad15-4585-a1da-bc703169421a,c3,DROP,27,?,?,
1769745453.6928859,SENT,721d7309-7780-4f55-a944-3cd17f51e75f,687915d6-6c84-4fda-b7e1-5519f3f66bf8,c3,DROP,2047,?,p3,
1769745453.6930056,CREATED,e075abfa-d6fc-4bde-b4c0-84cc38ead7a9,17d8d27a-494a-42e0-a079-8b89e60b5365,c3,DROP,27,?,?,
1769745453.7753854,RECEIVED,22626eb6-abad-4745-aea2-811e4e39af6d,d85927bc-4801-4646-a0e1-83b164632cca,c2,c3,25,p3,?,surb={'id': '4d0062cb-df2a-4071-9907-0cb301453822', 'route': ['p3', 'e5', 'i11', 'x3', 'p2', 'c2']}
1769745453.8538039,RECEIVED,c90f8f9d-70af-414a-920c-f8768dae35fa,3a9e0100-a747-4347-bfc1-368ef0c77f0d,c2,c3,27,p3,?,surb={'id': '95be96e9-185a-4fce-b183-3fc0ddb6de94', 'route': ['p3', 'e5', 'i10', 'x6', 'p2', 'c2']}
1769745453.9260197,RECEIVED,0c2dbf21-2a2f-4dba-b657-c4629962a2b8,afaec9fa-37e9-4fc9-ad94-44aa1157de35,c1,c3,27,p3,?,surb={'id': 'fa472f0f-9e4b-4a92-9c7d-b2a22cec994b', 'route': ['p3', 'e12', 'i2', 'x5', 'p1', 'c1']}
