timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769745453.7426171,CREATED,d1747a0b-f759-469d-b6c8-bda765dc7ff1,991debce-bfc0-4b5e-a68e-eb0399d7c3dc,c2,c3,27,?,?,surb={'id': '77337394-bdaf-48e9-b912-845d8b5be22c', 'route': ['p3', 'e2', 'i7', 'x3', 'p2', 'c2']}
1769745453.757317,SENT,60c48321-a6b0-4424-a16a-d523e5865cff,03063a46-2672-4e5e-9705-22526f6b5dfc,c2,c3,3356,?,p2,
1769745453.7576067,CREATED,d39be0bf-f865-461f-b566-173b2484a71b,7c6e5a6c-166f-48f4-a0bc-0afe42dd47ca,c2,c3,27,?,?,surb={'id': 'cc5b66cb-12b6-4d87-b0ea-e7c442e5d6e6', 'route': ['p3', 'e8', 'i8', 'x6', 'p2', 'c2']}
1769745453.8130662,SENT,eb9da1b5-a464-47ab-9b70-6b2b336ef537,125102fd-e90b-4661-b0b2-2a0770f56f18,c2,c3,3379,?,p2,
1769745453.8150985,CREATED,a696d461-1cc5-42f5-80bc-9bac5e506cda,ebdeca93-a7b4-4189-bbc6-84af39e05021,c2,c3,27,?,?,surb={'id': '14bd5be9-b332-4ab7-b673-72e3016e63b6', 'route': ['p3', 'e9', 'i4', 'x3', 'p2', 'c2']}
1769745453.9317007,SENT,f02be210-11a3-4956-acf9-ac9fdb8802d2,4f2b8d68-5a44-41dc-abaf-a8f464e6c1c6,c2,c3,3360,?,p2,
1769745453.9318492,CREATED,a63d6114-da1f-4da1-bb6c-c4eda5f69cb2,ac899493-1a41-4ede-ba41-3a9d9eba0b4d,c2,c3,27,?,?,surb={'id': '3f779f59-0844-43bc-8628-c201ce749591', 'route': ['p3', 'e5', 'i7', 'x4', 'p2', 'c2']}
1769745454.1709569,RECEIVED,83532ff8-4b4f-4516-8d74-c37cdc255a21,0e833605-ac1e-4be0-a47e-a638adef6f24,c4,c2,27,p2,?,surb={'id': '424274bc-3b3c-4696-948e-d766576d4ca4', 'route': ['p2', 'e2', 'i8', 'x9', 'p1', 'c4']}
1769745454.180008,SENT,03c5a939-c6af-4c9b-b219-2fb4f3e0dde3,0d8ce880-200a-4b08-a819-8dd9dd533d15,c2,c3,3379,?,p2,
1769745454.180183,CREATED,a73983e3-4db9-48f7-ad03-178ef74e5dde,201898ff-210a-4d52-8357-9fae9fb47e4f,c2,c3,26,?,?,surb={'id': 'c0e26bba-a614-4e9f-8013-910824893166', 'route': ['p3', 'e4', 'i7', 'x12', 'p2', 'c2']}
1769745454.2359116,SENT,fb1da8e9-fe1e-47ee-b9c5-0d6bb632fd1a,a5326521-e8cf-42ef-a09e-dcc026dda3c4,c2,c3,3387,?,p2,
1769745454.2360866,CREATED,f190ad5f-b111-4365-b5db-247c844c9ad8,ec5dd53e-ed29-4b66-b5cb-906cda6d025b,c2,c3,27,?,?,surb={'id': '7ea67783-0525-423e-9727-98ac3d8bc8f7', 'route': ['p3', 'e6', 'i8', 'x11', 'p2', 'c2']}
1769745454.4056525,RECEIVED,735dc6da-8803-4f7a-93f6-501e1c1ce9f9,bfd40754-f387-4c33-8d3e-f90d62181115,c4,c2,27,p2,?,surb={'id': '51b25a02-b93c-4d73-9d2a-13610c575612', 'route': ['p2', 'e8', 'i9', 'x10', 'p1', 'c4']}
1769745454.421776,SENT,432d3960-5ce2-4610-a281-982c67a88b86,0dfd208b-6325-4a51-9585-6dc4f34d9bc2,c2,c3,3385,?,p2,
1769745454.4219067,CREATED,060dd73f-5f4a-48f8-9c38-1a5a54b03ee4,ebf3001b-d045-481e-b0b2-7c937a93c33a,c2,c3,27,?,?,surb={'id': '4baae842-1807-450d-ac71-2a1ca2c234c7', 'route': ['p3', 'e8', 'i5', 'x1', 'p2', 'c2']}
1769745454.4830904,SENT,6870bb87-b638-475d-9820-248c56c3c0cd,03cce636-87bd-4d4a-a0ce-06d63c256e4d,c2,c3,3376,?,p2,
1769745454.4832308,CREATED,a7f36c92-2f50-4917-8aed-05545012bab0,209ffa3b-14a4-4268-8f04-f825be4aedfd,c2,c3,27,?,?,surb={'id': 'a957287b-354b-4b7b-814b-3165c5227a74', 'route': ['p3', 'e8', 'i10', 'x11', 'p2', 'c2']}
1769745454.6774604,RECEIVED,eb225333-422e-4c0b-812c-fc1107bb0a4c,01866bcd-49fa-4fe4-a11e-3e1d03ff7c8f,c3,c2,27,p2,?,surb={'id': '66191f44-e184-442d-ada6-1a6b57098d1d', 'route': ['p2', 'e10', 'i7', 'x12', 'p3', 'c3']}
1769745454.6969872,RECEIVED,7c38709b-27a2-423f-b9ae-d718dc359880,67ab13a0-9910-468f-b039-db06737d9826,c4,c2,27,p2,?,surb={'id': '5df7750e-36b0-46c5-aefa-a03109c49d5b', 'route': ['p2', 'e3', 'i12', 'x6', 'p1', 'c4']}
1769745454.8177068,RECEIVED,ad47bae1-f628-452d-a4c6-0539e4fbdeed,8519c918-3c0f-453c-8359-f0cf4788bcd0,c3,c2,27,p2,?,surb={'id': '9ad3ab91-11f0-455c-a46c-13fa7cf6f3d7', 'route': ['p2', 'e7', 'i5', 'x9', 'p3', 'c3']}
1769745454.8670106,RECEIVED,e82c1299-385a-4c6a-9f37-d5b70f02285d,ea239923-bf63-4fae-b865-ee4bbbce4894,c3,c2,27,p2,?,surb={'id': 'f7e2c898-49ee-489b-8892-71953abfe66c', 'route': ['p2', 'e9', 'i7', 'x9', 'p3', 'c3']}
1769745454.989027,SENT,f80b71af-99d9-49bb-a407-8643138eea3f,f9f5877f-2872-45f4-ab15-a5caaeb4ab59,c2,c3,3377,?,p2,
1769745454.9891891,CREATED,6498265e-a427-464f-9117-46ed1da83b66,9534bad9-c300-4f0d-84c5-aba518388005,c2,c3,27,?,?,surb={'id': '4a72b8b5-7372-44c1-8966-f8fa8d6efded', 'route': ['p3', 'e1', 'i1', 'x4', 'p2', 'c2']}
1769745454.9965127,SENT,4a17b3c3-6d3f-4a18-8ec0-d8c92aa39a92,116a0252-eca5-4c01-83d2-d859ffe1a47d,c2,c3,3384,?,p2,
1769745454.9966426,CREATED,75ec0c3c-5f32-4793-b042-0a6c58fbd4f1,3ac48484-c309-4f9d-85bb-c372b06164fd,c2,c3,27,?,?,surb={'id': '56b6eca3-ef7b-4477-9c80-a840990ff7cf', 'route': ['p3', 'e11', 'i1', 'x11', 'p2', 'c2']}
1769745455.0476565,RECEIVED,bf3dbc96-17ba-493a-9b90-2f00353e9d46,13b7f66e-a20d-40c3-a672-05d74dfc6014,c4,c2,27,p2,?,surb={'id': '02725491-8e15-45cd-9a48-38a98d1b495b', 'route': ['p2', 'e1', 'i11', 'x5', 'p1', 'c4']}
1769745455.0867338,RECEIVED,14811e03-f86f-4247-b362-ccb8c46ae268,2097ea3c-7e4e-4f7d-a90b-484e71795db8,c3,c2,27,p2,?,surb={'id': 'd8076fa3-cf67-4e6e-88af-a5790dd35c9e', 'route': ['p2', 'e3', 'i11', 'x6', 'p3', 'c3']}
