timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769391953.1586823,SENT,871eb55a-925d-4137-a780-0836887c1347,fbc7ba33-67d9-4f87-bbba-e51d55224ac3,c2,c5,3367,?,p2,
1769391953.1588402,CREATED,072e5f72-82aa-459a-af1c-8811848a9527,6fa54d43-3766-4ad5-b797-35922fb393fb,c2,c5,27,?,?,surb={'id': 'db5369ff-9d7e-4c70-b235-946e50d00a1e', 'route': ['p2', 'e3', 'i2', 'x8', 'p2', 'c2']}
1769391955.0464458,CREATED,3ed1a902-697d-4e10-9f2d-12af2c51b738,4ff33959-9ce2-4543-9abd-fe47bba01ec4,c2,DROP,26,?,?,
1769391955.433509,RECEIVED,6356c0dd-c9ce-42f9-8f79-e4ad2d5ce878,a3533c42-05ec-48cd-ace2-4090c996df33,c4,c2,27,p2,?,surb={'id': '4fca4fb6-e4a3-4a18-af00-8d8a9cb3dcd7', 'route': ['p2', 'e1', 'i4', 'x12', 'p1', 'c4']}
1769391955.5908756,SENT,5e8e56ce-44fc-4f6f-9a42-add917d81e64,0b41a629-c737-4ed4-858b-caab693f0747,c2,c5,3368,?,p2,
1769391955.5910225,CREATED,c3c344ea-227e-4438-90b1-a786526a3dae,56d0f652-8610-462e-92aa-822e1c2031d8,c2,c5,25,?,?,surb={'id': 'a9e538d6-2a9e-4268-a0cb-595435817742', 'route': ['p2', 'e4', 'i2', 'x11', 'p2', 'c2']}
1769391955.8991425,SENT,bc445ffe-f291-47f3-a074-1a551f103c0a,15db9d4b-6558-4e3d-a226-f3dbcfc9f0a0,c2,c5,3373,?,p2,
1769391955.8992927,CREATED,987e0856-3e3c-4699-a60a-09d8f047227a,4819c6e3-e73c-4362-bd83-7b4bc3f3b9fa,c2,c5,26,?,?,surb={'id': '53700056-5763-432c-be51-4e356dec80d6', 'route': ['p2', 'e8', 'i8', 'x5', 'p2', 'c2']}
1769391956.4608312,RECEIVED,0da95ff5-d1a8-4794-a21d-0c941c4016bf,d2d0a958-dfde-43fc-9b36-80455c130492,c4,c2,27,p2,?,surb={'id': '3827df7c-9ad2-42e4-8fd5-cd89f7772951', 'route': ['p2', 'e2', 'i3', 'x4', 'p1', 'c4']}
1769391956.4742086,RECEIVED,f4fca72d-bbfb-4929-8ff6-ae72460675f6,518e712c-7715-4afa-ae42-c04278a53139,c4,c2,27,p2,?,surb={'id': 'd8d8addf-d1a5-4a72-b514-20fcc2c75122', 'route': ['p2', 'e1', 'i4', 'x2', 'p1', 'c4']}
1769391956.8054874,RECEIVED,8be11fb4-f16c-4edd-b93c-8d4faa181f39,6e794ab1-edff-4525-8072-935cc25913e3,c4,c2,26,p2,?,surb={'id': '8ff8be43-92b7-40e5-8815-9f1e92a22f47', 'route': ['p2', 'e8', 'i10', 'x3', 'p1', 'c4']}
1769391956.9691198,SENT,84db7429-dc34-41c0-8c10-1c08db3d39d3,6cabad28-5530-4442-b010-3065bd610258,c2,c5,3383,?,p2,
1769391956.969298,CREATED,a41621dc-0d4e-488b-aed2-d487787618bd,5e81ed77-05a8-4879-b1d5-3057bc0126e1,c2,c5,26,?,?,surb={'id': '92b60c3a-cf10-48e0-bf59-3d48592d5d72', 'route': ['p2', 'e1', 'i12', 'x10', 'p2', 'c2']}
1769391957.1536644,RECEIVED,40cd58f8-6c1d-42e0-8f53-96348df33e9b,63983dc0-9498-4d9e-9205-a9857f4fcf68,c4,c2,26,p2,?,surb={'id': '4f87437d-8256-4483-9137-32f19a83c249', 'route': ['p2', 'e4', 'i7', 'x1', 'p1', 'c4']}
1769391957.167641,RECEIVED,bfe0ebd7-23ae-4f55-95ee-9c127d56458b,c35db922-8573-4c0b-83ca-7622e822e11b,c4,c2,27,p2,?,surb={'id': 'b477e76b-1146-40e4-a384-4a25c3f1b412', 'route': ['p2', 'e6', 'i10', 'x3', 'p1', 'c4']}
1769391957.3810117,RECEIVED,ae962cf7-3a9c-4cd1-b2e1-92b3f8ea45f5,b79be38f-4715-49dd-b8e9-41a23fae9b7d,c4,c2,27,p2,?,surb={'id': '68f6c68d-40a6-439b-b8ac-afaed1dd54c9', 'route': ['p2', 'e9', 'i7', 'x4', 'p1', 'c4']}
1769391957.4018433,SENT,c0e86033-0a49-4d15-941e-22f4499ba5ca,1fed824b-0d6f-4d35-a4ad-c73e5ba4707a,c2,c5,3383,?,p2,
1769391957.401991,CREATED,4fb55d33-7daf-44e2-9eba-91814667a260,ec74c38d-ccfa-45ef-ad42-ab476c40e59e,c2,c5,27,?,?,surb={'id': '114de185-55ac-4172-bc45-67eaf3095812', 'route': ['p2', 'e9', 'i8', 'x10', 'p2', 'c2']}
1769391957.5745118,RECEIVED,c0e15bf3-a1f0-48f7-b761-3a5eca9a26a8,7e7839a3-9bc7-400d-a9fa-ed9fff14ea61,c4,c2,27,p2,?,surb={'id': 'c5d5b05d-fa54-4955-ad53-eca7aa02eef5', 'route': ['p2', 'e10', 'i1', 'x9', 'p1', 'c4']}
1769391957.6493683,RECEIVED,d38e17e9-6675-4475-b79c-9f33153873f9,94a78685-9d0f-4566-8020-b7b2c4212f3a,c4,c2,27,p2,?,surb={'id': 'd08264a5-49ab-4b35-a699-78979d3726f7', 'route': ['p2', 'e2', 'i3', 'x5', 'p1', 'c4']}
1769391957.6678421,RECEIVED,68b36499-ded6-40e7-9aca-4b4b5f1a0e8f,6489e8a4-bd5c-46c8-9081-3db74ff30cf5,c4,c2,27,p2,?,surb={'id': '6e2af2c9-0c29-4810-ad4d-56302da7c157', 'route': ['p2', 'e7', 'i6', 'x10', 'p1', 'c4']}
1769391957.7849042,SENT,adcd86ba-d310-4660-b4af-02bd2abd0e56,8632d04a-3cd7-4e3c-8d59-c652d822abeb,c2,c5,3391,?,p2,
1769391957.7850745,CREATED,57c39a01-3bf8-4a92-bc49-1c9733cb91a1,9e610d0a-272a-4f87-8e9d-ab6d1dfbd5cb,c2,c5,27,?,?,surb={'id': '6124d02f-2533-40c9-898f-faf78cf18d4b', 'route': ['p2', 'e11', 'i11', 'x10', 'p2', 'c2']}
1769391957.9006655,RECEIVED,a6d13278-067b-4fcc-a848-390ef9a8eac7,19528947-65ec-4f8f-8970-457d8905a636,c4,c2,26,p2,?,surb={'id': 'd0c1a48a-4ddf-47e9-995a-b42c9223ae60', 'route': ['p2', 'e11', 'i3', 'x2', 'p1', 'c4']}
1769391958.0030432,RECEIVED,540082cd-d71c-4264-88e0-ab604d3f6545,bf4f8e72-4b03-4cbd-8509-2222e313b394,c4,c2,26,p2,?,surb={'id': 'b33fc87b-f9d0-49c4-a864-6175752a2a71', 'route': ['p2', 'e7', 'i12', 'x7', 'p1', 'c4']}
1769391958.3064888,SENT,fb0b4d8c-c100-4389-ac5a-8821c9d95409,9c0bc6d2-79e0-403a-b7d2-2ef05c47c15d,c2,c5,3387,?,p2,
1769391958.3066347,CREATED,178a9d1d-a556-45d2-aa1d-626c0e8fd655,7731809e-2ca0-4edc-b4a7-3af0a3c6998e,c2,c5,26,?,?,surb={'id': '757e1187-b7ad-42dd-88ab-6a7a6266aa1e', 'route': ['p2', 'e12', 'i8', 'x8', 'p2', 'c2']}
1769391958.7689662,SENT,72dbcab9-7ee2-4f98-899a-17dc5b0d5610,17208a96-23f0-45c8-bf76-5bf60ba23822,c2,c5,3387,?,p2,
1769391958.7691424,CREATED,d8d80067-e6e7-4d76-8d5e-afc44ea0deb4,a5b0756d-bf22-40a5-9816-1f77ea9063f8,c2,c5,27,?,?,surb={'id': '0886b918-a9fd-454a-9625-d21bc3c263d8', 'route': ['p2', 'e10', 'i12', 'x1', 'p2', 'c2']}
1769391959.7606754,RECEIVED,761847f7-d0a5-4df5-a9f6-cff2a59f9134,36f839d5-cc7f-469b-9de7-f233fdf42c48,c4,c2,27,p2,?,surb={'id': '138cc919-5035-48a9-99aa-f93bbc2c30bd', 'route': ['p2', 'e12', 'i2', 'x6', 'p1', 'c4']}
1769391959.8467846,RECEIVED,0101300b-1e0c-4afd-a13b-d692e21a72f6,3b74ac3b-e896-42ec-9f8e-b5a057c9534b,c4,c2,26,p2,?,surb={'id': 'fa43b928-c43e-42b5-a5a1-1400fe9bbb6c', 'route': ['p2', 'e1', 'i6', 'x4', 'p1', 'c4']}
1769391959.9812214,SENT,735d3362-9caf-4241-80f9-acfa0247755e,5db022d1-0704-4ba2-a785-69d5c6dc27d0,c2,c5,3383,?,p2,
1769391959.9813676,CREATED,653a37dc-f6ef-4333-a573-62b134661b41,917c3c24-d077-4eac-96b2-530482ada057,c2,c5,27,?,?,surb={'id': 'f535b853-f843-4223-b1c3-a726a82573e2', 'route': ['p2', 'e7', 'i5', 'x6', 'p2', 'c2']}
1769391960.217464,RECEIVED,2438bcdf-af23-48bb-9437-317247958064,bc9fadbc-82b1-4553-a2c1-b3d3bf4f38d0,c4,c2,26,p2,?,surb={'id': 'e7aa3481-8f5c-4b31-a185-893c39b33608', 'route': ['p2', 'e1', 'i4', 'x2', 'p1', 'c4']}
1769391960.4762037,RECEIVED,1f4a786b-1be8-4fab-a280-8595fe25c790,d14ff1a8-5fdc-48d4-a1ea-ffc16f22ece3,c4,c2,27,p2,?,surb={'id': 'ba7b4db3-788d-42b1-af54-4ebd83ff8a85', 'route': ['p2', 'e9', 'i3', 'x12', 'p1', 'c4']}
1769391960.6812778,RECEIVED,d8e8590a-b160-40f7-8e0a-251bd6b481e7,5892932a-209f-4a04-a797-702096c35734,c4,c2,26,p2,?,surb={'id': '1be01d10-a290-4402-8b33-7bbbce26a5f1', 'route': ['p2', 'e11', 'i11', 'x8', 'p1', 'c4']}
1769391960.7074122,SENT,a85a4d13-75d8-4be0-9f9b-ccfa30458f01,21ee62f9-9dec-4b3d-9c4b-38cd33a519d3,c2,c5,3391,?,p2,
1769391960.7075586,CREATED,e1af506d-fcab-44fb-9203-eedb2bacdd20,50412067-e607-4f8e-ac14-4afd1062a541,c2,c5,27,?,?,surb={'id': '84f33446-0bb0-4a44-a276-78e9dbb4eece', 'route': ['p2', 'e2', 'i10', 'x10', 'p2', 'c2']}
1769391960.742228,SENT,12fbbb43-04d7-4054-833e-b3df93f97ae8,14f31469-bb58-43f2-af72-c1c6bb8941ad,c2,c5,3377,?,p2,
1769391960.7423801,CREATED,dda8693a-ed04-482b-ad8b-1dc159b4356f,312a37af-6e66-4460-a906-9385c7ceb807,c2,c5,27,?,?,surb={'id': '50ab3e61-b69c-4d3c-8ae8-84d29f93ef90', 'route': ['p2', 'e4', 'i6', 'x4', 'p2', 'c2']}
1769391961.27492,SENT,0e689834-4a02-4211-8068-4c8b7235bad0,a32be4cc-10dd-44dd-b6fc-dfbfc3feeb1d,c2,c5,3380,?,p2,
1769391961.2752683,CREATED,56eea5f8-b752-4248-8993-f165ada3872c,d381bc56-d64e-45de-8e8c-42f512303634,c2,c5,27,?,?,surb={'id': '094815a4-d9e4-4d83-ac7f-8f701ad346e9', 'route': ['p2', 'e9', 'i5', 'x8', 'p2', 'c2']}
1769391961.321017,SENT,77a27035-b029-4b24-be6c-de2ecfd5bafe,09d6c7d2-36cd-4735-b234-dec54f32972a,c2,c5,3380,?,p2,
1769391961.3222773,CREATED,3f3a4df4-6bcb-4a3a-b324-9ae3a01da806,fb90b9ed-7fce-41ee-80dd-b36981ab4d3b,c2,c5,27,?,?,surb={'id': 'a641e3c9-cf7b-47e9-9f60-d9cd32c701e5', 'route': ['p2', 'e6', 'i3', 'x3', 'p2', 'c2']}
1769391961.4776504,SENT,bd7a4d3f-c24a-4cc3-8dbe-2aa37106773e,d954b74e-045a-44d9-9f5b-d6ced6541600,c2,c5,3392,?,p2,
1769391961.4778035,CREATED,4a1cf155-7424-4a57-9ccf-89184e2edf6f,94ee8b22-de17-4722-ae50-8067ffd60755,c2,c5,27,?,?,surb={'id': 'a4a3b75f-26d8-4196-98f2-63b5602434cd', 'route': ['p2', 'e6', 'i2', 'x4', 'p2', 'c2']}
1769391961.563691,RECEIVED,4e390588-260a-4fd8-87b9-69b195a3934f,9a8b9434-39e3-48a8-a58f-612150973822,c4,c2,26,p2,?,surb={'id': 'a343cde2-56f3-4999-9cd8-1bcaaf8d0246', 'route': ['p2', 'e7', 'i10', 'x6', 'p1', 'c4']}
1769391961.6335127,RECEIVED,2bc70f49-5912-4af5-bbf6-4eae5ae774c6,7d74d361-98f5-422c-b934-9ee9e4839509,c4,c2,27,p2,?,surb={'id': 'fc2105f2-ec94-40f9-a685-baff9e5abe79', 'route': ['p2', 'e8', 'i12', 'x7', 'p1', 'c4']}
1769391961.7750747,SENT,e8ed8223-f21d-4a8e-a96d-f7dc3d9c9ee8,371f0a43-77b9-4dbc-b77f-7da799bcc779,c2,c5,3359,?,p2,
1769391961.7752278,CREATED,7472a12f-0568-45cb-95e9-f5b60a79ee92,4f5f7596-ffc0-4448-a183-1731555056b0,c2,c5,27,?,?,surb={'id': 'efe44b7d-0e39-4f39-be8a-1502090f09fa', 'route': ['p2', 'e11', 'i4', 'x9', 'p2', 'c2']}
1769391961.857165,SENT,4be97120-2fca-41cc-9f9f-f11af7f378b6,16866dd1-b33d-482e-982a-d0cc6fd312ef,c2,c5,3363,?,p2,
1769391961.8573048,CREATED,19bb1bf6-cba6-44c1-bd6c-13138e81c429,4ed9cbdc-e807-426c-aecf-3576acca351f,c2,c5,26,?,?,surb={'id': '3aefa53d-1883-43f2-b1fe-268261c71742', 'route': ['p2', 'e4', 'i7', 'x11', 'p2', 'c2']}
1769391961.9112456,SENT,d45f0df1-091d-4769-bd32-0937e7cee97e,3315cabb-32b6-444e-9c1b-e1a37a95d8fa,c2,c5,3361,?,p2,
1769391961.9116278,CREATED,53c9678a-356f-46c6-9f26-27516f1848dd,b4270779-601d-418f-9bca-e1ac1cc1ab6e,c2,c5,27,?,?,surb={'id': '516b98a6-9a20-4599-beee-7ed52f3fd1e6', 'route': ['p2', 'e9', 'i5', 'x1', 'p2', 'c2']}
1769391961.9528244,SENT,f394fc5c-10ea-43e0-992f-ce15ec935edf,75c20f03-e98a-4fac-90fd-e532ad7db389,c2,c5,3395,?,p2,
1769391961.9529698,CREATED,a02d1684-1279-4009-9c3b-05aca7ba85d6,26636674-5cc6-41e7-b815-39718ea82759,c2,c5,27,?,?,surb={'id': 'd0830584-b984-402b-b5d8-928590b89d67', 'route': ['p2', 'e10', 'i8', 'x11', 'p2', 'c2']}
1769391962.0177858,SENT,fcfde5e0-3d98-4df2-b4ab-dd4e825f3642,c9981c88-7128-4a5f-a1a4-ec4861ef0b68,c2,c5,3376,?,p2,
1769391962.0179589,CREATED,eee911a8-0e76-467f-b8a0-88ca9eabdecd,5e8491fd-3edd-40c9-a672-4fe88bcfe07f,c2,c5,27,?,?,surb={'id': '6ea1818b-af32-4cde-8300-bb802dfe2f7a', 'route': ['p2', 'e6', 'i7', 'x7', 'p2', 'c2']}
1769391962.0465033,RECEIVED,22345fe1-3e82-40b1-85cc-9a2e25e4b416,18355ac0-3903-4963-b72a-349324fd8fcc,c4,c2,27,p2,?,surb={'id': '0cbc3ac2-16a6-402c-840f-91adb085eca7', 'route': ['p2', 'e1', 'i10', 'x2', 'p1', 'c4']}
1769391962.1506655,SENT,26c69264-545c-4c28-875d-ddbdfe9c8eda,15306f5e-0ac8-4598-9f6c-d798fffeb579,c2,c5,3388,?,p2,
1769391962.1508248,CREATED,9d036325-ca86-4337-834a-d364d92452e0,d6b654c0-fb30-4f48-bd96-2919b0c56905,c2,c5,27,?,?,surb={'id': '63034766-f1a1-4f1b-9b20-3778c52bea4b', 'route': ['p2', 'e4', 'i8', 'x7', 'p2', 'c2']}
1769391962.2592793,SENT,df114da2-2f17-47eb-b9f0-13d647ac8400,924aab7f-4447-48d5-bee6-0c9c8247938b,c2,c5,3371,?,p2,
1769391962.2594178,CREATED,61fd4b75-0f0d-4ece-9095-8fe3721f570e,41ba4aab-33b9-4d23-8572-f5fd5d7fcdd0,c2,c5,27,?,?,surb={'id': '5f63d75d-8563-4596-872c-63b26400aafe', 'route': ['p2', 'e6', 'i9', 'x3', 'p2', 'c2']}
1769391962.2938385,SENT,131f7d2a-d0de-4dea-ad88-2f047fcc7dc2,c80429dc-9a96-4c9e-a7aa-61280f93f3f1,c2,c5,3363,?,p2,
1769391962.2943413,CREATED,c6b146c7-bcb4-4de8-9bd8-86061cd80edb,96e0bb4a-c771-419e-ae22-f33d2ecea3d4,c2,c5,27,?,?,surb={'id': '8249c341-b1f9-40a0-af68-98aca5a31fc7', 'route': ['p2', 'e10', 'i2', 'x4', 'p2', 'c2']}
1769391962.6199348,RECEIVED,33540f7d-c996-45f8-916e-ef09ef238d01,5cbc7d71-94b3-4f14-8209-1494f542eb43,c4,c2,27,p2,?,surb={'id': '6a19bcc8-a86b-4821-aa14-0946d7daae4b', 'route': ['p2', 'e3', 'i11', 'x12', 'p1', 'c4']}
1769391962.8166435,SENT,31ae763a-c4c1-473b-b360-a65478c46c3b,7b5ca634-d126-4cfa-b7d0-b1aa07ca7d07,c2,c5,3392,?,p2,
1769391962.8167894,CREATED,a0f7db99-0940-4f20-bf1a-8d38b3578ca9,e80711e4-e117-41d9-bd8a-f2937ca029f4,c2,c5,27,?,?,surb={'id': 'bab83591-ea54-4d97-8a56-d9852f8712ed', 'route': ['p2', 'e5', 'i5', 'x11', 'p2', 'c2']}
1769391963.0504353,SENT,5343764e-9a30-4b40-8ddb-772dcb7d3590,fd5171f5-d261-47ab-998a-0de8204eb0df,c2,c5,3413,?,p2,
1769391963.0505815,CREATED,f9a51982-d708-4fc2-92ae-18d8ca9de0e6,c2780a6f-f874-41f8-8446-eea914731613,c2,c5,27,?,?,surb={'id': '8a82714c-1617-4a3a-8e9a-828c7248071c', 'route': ['p2', 'e10', 'i3', 'x3', 'p2', 'c2']}
1769391963.6193311,SENT,1243ccd3-cd9d-436d-802c-1bd0f2d1ac97,9ea5791b-350b-450a-b7da-9fccf32bdefb,c2,c5,3355,?,p2,
1769391963.6194785,CREATED,a5ede3bc-8702-4683-b775-eb1dd029d692,35ea87a0-e417-485f-abbd-89ec6aa46d17,c2,c5,27,?,?,surb={'id': '6dabeee5-8b6e-4de7-b00e-394dd82bbfb3', 'route': ['p2', 'e3', 'i9', 'x9', 'p2', 'c2']}
1769391963.8041005,SENT,c6a263b3-ba33-45b7-adab-e76034b51848,3f698c98-5f37-426c-bf20-3a270f88b54a,c2,c5,3380,?,p2,
1769391963.8042557,CREATED,a2a512dc-268e-4a85-a922-2cce64b7f4ca,44422ddd-9961-4901-b41f-d41a83835e32,c2,c5,27,?,?,surb={'id': '4b241d48-755b-41c4-b941-753e34857557', 'route': ['p2', 'e1', 'i3', 'x11', 'p2', 'c2']}
1769391964.0355601,SENT,2b10c09c-15e2-4be4-bb68-d677b09e1946,6b5172ed-6c02-46a5-a560-e3a17525c090,c2,c5,3381,?,p2,
1769391964.0357127,CREATED,294c2f59-dfc0-422f-9b89-8fb68dcf72b6,a6271ba8-8bcb-4a8c-bad3-b7a05f102320,c2,c5,27,?,?,surb={'id': '5014da64-8b72-4143-b9fa-4a77e826a9d3', 'route': ['p2', 'e4', 'i8', 'x7', 'p2', 'c2']}
1769391964.193772,SENT,05ec2b29-aec1-40a5-8ffc-b8089e182e1d,7870983b-0fe0-4004-9564-9d904d5761c3,c2,c5,3387,?,p2,
1769391964.1939225,CREATED,757a02d7-5af8-405c-874d-e0241812cfbd,d58fadce-722b-4d5d-93e6-5e02bae5135f,c2,c5,26,?,?,surb={'id': 'f556320f-c561-4b8f-921e-6c10d9925616', 'route': ['p2', 'e5', 'i1', 'x4', 'p2', 'c2']}
1769391964.3291008,SENT,f7e2e047-5c92-4286-aabe-3299c22d0092,983a5800-668a-48b4-8c8b-aba9a18291fb,c2,c5,3388,?,p2,
1769391964.3291638,CREATED,02bc03b6-1835-4970-9d63-07941f864715,639fe716-2e66-477f-9771-914aafe7c0fd,c2,c5,27,?,?,surb={'id': '3d47475e-fd73-4f47-b550-df1963a7e725', 'route': ['p2', 'e4', 'i9', 'x9', 'p2', 'c2']}
1769391964.4621146,RECEIVED,32d8c101-884b-478e-ba23-5e902d718df7,af51c455-d2a8-4f57-9ea7-30c7d270e5c5,c4,c2,27,p2,?,surb={'id': 'b8088039-a68b-433a-a9bb-5c48ada578db', 'route': ['p2', 'e6', 'i2', 'x7', 'p1', 'c4']}
1769391964.6495888,RECEIVED,975a03bd-14f7-400e-903a-23650cc279b3,17872295-0871-4222-9465-9be7a88c2a15,c4,c2,27,p2,?,surb={'id': '569a7972-3391-4b05-8b7d-f08e9f7b5f82', 'route': ['p2', 'e3', 'i12', 'x1', 'p1', 'c4']}
1769391964.7293627,SENT,d72c78be-4cff-4ecd-8a8c-78b163e8b621,6a3f26e4-c3a9-4cda-8172-4764fa40f35b,c2,c5,3378,?,p2,
1769391964.7294388,CREATED,2da2f8bb-842c-427d-a2ba-bc61ae97fce9,a2ceb25b-0cad-4568-83ab-291fe5a1d961,c2,c5,27,?,?,surb={'id': 'de6e0962-8837-4d6d-8d70-2b94b272fd9e', 'route': ['p2', 'e11', 'i4', 'x7', 'p2', 'c2']}
1769391965.0418048,SENT,d52a6a1e-d2f9-4af1-a267-21a16220dea4,6696f69a-1a28-4ea2-b500-2797426d56b0,c2,c5,3396,?,p2,
1769391965.0419493,CREATED,e03f1b39-36e6-4e84-8ce5-960e85cb5aea,8fc929a6-418f-4634-a25d-0758bab5e74b,c2,c5,27,?,?,surb={'id': '1bdf25ca-d5e1-4c85-9bf2-02b031abb39c', 'route': ['p2', 'e6', 'i12', 'x12', 'p2', 'c2']}
1769391965.17101,RECEIVED,72a5d8e8-3e61-48b1-89a3-f6cb30350588,4b89c9a8-ca9f-413b-a9c3-b33cdc001ec8,c4,c2,27,p2,?,surb={'id': '48bdb9c7-3ec6-4491-86aa-1bdcbc37aada', 'route': ['p2', 'e12', 'i1', 'x9', 'p1', 'c4']}
1769391965.7765136,SENT,fc7aa346-0498-427d-87ad-2185171740e2,c9fdaac9-d8cc-4d2a-aad1-0799bbb30d02,c2,c5,3376,?,p2,
1769391965.7766602,CREATED,e008f351-42e2-4fc3-bb8a-64aa6592b1d9,1d01438a-5157-4b83-9b69-b7268b8c8a3b,c2,c5,27,?,?,surb={'id': '3b853fed-a324-4e2a-ab2e-a7f4cc5a950e', 'route': ['p2', 'e4', 'i1', 'x7', 'p2', 'c2']}
1769391965.8455982,SENT,7bc128b1-cfa0-4d91-95e5-ce09be165656,819b99ee-b256-4495-9973-e02357d71418,c2,c5,3398,?,p2,
1769391965.8457458,CREATED,7176e6a6-e192-481e-8273-bdf1ca223c53,4183f8cc-8c31-4f5c-9a29-252246d8d8a2,c2,c5,27,?,?,surb={'id': '6be63089-4e12-4b5e-b728-04a8934ae071', 'route': ['p2', 'e8', 'i2', 'x11', 'p2', 'c2']}
1769391965.937388,RECEIVED,4b10dff2-3de4-47c8-9cae-ef754c0cc596,56bd59b4-efa2-4e66-acd3-81cca1df5f2c,c4,c2,26,p2,?,surb={'id': '0a6a5d26-d576-48af-9e8b-8c34e7ae3501', 'route': ['p2', 'e9', 'i6', 'x8', 'p1', 'c4']}
1769391966.1621966,RECEIVED,5b2166a3-c13f-4ccc-8c7e-d696974ec714,8000d678-52da-47cf-b8a1-d506b6180d48,c4,c2,27,p2,?,surb={'id': '87447d7c-f6da-4cb5-9084-65ebfa885338', 'route': ['p2', 'e2', 'i11', 'x2', 'p1', 'c4']}
1769391966.1737862,RECEIVED,24443cf2-eed4-44ad-8c71-aa16b8274872,a9c0563f-5275-4a73-9dbf-3774d73bf5d6,c4,c2,27,p2,?,surb={'id': '6080d7ee-9a81-4e35-8aba-3c64f7a076af', 'route': ['p2', 'e12', 'i1', 'x7', 'p1', 'c4']}
1769391966.2613606,SENT,7d8b1808-3514-4ccb-a863-9a7d7f201b09,71e5787c-2084-497c-aa18-4102a986d3b9,c2,c5,3395,?,p2,
1769391966.2615032,CREATED,90bf3e97-63bb-438d-916c-a6d37fbd3f57,970ddc08-ffa9-42e9-86fc-45d2acdd9045,c2,c5,27,?,?,surb={'id': 'd4a230c6-7c2c-46d7-b45a-452d510703f7', 'route': ['p2', 'e10', 'i10', 'x9', 'p2', 'c2']}
1769391966.3318377,SENT,6f702e22-1b74-4c77-96d6-8e511450bb1f,09c09907-df32-49d2-9efd-01969da21535,c2,c5,3385,?,p2,
