timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769391958.3341534,RECEIVED,7b0f2533-d680-44fd-9bcb-45787efb924f,a6deae48-2a91-4276-a30a-7bed055717b8,c1,c5,27,p2,?,surb={'id': '36ae478a-038e-4ce9-aee5-a0fcf1fbdbf3', 'route': ['p2', 'e12', 'i5', 'x4', 'p1', 'c1']}
1769391958.3463976,SENT,148f5d7d-2e91-48d6-b933-181ee30ca394,044f0224-a570-4069-863f-dfae0cadd63b,c5,c4,3375,?,p2,
1769391958.3465466,CREATED,5005bf2e-51d8-416b-b71d-c0be1184c4b8,2fbc425a-3969-442c-ac2a-ea152c434e26,c5,c4,27,?,?,surb={'id': '912d73a3-3f2b-4102-8305-707068361e39', 'route': ['p1', 'e2', 'i7', 'x9', 'p2', 'c5']}
1769391958.4414387,RECEIVED,3fdee8b4-49f3-416a-ae3d-bfadcb2ba300,749c8cfc-b27a-4c8f-b5e0-f9ab3321305b,c1,c5,26,p2,?,surb={'id': '2716b380-19b0-4bee-9ddd-4944a43696c8', 'route': ['p2', 'e2', 'i2', 'x8', 'p1', 'c1']}
1769391958.4514399,RECEIVED,5f775d90-6aec-481a-a529-2b377cff3815,08e861e6-d308-4958-b2a5-c1e738083ad5,c1,c5,26,p2,?,surb={'id': '4404f653-e3af-4ffb-9ce7-c06a77f1a3e1', 'route': ['p2', 'e8', 'i8', 'x11', 'p1', 'c1']}
1769391958.4645128,RECEIVED,c3c344ea-227e-4438-90b1-a786526a3dae,56d0f652-8610-462e-92aa-822e1c2031d8,c2,c5,25,p2,?,surb={'id': 'a9e538d6-2a9e-4268-a0cb-595435817742', 'route': ['p2', 'e4', 'i2', 'x11', 'p2', 'c2']}
1769391958.6032794,RECEIVED,a41621dc-0d4e-488b-aed2-d487787618bd,5e81ed77-05a8-4879-b1d5-3057bc0126e1,c2,c5,26,p2,?,surb={'id': '92b60c3a-cf10-48e0-bf59-3d48592d5d72', 'route': ['p2', 'e1', 'i12', 'x10', 'p2', 'c2']}
1769391958.626585,SENT,8456e1e3-65a4-4003-b055-64a25f81a79c,b35a15af-2075-43c8-bdf4-e7ba8783d655,c5,c4,3375,?,p2,
1769391958.6267319,CREATED,b8dc0ad1-be51-405e-a0f9-f91b6982ee57,4e297e20-e024-41ca-922f-0f114584ec50,c5,c4,27,?,?,surb={'id': 'ec182f92-dd36-4ca3-8c79-594faccb8ada', 'route': ['p1', 'e7', 'i9', 'x12', 'p2', 'c5']}
1769391958.919307,RECEIVED,4fb55d33-7daf-44e2-9eba-91814667a260,ec74c38d-ccfa-45ef-ad42-ab476c40e59e,c2,c5,27,p2,?,surb={'id': '114de185-55ac-4172-bc45-67eaf3095812', 'route': ['p2', 'e9', 'i8', 'x10', 'p2', 'c2']}
1769391959.1943414,RECEIVED,2dc42145-f278-4c52-80d6-8f56ce7d1b5b,916214f0-2bb5-4072-ac23-52435e470c4e,c1,c5,27,p2,?,surb={'id': 'a4c48e6e-aaa7-45f8-9fa7-0449a68e5d74', 'route': ['p2', 'e11', 'i9', 'x12', 'p1', 'c1']}
1769391959.4548044,SENT,ae3a729f-3bd4-43d8-ae0a-9e8f56803bae,b0935c5b-3cc4-432d-a744-c40d2753b210,c5,c4,3367,?,p2,
1769391959.4549503,CREATED,a7b21993-9ecf-40b9-b3dc-d43af6e6d883,f9681364-d5d4-49ac-81c9-c2eeff3020f2,c5,c4,27,?,?,surb={'id': 'aafd5819-71f7-4374-a14a-b77bbef831fa', 'route': ['p1', 'e9', 'i4', 'x3', 'p2', 'c5']}
1769391959.6447449,RECEIVED,6d42c699-a9c4-40f5-b568-cfa5aa375e64,740a91d3-d76d-491c-8247-87da29bf3157,c1,c5,26,p2,?,surb={'id': '337cc276-0782-4e7e-bb3e-627b16b0f666', 'route': ['p2', 'e3', 'i12', 'x11', 'p1', 'c1']}
1769391959.6713836,RECEIVED,1a95e2eb-0150-4c45-af12-80edba37039a,79e41371-74ec-4961-b6de-bd39172d8cc6,c1,c5,27,p2,?,surb={'id': '928e3326-d068-4646-867c-53d3f2731dc5', 'route': ['p2', 'e2', 'i5', 'x8', 'p1', 'c1']}
1769391959.7774959,SENT,f2c4ec11-3550-4a5b-976b-f925b1084b11,601c4fcb-4410-4d74-9efc-64073fd656a1,c5,c4,3375,?,p2,
