timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769762727.7233455,SENT,10603df6-8c5e-4b7a-b21e-ef93384bee74,4237d1ab-1450-4141-b8fa-cedc5b59f8fe,c3,c2,3371,?,p3,
1769762727.7234788,CREATED,45d6aed0-c283-450a-907f-4375b3c77380,c1055ed2-48f5-4c09-bd22-2a20e8671df9,c3,c2,27,?,?,surb={'id': '9af10733-abb5-4533-947d-7ed64a7bb78f', 'route': ['p2', 'e11', 'i4', 'x4', 'p3', 'c3']}
1769762727.8080034,RECEIVED,e836c59f-5d78-4c61-abcd-85d619c34257,a267e001-0323-4ce1-9516-46cbdc1c498f,c2,c3,27,p3,?,surb={'id': '7b067691-a101-4ac0-8cb0-63b5e138f843', 'route': ['p3', 'e3', 'i10', 'x8', 'p2', 'c2']}
1769762728.0117638,RECEIVED,292cb59c-cce9-44b5-9fd8-898a509a7a89,a267e001-0323-4ce1-9516-46cbdc1c498f,c2,c3,27,p3,?,surb={'id': '7b067691-a101-4ac0-8cb0-63b5e138f843', 'route': ['p3', 'e3', 'i10', 'x8', 'p2', 'c2']}
1769762728.114274,RECEIVED,5941a6ec-3070-4def-b72b-460a3c32d10d,147a1a76-4aa2-4d8d-8cc9-39c6d4eae77c,c2,c3,27,p3,?,surb={'id': 'd8262587-f142-4d91-9543-44069325203d', 'route': ['p3', 'e8', 'i2', 'x2', 'p2', 'c2']}
1769762728.130841,SENT,c6141a71-50ac-4b47-92e0-ba3067c5b178,40bfd6ab-a2d2-40e4-8b0e-552c11232ff8,c3,c2,3380,?,p3,
1769762728.1310096,CREATED,2df3083c-691a-4236-92cd-5e26e542b8f3,327596c2-7915-4296-bdec-9f9e823bcd1b,c3,c2,26,?,?,surb={'id': 'cd2fe557-b811-48e6-9ddb-5ae12f4c64c4', 'route': ['p2', 'e11', 'i1', 'x3', 'p3', 'c3']}
1769762728.161717,RECEIVED,6b19cec6-155c-46df-ba21-1cc039db8a47,307d8ad6-b7c7-4efd-8f70-319b41219ecd,c2,c3,26,p3,?,surb={'id': '727b3864-5a8a-4803-ae83-2799d650d388', 'route': ['p3', 'e12', 'i5', 'x9', 'p2', 'c2']}
1769762728.1656446,SENT,e659f536-1b83-40d2-8c59-779d24c8e9d5,ce2e245e-72d6-4fab-9540-6b7d68c7049b,c3,c2,3369,?,p3,
1769762728.1657822,CREATED,f4733729-d225-426c-92be-e798d81e4211,327596c2-7915-4296-bdec-9f9e823bcd1b,c3,c2,26,?,?,surb={'id': 'cd2fe557-b811-48e6-9ddb-5ae12f4c64c4', 'route': ['p2', 'e11', 'i1', 'x3', 'p3', 'c3']}
1769762728.3306804,RECEIVED,bc72801c-6ad7-4ee7-933b-2873a1e89ac3,94d3671c-ae4e-4014-8002-b83950790d15,c2,c3,27,p3,?,surb={'id': '524d851f-fc86-4983-9b13-fe019cba0b66', 'route': ['p3', 'e1', 'i3', 'x3', 'p2', 'c2']}
1769762728.554903,RECEIVED,b8a3d39d-ce69-46b2-850b-8e9cfbd98b73,307d8ad6-b7c7-4efd-8f70-319b41219ecd,c2,c3,26,p3,?,surb={'id': '727b3864-5a8a-4803-ae83-2799d650d388', 'route': ['p3', 'e12', 'i5', 'x9', 'p2', 'c2']}
1769762728.9833589,SENT,20add1aa-e383-4135-886d-47a0fd106d30,08b0d5e4-0314-4429-9ff3-43684fe8cddc,c3,c2,3377,?,p3,
1769762728.9834955,CREATED,45e02c2f-0b77-4410-8a08-c01bdcc3fae1,30a75ebc-35f6-43a9-bc22-2876e5e979ce,c3,c2,26,?,?,surb={'id': 'f3d15aea-4a8d-4064-a769-9b677d8650c5', 'route': ['p2', 'e7', 'i1', 'x8', 'p3', 'c3']}
1769762729.0052423,SENT,80d6c497-b59c-43e2-866a-e25f1ed7bd0c,0c49e130-0831-482b-a546-101b04e6a433,c3,c2,3376,?,p3,
1769762729.0053775,CREATED,402161ff-249d-452e-ae38-d1c6e871d96e,30a75ebc-35f6-43a9-bc22-2876e5e979ce,c3,c2,26,?,?,surb={'id': 'f3d15aea-4a8d-4064-a769-9b677d8650c5', 'route': ['p2', 'e7', 'i1', 'x8', 'p3', 'c3']}
1769762729.1956127,RECEIVED,e36d22fd-800b-46f2-8d07-ebbcebd5798d,147a1a76-4aa2-4d8d-8cc9-39c6d4eae77c,c2,c3,27,p3,?,surb={'id': 'd8262587-f142-4d91-9543-44069325203d', 'route': ['p3', 'e8', 'i2', 'x2', 'p2', 'c2']}
1769762729.2367353,SENT,8d6d7a46-27eb-473e-ac0b-70a8cf799c13,e4342a27-5219-4296-8779-e68e1a9cc08a,c3,c2,3384,?,p3,
1769762729.2368686,CREATED,45d5e51a-009c-4fdf-a2f4-1e2cd95f4beb,a14be582-a377-4513-aa9b-686dc9c070d8,c3,c2,26,?,?,surb={'id': '2333bb71-77c5-440e-93c6-2aedd5a885da', 'route': ['p2', 'e11', 'i1', 'x3', 'p3', 'c3']}
1769762729.365371,RECEIVED,7efaf9f5-d4ab-4bf8-8982-1cd415774651,6490d329-fe5d-4f64-8615-d506d680b207,c2,c3,26,p3,?,surb={'id': '318cebfc-6406-4dd4-99c0-1fe2f67fba3d', 'route': ['p3', 'e6', 'i9', 'x4', 'p2', 'c2']}
1769762729.6857295,RECEIVED,22db4f53-24f3-46a7-9ba2-316904c30b87,94d3671c-ae4e-4014-8002-b83950790d15,c2,c3,27,p3,?,surb={'id': '524d851f-fc86-4983-9b13-fe019cba0b66', 'route': ['p3', 'e1', 'i3', 'x3', 'p2', 'c2']}
1769762730.0282526,SENT,892cd7c4-3a59-4628-ae05-f9b5f54856da,e282b450-243c-4256-b325-fcf99be6951c,c3,c2,3378,?,p3,
1769762730.0283968,CREATED,55569ab4-fac5-416c-b618-47f9f08dfa65,a14be582-a377-4513-aa9b-686dc9c070d8,c3,c2,26,?,?,surb={'id': '2333bb71-77c5-440e-93c6-2aedd5a885da', 'route': ['p2', 'e11', 'i1', 'x3', 'p3', 'c3']}
1769762730.1252573,RECEIVED,c921cea1-1432-4d58-81f1-77135dc8bd68,6490d329-fe5d-4f64-8615-d506d680b207,c2,c3,26,p3,?,surb={'id': '318cebfc-6406-4dd4-99c0-1fe2f67fba3d', 'route': ['p3', 'e6', 'i9', 'x4', 'p2', 'c2']}
1769762730.5107558,SENT,24734ce9-3112-44ef-8981-6d5df544c387,f347fb7a-008d-472e-a547-7bd7cb57c3fb,c3,c2,3392,?,p3,
1769762730.5108924,CREATED,743fb2e7-59fe-4fb0-b5a3-f721e4e77479,8dc731e5-fb3d-4a54-949d-921c4025caca,c3,c2,27,?,?,surb={'id': '39226c7a-a8de-4892-9641-6970e8dfb679', 'route': ['p2', 'e11', 'i11', 'x9', 'p3', 'c3']}
1769762730.6570828,SENT,6de4417e-b9e0-4270-8514-7c910301877f,8292b5c4-af52-4ee7-81a7-b99bf6ba1961,c3,c2,3379,?,p3,
1769762730.6572394,CREATED,f22921ed-6fd5-4817-8940-4529d78913a9,8dc731e5-fb3d-4a54-949d-921c4025caca,c3,c2,27,?,?,surb={'id': '39226c7a-a8de-4892-9641-6970e8dfb679', 'route': ['p2', 'e11', 'i11', 'x9', 'p3', 'c3']}
1769762730.7499216,RECEIVED,b401297b-5470-4720-8f09-5ce2d2dba7e6,510cef9e-dc92-4356-b1e6-b8acef3a11d8,c2,c3,27,p3,?,surb={'id': 'a933412a-9927-47e0-a4d2-d898d3bcaeed', 'route': ['p3', 'e1', 'i2', 'x3', 'p2', 'c2']}
1769762730.777511,SENT,2fbf5d66-aca7-4a0b-86b1-916e03e3dc47,c34335d0-4b92-4df6-82d3-ce8478d32129,c3,c2,3399,?,p3,
1769762730.7776458,CREATED,5ccf3d96-9512-4d1d-94c2-f8a79d981b81,2379de6f-05ba-4381-9b25-7047afaff2a5,c3,c2,27,?,?,surb={'id': 'dc888223-a9f3-4b1d-967c-56fd4148a2ab', 'route': ['p2', 'e7', 'i2', 'x11', 'p3', 'c3']}
1769762730.8659494,SENT,ffc106db-f624-4757-8643-bda141b263b4,29e1c2f4-1d60-4255-a941-f3aef28b5738,c3,c2,3379,?,p3,
1769762730.8661153,CREATED,c0becea8-6eeb-4403-bce6-6135f32ee961,2379de6f-05ba-4381-9b25-7047afaff2a5,c3,c2,27,?,?,surb={'id': 'dc888223-a9f3-4b1d-967c-56fd4148a2ab', 'route': ['p2', 'e7', 'i2', 'x11', 'p3', 'c3']}
1769762730.9698913,RECEIVED,9b01b2cc-dcf4-4d57-82ab-af23d776e5f9,510cef9e-dc92-4356-b1e6-b8acef3a11d8,c2,c3,27,p3,?,surb={'id': 'a933412a-9927-47e0-a4d2-d898d3bcaeed', 'route': ['p3', 'e1', 'i2', 'x3', 'p2', 'c2']}
1769762731.0968437,RECEIVED,e7c74f55-b97c-434c-bedd-edf3ea745b6e,3ae718d1-0cd1-45ac-a37d-f1d76f8d5625,c2,c3,27,p3,?,surb={'id': '651fc4ca-0539-4f02-8205-14a9621eb335', 'route': ['p3', 'e10', 'i9', 'x10', 'p2', 'c2']}
1769762731.6401877,SENT,424e9da4-2483-4e52-9658-2f6c1468d431,b7c7b627-f225-412c-9384-3ceddf033082,c3,c2,3359,?,p3,
1769762731.6403356,CREATED,19ac42ca-2c9d-44ac-8b5c-5bfa723bb0e1,ad63eddc-695d-4e09-b6d4-2230ca9b151c,c3,c2,27,?,?,surb={'id': 'b0631671-e0b2-4e34-9b18-b2fcd6cac164', 'route': ['p2', 'e5', 'i5', 'x10', 'p3', 'c3']}
1769762731.6714761,SENT,ab52dbc3-2efa-4e27-8aa2-5c59279e75d6,78196d8d-f49a-490b-94fb-c3ccda269610,c3,c2,3391,?,p3,
