timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769458074.3729508,RECEIVED,e01773d9-175f-45a6-b647-ad8b3a39cec3,cfcf5737-5517-4c66-8afe-9cd660810ffc,c4,c1,27,p1,?,surb={'id': 'ced38bd5-fbe2-4228-b77b-76e3b5760169', 'route': ['p1', 'e10', 'i2', 'x8', 'p1', 'c4']}
1769458074.4066982,RECEIVED,5b96defe-b6bb-424a-9e76-4a3fce79c4ea,1e70642e-1d80-4fa1-848e-52477caff633,c4,c1,27,p1,?,surb={'id': '9b5a82e8-421d-448a-8896-b6a2e7aacacf', 'route': ['p1', 'e11', 'i4', 'x6', 'p1', 'c4']}
1769458074.6347122,RECEIVED,5d64044a-2125-4c84-b5fd-d38e6b033f24,7c48de41-3865-42bc-aced-f0fcca8711fd,c2,c1,26,p1,?,surb={'id': '9190a0c4-6190-4609-8d9b-168c27f3c226', 'route': ['p1', 'e6', 'i2', 'x3', 'p2', 'c2']}
1769458074.6443903,SENT,d16546e9-2241-4095-a6e1-c282020d17a1,2b41c500-f94d-41aa-a6e8-2873438891f0,c1,c5,3366,?,p1,
1769458074.6445396,CREATED,a04e4f3f-c47a-4a9a-af83-fd6657377b87,6860957e-36d5-465d-8156-cfd874d9f74f,c1,c5,26,?,?,surb={'id': '65812ca2-229d-4a84-aa40-ce30ae681bbe', 'route': ['p2', 'e9', 'i1', 'x11', 'p1', 'c1']}
1769458074.6598866,RECEIVED,446a0e3d-3b1b-4d67-a2bc-306bbc819cd9,1ceff7dd-b03e-49a0-9be3-90414bd5fabd,c2,c1,25,p1,?,surb={'id': '14fb53e1-585f-4fb6-9669-12f2d1ce7fee', 'route': ['p1', 'e10', 'i6', 'x2', 'p2', 'c2']}
1769458074.8393788,RECEIVED,e44acf91-f132-46be-a595-8a6fc69d0c24,23cb0640-290a-4285-8045-0f5b38fb36a0,c2,c1,27,p1,?,surb={'id': 'e71e8c64-5513-4508-8e36-ae85bd5a45a9', 'route': ['p1', 'e11', 'i7', 'x3', 'p2', 'c2']}
1769458074.8891597,RECEIVED,8825d550-256c-4a11-be02-63225fb5d569,fc5e6639-bd56-4cae-8945-ac0e8fabf659,c2,c1,27,p1,?,surb={'id': 'dd44f074-e726-4e3d-9f47-20b1c8104cb8', 'route': ['p1', 'e6', 'i3', 'x10', 'p2', 'c2']}
1769458074.979314,RECEIVED,cd7e4d31-99fc-4e71-9af9-0be9174e84a3,7ba1e4a9-96f5-4985-8e4a-74e26d2c9a1d,c2,c1,27,p1,?,surb={'id': 'fc7829f1-f491-4e01-969d-2db52470475e', 'route': ['p1', 'e4', 'i7', 'x3', 'p2', 'c2']}
1769458075.4615424,RECEIVED,95dea93f-d9d1-4cbd-bd63-d1efe95492a1,c32af9f0-5d12-488d-a773-d31e5750e8cc,c4,c1,27,p1,?,surb={'id': 'ec82adec-e70f-49c1-b545-db0836b31a30', 'route': ['p1', 'e2', 'i1', 'x11', 'p1', 'c4']}
1769458075.5633805,SENT,52ce3d97-8653-42d2-b844-0e4204524fc3,9a05193b-8171-4a9b-978c-7fd9120252bc,c1,c5,3379,?,p1,
1769458075.563529,CREATED,30937474-1112-4c01-9190-45ff4f11ccb0,aeb905d5-dfd3-4565-8775-a386a3dbbd09,c1,c5,27,?,?,surb={'id': 'f3f9e30c-7320-44c6-947a-86e09cd8f2ca', 'route': ['p2', 'e3', 'i7', 'x8', 'p1', 'c1']}
1769458076.0654526,SENT,ad7773f8-229c-47da-8e22-438e321121e0,56dbdfda-7c21-47be-afc6-864df3325396,c1,c5,3384,?,p1,
1769458076.0656233,CREATED,12ac0e19-6108-4726-b77c-e2e8b8ad9689,1c1f764a-0ef8-49cf-96a9-63e1a934ce76,c1,c5,27,?,?,surb={'id': '5f7c399e-42f8-48f4-90f1-5d06d35e62e7', 'route': ['p2', 'e9', 'i9', 'x4', 'p1', 'c1']}
1769458076.2014556,RECEIVED,4f60ab20-4857-4107-ade6-fa7c8f4be5bd,cda7077f-14af-418e-a9c4-54a74c23f81c,c2,c1,27,p1,?,surb={'id': '3c2b1afe-ba35-4965-921f-d5c889bf8b60', 'route': ['p1', 'e12', 'i9', 'x1', 'p2', 'c2']}
