timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769759024.1018567,SENT,b6433a9e-6082-4989-b3e6-b022e1cfc0d0,e11309e6-caf9-471b-943f-f2f36b0eadbc,c5,c3,3400,?,p2,
1769759024.1019928,CREATED,da0a7734-c6a0-4915-9485-4bd3568439c3,d51f7af5-fdf4-429d-a50a-761094844afd,c5,c3,27,?,?,surb={'id': '4ae80c57-ebb7-4ced-ac84-7183ae11e35b', 'route': ['p3', 'e1', 'i11', 'x9', 'p2', 'c5']}
1769759024.2073808,SENT,c8bed662-3123-4f41-967b-0365da384b7a,6ac635cb-b1ff-45fe-b1d8-7afe7b982d6a,c5,c3,3380,?,p2,
1769759024.2075126,CREATED,69682033-d341-408f-a0b3-ec6cf5d8c9d1,d51f7af5-fdf4-429d-a50a-761094844afd,c5,c3,27,?,?,surb={'id': '4ae80c57-ebb7-4ced-ac84-7183ae11e35b', 'route': ['p3', 'e1', 'i11', 'x9', 'p2', 'c5']}
1769759024.3377912,RECEIVED,97891970-4987-46dc-a60f-60b84a8f7448,b0dd6d40-4a2f-4d53-b939-3ead700f4ad2,c3,c5,27,p2,?,surb={'id': '77372b62-7467-4258-83b7-2ee629beda53', 'route': ['p2', 'e7', 'i3', 'x2', 'p3', 'c3']}
1769759024.35833,RECEIVED,b7a2ff4c-4f13-4592-806d-df2418ab164a,5a7636cf-3b6b-4f6e-870c-4fad8925ca84,c1,c5,26,p2,?,surb={'id': '59e1191f-b91d-433d-837a-72d0bcca1392', 'route': ['p2', 'e5', 'i5', 'x10', 'p1', 'c1']}
1769759024.473695,SENT,cd9f9b92-afa4-49e4-8c7d-60072c4b5e80,49ed93ed-27e1-4499-ae34-37883364762b,c5,c3,3373,?,p2,
1769759024.4738524,CREATED,ce7d1373-758e-4d03-9202-49f04c9b6a36,657be077-f4f4-469d-9eb8-e9d2aa046563,c5,c3,27,?,?,surb={'id': 'd5c6d15b-4493-4082-8681-8ac55eaa1633', 'route': ['p3', 'e10', 'i7', 'x3', 'p2', 'c5']}
1769759024.4847505,RECEIVED,8ee90194-52bb-4ab2-82e0-d744b2071a8b,a379486f-d4e7-4da3-b0da-5f43d753a741,c1,c5,27,p2,?,surb={'id': '463bc359-7099-430c-ae0a-8d802747af9b', 'route': ['p2', 'e8', 'i6', 'x9', 'p1', 'c1']}
1769759024.6000893,RECEIVED,27ad2cd5-4402-4bd8-84c8-dfd4c9a92203,0e5496cb-53d7-468b-a8d0-ceaa5938ef3e,c1,c5,27,p2,?,surb={'id': '8921d29a-295a-4fc4-8674-67b4bfecf366', 'route': ['p2', 'e5', 'i4', 'x7', 'p1', 'c1']}
1769759024.6132224,RECEIVED,17aa0b5a-837f-4085-bd0d-4dc6b8a20056,0e534da6-0834-491c-b594-636709fd9e53,c1,c5,27,p2,?,surb={'id': '2d11ff0f-3853-4e69-bac4-77a3d359caff', 'route': ['p2', 'e6', 'i11', 'x4', 'p1', 'c1']}
