timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769475340.9563694,SENT,67988f97-88a1-4bb4-be03-0d3716bddcf0,1db99a93-1351-441f-b9f3-e6265efbb0e3,c2,c3,3393,?,p2,
1769475340.9565587,CREATED,3fcf5a6e-ded9-4db0-b9c7-49b92679a1cd,50285213-8073-45b5-b6b2-1c52271f5089,c2,c3,27,?,?,surb={'id': '641c8d27-1ed8-4915-b3f7-e575bbe21e8d', 'route': ['p3', 'e10', 'i7', 'x4', 'p2', 'c2']}
1769475341.8002021,CREATED,6c01f5e2-9cf3-42c9-91d7-74a75c7286e9,1a946a89-ca96-4ed4-a680-8e3315ecd815,c2,c3,27,?,?,surb={'id': '98df76b8-a246-4e85-8753-911aa1444680', 'route': ['p3', 'e8', 'i6', 'x11', 'p2', 'c2']}
1769475342.0752919,RECEIVED,11bfce09-7265-461e-8209-2ba9ac74920f,21c983ad-d45a-49f1-88a1-54058d45df7f,c3,c2,27,p2,?,surb={'id': '5b7b0179-c774-4631-85a6-28640fd570c8', 'route': ['p2', 'e10', 'i10', 'x10', 'p3', 'c3']}
1769475342.0981672,SENT,67ed9da9-fb68-4c01-8d15-d15085aa198c,01febb33-cddc-4bf3-a2ee-11bb27a7aa82,c2,c3,3396,?,p2,
1769475342.098343,CREATED,274686e1-f619-4b27-b82e-1e45e02de537,54510e3e-d7e8-4385-bb1b-a64356694a8b,c2,c3,27,?,?,surb={'id': '82d651de-26d4-4b87-9654-240addda4f31', 'route': ['p3', 'e5', 'i8', 'x11', 'p2', 'c2']}
1769475342.412655,RECEIVED,e66962c3-fe4f-4cad-b996-d81950b70562,23d83d24-2430-4d63-94d4-ab20f5295e3d,c3,c2,27,p2,?,surb={'id': '5cd3cbd4-389e-4596-96db-38e625821d93', 'route': ['p2', 'e12', 'i12', 'x7', 'p3', 'c3']}
1769475342.5399566,RECEIVED,f8591896-3ec0-42f3-87e9-b02f79cc035e,2651718e-620b-434b-917f-cba75463f7ff,c3,c2,27,p2,?,surb={'id': '275cfb35-6cb4-467b-957e-938939195348', 'route': ['p2', 'e7', 'i6', 'x2', 'p3', 'c3']}
1769475342.62458,RECEIVED,8710b510-8860-4918-b2f3-b751f28cd4bf,0c17e642-ba45-498d-863c-626951625e37,c3,c2,27,p2,?,surb={'id': 'cda8ed9a-01df-454c-b6bd-ced32eb7830c', 'route': ['p2', 'e9', 'i5', 'x3', 'p3', 'c3']}
1769475342.7112038,SENT,00e0ca5e-4985-42ab-b0b2-e5034c4ca287,dc2ed7d5-ee2f-4724-8649-a79110c61dab,c2,c3,3360,?,p2,
1769475342.7113764,CREATED,e4aaa837-004c-4c55-a5f9-f41f3d8cae1b,54510e3e-d7e8-4385-bb1b-a64356694a8b,c2,c3,27,?,?,surb={'id': '82d651de-26d4-4b87-9654-240addda4f31', 'route': ['p3', 'e5', 'i8', 'x11', 'p2', 'c2']}
1769475342.9374382,SENT,37df8d3e-30b2-499a-97f6-9d61815ba092,42dea638-ffcc-4f6b-89f6-80225e573089,c2,c3,3387,?,p2,
1769475342.9375746,CREATED,52d009d7-8a2b-40d6-b9d3-a3d7cca2d33d,db3e89dd-6f2e-4f59-b0fd-39e1751710fb,c2,c3,27,?,?,surb={'id': '39898ae4-2da2-4006-ad38-7f3dd3c4ae20', 'route': ['p3', 'e12', 'i5', 'x6', 'p2', 'c2']}
1769475343.27577,RECEIVED,89a60672-ff0f-4cc2-bdfc-fcbf427dbd9c,21c983ad-d45a-49f1-88a1-54058d45df7f,c3,c2,27,p2,?,surb={'id': '5b7b0179-c774-4631-85a6-28640fd570c8', 'route': ['p2', 'e10', 'i10', 'x10', 'p3', 'c3']}
1769475343.3146973,SENT,9071ae4a-a776-454a-a751-1ac394cd95d3,5cf0bf8f-11fa-44e8-9fbc-c5c7c603dfd5,c2,c3,3379,?,p2,
1769475343.3148465,CREATED,cef2416b-e486-4d77-a78e-55310c8cd881,db3e89dd-6f2e-4f59-b0fd-39e1751710fb,c2,c3,27,?,?,surb={'id': '39898ae4-2da2-4006-ad38-7f3dd3c4ae20', 'route': ['p3', 'e12', 'i5', 'x6', 'p2', 'c2']}
1769475343.3894825,SENT,64021070-71ac-4524-a298-1350e026c8e5,6e21e749-4880-4374-b5e0-239bae97217d,c2,c3,3365,?,p2,
1769475343.3896482,CREATED,e9e65a89-50d6-46f2-989e-4cd9ceeb3f4c,ba8cde20-b111-4711-846c-70f7df0d2491,c2,c3,26,?,?,surb={'id': '20f9e492-dc1d-4d64-b3e9-49e3830db432', 'route': ['p3', 'e11', 'i7', 'x3', 'p2', 'c2']}
1769475343.5841808,RECEIVED,c3c49e06-7ba4-439c-8def-c2f011789c65,0c17e642-ba45-498d-863c-626951625e37,c3,c2,27,p2,?,surb={'id': 'cda8ed9a-01df-454c-b6bd-ced32eb7830c', 'route': ['p2', 'e9', 'i5', 'x3', 'p3', 'c3']}
1769475343.7092,RECEIVED,e796222b-4ceb-48c0-85fc-37d8b2719880,58ed60af-bb57-4cd7-a70b-cb183ed070a8,c3,c2,26,p2,?,surb={'id': '6379926d-5120-4d19-87e5-74846ee6cfc4', 'route': ['p2', 'e6', 'i2', 'x12', 'p3', 'c3']}
1769475344.0661137,RECEIVED,991d7558-a1c0-43da-b7ff-603c23151318,2651718e-620b-434b-917f-cba75463f7ff,c3,c2,27,p2,?,surb={'id': '275cfb35-6cb4-467b-957e-938939195348', 'route': ['p2', 'e7', 'i6', 'x2', 'p3', 'c3']}
1769475344.1863778,SENT,6db71fc4-38ba-4086-9d1f-b0e2009deebc,8bc3062e-89b2-4811-9173-e99248cb9fd4,c2,c3,3393,?,p2,
1769475344.1865315,CREATED,549e6a0a-b4e8-4dc2-9e83-57142092729e,ba8cde20-b111-4711-846c-70f7df0d2491,c2,c3,26,?,?,surb={'id': '20f9e492-dc1d-4d64-b3e9-49e3830db432', 'route': ['p3', 'e11', 'i7', 'x3', 'p2', 'c2']}
1769475344.3755605,RECEIVED,4553b1fb-8e84-40c9-a7ae-328337930cb1,208cca7c-5569-4e8a-87cd-d8284f5a4325,c3,c2,27,p2,?,surb={'id': '9872e8bf-3533-4661-9d39-c288d2336a7d', 'route': ['p2', 'e11', 'i3', 'x1', 'p3', 'c3']}
1769475344.4425452,SENT,6fb36cb9-f5d7-4cc2-8f3d-4dcab3b97f5f,c98e11a6-ef27-4431-982b-7da59402ff0e,c2,c3,3372,?,p2,
1769475344.4427085,CREATED,f63c7057-38dc-4403-95ec-a8bfb44904ff,51f73a8f-cab1-41ae-891c-e5a1424dc615,c2,c3,27,?,?,surb={'id': 'd6cf14b4-4ded-4eba-9b62-fbd8ff8934bf', 'route': ['p3', 'e4', 'i12', 'x2', 'p2', 'c2']}
1769475344.526781,RECEIVED,c1cf1787-ee56-4fb9-bbff-38b5be2d6081,58ed60af-bb57-4cd7-a70b-cb183ed070a8,c3,c2,26,p2,?,surb={'id': '6379926d-5120-4d19-87e5-74846ee6cfc4', 'route': ['p2', 'e6', 'i2', 'x12', 'p3', 'c3']}
1769475345.1758735,SENT,5d3d82a8-b249-4c84-b65c-4e87cf5bccaf,98b4b215-4086-4a61-b140-210e0803704f,c2,c3,3399,?,p2,
1769475345.1760213,CREATED,29a77f09-6101-4c2f-a774-4a3b5f0830ad,51f73a8f-cab1-41ae-891c-e5a1424dc615,c2,c3,27,?,?,surb={'id': 'd6cf14b4-4ded-4eba-9b62-fbd8ff8934bf', 'route': ['p3', 'e4', 'i12', 'x2', 'p2', 'c2']}
1769475345.3126662,RECEIVED,51da4e5c-80b4-431f-abc6-b3b6d6e3a74b,208cca7c-5569-4e8a-87cd-d8284f5a4325,c3,c2,27,p2,?,surb={'id': '9872e8bf-3533-4661-9d39-c288d2336a7d', 'route': ['p2', 'e11', 'i3', 'x1', 'p3', 'c3']}
1769475345.7808795,SENT,145b1aea-7649-4ecf-bcce-c654bec0e056,254de08e-b59a-48d2-9db4-08a6ade94668,c2,c3,3376,?,p2,
1769475345.781026,CREATED,715422d9-bb52-442f-a4ac-f39e310a7ac5,1b384e29-8893-430f-804b-e15a53629ff6,c2,c3,27,?,?,surb={'id': '67b65c60-8648-4d24-bc32-4fdbf797c1ef', 'route': ['p3', 'e8', 'i6', 'x8', 'p2', 'c2']}
1769475345.980518,SENT,f97c0058-7ac8-41f9-8456-f98db10f713c,9fde3f27-8605-4217-b3dc-1951caaf157d,c2,c3,3379,?,p2,
1769475345.9806612,CREATED,0bd5d76a-5238-448d-8210-72714aaec398,1b384e29-8893-430f-804b-e15a53629ff6,c2,c3,27,?,?,surb={'id': '67b65c60-8648-4d24-bc32-4fdbf797c1ef', 'route': ['p3', 'e8', 'i6', 'x8', 'p2', 'c2']}
1769475346.0945878,SENT,ec38fbfd-7bbe-4980-9c1d-da6f7fd9924b,305fcca9-d97f-4536-b3de-2eb0ca8869d1,c2,c3,3370,?,p2,
1769475346.0947332,CREATED,9aa24309-204a-4213-beba-8b8cab5c8a59,5b02883e-03d8-4da0-a1c7-e4eb84dd6930,c2,c3,27,?,?,surb={'id': 'c38a54b7-d789-4ab1-84ab-217807cbfa98', 'route': ['p3', 'e4', 'i7', 'x12', 'p2', 'c2']}
1769475346.5089695,SENT,c6b3bf5a-2061-4cc9-be44-9f6c31ffe1f5,9c131980-ebd0-4ab3-bce3-03d098cabafc,c2,c3,3391,?,p2,
1769475346.5091503,CREATED,79147d9a-8fee-42f0-8c37-017fe63a55a5,5b02883e-03d8-4da0-a1c7-e4eb84dd6930,c2,c3,27,?,?,surb={'id': 'c38a54b7-d789-4ab1-84ab-217807cbfa98', 'route': ['p3', 'e4', 'i7', 'x12', 'p2', 'c2']}
1769475346.858164,SENT,af64c8de-ebbd-4754-85b1-fb77ee43254d,f61f35e2-b6f8-45cd-8bf6-54de46213fd2,c2,c3,3369,?,p2,
1769475346.8586938,CREATED,41902da5-d5d6-4a48-b2e6-943f89564bb8,0a294974-544d-4d09-b716-ac7a0dd1d1a7,c2,c3,27,?,?,surb={'id': 'f619e9dc-6de5-4a7c-bdb4-503de477d574', 'route': ['p3', 'e11', 'i3', 'x3', 'p2', 'c2']}
1769475346.9197593,SENT,73f26e38-7338-45d2-8304-6ff3e00ab444,54f4055a-7b5b-4a53-9536-cc87b4931236,c2,c3,3392,?,p2,
1769475346.9199176,CREATED,648d864d-ca6c-420b-8c05-dcf2c8668242,0a294974-544d-4d09-b716-ac7a0dd1d1a7,c2,c3,27,?,?,surb={'id': 'f619e9dc-6de5-4a7c-bdb4-503de477d574', 'route': ['p3', 'e11', 'i3', 'x3', 'p2', 'c2']}
1769475347.6139343,SENT,87f93693-e320-4537-b43d-24f6bc6228fb,cebab347-be09-4cac-b0c9-d5c4ab7d2bfb,c2,c3,3375,?,p2,
1769475347.6141074,CREATED,caa520ac-4526-4f9b-873f-0438fa10c908,4c35e147-0ebd-4dea-8f2f-4a4671ee74f2,c2,c3,27,?,?,surb={'id': '778b5dcf-f652-4610-a8d3-ffa186d0c2bf', 'route': ['p3', 'e6', 'i3', 'x5', 'p2', 'c2']}
1769475347.6759346,RECEIVED,4ace979b-af6a-4839-9ff1-a296b06e9faa,dc3b2afa-d09c-4412-8163-ffe8d9853439,c3,c2,26,p2,?,surb={'id': '5d7d20ea-ced5-4836-8126-6f0648f8665e', 'route': ['p2', 'e10', 'i2', 'x7', 'p3', 'c3']}
1769475347.7404404,SENT,5910fc26-074b-43c4-a960-3415c7f8508f,25d87fb8-f6ad-434b-92d0-127d2ad96101,c2,c3,3368,?,p2,
1769475347.7405915,CREATED,9119543c-3b4b-4114-bd89-00afd617fec1,4c35e147-0ebd-4dea-8f2f-4a4671ee74f2,c2,c3,27,?,?,surb={'id': '778b5dcf-f652-4610-a8d3-ffa186d0c2bf', 'route': ['p3', 'e6', 'i3', 'x5', 'p2', 'c2']}
1769475347.7649984,RECEIVED,63081127-ed84-4339-8060-9e74913c2928,fb9b37d5-5868-4646-afc1-4dc11b8ed184,c3,c2,27,p2,?,surb={'id': '0fc06294-6023-482a-aede-af1016e418e2', 'route': ['p2', 'e8', 'i3', 'x1', 'p3', 'c3']}
1769475347.8273976,SENT,65e91c53-b03b-4506-86ca-18f80aee8dbf,b5dea310-351b-431f-a928-ad1418084fe4,c2,c3,3404,?,p2,
1769475347.8275476,CREATED,73813e14-4202-4761-9214-1050f7da0291,60411355-dac8-4209-bdfb-5f9de5c32d32,c2,c3,27,?,?,surb={'id': '560b37cf-405b-4b21-9843-10d2d5c54872', 'route': ['p3', 'e3', 'i5', 'x9', 'p2', 'c2']}
1769475347.9691653,RECEIVED,e0b3a52c-9846-4cf6-9cef-6425039255be,fb9b37d5-5868-4646-afc1-4dc11b8ed184,c3,c2,27,p2,?,surb={'id': '0fc06294-6023-482a-aede-af1016e418e2', 'route': ['p2', 'e8', 'i3', 'x1', 'p3', 'c3']}
1769475348.1578386,SENT,554c19d0-640e-468a-8bae-6d22e5be1aab,b2454932-f2e7-42b8-84af-f6b88a0166b7,c2,c3,3387,?,p2,
1769475348.157987,CREATED,2828ae13-c52a-4899-8e65-16718bbe4335,60411355-dac8-4209-bdfb-5f9de5c32d32,c2,c3,27,?,?,surb={'id': '560b37cf-405b-4b21-9843-10d2d5c54872', 'route': ['p3', 'e3', 'i5', 'x9', 'p2', 'c2']}
1769475348.3108907,RECEIVED,63d5d6b8-ff2f-40ec-8555-a094710cefe9,97cdfbd0-997e-4629-a14c-4ee9edab723b,c3,c2,27,p2,?,surb={'id': 'd235e061-acaa-4b11-a9c7-436c4dfd6dc3', 'route': ['p2', 'e12', 'i4', 'x1', 'p3', 'c3']}
1769475348.612544,SENT,55d619b3-5546-4de7-8de3-55a314fb2527,f03246b5-d1f7-43dc-9287-9b2c7c549128,c2,c3,3379,?,p2,
1769475348.612691,CREATED,b68eb347-ca80-4024-9d49-d83694480a72,6774f924-f301-4d11-9cd2-0f0b229810f0,c2,c3,27,?,?,surb={'id': 'c2d68033-8155-454b-a2de-a53e99f0035a', 'route': ['p3', 'e4', 'i4', 'x2', 'p2', 'c2']}
1769475348.920958,SENT,d98b766a-cb06-4c8b-883b-13c39b520e98,d8c5c366-ea43-4fdf-b443-1bc506a79e29,c2,c3,3404,?,p2,
1769475348.9211614,CREATED,9385f317-7c34-477c-8eab-899e0ac6e668,6774f924-f301-4d11-9cd2-0f0b229810f0,c2,c3,27,?,?,surb={'id': 'c2d68033-8155-454b-a2de-a53e99f0035a', 'route': ['p3', 'e4', 'i4', 'x2', 'p2', 'c2']}
1769475349.1273866,SENT,429f1fed-93c1-44e1-a53d-c4e80613d7f4,be721c62-5ae2-4742-bf6c-bc0a968e9b5d,c2,c3,3384,?,p2,
1769475349.1275496,CREATED,e775c96c-0fd0-449d-8661-4e0c390a634e,8ac48d72-9240-47bf-a416-aea33653334d,c2,c3,27,?,?,surb={'id': '0016793b-438f-4a9b-9499-cbb0fea89335', 'route': ['p3', 'e9', 'i10', 'x5', 'p2', 'c2']}
1769475349.5713828,RECEIVED,c1a7c731-f8c5-485a-b43a-0b304eb333ac,bf166bc6-ae72-4cea-8f5d-96061f9cd8e5,c3,c2,27,p2,?,surb={'id': 'b4ca6f53-cf81-4e9d-b175-d67915690ce9', 'route': ['p2', 'e9', 'i5', 'x9', 'p3', 'c3']}
1769475349.6004817,SENT,def26618-05e6-42fc-8279-a997eccdb113,6d3e022e-bdbb-423e-b8b8-2924a62a893b,c2,c3,3389,?,p2,
1769475349.6006272,CREATED,8a1e4e42-5bea-478b-978d-e6b9edbe72e7,8ac48d72-9240-47bf-a416-aea33653334d,c2,c3,27,?,?,surb={'id': '0016793b-438f-4a9b-9499-cbb0fea89335', 'route': ['p3', 'e9', 'i10', 'x5', 'p2', 'c2']}
1769475349.660519,RECEIVED,51229341-9401-4d3f-9309-05bd0cea8783,97cdfbd0-997e-4629-a14c-4ee9edab723b,c3,c2,27,p2,?,surb={'id': 'd235e061-acaa-4b11-a9c7-436c4dfd6dc3', 'route': ['p2', 'e12', 'i4', 'x1', 'p3', 'c3']}
1769475349.7265792,SENT,cd9edb5d-f465-4938-b4c6-01fdb95a9a6a,9bad9124-e7fb-4554-9175-bcc1c5e61907,c2,c3,3393,?,p2,
1769475349.7266798,CREATED,99d3b179-85a1-4d23-8e48-f0979d84eab0,6cba0205-4f6c-4a35-a563-b7c35ca53d15,c2,c3,27,?,?,surb={'id': 'cbc27ebc-a5f9-4c5c-a261-f4d48d85da1f', 'route': ['p3', 'e6', 'i11', 'x4', 'p2', 'c2']}
1769475349.8213966,RECEIVED,2942d5b1-65b8-47ab-94f8-58dff310416a,dc3b2afa-d09c-4412-8163-ffe8d9853439,c3,c2,26,p2,?,surb={'id': '5d7d20ea-ced5-4836-8126-6f0648f8665e', 'route': ['p2', 'e10', 'i2', 'x7', 'p3', 'c3']}
1769475350.0542872,SENT,d324a8ed-66ac-43b7-96a2-f7441f57252a,5471e87d-ef9d-49af-a797-789923dcc0ae,c2,c3,3391,?,p2,
1769475350.054446,CREATED,fbed31f7-a5ff-49de-a9f8-542ff8937b8d,6cba0205-4f6c-4a35-a563-b7c35ca53d15,c2,c3,27,?,?,surb={'id': 'cbc27ebc-a5f9-4c5c-a261-f4d48d85da1f', 'route': ['p3', 'e6', 'i11', 'x4', 'p2', 'c2']}
1769475350.225543,SENT,74eac69b-67f8-4d4d-ba45-86b373fcb07e,a3289186-b3a9-4a44-9f85-31e8e9023cf7,c2,c3,3391,?,p2,
1769475350.2258098,CREATED,64acea73-19de-4e8b-b7dc-3a3efc4a50c9,7cd2f2d6-a170-42b6-bb60-23c5d115c3b9,c2,c3,27,?,?,surb={'id': '266ad507-c72d-4955-8755-279ba8813155', 'route': ['p3', 'e11', 'i2', 'x2', 'p2', 'c2']}
1769475350.3441782,RECEIVED,2b9cd778-f217-40b2-bff2-f9b42ccf6239,0ceaf5c1-66c8-455b-933e-40ad50f75487,c3,c2,26,p2,?,surb={'id': '4a3f5c21-6773-4915-ada4-d53439c8be2d', 'route': ['p2', 'e11', 'i9', 'x7', 'p3', 'c3']}
1769475350.480848,SENT,bcf722ee-2f5a-42cd-8423-3686f56fd13f,e9259e75-bcd5-45c8-8bd1-adf030663f87,c2,c3,3389,?,p2,
1769475350.480994,CREATED,c5a2913f-85a8-4187-894c-0797de8e6191,7cd2f2d6-a170-42b6-bb60-23c5d115c3b9,c2,c3,27,?,?,surb={'id': '266ad507-c72d-4955-8755-279ba8813155', 'route': ['p3', 'e11', 'i2', 'x2', 'p2', 'c2']}
1769475350.5044034,RECEIVED,161282a9-de53-4c63-bb0b-2a4011fe70c7,bf166bc6-ae72-4cea-8f5d-96061f9cd8e5,c3,c2,27,p2,?,surb={'id': 'b4ca6f53-cf81-4e9d-b175-d67915690ce9', 'route': ['p2', 'e9', 'i5', 'x9', 'p3', 'c3']}
1769475350.517538,SENT,a616ca2d-a0b7-4d69-9f13-4892b1d7cfdd,f6f44c84-7993-4758-a596-b205eabe72fa,c2,c3,3388,?,p2,
1769475350.5176818,CREATED,c834a0a2-20f8-4302-a00d-a0a4a08d0217,1f2d891c-09f9-403f-a288-289f983522ba,c2,c3,27,?,?,surb={'id': '150c711e-fff0-429b-9efa-1168f1f0a79b', 'route': ['p3', 'e2', 'i11', 'x1', 'p2', 'c2']}
1769475350.6668024,RECEIVED,498e1422-43ba-48a5-990f-464fcae54977,e0a87c08-dcb0-470f-b46f-95bd93df0280,c3,c2,27,p2,?,surb={'id': '9361e755-17db-4ff3-ad3b-4b2704956e26', 'route': ['p2', 'e7', 'i3', 'x11', 'p3', 'c3']}
1769475350.766241,SENT,4d976232-b44b-418d-b1ca-6d43f3370f71,5b2d9486-852a-468c-bd71-1b5b052a0e86,c2,c3,3398,?,p2,
1769475350.7663908,CREATED,0e82a7bb-2548-407c-ab15-f56e612d028b,1f2d891c-09f9-403f-a288-289f983522ba,c2,c3,27,?,?,surb={'id': '150c711e-fff0-429b-9efa-1168f1f0a79b', 'route': ['p3', 'e2', 'i11', 'x1', 'p2', 'c2']}
1769475351.05551,SENT,f63f4f5b-3ec5-40d9-8085-11c1cd5d5819,44accc80-7858-4d96-b426-ad03336ff955,c2,c3,3361,?,p2,
1769475351.05566,CREATED,d40bdd39-8a15-42dd-8210-3528aa51e386,a699dea3-489b-4ee5-a80a-38f8362b5a76,c2,c3,26,?,?,surb={'id': 'e2559e46-8b27-4f3c-8d03-318401c5992e', 'route': ['p3', 'e4', 'i1', 'x2', 'p2', 'c2']}
1769475351.4237304,RECEIVED,0d84fbbc-4b1f-4f32-a957-b1f5f6a8a08f,3315cc86-d6b2-4049-8099-e8ca2297aa4d,c3,c2,27,p2,?,surb={'id': 'ec075482-4fd6-4ad9-ad9c-033d492b483d', 'route': ['p2', 'e8', 'i3', 'x7', 'p3', 'c3']}
1769475351.5986092,RECEIVED,1a2631b5-83be-4787-b590-db4df237206a,14e4fe56-f824-4d34-a77f-80e047bbb25b,c3,c2,27,p2,?,surb={'id': '61eec4c1-e231-4f44-8940-83a7625b3ce0', 'route': ['p2', 'e12', 'i4', 'x3', 'p3', 'c3']}
1769475351.718305,RECEIVED,ac5fafa1-8168-4b43-888c-605fb9081d1e,3315cc86-d6b2-4049-8099-e8ca2297aa4d,c3,c2,27,p2,?,surb={'id': 'ec075482-4fd6-4ad9-ad9c-033d492b483d', 'route': ['p2', 'e8', 'i3', 'x7', 'p3', 'c3']}
1769475351.7617054,SENT,08a50921-0605-4bc0-aa4a-6ebfbb33bdbb,45149a53-5b4d-448a-baab-a01a0498f28b,c2,c3,3385,?,p2,
1769475351.761781,CREATED,f39cfd0b-0086-406a-a785-79b0c1d1bd99,a699dea3-489b-4ee5-a80a-38f8362b5a76,c2,c3,26,?,?,surb={'id': 'e2559e46-8b27-4f3c-8d03-318401c5992e', 'route': ['p3', 'e4', 'i1', 'x2', 'p2', 'c2']}
1769475351.7827184,RECEIVED,be38b48a-d018-4497-b594-4533b3a47798,6932d792-abe0-4dd1-a71f-ace415f6af6f,c3,c2,27,p2,?,surb={'id': '1235ff10-fabe-4c1c-9028-83491be14ba5', 'route': ['p2', 'e4', 'i7', 'x7', 'p3', 'c3']}
1769475351.8202922,RECEIVED,f56a8838-9e9b-4523-9681-3a88b0347797,0ceaf5c1-66c8-455b-933e-40ad50f75487,c3,c2,26,p2,?,surb={'id': '4a3f5c21-6773-4915-ada4-d53439c8be2d', 'route': ['p2', 'e11', 'i9', 'x7', 'p3', 'c3']}
1769475351.8868787,RECEIVED,e5074100-691c-4475-be1e-21d24649cf7b,9fac69f5-1e1c-4573-8fed-6c3677487e27,c3,c2,27,p2,?,surb={'id': 'c8d2cf44-78e0-413f-b855-f56af4d546df', 'route': ['p2', 'e12', 'i8', 'x3', 'p3', 'c3']}
1769475351.9285986,RECEIVED,bc788221-f533-4bc6-9aa9-24a0206e0eb3,9fac69f5-1e1c-4573-8fed-6c3677487e27,c3,c2,27,p2,?,surb={'id': 'c8d2cf44-78e0-413f-b855-f56af4d546df', 'route': ['p2', 'e12', 'i8', 'x3', 'p3', 'c3']}
1769475352.282015,RECEIVED,45976b12-625c-4e5f-92a2-f7c32b648bec,e0a87c08-dcb0-470f-b46f-95bd93df0280,c3,c2,27,p2,?,surb={'id': '9361e755-17db-4ff3-ad3b-4b2704956e26', 'route': ['p2', 'e7', 'i3', 'x11', 'p3', 'c3']}
1769475352.42246,SENT,6061373b-3580-49da-a3de-046bae33c30f,1980ae9e-28dc-4e33-af2c-f2af36d07087,c2,c3,3375,?,p2,
1769475352.4225945,CREATED,62a47393-6845-4d62-b691-26943423e3fc,1d3dac6e-c54a-4cd9-9c29-9ecf2011c8af,c2,c3,27,?,?,surb={'id': '9ce6089b-d546-4814-a5df-9913e99b10c1', 'route': ['p3', 'e7', 'i12', 'x1', 'p2', 'c2']}
1769475352.4768624,RECEIVED,65882dff-b549-415b-ae92-7c743b1d05ca,6932d792-abe0-4dd1-a71f-ace415f6af6f,c3,c2,27,p2,?,surb={'id': '1235ff10-fabe-4c1c-9028-83491be14ba5', 'route': ['p2', 'e4', 'i7', 'x7', 'p3', 'c3']}
1769475352.60432,SENT,0058ccf1-fd68-4fb5-9991-353f1ccd24a1,14966f6c-4167-4742-bb1d-f478abb76c81,c2,c3,3400,?,p2,
1769475352.6044693,CREATED,cc94e86d-a87d-4854-bd41-987a25ec6dbe,1d3dac6e-c54a-4cd9-9c29-9ecf2011c8af,c2,c3,27,?,?,surb={'id': '9ce6089b-d546-4814-a5df-9913e99b10c1', 'route': ['p3', 'e7', 'i12', 'x1', 'p2', 'c2']}
1769475353.016565,SENT,e8ba89d9-aa1c-4d46-b7c3-ad035d2efa88,50a747ce-efc7-4df7-9ee0-061e8eb58e42,c2,c3,3379,?,p2,
