timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769475343.3239944,RECEIVED,a395ff97-f982-4d45-b169-f85f63e38cd7,b3555b86-fb04-4142-9a17-15a94221a5df,c4,c1,27,p1,?,surb={'id': '34663194-56c9-41d5-9e99-951d6cb40a25', 'route': ['p1', 'e1', 'i8', 'x11', 'p1', 'c4']}
1769475343.3254614,SENT,c268ccae-8d2b-4082-8bd8-dbdcf6789f9c,06e364ab-cfcd-40ae-9ad7-10357640e983,c1,c4,3360,?,p1,
1769475343.3255994,CREATED,7b50882f-0b96-4eec-a10a-d3d41a9014a1,13512525-aafd-48b6-92d7-3d9b91b387df,c1,c4,27,?,?,surb={'id': 'dd118e65-3a3d-4c39-a420-093c5cde1dfa', 'route': ['p1', 'e2', 'i2', 'x3', 'p1', 'c1']}
1769475343.3408883,RECEIVED,fd8b63e9-0759-4d1e-bb24-692ee0394db6,b3555b86-fb04-4142-9a17-15a94221a5df,c4,c1,27,p1,?,surb={'id': '34663194-56c9-41d5-9e99-951d6cb40a25', 'route': ['p1', 'e1', 'i8', 'x11', 'p1', 'c4']}
1769475343.404514,RECEIVED,a0179f0a-a041-4f9c-9eb6-ada3f716caac,4666b41f-494c-48cf-bac2-3c64c7930c55,c4,c1,26,p1,?,surb={'id': '3ee3aabe-9633-4aa6-9bea-de52c01b839c', 'route': ['p1', 'e4', 'i5', 'x10', 'p1', 'c4']}
1769475343.5087092,SENT,b2834a9f-5c32-49f7-9351-f55ac7d43454,51fd2874-199f-4fbf-83fc-221e5e85c270,c1,c4,3376,?,p1,
1769475343.5088565,CREATED,ccbed91c-9709-4b16-bc4f-dcc6ea273c2d,b60f2a5f-7120-436a-92fb-a386bb194b55,c1,c4,27,?,?,surb={'id': '9ca8a6de-6a47-4d47-92c6-5e49811a305f', 'route': ['p1', 'e2', 'i9', 'x9', 'p1', 'c1']}
1769475343.518189,SENT,fc619ab3-ae3e-426b-8056-9fca970a8729,6343504e-640a-433b-84ee-db1e40c01864,c1,c4,3376,?,p1,
1769475343.5183427,CREATED,d8fb9f1f-47fd-4767-a30c-9468f87bb8be,b60f2a5f-7120-436a-92fb-a386bb194b55,c1,c4,27,?,?,surb={'id': '9ca8a6de-6a47-4d47-92c6-5e49811a305f', 'route': ['p1', 'e2', 'i9', 'x9', 'p1', 'c1']}
1769475343.548677,SENT,d92f394a-9201-4503-b614-05520a7e74b0,82354ce6-dcb6-472e-a09c-21ee85d75ff4,c1,c4,3384,?,p1,
1769475343.5488088,CREATED,db0237c8-2d72-440a-8bd1-5ef530236dbc,a101baaf-3005-4e7a-9c78-8319be1ee417,c1,c4,27,?,?,surb={'id': '7537e9a5-b0cf-46e2-9c97-8bcc4d23d07a', 'route': ['p1', 'e2', 'i11', 'x5', 'p1', 'c1']}
1769475343.8043463,RECEIVED,a3f1c372-e876-45c5-aebf-3b92641c5ed2,5298c92d-3e59-4b00-abaa-8993f03ffc80,c4,c1,25,p1,?,surb={'id': '86971591-42ea-4b4f-a9b4-41aad527e399', 'route': ['p1', 'e3', 'i6', 'x5', 'p1', 'c4']}
1769475343.918037,SENT,6da384b7-48e5-4237-9d7c-f65661269f77,6fd63b5a-4654-4fab-8149-074b230deead,c1,c4,3368,?,p1,
1769475343.918214,CREATED,a38ce163-e0af-406c-af83-0bb1161ee150,a101baaf-3005-4e7a-9c78-8319be1ee417,c1,c4,27,?,?,surb={'id': '7537e9a5-b0cf-46e2-9c97-8bcc4d23d07a', 'route': ['p1', 'e2', 'i11', 'x5', 'p1', 'c1']}
1769475344.0438735,RECEIVED,c0ff9591-f7f8-4539-a213-0ffb28d8464b,4666b41f-494c-48cf-bac2-3c64c7930c55,c4,c1,26,p1,?,surb={'id': '3ee3aabe-9633-4aa6-9bea-de52c01b839c', 'route': ['p1', 'e4', 'i5', 'x10', 'p1', 'c4']}
1769475344.0575795,RECEIVED,7fc5f40b-e2fc-4512-b5b7-cd5a5bcd3211,d4b426b4-3db8-48ba-81b0-e7990a3cfe0b,c4,c1,27,p1,?,surb={'id': '495e0355-f032-4e38-bf1a-d5a069c81dcb', 'route': ['p1', 'e5', 'i11', 'x5', 'p1', 'c4']}
1769475344.2335374,SENT,e00e0140-8259-4105-98b3-5888934e2e94,3af388c0-7e3a-41e6-af8e-568c53c8218d,c1,c4,3376,?,p1,
1769475344.2336829,CREATED,13c53446-d74c-46eb-aaf8-7bd3e2659a75,bc9154db-e323-40e6-a1a4-fd08082d9646,c1,c4,26,?,?,surb={'id': '096e89e7-ec51-4f2b-a480-457404e6942e', 'route': ['p1', 'e10', 'i3', 'x11', 'p1', 'c1']}
1769475344.3873034,RECEIVED,e5578b3a-767c-41d2-9803-9c4fb518b470,5298c92d-3e59-4b00-abaa-8993f03ffc80,c4,c1,25,p1,?,surb={'id': '86971591-42ea-4b4f-a9b4-41aad527e399', 'route': ['p1', 'e3', 'i6', 'x5', 'p1', 'c4']}
1769475344.6009052,SENT,0c0739ee-142d-46af-b40a-18f08be85505,5f2c5eb2-8794-4565-b125-34b17b0957be,c1,c4,3371,?,p1,
1769475344.6010883,CREATED,588f773a-b15e-4d85-be2c-7811e465cb6c,bc9154db-e323-40e6-a1a4-fd08082d9646,c1,c4,26,?,?,surb={'id': '096e89e7-ec51-4f2b-a480-457404e6942e', 'route': ['p1', 'e10', 'i3', 'x11', 'p1', 'c1']}
1769475344.9138768,RECEIVED,f8289cdf-cd69-4d6c-9682-e27fcdf9c2f8,c28714ae-b15c-4c28-9952-913931f7975c,c4,c1,26,p1,?,surb={'id': 'ab27218e-89d6-4124-8eff-aa83e7225dda', 'route': ['p1', 'e11', 'i12', 'x9', 'p1', 'c4']}
1769475345.1853237,RECEIVED,227b2bdb-3d99-4364-82e6-175ae6894df5,e3f6fce0-aa38-4ff4-bee3-c54c0bd71d55,c4,c1,27,p1,?,surb={'id': 'a0015d48-97cb-4f91-8113-6c63da7cba88', 'route': ['p1', 'e11', 'i2', 'x5', 'p1', 'c4']}
1769475345.2941716,SENT,850dd8ce-0936-4546-a576-d48b14ee1cba,64d90b0f-dbdf-4a0f-a74f-af37d307510b,c1,c4,3388,?,p1,
1769475345.2943301,CREATED,a8cfb674-9f30-446c-82c4-09ce23aca28a,c7c52437-a75f-47e8-890b-1e4a1a749707,c1,c4,27,?,?,surb={'id': 'c57cada3-62d5-4f2c-af77-73d074770081', 'route': ['p1', 'e11', 'i6', 'x4', 'p1', 'c1']}
1769475345.356986,SENT,a795687f-ee41-4b25-a76e-41103a7aa1db,64630113-eb83-44c7-b032-94f4db0303d2,c1,c4,3387,?,p1,
1769475345.3571696,CREATED,7f36c5c0-1ad9-423f-883f-c39d057d1858,c7c52437-a75f-47e8-890b-1e4a1a749707,c1,c4,27,?,?,surb={'id': 'c57cada3-62d5-4f2c-af77-73d074770081', 'route': ['p1', 'e11', 'i6', 'x4', 'p1', 'c1']}
1769475345.4320936,SENT,230a9894-2dda-4bf0-b24e-024994686548,22eff294-b66b-4984-8701-8e347cf32269,c1,c4,3384,?,p1,
1769475345.4325287,CREATED,0c8d34e1-1690-4f37-a916-f139cf68033c,de5f82da-c962-4193-bee2-e558a3bb1165,c1,c4,26,?,?,surb={'id': '98083472-aef7-4c3d-8889-05f5cee7bf0a', 'route': ['p1', 'e7', 'i5', 'x5', 'p1', 'c1']}
1769475345.536091,SENT,225842cf-c90a-4fdd-a009-a9fa155d21b5,c8f5e540-c198-4a2b-b597-3d9d765e608f,c1,c4,3371,?,p1,
1769475345.5362525,CREATED,b0ca3569-61e3-43c9-afd8-d60d83eefafd,de5f82da-c962-4193-bee2-e558a3bb1165,c1,c4,26,?,?,surb={'id': '98083472-aef7-4c3d-8889-05f5cee7bf0a', 'route': ['p1', 'e7', 'i5', 'x5', 'p1', 'c1']}
1769475345.6920884,RECEIVED,c4ae757e-c2f2-4841-8194-af4a6b234fe4,60b12bbb-6f36-421b-a6d7-6c6ca8702690,c4,c1,27,p1,?,surb={'id': '80125f73-f7da-4dbf-a2b7-04ed08803483', 'route': ['p1', 'e11', 'i5', 'x11', 'p1', 'c4']}
1769475345.8231614,RECEIVED,f3978ff2-0255-463c-8a29-0d3af79bd1d6,c28714ae-b15c-4c28-9952-913931f7975c,c4,c1,26,p1,?,surb={'id': 'ab27218e-89d6-4124-8eff-aa83e7225dda', 'route': ['p1', 'e11', 'i12', 'x9', 'p1', 'c4']}
1769475345.8963954,SENT,ffb6e29b-5bc6-4e77-bffb-73ce1e791b91,8417a947-841e-4ec2-a8fe-ad04fe093e65,c1,c4,3400,?,p1,
1769475345.8965492,CREATED,fb0c1711-ec25-4f3c-a39b-05f80ad6eeb2,632b56d8-d300-410a-9294-f865417c1914,c1,c4,27,?,?,surb={'id': '20584593-e228-4f0c-8e7e-4b932e4b008b', 'route': ['p1', 'e6', 'i12', 'x11', 'p1', 'c1']}
