timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769475339.6471326,SENT,f7f694a6-2088-4b71-bc89-13773e8a9003,1e17e49b-11ec-400a-8fc5-f4acfa0dbd87,c4,c1,3396,?,p1,
1769475339.6472902,CREATED,76245b9e-fe19-40e4-8d4a-9ca96ed83c0c,e3f6fce0-aa38-4ff4-bee3-c54c0bd71d55,c4,c1,27,?,?,surb={'id': 'a0015d48-97cb-4f91-8113-6c63da7cba88', 'route': ['p1', 'e11', 'i2', 'x5', 'p1', 'c4']}
1769475341.0533764,SENT,f765dd03-f02d-4144-b38e-eedbe92b5d93,4490d4a5-024d-4530-9260-3f4dee0886a0,c4,c1,3354,?,p1,
1769475341.0535216,CREATED,a3f1c372-e876-45c5-aebf-3b92641c5ed2,5298c92d-3e59-4b00-abaa-8993f03ffc80,c4,c1,25,?,?,surb={'id': '86971591-42ea-4b4f-a9b4-41aad527e399', 'route': ['p1', 'e3', 'i6', 'x5', 'p1', 'c4']}
1769475341.4782426,SENT,941776a2-e45b-4903-a8b3-bea86b5fdf87,96c4cf16-468a-4a57-9c87-4ffe3e873dd0,c4,c1,3355,?,p1,
1769475341.4783888,CREATED,e5578b3a-767c-41d2-9803-9c4fb518b470,5298c92d-3e59-4b00-abaa-8993f03ffc80,c4,c1,25,?,?,surb={'id': '86971591-42ea-4b4f-a9b4-41aad527e399', 'route': ['p1', 'e3', 'i6', 'x5', 'p1', 'c4']}
1769475341.5627549,SENT,fb0f6db3-4063-4a5b-ab16-3b83a1581a5d,9fa38998-9a12-4a36-a9de-570c45b0bcac,c4,c1,3379,?,p1,
1769475341.5629673,CREATED,a395ff97-f982-4d45-b169-f85f63e38cd7,b3555b86-fb04-4142-9a17-15a94221a5df,c4,c1,27,?,?,surb={'id': '34663194-56c9-41d5-9e99-951d6cb40a25', 'route': ['p1', 'e1', 'i8', 'x11', 'p1', 'c4']}
1769475341.7008672,RECEIVED,8b619ddf-38d5-4e4c-ac7b-5da60dbfebe4,ef94742f-ce94-471a-a45e-763479a79889,c5,c4,27,p1,?,surb={'id': 'd6e997a9-2b37-48ab-a768-b98a1b526177', 'route': ['p1', 'e11', 'i9', 'x8', 'p2', 'c5']}
1769475341.7299368,RECEIVED,a7df8514-1797-408b-8317-085d9b59c328,671627da-f961-45aa-a299-39e17f291fd8,c1,c4,26,p1,?,surb={'id': '4eb0b087-e58a-4a48-89b8-e0cf5eaba87b', 'route': ['p1', 'e11', 'i4', 'x4', 'p1', 'c1']}
1769475341.744342,RECEIVED,491aeaa4-a6a2-4836-b757-976ff77faa91,671627da-f961-45aa-a299-39e17f291fd8,c1,c4,26,p1,?,surb={'id': '4eb0b087-e58a-4a48-89b8-e0cf5eaba87b', 'route': ['p1', 'e11', 'i4', 'x4', 'p1', 'c1']}
1769475342.2165895,RECEIVED,533271a4-1cf2-4608-9d80-8914f5ce22e4,32273b72-5adf-4926-9bb4-9f9ea1cd231a,c5,c4,27,p1,?,surb={'id': '9b3988a3-f148-4b8b-b676-b9c73266a522', 'route': ['p1', 'e7', 'i8', 'x7', 'p2', 'c5']}
1769475342.5165594,RECEIVED,d89b1292-f60f-42de-83cb-68375bf6376e,2beeba02-bc60-4178-88dc-66d775a7e4b8,c1,c4,27,p1,?,surb={'id': '223461a0-ad99-49ab-bed2-7431f66ec5d4', 'route': ['p1', 'e5', 'i2', 'x10', 'p1', 'c1']}
1769475342.5276895,SENT,56c89f17-3661-4b4f-8619-717db30e13e0,950267b9-41c1-4eb3-b5d7-0300a149b3ad,c4,c1,3393,?,p1,
1769475342.5278661,CREATED,fd8b63e9-0759-4d1e-bb24-692ee0394db6,b3555b86-fb04-4142-9a17-15a94221a5df,c4,c1,27,?,?,surb={'id': '34663194-56c9-41d5-9e99-951d6cb40a25', 'route': ['p1', 'e1', 'i8', 'x11', 'p1', 'c4']}
1769475342.6679597,SENT,c586f646-ba4f-4b73-932a-0c7a80835056,03e69696-d11e-45c7-b111-36c93e85d119,c4,c1,3394,?,p1,
1769475342.6681209,CREATED,f3978ff2-0255-463c-8a29-0d3af79bd1d6,c28714ae-b15c-4c28-9952-913931f7975c,c4,c1,26,?,?,surb={'id': 'ab27218e-89d6-4124-8eff-aa83e7225dda', 'route': ['p1', 'e11', 'i12', 'x9', 'p1', 'c4']}
1769475342.7144651,RECEIVED,6aadd7aa-a801-42cc-aa0d-65f2276637d9,32273b72-5adf-4926-9bb4-9f9ea1cd231a,c5,c4,27,p1,?,surb={'id': '9b3988a3-f148-4b8b-b676-b9c73266a522', 'route': ['p1', 'e7', 'i8', 'x7', 'p2', 'c5']}
1769475342.7395155,RECEIVED,1cf47441-f978-43dc-8c41-4b7741c18084,9546349e-1a87-4399-aead-9eff6100123d,c5,c4,27,p1,?,surb={'id': '6a3cd5d4-0908-45d7-a683-0ee5e0ae08f1', 'route': ['p1', 'e9', 'i9', 'x8', 'p2', 'c5']}
1769475342.801987,SENT,7b33f3b5-bccf-4e09-a74e-dc1df62af9d4,a5b857c7-04b8-472d-b30d-954ba71737ef,c4,c1,3372,?,p1,
1769475342.8021715,CREATED,f8289cdf-cd69-4d6c-9682-e27fcdf9c2f8,c28714ae-b15c-4c28-9952-913931f7975c,c4,c1,26,?,?,surb={'id': 'ab27218e-89d6-4124-8eff-aa83e7225dda', 'route': ['p1', 'e11', 'i12', 'x9', 'p1', 'c4']}
1769475342.834194,RECEIVED,3a312d88-5480-4b1f-ba09-c30d684037ff,d0a40c91-b8b2-49b6-a6dd-426e93e0f313,c1,c4,27,p1,?,surb={'id': 'e4fc405a-d455-4ad2-a9b9-86ba22b394bb', 'route': ['p1', 'e9', 'i12', 'x3', 'p1', 'c1']}
1769475342.922746,RECEIVED,e736ffac-c2a9-438a-877b-cc643ba9eef0,c9a91349-24e5-449a-ba29-b38d89d7dc8f,c5,c4,25,p1,?,surb={'id': 'b53d9251-e3bf-4c8a-8a08-2b6cfb64ae04', 'route': ['p1', 'e12', 'i2', 'x5', 'p2', 'c5']}
1769475342.9332795,RECEIVED,75f33306-08bf-4e07-b75d-610b1f3733b9,d0a40c91-b8b2-49b6-a6dd-426e93e0f313,c1,c4,27,p1,?,surb={'id': 'e4fc405a-d455-4ad2-a9b9-86ba22b394bb', 'route': ['p1', 'e9', 'i12', 'x3', 'p1', 'c1']}
1769475342.9645479,RECEIVED,f897776e-9af7-4aa1-b925-32fa6e2f8518,803c389a-56e5-4f89-a9f9-3fe95dced95b,c1,c4,27,p1,?,surb={'id': '8312626f-b4bf-43ba-a391-1601966e7f6b', 'route': ['p1', 'e4', 'i9', 'x12', 'p1', 'c1']}
1769475343.0096867,SENT,340732f0-c254-4358-a374-49e3f8bbcfe8,bc1c89a5-4c20-40f8-baab-d19e549adbc9,c4,c1,3367,?,p1,
1769475343.0098388,CREATED,4e946264-d2f7-4540-93ad-41cb9294bd4e,d4b426b4-3db8-48ba-81b0-e7990a3cfe0b,c4,c1,27,?,?,surb={'id': '495e0355-f032-4e38-bf1a-d5a069c81dcb', 'route': ['p1', 'e5', 'i11', 'x5', 'p1', 'c4']}
1769475343.1426377,SENT,fe7a7241-aa04-41a7-adfc-25704bb46d51,5b539af9-d485-4c78-ab6d-7387ea122c49,c4,c1,3376,?,p1,
1769475343.1427858,CREATED,7fc5f40b-e2fc-4512-b5b7-cd5a5bcd3211,d4b426b4-3db8-48ba-81b0-e7990a3cfe0b,c4,c1,27,?,?,surb={'id': '495e0355-f032-4e38-bf1a-d5a069c81dcb', 'route': ['p1', 'e5', 'i11', 'x5', 'p1', 'c4']}
1769475343.304467,SENT,746e4148-78f7-421c-86f6-f4c1bb2530af,e9c54c24-09d7-4be7-acbb-26f6b138d351,c4,c1,3376,?,p1,
1769475343.3046153,CREATED,5c2591e7-650d-4cb3-b830-f9b0299605ad,ba7a1070-7f0d-4f86-9e49-db7a70c7b304,c4,c1,27,?,?,surb={'id': 'a1d1d431-fd49-4bf9-8694-d9a56532f15b', 'route': ['p1', 'e8', 'i3', 'x2', 'p1', 'c4']}
1769475343.6248279,RECEIVED,6cfba253-d3a3-49d7-b025-e1b20c1f42b2,c9a91349-24e5-449a-ba29-b38d89d7dc8f,c5,c4,25,p1,?,surb={'id': 'b53d9251-e3bf-4c8a-8a08-2b6cfb64ae04', 'route': ['p1', 'e12', 'i2', 'x5', 'p2', 'c5']}
1769475343.6326241,SENT,975ef303-94bb-46b6-9001-911021275e2a,a65aa292-db7b-4bc4-bc43-741f179fdda4,c4,c1,3388,?,p1,
1769475343.6327708,CREATED,ee6607bb-0630-4a91-ab36-3841e7af1236,ba7a1070-7f0d-4f86-9e49-db7a70c7b304,c4,c1,27,?,?,surb={'id': 'a1d1d431-fd49-4bf9-8694-d9a56532f15b', 'route': ['p1', 'e8', 'i3', 'x2', 'p1', 'c4']}
1769475343.829847,SENT,f6515071-4c19-4d26-a353-d1ea083b4c91,c1a28729-b253-4d4e-857f-b6829b4cd71c,c4,c1,3396,?,p1,
1769475343.8299968,CREATED,01a74195-5706-43b2-9535-62371a525a10,983ff656-0bac-487f-ae1c-e912353f64ee,c4,c1,27,?,?,surb={'id': 'e4f671c5-f327-4d5e-ab6b-5cf8489b1ff0', 'route': ['p1', 'e12', 'i4', 'x12', 'p1', 'c4']}
1769475343.8625038,RECEIVED,b178468f-383c-42be-a0b0-a02b806adee3,2beeba02-bc60-4178-88dc-66d775a7e4b8,c1,c4,27,p1,?,surb={'id': '223461a0-ad99-49ab-bed2-7431f66ec5d4', 'route': ['p1', 'e5', 'i2', 'x10', 'p1', 'c1']}
1769475343.9599288,RECEIVED,7e586ac0-7072-45e4-a2af-dbb9fc09f2e5,bdc9cf9a-cb2b-4c62-8b7b-6127e24670da,c1,c4,27,p1,?,surb={'id': '2a99cc21-7de6-4e72-97d0-9d1659491021', 'route': ['p1', 'e6', 'i4', 'x1', 'p1', 'c1']}
1769475343.974275,RECEIVED,f1e40e2b-5215-412d-ba89-2242c3b4cbd9,15d9f006-b550-45fd-8b3b-63f9a57872f1,c5,c4,27,p1,?,surb={'id': 'e10e0d8c-02a2-4dbe-a599-e9199d539838', 'route': ['p1', 'e12', 'i10', 'x5', 'p2', 'c5']}
1769475344.104564,RECEIVED,d8fb9f1f-47fd-4767-a30c-9468f87bb8be,b60f2a5f-7120-436a-92fb-a386bb194b55,c1,c4,27,p1,?,surb={'id': '9ca8a6de-6a47-4d47-92c6-5e49811a305f', 'route': ['p1', 'e2', 'i9', 'x9', 'p1', 'c1']}
1769475344.1822405,RECEIVED,08370329-226a-4944-a9b5-5b276655afb2,e0631165-dc70-4f98-beee-5dcc4c32ef71,c1,c4,27,p1,?,surb={'id': 'de88e46e-88c6-4cc9-82ee-ac04f18a3edb', 'route': ['p1', 'e9', 'i2', 'x2', 'p1', 'c1']}
1769475344.6516993,RECEIVED,e00e0cd2-bad0-4ef7-9dcc-ed471a1b704c,ef94742f-ce94-471a-a45e-763479a79889,c5,c4,27,p1,?,surb={'id': 'd6e997a9-2b37-48ab-a768-b98a1b526177', 'route': ['p1', 'e11', 'i9', 'x8', 'p2', 'c5']}
1769475344.6578746,RECEIVED,9d998597-19b9-47a2-a97e-b109009deb68,803c389a-56e5-4f89-a9f9-3fe95dced95b,c1,c4,27,p1,?,surb={'id': '8312626f-b4bf-43ba-a391-1601966e7f6b', 'route': ['p1', 'e4', 'i9', 'x12', 'p1', 'c1']}
1769475344.853459,RECEIVED,ccbed91c-9709-4b16-bc4f-dcc6ea273c2d,b60f2a5f-7120-436a-92fb-a386bb194b55,c1,c4,27,p1,?,surb={'id': '9ca8a6de-6a47-4d47-92c6-5e49811a305f', 'route': ['p1', 'e2', 'i9', 'x9', 'p1', 'c1']}
1769475344.964731,RECEIVED,4fe3a833-9b5e-44ff-a8a9-a7138b9ccf84,31f938e5-4e57-4869-8aa4-a8610d601274,c5,c4,27,p1,?,surb={'id': '716e74c3-e9e8-4582-927b-4c384dd0b4f4', 'route': ['p1', 'e4', 'i11', 'x4', 'p2', 'c5']}
1769475345.0147648,RECEIVED,e6d0f908-a2f4-4753-a213-4d2748f17c90,13512525-aafd-48b6-92d7-3d9b91b387df,c1,c4,27,p1,?,surb={'id': 'dd118e65-3a3d-4c39-a420-093c5cde1dfa', 'route': ['p1', 'e2', 'i2', 'x3', 'p1', 'c1']}
1769475345.0278678,RECEIVED,db0237c8-2d72-440a-8bd1-5ef530236dbc,a101baaf-3005-4e7a-9c78-8319be1ee417,c1,c4,27,p1,?,surb={'id': '7537e9a5-b0cf-46e2-9c97-8bcc4d23d07a', 'route': ['p1', 'e2', 'i11', 'x5', 'p1', 'c1']}
1769475345.3013265,RECEIVED,d0b41bed-837c-4c18-b1a2-146fc1f8870c,8eec981c-74c6-40c5-a4ef-3fad7eb99e19,c5,c4,27,p1,?,surb={'id': '540ea3b3-cc76-4382-b05c-947d3ba00221', 'route': ['p1', 'e12', 'i11', 'x2', 'p2', 'c5']}
1769475345.406183,RECEIVED,736cee49-e619-419f-bc86-da5e920bc562,15d9f006-b550-45fd-8b3b-63f9a57872f1,c5,c4,27,p1,?,surb={'id': 'e10e0d8c-02a2-4dbe-a599-e9199d539838', 'route': ['p1', 'e12', 'i10', 'x5', 'p2', 'c5']}
1769475345.4623315,RECEIVED,a38ce163-e0af-406c-af83-0bb1161ee150,a101baaf-3005-4e7a-9c78-8319be1ee417,c1,c4,27,p1,?,surb={'id': '7537e9a5-b0cf-46e2-9c97-8bcc4d23d07a', 'route': ['p1', 'e2', 'i11', 'x5', 'p1', 'c1']}
1769475345.4930992,SENT,d5335e69-1378-46ef-93cb-3dc870e77c75,04f73f51-20cc-4cc3-9884-14169e7aabfd,c4,c1,3392,?,p1,
1769475345.4932752,CREATED,1fa0960d-2c71-4b85-b3bd-af296e672e5e,983ff656-0bac-487f-ae1c-e912353f64ee,c4,c1,27,?,?,surb={'id': 'e4f671c5-f327-4d5e-ab6b-5cf8489b1ff0', 'route': ['p1', 'e12', 'i4', 'x12', 'p1', 'c4']}
1769475345.5435624,SENT,fbb5ea9e-fabd-4f4d-8037-caab88f3e021,5a5a89b0-723e-4882-a2e7-da487dd9d4d7,c4,c1,3381,?,p1,
1769475345.5437098,CREATED,c4ae757e-c2f2-4841-8194-af4a6b234fe4,60b12bbb-6f36-421b-a6d7-6c6ca8702690,c4,c1,27,?,?,surb={'id': '80125f73-f7da-4dbf-a2b7-04ed08803483', 'route': ['p1', 'e11', 'i5', 'x11', 'p1', 'c4']}
1769475345.5699375,SENT,de42c78c-ad1e-4006-9187-ecc7928417f4,c75517f0-275f-4883-89f2-8d52efb84f81,c4,c1,3399,?,p1,
1769475345.5701048,CREATED,bddfdeb1-fa7b-49bd-8019-3684d352e71f,60b12bbb-6f36-421b-a6d7-6c6ca8702690,c4,c1,27,?,?,surb={'id': '80125f73-f7da-4dbf-a2b7-04ed08803483', 'route': ['p1', 'e11', 'i5', 'x11', 'p1', 'c4']}
1769475345.6739469,SENT,049f865e-9dcc-4bb3-940e-d7746dd55596,7f838c3a-86e9-4ccf-984a-0a6712477338,c4,c1,3372,?,p1,
1769475345.6741414,CREATED,1a0f2f35-2be0-41e0-8692-a2d3e7db827d,156ac1f3-b945-4e14-992f-5eccbcf737e4,c4,c1,26,?,?,surb={'id': '98d47182-2d1e-4a7b-8169-dd35246ef5e0', 'route': ['p1', 'e4', 'i3', 'x6', 'p1', 'c4']}
1769475345.8498244,RECEIVED,70d8d1f2-4a3c-49cf-9118-2f1a5f3551c3,9546349e-1a87-4399-aead-9eff6100123d,c5,c4,27,p1,?,surb={'id': '6a3cd5d4-0908-45d7-a683-0ee5e0ae08f1', 'route': ['p1', 'e9', 'i9', 'x8', 'p2', 'c5']}
1769475345.9248157,RECEIVED,588f773a-b15e-4d85-be2c-7811e465cb6c,bc9154db-e323-40e6-a1a4-fd08082d9646,c1,c4,26,p1,?,surb={'id': '096e89e7-ec51-4f2b-a480-457404e6942e', 'route': ['p1', 'e10', 'i3', 'x11', 'p1', 'c1']}
1769475346.085972,RECEIVED,29f1801d-d89e-4476-b378-d885f60834e8,31f938e5-4e57-4869-8aa4-a8610d601274,c5,c4,27,p1,?,surb={'id': '716e74c3-e9e8-4582-927b-4c384dd0b4f4', 'route': ['p1', 'e4', 'i11', 'x4', 'p2', 'c5']}
1769475346.1357837,RECEIVED,126a25f7-27c6-4638-987b-711c6494bc79,e0631165-dc70-4f98-beee-5dcc4c32ef71,c1,c4,27,p1,?,surb={'id': 'de88e46e-88c6-4cc9-82ee-ac04f18a3edb', 'route': ['p1', 'e9', 'i2', 'x2', 'p1', 'c1']}
1769475346.1968749,RECEIVED,8a6ad0e9-4d69-46df-9b31-5f45ee67e084,a4c33d80-20b4-4187-90f8-3aae7d152f7f,c5,c4,27,p1,?,surb={'id': 'd6a7dc21-3121-42bc-929d-ff69e40c4435', 'route': ['p1', 'e7', 'i8', 'x6', 'p2', 'c5']}
1769475346.335649,RECEIVED,fa222876-882f-40f2-9b97-c613a93d8e0b,bdc9cf9a-cb2b-4c62-8b7b-6127e24670da,c1,c4,27,p1,?,surb={'id': '2a99cc21-7de6-4e72-97d0-9d1659491021', 'route': ['p1', 'e6', 'i4', 'x1', 'p1', 'c1']}
1769475346.4792967,SENT,733f8fa1-39a4-47e1-8ae4-e0cd2dd0dfba,6945dc58-79bf-4a29-9591-0c150fd4badc,c4,c1,3380,?,p1,
1769475346.4794574,CREATED,af727383-0a0a-4628-af39-557046a25434,156ac1f3-b945-4e14-992f-5eccbcf737e4,c4,c1,26,?,?,surb={'id': '98d47182-2d1e-4a7b-8169-dd35246ef5e0', 'route': ['p1', 'e4', 'i3', 'x6', 'p1', 'c4']}
1769475346.579922,SENT,b27de252-228a-47d9-aaea-4c5d1b4ff19d,1ac19f46-ae71-4b6d-9650-bf247dd0d533,c4,c1,3392,?,p1,
1769475346.5801067,CREATED,d569beb5-6586-429c-92ad-6210e1873ad8,28b1ff86-51a4-4597-b41f-9a5b0dbbedc0,c4,c1,27,?,?,surb={'id': 'b5bd2b8c-e2bf-4312-b579-1300f2f32f23', 'route': ['p1', 'e11', 'i6', 'x1', 'p1', 'c4']}
1769475346.6042671,RECEIVED,0c8d34e1-1690-4f37-a916-f139cf68033c,de5f82da-c962-4193-bee2-e558a3bb1165,c1,c4,26,p1,?,surb={'id': '98083472-aef7-4c3d-8889-05f5cee7bf0a', 'route': ['p1', 'e7', 'i5', 'x5', 'p1', 'c1']}
1769475346.6954012,RECEIVED,60330075-5a73-4568-a3f5-963f1b9d733d,0f1ce884-2386-4d4d-ba7c-4982856aa7ae,c5,c4,27,p1,?,surb={'id': 'bd8d9433-b1f1-4f93-b185-94388151d07a', 'route': ['p1', 'e6', 'i10', 'x3', 'p2', 'c5']}
1769475346.7110443,SENT,054b6a80-2f89-479e-849a-1d245a773e90,eb0e2315-a128-44e9-a9c7-710369ec5b4b,c4,c1,3388,?,p1,
1769475346.7112653,CREATED,8432f0e5-b2af-4092-b31d-e42deea7f88b,28b1ff86-51a4-4597-b41f-9a5b0dbbedc0,c4,c1,27,?,?,surb={'id': 'b5bd2b8c-e2bf-4312-b579-1300f2f32f23', 'route': ['p1', 'e11', 'i6', 'x1', 'p1', 'c4']}
1769475347.0712388,RECEIVED,ba978670-79d8-45ee-a0d2-a3ecd65daf96,a4c33d80-20b4-4187-90f8-3aae7d152f7f,c5,c4,27,p1,?,surb={'id': 'd6a7dc21-3121-42bc-929d-ff69e40c4435', 'route': ['p1', 'e7', 'i8', 'x6', 'p2', 'c5']}
1769475347.189128,RECEIVED,de1a7eaa-a9be-43ef-8616-4be8162efb9d,239cd14e-3af8-4c54-862d-faabc886fbea,c1,c4,27,p1,?,surb={'id': '7c7a164b-0091-4edd-a876-a61282ed1d5a', 'route': ['p1', 'e10', 'i2', 'x8', 'p1', 'c1']}
1769475347.419616,SENT,1630c094-4795-4c06-a354-38a5ab356e31,df460e84-3d0d-4448-a067-9d574a992adc,c4,c1,3393,?,p1,
1769475347.4197626,CREATED,78572cab-16a3-4eb2-92f5-f0b049117159,395bdf7f-4d24-4cf0-b321-516191a895f8,c4,c1,27,?,?,surb={'id': '23e60047-71c8-4b1d-9cce-1ffbc4fbe397', 'route': ['p1', 'e5', 'i8', 'x1', 'p1', 'c4']}
1769475347.5408337,RECEIVED,b0ca3569-61e3-43c9-afd8-d60d83eefafd,de5f82da-c962-4193-bee2-e558a3bb1165,c1,c4,26,p1,?,surb={'id': '98083472-aef7-4c3d-8889-05f5cee7bf0a', 'route': ['p1', 'e7', 'i5', 'x5', 'p1', 'c1']}
1769475347.9245288,SENT,5c56009d-d3f4-4958-a151-647e8963887e,9b54cb1b-76ad-4ef5-bbec-61db3e59db08,c4,c1,3371,?,p1,
1769475347.9246745,CREATED,19b79000-03df-4e77-8176-351670eb63c4,395bdf7f-4d24-4cf0-b321-516191a895f8,c4,c1,27,?,?,surb={'id': '23e60047-71c8-4b1d-9cce-1ffbc4fbe397', 'route': ['p1', 'e5', 'i8', 'x1', 'p1', 'c4']}
1769475347.97165,RECEIVED,fb0c1711-ec25-4f3c-a39b-05f80ad6eeb2,632b56d8-d300-410a-9294-f865417c1914,c1,c4,27,p1,?,surb={'id': '20584593-e228-4f0c-8e7e-4b932e4b008b', 'route': ['p1', 'e6', 'i12', 'x11', 'p1', 'c1']}
1769475347.9878395,RECEIVED,4e762979-44ed-4c99-b02b-100db3cde17f,239cd14e-3af8-4c54-862d-faabc886fbea,c1,c4,27,p1,?,surb={'id': '7c7a164b-0091-4edd-a876-a61282ed1d5a', 'route': ['p1', 'e10', 'i2', 'x8', 'p1', 'c1']}
1769475348.0473752,SENT,600bcd7e-c492-40d0-9633-9727f2ac9457,8756a60f-7a80-4095-88d5-ec3ec66523dc,c4,c1,3359,?,p1,
1769475348.047519,CREATED,81359974-876e-4de2-abe1-4d39908f6064,0a4b0f3e-6d45-476f-856e-f03e452be655,c4,c1,26,?,?,surb={'id': 'f962305f-a0af-44f0-ad55-da5b2ac75b19', 'route': ['p1', 'e1', 'i4', 'x12', 'p1', 'c4']}
1769475348.109218,RECEIVED,7b50882f-0b96-4eec-a10a-d3d41a9014a1,13512525-aafd-48b6-92d7-3d9b91b387df,c1,c4,27,p1,?,surb={'id': 'dd118e65-3a3d-4c39-a420-093c5cde1dfa', 'route': ['p1', 'e2', 'i2', 'x3', 'p1', 'c1']}
1769475348.2021923,RECEIVED,a8cfb674-9f30-446c-82c4-09ce23aca28a,c7c52437-a75f-47e8-890b-1e4a1a749707,c1,c4,27,p1,?,surb={'id': 'c57cada3-62d5-4f2c-af77-73d074770081', 'route': ['p1', 'e11', 'i6', 'x4', 'p1', 'c1']}
1769475348.383559,SENT,8e75ae9f-dcaf-4ee3-b134-569f7d72072b,3ace7a80-7d9f-46d0-895e-3d0fb7c64c9a,c4,c1,3373,?,p1,
1769475348.3837295,CREATED,47895c66-96f6-4b98-9e3b-6bd96d3695e7,0a4b0f3e-6d45-476f-856e-f03e452be655,c4,c1,26,?,?,surb={'id': 'f962305f-a0af-44f0-ad55-da5b2ac75b19', 'route': ['p1', 'e1', 'i4', 'x12', 'p1', 'c4']}
1769475348.4078841,RECEIVED,06fa1b75-16f3-4137-8909-4daec11d8c28,0f1ce884-2386-4d4d-ba7c-4982856aa7ae,c5,c4,27,p1,?,surb={'id': 'bd8d9433-b1f1-4f93-b185-94388151d07a', 'route': ['p1', 'e6', 'i10', 'x3', 'p2', 'c5']}
1769475348.5799546,RECEIVED,7f36c5c0-1ad9-423f-883f-c39d057d1858,c7c52437-a75f-47e8-890b-1e4a1a749707,c1,c4,27,p1,?,surb={'id': 'c57cada3-62d5-4f2c-af77-73d074770081', 'route': ['p1', 'e11', 'i6', 'x4', 'p1', 'c1']}
1769475348.689609,RECEIVED,3be21ae2-341e-4d93-a9bb-b5ddc9cab971,8b582971-c46f-4658-986e-c8a55b440fe0,c5,c4,26,p1,?,surb={'id': '4f6c592a-b705-4603-b2e1-7c284c16295c', 'route': ['p1', 'e12', 'i7', 'x11', 'p2', 'c5']}
1769475348.7473664,RECEIVED,4e6cbc8b-dde3-4131-8d85-aeba96ba8f7a,8eec981c-74c6-40c5-a4ef-3fad7eb99e19,c5,c4,27,p1,?,surb={'id': '540ea3b3-cc76-4382-b05c-947d3ba00221', 'route': ['p1', 'e12', 'i11', 'x2', 'p2', 'c5']}
1769475348.9110384,SENT,4c0b369f-f7d0-4ce6-992f-4035cf04d35d,891a5c94-8406-4d97-8b28-008c62d9e4d3,c4,c1,3364,?,p1,
1769475348.911274,CREATED,8d7ce4ca-9aab-4ae2-ae8e-ced3b3862859,e3f599d2-0002-4281-bc08-ee0341f3ebc8,c4,c1,27,?,?,surb={'id': 'c0cd4aa4-8be4-4ff9-a924-3e985cf1794a', 'route': ['p1', 'e9', 'i9', 'x8', 'p1', 'c4']}
