timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769488299.2042496,RECEIVED,61faa744-6935-48e3-ba78-5ff0e27d9427,d1f52776-cb4b-4f1b-afba-c1e7f2a629c0,c1,c5,27,p2,?,surb={'id': '58344f33-9855-443e-846d-32d127428ea9', 'route': ['p2', 'e1', 'i2', 'x12', 'p1', 'c1']}
1769488299.2743828,RECEIVED,869bc0c1-a4c5-40b9-9145-c86e60cd65e9,afacb327-68a3-4efc-a82f-c2072366cdb8,c1,c5,26,p2,?,surb={'id': '54aa13a7-b40c-46de-921a-d0bb1e9babca', 'route': ['p2', 'e1', 'i11', 'x11', 'p1', 'c1']}
1769488299.5866053,SENT,0a1febee-5f8b-45fc-8da9-a95d9507b5af,59e2dc2b-73f8-4a71-b862-268f7a465b4a,c5,c3,3384,?,p2,
1769488299.586751,CREATED,6a03d4f0-13a0-44ab-a259-9e55b111cf81,2faf51a7-7a15-45ca-8464-c707dfac62dc,c5,c3,27,?,?,surb={'id': '59d430b9-e0ad-4881-9cec-ef07b206530f', 'route': ['p3', 'e6', 'i9', 'x7', 'p2', 'c5']}
1769488299.9719858,SENT,01036ba0-440c-4c4a-9a04-33799496c144,e86d9130-6cc9-465d-8054-9422a26c5f4a,c5,c3,3391,?,p2,
1769488299.9723227,CREATED,0df18ea5-6d8f-4498-8e28-fcc3ece21279,4acb4eb6-a34b-49cd-81e0-44254b98b388,c5,c3,26,?,?,surb={'id': '2e43beba-196b-4646-b953-8f98df033889', 'route': ['p3', 'e5', 'i7', 'x12', 'p2', 'c5']}
1769488300.063254,RECEIVED,8dff6b26-8cc7-4816-95ad-22d51be33349,9b5db581-2c9e-4c94-85b4-026aa20cb5e1,c1,c5,27,p2,?,surb={'id': 'a828b899-7b50-4184-852c-22e3c901dcd4', 'route': ['p2', 'e5', 'i12', 'x7', 'p1', 'c1']}
1769488300.1195776,RECEIVED,8bf6b573-52e4-41c1-85e7-8be91dfa1b2d,7818f45b-3134-4265-86c3-70103c064697,c1,c5,27,p2,?,surb={'id': '5b84af46-6e89-4020-a428-3e16a61d42f1', 'route': ['p2', 'e7', 'i5', 'x6', 'p1', 'c1']}
1769488300.47432,RECEIVED,a1d1578f-47d5-4370-aec7-3461178dc761,ec0eafb7-0e41-45cd-a902-525c495d9844,c1,c5,27,p2,?,surb={'id': '9c1813d9-4f84-410e-a08f-6e2406546fbc', 'route': ['p2', 'e5', 'i6', 'x12', 'p1', 'c1']}
1769488300.5083163,RECEIVED,3c2e42e3-6b5e-45e6-9b11-ead22ac27c2b,b6c31464-2c2d-4efb-935a-d11b40d1dfcc,c1,c5,27,p2,?,surb={'id': 'ac3b42c3-a4f5-4a6f-8c93-858e685c699d', 'route': ['p2', 'e10', 'i7', 'x1', 'p1', 'c1']}
1769488300.6606333,RECEIVED,f2ae2b2c-fe70-47ae-b085-6c358c5491a3,061e29fb-818b-40ad-8618-3710e1ff4889,c1,c5,27,p2,?,surb={'id': 'fb6e760e-12c9-4747-8d09-9cfb7a9fe64b', 'route': ['p2', 'e8', 'i7', 'x5', 'p1', 'c1']}
