timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769498168.8195498,RECEIVED,44f91609-af24-48c4-9518-b4ca56fe5200,3ba99700-a4fa-4175-aebb-bd4e7aa1bb8e,c2,c4,26,p1,?,surb={'id': 'a97a75d2-549c-4291-984e-84d963902707', 'route': ['p1', 'e1', 'i7', 'x9', 'p2', 'c2']}
1769498168.864696,SENT,57bb9122-db06-42f3-8ce1-e198e4320b66,4afdf221-7b04-4ff3-b996-7fdaf9641268,c4,c1,3400,?,p1,
1769498168.8648446,CREATED,20b88f2f-3925-4c28-887e-c2b0a6e46661,86f91502-33e8-41bf-9fb2-9a19719503b5,c4,c1,27,?,?,surb={'id': 'a928f765-1832-446f-b6fb-7446c675a4e6', 'route': ['p1', 'e12', 'i10', 'x8', 'p1', 'c4']}
1769498168.9354455,RECEIVED,f85ce311-e2e5-47f0-a691-9b4e02d52aba,8fd4de2e-b180-473d-971c-abc7da6a4a11,c3,c4,27,p1,?,surb={'id': '116f2232-04ef-4470-9d90-a8bcdd418994', 'route': ['p1', 'e12', 'i9', 'x6', 'p3', 'c3']}
1769498168.9613543,RECEIVED,1400554f-8209-4b24-8218-04891e19132f,a6da5cee-c629-42b7-8ac9-e7d5234bba8c,c3,c4,26,p1,?,surb={'id': '7ca0ae2f-8088-4868-aefc-acea77e17869', 'route': ['p1', 'e3', 'i11', 'x5', 'p3', 'c3']}
1769498168.9972734,RECEIVED,c69c23b8-0476-4558-9853-30b369ce0b99,5837b044-2a71-4d60-a9c2-351b749ee92d,c2,c4,27,p1,?,surb={'id': '3e89b474-6258-400a-add6-e2a74b5e9fda', 'route': ['p1', 'e8', 'i1', 'x8', 'p2', 'c2']}
1769498169.080073,RECEIVED,504a8fcf-8c12-4fce-bf9e-ba38fcca5231,0da34ba0-6c64-463f-97ac-42089e175ed9,c3,c4,27,p1,?,surb={'id': 'c355eae3-b4a4-4179-b65f-381093b8ad7f', 'route': ['p1', 'e5', 'i9', 'x8', 'p3', 'c3']}
1769498169.3545759,RECEIVED,b1800975-22da-41ba-b024-2a69a63ca5bd,c6f8c3f9-7143-4f72-9144-80399e85d6e6,c2,c4,26,p1,?,surb={'id': 'fc19f0e8-46e2-4c1c-a007-327ed941283b', 'route': ['p1', 'e12', 'i4', 'x4', 'p2', 'c2']}
1769498169.517155,RECEIVED,f176686b-ce0d-4d61-89f2-80bdffa3480a,615d97c9-3fc1-475d-abda-32768fd7a739,c3,c4,26,p1,?,surb={'id': '3deae755-ebcb-4cd4-a95e-717b7f53a232', 'route': ['p1', 'e4', 'i1', 'x6', 'p3', 'c3']}
1769498169.5367641,RECEIVED,9cef35a0-0a8e-4f8e-a157-fcb2d5a1eb8f,08597c5e-7075-46f5-9b7e-d365a259ba91,c3,c4,27,p1,?,surb={'id': '6f7444f9-efed-4c27-b6ee-498cc9f059bd', 'route': ['p1', 'e3', 'i5', 'x4', 'p3', 'c3']}
1769498169.595466,RECEIVED,f96af7bd-5dd9-484c-9489-42e14a21283f,c0de2223-6131-4256-842a-7139bf4a9ee3,c3,c4,27,p1,?,surb={'id': 'cba73df9-3503-4be6-a6b6-0997dbd1e1cc', 'route': ['p1', 'e7', 'i12', 'x7', 'p3', 'c3']}
1769498169.5987735,RECEIVED,4dcd5233-0db4-4ae7-96d9-fb51d40d3a03,6a1d3bc5-6deb-4d4d-9e77-f2fdeb19d578,c2,c4,27,p1,?,surb={'id': '8a02c622-e956-485a-80a3-8264f6c779f5', 'route': ['p1', 'e4', 'i4', 'x7', 'p2', 'c2']}
1769498169.6041694,SENT,db296fc9-0627-42af-a52e-696322aacbe4,ac07f404-0139-4d19-a17f-253a2c179b71,c4,c1,3374,?,p1,
1769498169.6043298,CREATED,866a9293-70b7-4681-bbea-51d3e1013ebf,1de3eb04-6d21-45a1-b179-57fc82d4847b,c4,c1,27,?,?,surb={'id': 'd60165f6-6f78-4970-a279-07b12a7da060', 'route': ['p1', 'e5', 'i11', 'x9', 'p1', 'c4']}
1769498169.6355593,RECEIVED,79f93365-8bd6-4e72-b528-19f0973b1e96,6786940d-1169-447a-9d57-c9b4e965c06e,c3,c4,27,p1,?,surb={'id': '8fb467b6-cb42-4dc4-b7c9-c0a88525425f', 'route': ['p1', 'e2', 'i6', 'x3', 'p3', 'c3']}
