packets_observed,duration_observed,diaz_anonymity,danezis_metric_A,entropy_bits,max_entropy_bits,target_llr,detected_receiver,true_receiver,success
100000,229.5143117904663,1.0130361235487207e-16,-3.2764784459759677,1.6056242677006463e-16,1.584962500721156,16.094720734645307,c1,c1,True
102500,234.9341766834259,2.6934711723753617e-16,-3.276127976810107,4.2690508049883976e-16,1.584962500721156,13.39601734302596,c1,c1,True
105000,241.23250365257263,1.568885049112365e-16,-3.27895933090226,2.486623970785168e-16,1.584962500721156,9.068607286548286,c1,c1,True
107500,247.01496148109436,1.1019475661977909e-17,-3.291123747079178,1.7465455701844425e-17,1.584962500721156,2.889397135015315,c1,c1,True
110000,252.21477460861206,5.963244426233291e-17,-3.288953449139277,9.451518798214213e-17,1.584962500721156,7.991690159544305,c1,c1,True
112500,257.0809142589569,5.861702246601405e-17,-3.2991526056390956,9.290578251256181e-17,1.584962500721156,4.672646401542806,c1,c1,True
115000,262.3423476219177,7.922318970950075e-21,-3.3096411639592276,1.2556578487707686e-20,1.584962500721156,11.776157409791267,c1,c1,True
117500,267.5539186000824,4.527432413724397e-21,-3.310203361147482,7.17581060030264e-21,1.584962500721156,14.927309267824967,c1,c1,True
120000,272.992972612381,2.996117075022789e-20,-3.309182599835184,4.748733211681475e-20,1.584962500721156,14.599248299893588,c1,c1,True
122500,278.535591840744,2.2378389803733644e-20,-3.3042510252626203,3.5468908665438497e-20,1.584962500721156,17.853056166513852,c1,c1,True
125000,284.0771338939667,6.3708985756828245e-21,-3.2994926553103308,1.0097635338355101e-20,1.584962500721156,14.9023556616321,c1,c1,True
127500,289.680052280426,6.991357095746868e-22,-3.2981564524709928,1.1081038825909555e-21,1.584962500721156,13.090885535515554,c1,c1,True
130000,295.77770924568176,4.118697009044585e-24,-3.2904154023931356,6.527980311168051e-24,1.584962500721156,19.24583860175335,c1,c1,True
132500,301.5717487335205,1.3173985108306598e-23,-3.2906706190610358,2.0880272381724897e-23,1.584962500721156,14.676991134354466,c1,c1,True
135000,306.982013463974,1.8267647707319317e-23,-3.290188588956644,2.895353659248592e-23,1.584962500721156,15.577153943508165,c1,c1,True
137500,312.83635354042053,2.3446127806603995e-24,-3.28765379420352,3.71612333605829e-24,1.584962500721156,15.104622605616896,c1,c1,True
140000,317.6716322898865,6.883174852498933e-25,-3.2877700371176446,1.0909574027117684e-24,1.584962500721156,14.765236255268974,c1,c1,True
142500,323.28187084198,2.8022731655662044e-25,-3.287996882652737,4.441497884199601e-25,1.584962500721156,16.2563509957763,c1,c1,True
145000,329.55617094039917,1.50190897533623e-25,-3.28743193539716,2.38046940540446e-25,1.584962500721156,16.441035448162438,c1,c1,True
