timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769733119.3358433,CREATED,ce0b5b96-6b38-489b-8899-6658754f4629,e6ded0b3-7fe2-4685-b3bd-5539e9e97bb2,c4,c2,27,?,?,surb={'id': 'd62599b2-300a-4ea0-9b73-55cbe663c94f', 'route': ['p2', 'e10', 'i12', 'x9', 'p1', 'c4']}
1769733119.3622298,RECEIVED,0b2692d6-c8d0-4f69-ac7e-0da6ee504b80,b0e0094e-3494-416f-86bf-a3a530ccefe9,c5,c4,27,p1,?,surb={'id': '66370c6b-ca39-4ace-8c02-774d828b8093', 'route': ['p1', 'e8', 'i10', 'x7', 'p2', 'c5']}
1769733119.3739448,RECEIVED,b9141d1c-f490-4d20-a73f-9cb5dc2c7dce,d27e09dd-044b-47f5-b1ea-2160acb86300,c2,c4,27,p1,?,surb={'id': '244c2e75-bab0-4f2b-bd42-73d15dfb0248', 'route': ['p1', 'e8', 'i11', 'x9', 'p2', 'c2']}
1769733119.396653,RECEIVED,7cd7c2e0-9b9e-4a87-bb3f-90af1125dc25,7c22f1d5-e8f7-41ec-b7d4-5a8cc112d6ea,c5,c4,27,p1,?,surb={'id': 'e992a5c0-1bf7-4a85-a754-7c030969faff', 'route': ['p1', 'e3', 'i2', 'x7', 'p2', 'c5']}
1769733119.6632717,RECEIVED,c5cd19cf-3bb6-49c1-9b87-e52b401d4a0f,2b8fe158-4ef6-44eb-adf4-2f0c8782b9fb,c2,c4,27,p1,?,surb={'id': '2ce643ec-3fbd-43ed-9578-e3ec5b50b6c9', 'route': ['p1', 'e4', 'i4', 'x3', 'p2', 'c2']}
1769733119.687531,SENT,438272d8-ac3c-4e1d-a88e-03d1dd5d5316,8f7f254e-baab-4e4a-81b6-3ecb71191e61,c4,c2,3387,?,p1,
1769733119.687663,CREATED,b3e24bb9-537a-4a52-a657-b4f7c3a16be9,e6ded0b3-7fe2-4685-b3bd-5539e9e97bb2,c4,c2,27,?,?,surb={'id': 'd62599b2-300a-4ea0-9b73-55cbe663c94f', 'route': ['p2', 'e10', 'i12', 'x9', 'p1', 'c4']}
1769733119.8154964,RECEIVED,306a8963-969d-49e1-b2fe-152f15e78d22,feaf695d-2eea-41d3-a4c0-cf3172a6316f,c2,c4,27,p1,?,surb={'id': '5a0f2f9c-af43-4c2d-9f85-4fcfe99293c3', 'route': ['p1', 'e2', 'i7', 'x1', 'p2', 'c2']}
1769733119.8294113,RECEIVED,52db5883-8b40-4f97-95eb-31bd5a750c9a,400d383c-9a75-43e9-abba-31029f3922e3,c5,c4,27,p1,?,surb={'id': '38e5584b-d42f-49c7-82d2-66e8285cfcf6', 'route': ['p1', 'e1', 'i10', 'x4', 'p2', 'c5']}
1769733119.867551,SENT,78a52c0f-97e5-4769-9e1b-bc55cf56dfd8,7612a8ec-04fa-4f00-815c-1e96a5c805d1,c4,c2,3380,?,p1,
