timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769733113.211325,SENT,e85a67d8-93ca-4464-ab94-a73b299bdb11,f4a35481-c448-461e-8ff8-5e99eb7d71fc,c2,c4,3388,?,p2,
1769733113.211466,CREATED,c605c2b5-4d06-4578-a167-4383dbf52b96,717387e4-7d87-4cbf-abbc-ca83cfa68b6d,c2,c4,26,?,?,surb={'id': '97700c0c-bc79-4b34-baf3-9a3e9c3da6c7', 'route': ['p1', 'e9', 'i12', 'x4', 'p2', 'c2']}
1769733115.5965257,SENT,eec8a35f-949e-45ef-8c60-d8e0e261dcf1,0fcb9f08-f866-4a38-abae-94ef863cb5ac,c2,c4,3396,?,p2,
1769733115.596659,CREATED,b9141d1c-f490-4d20-a73f-9cb5dc2c7dce,d27e09dd-044b-47f5-b1ea-2160acb86300,c2,c4,27,?,?,surb={'id': '244c2e75-bab0-4f2b-bd42-73d15dfb0248', 'route': ['p1', 'e8', 'i11', 'x9', 'p2', 'c2']}
1769733116.0435464,RECEIVED,469d1bf3-7f6a-4b84-9762-679991625f59,9239d6be-04a3-49f0-ab94-cce696b2d24a,c4,c2,27,p2,?,surb={'id': '54b42958-ebaf-4f6b-84b0-7e94d98e2be9', 'route': ['p2', 'e1', 'i9', 'x2', 'p1', 'c4']}
1769733116.197428,RECEIVED,ce6c3991-78f3-4af1-901b-6ea45e16f126,0730cc97-499b-4213-8e94-6fdb46c7bfda,c4,c2,27,p2,?,surb={'id': '117b4cd0-8f8b-446e-a317-5b1aceefcaad', 'route': ['p2', 'e3', 'i12', 'x10', 'p1', 'c4']}
1769733116.2038605,RECEIVED,2e09fba8-4fb7-4d86-90f8-6a0fa07ec2eb,9239d6be-04a3-49f0-ab94-cce696b2d24a,c4,c2,27,p2,?,surb={'id': '54b42958-ebaf-4f6b-84b0-7e94d98e2be9', 'route': ['p2', 'e1', 'i9', 'x2', 'p1', 'c4']}
1769733116.216351,SENT,d5db3f92-5c38-4e31-a577-3d90a145ffdd,614faf61-947e-48c2-98ce-796263ba6565,c2,c4,3372,?,p2,
1769733116.2164843,CREATED,905a6344-3541-4c9c-9690-777fb00c93e6,d27e09dd-044b-47f5-b1ea-2160acb86300,c2,c4,27,?,?,surb={'id': '244c2e75-bab0-4f2b-bd42-73d15dfb0248', 'route': ['p1', 'e8', 'i11', 'x9', 'p2', 'c2']}
1769733116.6812737,SENT,79db55a2-3d49-4cff-a2a7-eb4f98ebc959,0d57d7a1-50d2-46ad-8cbc-3b64b07507c7,c2,c4,3401,?,p2,
1769733116.6814065,CREATED,306a8963-969d-49e1-b2fe-152f15e78d22,feaf695d-2eea-41d3-a4c0-cf3172a6316f,c2,c4,27,?,?,surb={'id': '5a0f2f9c-af43-4c2d-9f85-4fcfe99293c3', 'route': ['p1', 'e2', 'i7', 'x1', 'p2', 'c2']}
1769733117.1138906,RECEIVED,5cbe2f4e-9dec-4ee5-9c7d-3cdb0330ab8d,0730cc97-499b-4213-8e94-6fdb46c7bfda,c4,c2,27,p2,?,surb={'id': '117b4cd0-8f8b-446e-a317-5b1aceefcaad', 'route': ['p2', 'e3', 'i12', 'x10', 'p1', 'c4']}
1769733117.1992779,SENT,aa3098ee-a361-4697-bf07-fc58aeb43aa4,a414791a-2276-4e71-80c5-7b97f520484a,c2,c4,3375,?,p2,
1769733117.199412,CREATED,8dd70d7b-ffcc-4b80-a472-1545552ce45d,feaf695d-2eea-41d3-a4c0-cf3172a6316f,c2,c4,27,?,?,surb={'id': '5a0f2f9c-af43-4c2d-9f85-4fcfe99293c3', 'route': ['p1', 'e2', 'i7', 'x1', 'p2', 'c2']}
1769733117.4514792,RECEIVED,0a281064-e2a0-4ea7-be79-f9dbef760c58,2a0b8751-476d-4382-a054-7062344775bb,c1,c2,27,p2,?,surb={'id': 'c16dae7f-69d8-4f74-9fd1-a19579b55305', 'route': ['p2', 'e5', 'i11', 'x5', 'p1', 'c1']}
1769733117.6546957,RECEIVED,e8a3f7c0-8be8-4a75-9267-a9aca4e8886c,386afad6-4a02-43df-ad20-d9c7237dc1c1,c1,c2,27,p2,?,surb={'id': '037682fc-8a76-4b37-84fd-c11cc8af8e5b', 'route': ['p2', 'e3', 'i6', 'x5', 'p1', 'c1']}
1769733117.667001,SENT,1e8a76db-c3f5-4262-94c1-d824e11e494a,dcd72e0e-92d0-4c5a-b123-21d70f063837,c2,c4,3385,?,p2,
1769733117.6671681,CREATED,c5cd19cf-3bb6-49c1-9b87-e52b401d4a0f,2b8fe158-4ef6-44eb-adf4-2f0c8782b9fb,c2,c4,27,?,?,surb={'id': '2ce643ec-3fbd-43ed-9578-e3ec5b50b6c9', 'route': ['p1', 'e4', 'i4', 'x3', 'p2', 'c2']}
1769733117.7377515,RECEIVED,9f746ac6-de5c-49ef-bb2e-648b94362adc,3267f0b8-b70e-40b2-90e5-b7f6084bad6c,c1,c2,27,p2,?,surb={'id': '7b5d8672-2910-4888-a91e-f265ea3c91df', 'route': ['p2', 'e2', 'i8', 'x12', 'p1', 'c1']}
1769733117.7414596,RECEIVED,e4fbf78e-137a-434e-be57-21d66a155b84,2a0b8751-476d-4382-a054-7062344775bb,c1,c2,27,p2,?,surb={'id': 'c16dae7f-69d8-4f74-9fd1-a19579b55305', 'route': ['p2', 'e5', 'i11', 'x5', 'p1', 'c1']}
1769733118.0209532,RECEIVED,5d34251d-92a1-4f9e-b889-df267ca8c1b7,aff2f281-1982-45f5-851f-82cd2a509aa1,c4,c2,26,p2,?,surb={'id': 'ff8b27f2-9cb5-46fd-800b-a250a8c97cd2', 'route': ['p2', 'e7', 'i12', 'x7', 'p1', 'c4']}
1769733118.0917225,SENT,c48c0bf7-eb74-4244-b345-340a8ed1e2a9,f71ee8cc-28a4-4e4e-99df-3e31cec8f750,c2,c4,3372,?,p2,
1769733118.091859,CREATED,c97b42bd-cb25-416d-a88b-7fb4635dac60,2b8fe158-4ef6-44eb-adf4-2f0c8782b9fb,c2,c4,27,?,?,surb={'id': '2ce643ec-3fbd-43ed-9578-e3ec5b50b6c9', 'route': ['p1', 'e4', 'i4', 'x3', 'p2', 'c2']}
1769733118.132063,RECEIVED,931f9589-325b-47aa-a17d-21152807f25e,3267f0b8-b70e-40b2-90e5-b7f6084bad6c,c1,c2,27,p2,?,surb={'id': '7b5d8672-2910-4888-a91e-f265ea3c91df', 'route': ['p2', 'e2', 'i8', 'x12', 'p1', 'c1']}
1769733118.4374087,RECEIVED,29c68dc6-5286-4dd6-bfb3-005dbb35519b,386afad6-4a02-43df-ad20-d9c7237dc1c1,c1,c2,27,p2,?,surb={'id': '037682fc-8a76-4b37-84fd-c11cc8af8e5b', 'route': ['p2', 'e3', 'i6', 'x5', 'p1', 'c1']}
1769733118.4938014,SENT,f2f5f289-310d-44aa-be97-b0d4d7a95533,2a388b47-b933-486a-9be7-e7e55b50cbc5,c2,c4,3381,?,p2,
1769733118.493935,CREATED,850ef472-bffd-48a3-b4e7-cf2dd65c41ed,973c101b-ca77-46d0-866d-ecf47befa166,c2,c4,27,?,?,surb={'id': '6614bc51-c880-4bce-870f-bccdff9971ce', 'route': ['p1', 'e5', 'i11', 'x3', 'p2', 'c2']}
1769733118.791364,RECEIVED,aa6050c1-b087-4158-896f-8d1931c15e44,6a7fcd9f-43bc-4241-8fe3-50c72c7e4067,c4,c2,27,p2,?,surb={'id': '9ed9de47-245b-40e8-83a6-10a233124cb9', 'route': ['p2', 'e1', 'i3', 'x7', 'p1', 'c4']}
1769733118.801676,SENT,917ae0a8-760e-4e9f-96dd-68bc7edc2890,29db654a-f4a2-4bc4-8e94-d45bf41f5c74,c2,c4,3390,?,p2,
1769733118.8018043,CREATED,7c3112b6-3b06-4e57-af21-f2bea7cd78cd,973c101b-ca77-46d0-866d-ecf47befa166,c2,c4,27,?,?,surb={'id': '6614bc51-c880-4bce-870f-bccdff9971ce', 'route': ['p1', 'e5', 'i11', 'x3', 'p2', 'c2']}
1769733119.0808892,RECEIVED,f157f006-0516-48b7-8f03-e767e5724648,4d153a1a-7d2d-4aa9-ba9a-9d9498ec770e,c4,c2,27,p2,?,surb={'id': '12357084-aaeb-4b21-9f90-36fd568e2776', 'route': ['p2', 'e12', 'i9', 'x1', 'p1', 'c4']}
1769733119.1355996,RECEIVED,c7549ca8-37e5-4eb4-adbe-7851b2d97169,738bc197-abc5-4dd3-b847-9408b992168d,c1,c2,27,p2,?,surb={'id': 'e17d7edc-3028-4430-b2ad-4ab333797770', 'route': ['p2', 'e10', 'i1', 'x11', 'p1', 'c1']}
1769733119.2284262,RECEIVED,607e27c0-72af-45d7-89bb-cb9a8fc916dc,aff2f281-1982-45f5-851f-82cd2a509aa1,c4,c2,26,p2,?,surb={'id': 'ff8b27f2-9cb5-46fd-800b-a250a8c97cd2', 'route': ['p2', 'e7', 'i12', 'x7', 'p1', 'c4']}
1769733119.4176872,RECEIVED,9e17a962-4ee6-4b82-9c5c-55722d563ed4,4d153a1a-7d2d-4aa9-ba9a-9d9498ec770e,c4,c2,27,p2,?,surb={'id': '12357084-aaeb-4b21-9f90-36fd568e2776', 'route': ['p2', 'e12', 'i9', 'x1', 'p1', 'c4']}
1769733119.4698935,RECEIVED,3234a3f3-56a1-4878-8554-9e17d5b692ff,b2b11e5c-425b-401e-821a-6929f9c92917,c1,c2,27,p2,?,surb={'id': '2e535040-41e1-462c-b508-95ed6b31722e', 'route': ['p2', 'e1', 'i4', 'x8', 'p1', 'c1']}
1769733119.5730677,RECEIVED,fb8a15fb-66ab-4405-bead-cdc1a257fda0,6c3e1441-3467-4e7f-a82a-7de008210fe7,c1,c2,26,p2,?,surb={'id': 'cc5d2aad-f005-4619-a9b5-c1d9b1d947bb', 'route': ['p2', 'e6', 'i11', 'x2', 'p1', 'c1']}
1769733119.5770729,RECEIVED,730677da-7de1-403e-b8b1-6ad9897805e5,b2b11e5c-425b-401e-821a-6929f9c92917,c1,c2,27,p2,?,surb={'id': '2e535040-41e1-462c-b508-95ed6b31722e', 'route': ['p2', 'e1', 'i4', 'x8', 'p1', 'c1']}
1769733119.5904765,SENT,65e1ce66-7ca3-45c5-bbe1-af4038b2df40,6ecc0c42-ae1c-4922-bcbc-cf7785dc49b5,c2,c4,3383,?,p2,
1769733119.590607,CREATED,392ebbce-98ca-46c0-b61f-83b107151782,d743ed25-19ec-4cf5-9ab7-e498a16b5a4d,c2,c4,26,?,?,surb={'id': '6226bffa-9041-4713-8e98-391cd55af8a3', 'route': ['p1', 'e7', 'i12', 'x12', 'p2', 'c2']}
1769733119.9564383,SENT,e149969a-a95d-4066-8348-c069b10ee4cd,298c192a-e172-4ec1-ae35-a7a1b6996d9b,c2,c4,3379,?,p2,
1769733119.956646,CREATED,5407db52-14d0-468c-ae08-e5b65aa5d3c8,d743ed25-19ec-4cf5-9ab7-e498a16b5a4d,c2,c4,26,?,?,surb={'id': '6226bffa-9041-4713-8e98-391cd55af8a3', 'route': ['p1', 'e7', 'i12', 'x12', 'p2', 'c2']}
1769733120.1040807,RECEIVED,61098967-2301-4f8e-ab19-2c521cf87794,6c3e1441-3467-4e7f-a82a-7de008210fe7,c1,c2,26,p2,?,surb={'id': 'cc5d2aad-f005-4619-a9b5-c1d9b1d947bb', 'route': ['p2', 'e6', 'i11', 'x2', 'p1', 'c1']}
1769733120.1331522,RECEIVED,56106d88-fc85-4ff5-9299-1da9ef35d0e0,738bc197-abc5-4dd3-b847-9408b992168d,c1,c2,27,p2,?,surb={'id': 'e17d7edc-3028-4430-b2ad-4ab333797770', 'route': ['p2', 'e10', 'i1', 'x11', 'p1', 'c1']}
1769733120.4595015,RECEIVED,5217394d-e21e-4eef-a6fb-51d0e733128f,8dab53cf-b77c-4809-87e3-92d016b412a0,c1,c2,27,p2,?,surb={'id': '4c66515f-3481-4e40-8fad-d415ad05ad30', 'route': ['p2', 'e6', 'i8', 'x6', 'p1', 'c1']}
1769733120.482848,RECEIVED,a16f1289-731b-4790-9834-465f9a500bd8,f329cf34-01cb-4e43-b80b-845a1eee004d,c1,c2,27,p2,?,surb={'id': '2df8aba1-15a0-447a-bcf0-cbd4b6503c9d', 'route': ['p2', 'e10', 'i2', 'x10', 'p1', 'c1']}
1769733120.5445786,RECEIVED,197bdcd4-3293-40ec-9e22-ba48a6939eff,2dda6093-5996-4b09-b0ff-562051d4985c,c4,c2,27,p2,?,surb={'id': 'e3536a75-ab61-4689-9007-a33b42a17f68', 'route': ['p2', 'e1', 'i6', 'x8', 'p1', 'c4']}
1769733120.6419704,RECEIVED,7b61887d-697f-4e1b-93e3-d3e679ca29d6,a262db95-11c8-4039-a45b-392cc0b4b2d9,c4,c2,27,p2,?,surb={'id': '76fbefe8-aae2-4719-8d1d-fdc62c40a815', 'route': ['p2', 'e12', 'i6', 'x3', 'p1', 'c4']}
1769733121.164988,RECEIVED,b68c74b6-4a72-4744-bc22-5d30825d5ac2,6d83a42c-d049-4d17-99de-0876f50c2e92,c1,c2,27,p2,?,surb={'id': '8811df3a-cf77-4163-a011-d695770ef575', 'route': ['p2', 'e9', 'i3', 'x5', 'p1', 'c1']}
1769733121.3113558,SENT,ad2eac1e-13ef-4b0b-b4eb-156314908d12,80152ea3-f9d9-4c59-8534-ec1d0b538354,c2,c4,3379,?,p2,
1769733121.3114865,CREATED,f0c5acbb-a759-4b2c-bf57-a41158cac843,936ed462-1537-44f1-8825-638f052ddfa9,c2,c4,26,?,?,surb={'id': '846aafa5-feae-4cb2-8cf9-af735a06f34b', 'route': ['p1', 'e7', 'i4', 'x3', 'p2', 'c2']}
1769733121.5648086,RECEIVED,f9b0f710-7906-426f-8f6e-8e6dff25d5e2,39f47fa2-819d-453f-bf5d-e84622846079,c1,c2,26,p2,?,surb={'id': '0ce9322d-10cf-40f3-a023-11fe5b3e721e', 'route': ['p2', 'e7', 'i4', 'x11', 'p1', 'c1']}
1769733121.6644561,RECEIVED,24f06e5e-7f47-451b-8a96-f6d08a8153db,bccfb3b5-358c-4e80-ba79-021d3e37d757,c4,c2,27,p2,?,surb={'id': 'f6cc6f42-2d84-4fdb-ae08-550e28c5a0fb', 'route': ['p2', 'e7', 'i1', 'x7', 'p1', 'c4']}
1769733121.6842296,SENT,76d0bf27-1246-4449-92d6-601d7b5a7da7,e50f414b-ec93-4667-bad3-fe4003827eef,c2,c4,3371,?,p2,
1769733121.6845508,CREATED,ee32263b-4aca-4155-b3e6-4525d28f477c,936ed462-1537-44f1-8825-638f052ddfa9,c2,c4,26,?,?,surb={'id': '846aafa5-feae-4cb2-8cf9-af735a06f34b', 'route': ['p1', 'e7', 'i4', 'x3', 'p2', 'c2']}
1769733121.7056813,RECEIVED,3f4443bc-0693-4a67-81eb-cdfeb6582e8c,c8d07a59-e67c-43bc-8040-8103499e198a,c4,c2,26,p2,?,surb={'id': '61257ca2-c337-4101-88eb-05c9846e25e5', 'route': ['p2', 'e10', 'i2', 'x12', 'p1', 'c4']}
1769733121.8440092,RECEIVED,d0f4fcc2-8591-4693-9b06-78609f2aab27,078f3696-e51f-4181-9eac-7f1dfedc0798,c1,c2,27,p2,?,surb={'id': '9b65bc91-d082-4562-904b-8aaa31202081', 'route': ['p2', 'e4', 'i1', 'x2', 'p1', 'c1']}
1769733121.874518,SENT,ff456300-350e-4d82-ba76-bf3173a467b5,89cc326f-e3a3-4f5e-b2e5-f82274a1dd8b,c2,c4,3384,?,p2,
1769733121.874651,CREATED,37f674c6-7a96-4c6c-9aa3-e913f01642a0,2b740512-06a5-4b67-ac13-2ed8098732db,c2,c4,27,?,?,surb={'id': 'e67170a8-3cf6-4502-866c-4bc24acbba13', 'route': ['p1', 'e12', 'i3', 'x2', 'p2', 'c2']}
1769733121.9713566,RECEIVED,f14a2d06-a1c6-4f5d-b91d-1f56faad4114,bccfb3b5-358c-4e80-ba79-021d3e37d757,c4,c2,27,p2,?,surb={'id': 'f6cc6f42-2d84-4fdb-ae08-550e28c5a0fb', 'route': ['p2', 'e7', 'i1', 'x7', 'p1', 'c4']}
1769733122.172324,RECEIVED,683b163e-c41d-4240-85ea-948efe090b65,6a7fcd9f-43bc-4241-8fe3-50c72c7e4067,c4,c2,27,p2,?,surb={'id': '9ed9de47-245b-40e8-83a6-10a233124cb9', 'route': ['p2', 'e1', 'i3', 'x7', 'p1', 'c4']}
1769733122.2125762,RECEIVED,5eda4b67-50d5-46b0-8b54-844494505054,6d83a42c-d049-4d17-99de-0876f50c2e92,c1,c2,27,p2,?,surb={'id': '8811df3a-cf77-4163-a011-d695770ef575', 'route': ['p2', 'e9', 'i3', 'x5', 'p1', 'c1']}
1769733122.2736235,RECEIVED,ddff9ae0-52f0-4d43-98df-ebff655a9554,39f47fa2-819d-453f-bf5d-e84622846079,c1,c2,26,p2,?,surb={'id': '0ce9322d-10cf-40f3-a023-11fe5b3e721e', 'route': ['p2', 'e7', 'i4', 'x11', 'p1', 'c1']}
1769733122.3261402,RECEIVED,ce0b5b96-6b38-489b-8899-6658754f4629,e6ded0b3-7fe2-4685-b3bd-5539e9e97bb2,c4,c2,27,p2,?,surb={'id': 'd62599b2-300a-4ea0-9b73-55cbe663c94f', 'route': ['p2', 'e10', 'i12', 'x9', 'p1', 'c4']}
1769733122.364546,RECEIVED,e2bc9e07-73ec-4126-8556-0efc8d0a06fd,5f951dbc-1efc-4055-bfa7-fa4cbc2a230d,c4,c2,27,p2,?,surb={'id': 'c7a9e306-4686-4b4c-b63d-ce7cf0bb56f8', 'route': ['p2', 'e7', 'i8', 'x4', 'p1', 'c4']}
1769733122.4079914,SENT,d421b378-d9b4-44a6-ba2a-3b73ca4bc03b,a732d594-531f-4797-bdd7-7854772fb1eb,c2,c4,3403,?,p2,
1769733122.4083009,CREATED,c1327774-001f-4885-8bf8-448f43c0f7ff,2b740512-06a5-4b67-ac13-2ed8098732db,c2,c4,27,?,?,surb={'id': 'e67170a8-3cf6-4502-866c-4bc24acbba13', 'route': ['p1', 'e12', 'i3', 'x2', 'p2', 'c2']}
1769733122.5182614,RECEIVED,b3e24bb9-537a-4a52-a657-b4f7c3a16be9,e6ded0b3-7fe2-4685-b3bd-5539e9e97bb2,c4,c2,27,p2,?,surb={'id': 'd62599b2-300a-4ea0-9b73-55cbe663c94f', 'route': ['p2', 'e10', 'i12', 'x9', 'p1', 'c4']}
1769733122.580838,RECEIVED,c40715f6-d9ed-4be7-85c6-30ec24c0b08a,8dab53cf-b77c-4809-87e3-92d016b412a0,c1,c2,27,p2,?,surb={'id': '4c66515f-3481-4e40-8fad-d415ad05ad30', 'route': ['p2', 'e6', 'i8', 'x6', 'p1', 'c1']}
1769733122.6352096,SENT,ffd48e05-b874-4377-a2e0-de6b828d4890,62adfab3-bba3-4612-b046-fd5d0663ec7d,c2,c4,3380,?,p2,
1769733122.6353626,CREATED,b3a5354d-1f6b-4960-b689-d9e2e9e55033,a13e984c-74cd-4917-9bb6-bcf18bea138f,c2,c4,27,?,?,surb={'id': '0e1bf1c7-528b-4088-bcbe-3fa7f0d4889d', 'route': ['p1', 'e12', 'i7', 'x7', 'p2', 'c2']}
1769733122.6849365,RECEIVED,00a7d075-6833-4a27-bb87-24fd7d6fd1a7,2dda6093-5996-4b09-b0ff-562051d4985c,c4,c2,27,p2,?,surb={'id': 'e3536a75-ab61-4689-9007-a33b42a17f68', 'route': ['p2', 'e1', 'i6', 'x8', 'p1', 'c4']}
1769733122.8574736,RECEIVED,9911e14e-c13a-4d78-acd3-c53a4401216d,c8d07a59-e67c-43bc-8040-8103499e198a,c4,c2,26,p2,?,surb={'id': '61257ca2-c337-4101-88eb-05c9846e25e5', 'route': ['p2', 'e10', 'i2', 'x12', 'p1', 'c4']}
1769733122.910034,SENT,cd184bfe-8f6f-43c8-9476-ea479f830efd,e7355c0a-3c94-44aa-a0e8-d8e986879359,c2,c4,3374,?,p2,
1769733122.9102023,CREATED,80d5bb56-2499-4bec-9b6c-250bda1e3044,a13e984c-74cd-4917-9bb6-bcf18bea138f,c2,c4,27,?,?,surb={'id': '0e1bf1c7-528b-4088-bcbe-3fa7f0d4889d', 'route': ['p1', 'e12', 'i7', 'x7', 'p2', 'c2']}
1769733123.0678775,SENT,6ec27464-aba0-47b9-ba88-e76729d6ff86,2bcd93a8-0fc3-4bd5-b36b-1b6159aa06e9,c2,c4,3392,?,p2,
1769733123.0680113,CREATED,b97d1217-1af0-4e56-8469-89807c34e768,c68dece3-7f0a-452c-a6a1-8c1fb3111bf5,c2,c4,27,?,?,surb={'id': '1974d7fa-7482-4447-82d2-2cfc41bdb14a', 'route': ['p1', 'e8', 'i10', 'x12', 'p2', 'c2']}
1769733123.2943606,SENT,14fcc86e-b22e-48f2-bba1-009d40ab50f3,b6e1a623-392a-43b1-9b7d-f2190030a6d5,c2,c4,3398,?,p2,
1769733123.2944915,CREATED,2199bd17-2229-4444-b5b2-11c42165fd74,c68dece3-7f0a-452c-a6a1-8c1fb3111bf5,c2,c4,27,?,?,surb={'id': '1974d7fa-7482-4447-82d2-2cfc41bdb14a', 'route': ['p1', 'e8', 'i10', 'x12', 'p2', 'c2']}
1769733123.561089,SENT,bfaa9748-e0a9-4a0e-8377-26ab5e9d5050,ede350ea-7e64-4d17-b91f-ab9070088b52,c2,c4,3390,?,p2,
1769733123.56124,CREATED,0cd49641-ce6a-4f7d-8e20-4e364f047d73,99862b27-c30e-4e6f-ba20-07797dd19779,c2,c4,27,?,?,surb={'id': 'b7b4b0ba-808f-4728-940b-def1693ebfd7', 'route': ['p1', 'e11', 'i2', 'x4', 'p2', 'c2']}
1769733123.7100263,RECEIVED,dfa7c9ed-2314-4dc9-bc5b-3fd1a4d7b07d,5266b4b7-6b44-4096-ab90-2bc6d5d3f91e,c1,c2,27,p2,?,surb={'id': '07963de7-5e06-4d2b-9482-f5960e2e9ff4', 'route': ['p2', 'e6', 'i6', 'x9', 'p1', 'c1']}
1769733123.718084,SENT,baa54afb-68c4-45a0-8aab-70d8ef15b450,6c5a10e5-9f2e-45ae-b159-90be573223d7,c2,c4,3368,?,p2,
1769733123.7182262,CREATED,fdddd869-1754-4c41-8925-fc5ae8001a0d,99862b27-c30e-4e6f-ba20-07797dd19779,c2,c4,27,?,?,surb={'id': 'b7b4b0ba-808f-4728-940b-def1693ebfd7', 'route': ['p1', 'e11', 'i2', 'x4', 'p2', 'c2']}
1769733123.9145956,SENT,c74ba250-123e-43ca-9f93-667c4d36cbc8,64b0f633-1a5b-4adf-b28e-34f27459e1a6,c2,c4,3383,?,p2,
1769733123.9147327,CREATED,e5c17a0b-6882-43b0-9bb4-2b7d1bc1bb13,c2abd186-96f6-405d-a9c1-086b8f898c04,c2,c4,27,?,?,surb={'id': '02b96824-30aa-48a1-afdd-a701c9679dce', 'route': ['p1', 'e2', 'i9', 'x1', 'p2', 'c2']}
1769733124.0842378,RECEIVED,32ca593c-9280-49ce-ba6e-4b401f2106b6,f329cf34-01cb-4e43-b80b-845a1eee004d,c1,c2,27,p2,?,surb={'id': '2df8aba1-15a0-447a-bcf0-cbd4b6503c9d', 'route': ['p2', 'e10', 'i2', 'x10', 'p1', 'c1']}
1769733124.1634479,SENT,02bb7209-e2c7-4105-9473-d4566f17a1f8,085f5a6d-586c-46dc-8e6e-642a0f5a255b,c2,c4,3400,?,p2,
1769733124.1635807,CREATED,bfb506cc-3fd7-439e-8aa7-f34ba55d56b2,c2abd186-96f6-405d-a9c1-086b8f898c04,c2,c4,27,?,?,surb={'id': '02b96824-30aa-48a1-afdd-a701c9679dce', 'route': ['p1', 'e2', 'i9', 'x1', 'p2', 'c2']}
1769733124.3074481,RECEIVED,d1d9c1f6-bf34-4b97-87c6-bf382e6c28d9,078f3696-e51f-4181-9eac-7f1dfedc0798,c1,c2,27,p2,?,surb={'id': '9b65bc91-d082-4562-904b-8aaa31202081', 'route': ['p2', 'e4', 'i1', 'x2', 'p1', 'c1']}
1769733124.3448384,RECEIVED,3eaf14fa-51e7-42aa-8b35-24778c15f108,21848200-bcfa-43cb-a11e-ef02703e020c,c4,c2,26,p2,?,surb={'id': 'ebae8be9-9901-41c8-bf5c-4dbd32706048', 'route': ['p2', 'e6', 'i3', 'x3', 'p1', 'c4']}
1769733124.3768775,SENT,bada89b1-f930-420b-b8f3-b96ed5f50afb,eb06f8d9-de80-439b-8581-5d2532c93074,c2,c4,3388,?,p2,
1769733124.3770044,CREATED,bec89412-d841-494f-bb12-738dba5ea14d,d549d773-e3d7-447e-b269-5d7d465a6c49,c2,c4,27,?,?,surb={'id': '91243c4a-f419-436e-92d7-bc04dbb37125', 'route': ['p1', 'e4', 'i7', 'x10', 'p2', 'c2']}
1769733124.3840864,RECEIVED,c0e5cc8e-21ac-4e6f-8d9c-f13c0ffa5645,21848200-bcfa-43cb-a11e-ef02703e020c,c4,c2,26,p2,?,surb={'id': 'ebae8be9-9901-41c8-bf5c-4dbd32706048', 'route': ['p2', 'e6', 'i3', 'x3', 'p1', 'c4']}
