timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769497551.9938731,SENT,9e46ecfe-3434-4842-a5a8-9d8f39bac586,4c1d85d0-9ab4-4ce4-a8b8-ce73dcb05998,c5,c2,3376,?,p2,
1769497551.9940333,CREATED,a00a84cf-ea56-44ad-9465-acb3689afa28,0b610a79-1542-4d6b-a4d5-869f905f0a27,c5,c2,27,?,?,surb={'id': '1d8b7df3-06c7-420c-9f09-662eb1e48a0c', 'route': ['p2', 'e7', 'i8', 'x5', 'p2', 'c5']}
1769497552.0333767,SENT,90243251-de20-4167-a648-e86c50b9f06f,251bf163-0b08-40f1-8224-f955e0c5bb04,c5,c2,3375,?,p2,
1769497552.033529,CREATED,ba449f4f-d097-4ff5-b8b2-7c84ed0c6797,0b610a79-1542-4d6b-a4d5-869f905f0a27,c5,c2,27,?,?,surb={'id': '1d8b7df3-06c7-420c-9f09-662eb1e48a0c', 'route': ['p2', 'e7', 'i8', 'x5', 'p2', 'c5']}
1769497552.1519728,SENT,58001f6f-a7b5-4257-a37f-7829e4002cd6,74d4758f-d5dd-4aa1-a6d6-b639b676f7cf,c5,c2,3354,?,p2,
1769497552.1521485,CREATED,9289f063-4823-4dbf-b384-6b27e9c75f8c,f56dcc68-0d65-42ed-939f-c5e71b180191,c5,c2,25,?,?,surb={'id': '8614a3fd-eadd-46d0-9b8b-baf5c4c4559f', 'route': ['p2', 'e6', 'i9', 'x3', 'p2', 'c5']}
1769497552.2559285,SENT,ab492e9c-16d5-4026-b8f5-f93c28cf83c5,92ff832a-8054-4605-ae98-cdf637c9fd86,c5,c2,3355,?,p2,
1769497552.2561102,CREATED,12cabda5-c1ef-47d8-a2a6-57f6a6410ce3,f56dcc68-0d65-42ed-939f-c5e71b180191,c5,c2,25,?,?,surb={'id': '8614a3fd-eadd-46d0-9b8b-baf5c4c4559f', 'route': ['p2', 'e6', 'i9', 'x3', 'p2', 'c5']}
1769497552.8864844,RECEIVED,0ae8a6ec-ea8a-45f5-8461-0671fcb29f06,ed28c7fd-c22a-491c-a2d5-f70314c339c7,c1,c5,27,p2,?,surb={'id': '201ad097-963e-4d4e-9225-485acf9ac6ef', 'route': ['p2', 'e5', 'i8', 'x12', 'p1', 'c1']}
1769497553.7259238,SENT,e493bb2f-dae5-499e-852b-0a79197cb293,733c4096-0a96-46d6-8a88-89836283bd53,c5,c2,3400,?,p2,
