timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769460539.121922,RECEIVED,b6f4e16a-17a3-4f70-81b7-1fa5ee00bae8,d1cc91e6-e04e-4434-83f6-46d616c6e7bf,c5,c3,27,p3,?,surb={'id': '7fcafd9c-2583-4adc-86b0-74c5e77c2072', 'route': ['p3', 'e2', 'i10', 'x10', 'p2', 'c5']}
1769460539.4696767,RECEIVED,df9c746d-4afa-484f-8aba-497104a4df30,7a492384-1a51-47f8-82a8-e6457ea3017f,c4,c3,27,p3,?,surb={'id': 'e0b45c64-0e96-4def-b822-943b6b720b06', 'route': ['p3', 'e3', 'i11', 'x2', 'p1', 'c4']}
1769460539.7586987,RECEIVED,00ff22f1-a85c-4f59-aba5-445c3a414eac,83aa6486-94c6-42a7-ae09-62c333692739,c4,c3,26,p3,?,surb={'id': 'd6814a7b-ec6a-43a1-a093-d1f4f51c1676', 'route': ['p3', 'e3', 'i12', 'x1', 'p1', 'c4']}
1769460539.7706823,RECEIVED,15e7a2a4-6271-47d7-b8f2-24234ab7695f,9ffcd96e-54a1-4e2a-b979-3086a145e48a,c1,c3,26,p3,?,surb={'id': 'b14fcdcb-6fb4-4046-99f4-17f9f4d6a7af', 'route': ['p3', 'e12', 'i1', 'x6', 'p1', 'c1']}
1769460539.7998133,SENT,59dbca45-2c00-40af-ba1c-64a18468a33d,23790573-2bfd-44b9-b6fe-5ac59bfb0c13,c3,c2,3380,?,p3,
1769460539.7999604,CREATED,003ff32f-b126-4732-8c60-d91b373d2b1d,377ddccd-0eee-4d17-a513-a70456a2e9ec,c3,c2,27,?,?,surb={'id': '1e64053b-14c1-4017-a4f4-978f76c87eb6', 'route': ['p2', 'e12', 'i1', 'x5', 'p3', 'c3']}
1769460540.1102242,SENT,a1e95bda-d260-441e-88a4-d0293dc5539c,1673341d-764a-437b-bff4-58ae2a06e8f9,c3,c2,3400,?,p3,
1769460540.110373,CREATED,e8b06115-a194-4abf-afb5-77b6e5a50f82,66bdfc21-ada6-4562-a1a3-e3ef3025a8a6,c3,c2,27,?,?,surb={'id': '1df657f8-df04-4111-9c31-782f8e5cc705', 'route': ['p2', 'e2', 'i5', 'x10', 'p3', 'c3']}
1769460540.1535387,RECEIVED,ce3fb303-8857-41e4-b475-54ad31af8d17,1085d11c-25fd-4fb5-bbb2-137b05e595cc,c1,c3,27,p3,?,surb={'id': '2d2ae583-733e-46ef-9f33-7d74fa9c9a67', 'route': ['p3', 'e6', 'i10', 'x3', 'p1', 'c1']}
1769460540.336768,RECEIVED,a03c8a66-9260-46e9-8d89-010a448bd178,83aa6486-94c6-42a7-ae09-62c333692739,c4,c3,26,p3,?,surb={'id': 'd6814a7b-ec6a-43a1-a093-d1f4f51c1676', 'route': ['p3', 'e3', 'i12', 'x1', 'p1', 'c4']}
1769460540.4173276,SENT,e3abea55-ce73-4f8d-9460-c518ee3a6909,ae72f329-c166-4af2-b4f4-345abdb412b4,c3,c2,3368,?,p3,
1769460540.417476,CREATED,fc0d0f1c-415c-40d6-9ed5-6a8c8aeb2e17,66bdfc21-ada6-4562-a1a3-e3ef3025a8a6,c3,c2,27,?,?,surb={'id': '1df657f8-df04-4111-9c31-782f8e5cc705', 'route': ['p2', 'e2', 'i5', 'x10', 'p3', 'c3']}
1769460540.458832,RECEIVED,11a1c510-8fc2-4e10-8aa6-39099eb97290,45d205a3-cfc6-49f1-a58d-dc6b4589a597,c1,c3,27,p3,?,surb={'id': 'caece70c-d5bb-4b30-87c1-33939de324b3', 'route': ['p3', 'e2', 'i3', 'x7', 'p1', 'c1']}
1769460540.474291,RECEIVED,fed76e54-ef5b-44cc-be88-4820e763c5e6,45d29670-7023-4251-9b68-247529b625a6,c4,c3,27,p3,?,surb={'id': '44dd0eec-5530-4bfc-ac43-16928bb770fd', 'route': ['p3', 'e1', 'i4', 'x3', 'p1', 'c4']}
1769460540.6994512,SENT,5a5bcfc0-49c9-4e42-8124-0ce75b2430a1,c23cb81d-54bd-4373-b8a5-4af152ec19bc,c3,c2,3384,?,p3,
1769460540.6995816,CREATED,017f545c-970d-45c2-9ef9-0081b730f3ab,fa92bed8-c4a9-4f40-93e3-80428c266933,c3,c2,27,?,?,surb={'id': '5be8b611-9ba6-4df4-b653-17dd9a68da0d', 'route': ['p2', 'e6', 'i6', 'x11', 'p3', 'c3']}
1769460540.7348647,RECEIVED,d6af067b-0755-4626-a9c9-8e273ecbfd49,45d205a3-cfc6-49f1-a58d-dc6b4589a597,c1,c3,27,p3,?,surb={'id': 'caece70c-d5bb-4b30-87c1-33939de324b3', 'route': ['p3', 'e2', 'i3', 'x7', 'p1', 'c1']}
1769460540.7733545,SENT,e40bf5ce-5c1d-4978-8e04-afbcc8af2073,ad612226-2c59-4067-92d2-93e08df9b132,c3,c2,3372,?,p3,
1769460540.7735028,CREATED,585fc4b0-7eca-4fe6-8439-8cb567fac588,fa92bed8-c4a9-4f40-93e3-80428c266933,c3,c2,27,?,?,surb={'id': '5be8b611-9ba6-4df4-b653-17dd9a68da0d', 'route': ['p2', 'e6', 'i6', 'x11', 'p3', 'c3']}
1769460540.8446424,SENT,ccdf03bb-f4d3-4bf7-ab14-340280964e35,2e1f5302-9baa-43fc-97a7-2c7eb3a17e7d,c3,c2,3374,?,p3,
1769460540.8447907,CREATED,bbe4fc0e-9a47-4ac4-a62f-19fb9ba08263,fa0344ef-4a70-45de-871d-e91589bb3891,c3,c2,26,?,?,surb={'id': '882e14e0-0560-476a-b6d7-d9c43aa2fb4f', 'route': ['p2', 'e12', 'i7', 'x8', 'p3', 'c3']}
1769460540.8972898,RECEIVED,7ee3942d-51c4-4c44-8b00-8c830a53490f,52dbd9b8-e0fa-4720-859f-3579eed3a837,c5,c3,25,p3,?,surb={'id': 'a28ebd8b-b52b-44c7-9a2c-6fa62507338e', 'route': ['p3', 'e2', 'i3', 'x6', 'p2', 'c5']}
1769460540.9393406,RECEIVED,cca529ea-f312-4fe9-a7fd-11cebb69ef80,50fc5677-481a-4e3b-82b1-94181ba1612f,c4,c3,27,p3,?,surb={'id': '08922795-e6ec-424e-8e81-3d008468a697', 'route': ['p3', 'e1', 'i1', 'x3', 'p1', 'c4']}
1769460541.1416404,RECEIVED,ea749678-3bbf-4d0f-bf1d-796724d0fe66,1e900d51-a715-43e5-9240-6ea1d242ee82,c5,c3,26,p3,?,surb={'id': '75b6b9e9-8827-4918-9725-66fe411b736c', 'route': ['p3', 'e6', 'i10', 'x5', 'p2', 'c5']}
1769460541.1500251,RECEIVED,c21122c1-8f1a-414a-bfe7-e51834470c39,45d29670-7023-4251-9b68-247529b625a6,c4,c3,27,p3,?,surb={'id': '44dd0eec-5530-4bfc-ac43-16928bb770fd', 'route': ['p3', 'e1', 'i4', 'x3', 'p1', 'c4']}
1769460541.2287757,RECEIVED,5048ae33-4d8a-441f-b7a8-97d0b3fac8c5,aee9e8d1-f8fd-467c-8578-13232f44c8fc,c1,c3,27,p3,?,surb={'id': '8e7c5c6f-bd2c-4abb-aa52-53a74dd48125', 'route': ['p3', 'e1', 'i3', 'x11', 'p1', 'c1']}
1769460541.3224459,RECEIVED,70f0a149-2694-4d65-a4aa-4e56e91550d0,50fc5677-481a-4e3b-82b1-94181ba1612f,c4,c3,27,p3,?,surb={'id': '08922795-e6ec-424e-8e81-3d008468a697', 'route': ['p3', 'e1', 'i1', 'x3', 'p1', 'c4']}
1769460541.4588037,RECEIVED,ef45da26-2e54-4204-8abe-fc9c9d92e622,d1cc91e6-e04e-4434-83f6-46d616c6e7bf,c5,c3,27,p3,?,surb={'id': '7fcafd9c-2583-4adc-86b0-74c5e77c2072', 'route': ['p3', 'e2', 'i10', 'x10', 'p2', 'c5']}
1769460541.5082579,RECEIVED,1d120e45-0cae-4b08-9067-8047e64504cc,36ab2c3e-d205-468f-9a1f-ad7686ae2fad,c4,c3,26,p3,?,surb={'id': '8236e0eb-0cca-4b95-a20c-a9ba4228729f', 'route': ['p3', 'e8', 'i8', 'x7', 'p1', 'c4']}
1769460541.5206063,RECEIVED,a8428945-9578-4aea-b457-134ec82a61b9,52dbd9b8-e0fa-4720-859f-3579eed3a837,c5,c3,25,p3,?,surb={'id': 'a28ebd8b-b52b-44c7-9a2c-6fa62507338e', 'route': ['p3', 'e2', 'i3', 'x6', 'p2', 'c5']}
1769460541.527433,RECEIVED,898f043c-bfe6-43ea-9ab0-a932602de49b,651e806c-0b87-40f2-9a02-699ff1966dda,c5,c3,27,p3,?,surb={'id': '3a1d912f-9208-428d-80bb-e48c63068a3d', 'route': ['p3', 'e9', 'i2', 'x12', 'p2', 'c5']}
1769460541.6944447,RECEIVED,dc33be25-ad10-48d6-b40b-98a661729762,1085d11c-25fd-4fb5-bbb2-137b05e595cc,c1,c3,27,p3,?,surb={'id': '2d2ae583-733e-46ef-9f33-7d74fa9c9a67', 'route': ['p3', 'e6', 'i10', 'x3', 'p1', 'c1']}
1769460541.763787,RECEIVED,42fc76ba-6214-436d-8ee8-57a3e30407d0,43464111-92b0-4638-931d-6badc609e661,c5,c3,27,p3,?,surb={'id': '69d85535-d650-419f-bb88-2e1979f5733e', 'route': ['p3', 'e10', 'i6', 'x3', 'p2', 'c5']}
1769460541.8164992,RECEIVED,e2bf572d-27e8-4d50-bf55-7445af602aee,651e806c-0b87-40f2-9a02-699ff1966dda,c5,c3,27,p3,?,surb={'id': '3a1d912f-9208-428d-80bb-e48c63068a3d', 'route': ['p3', 'e9', 'i2', 'x12', 'p2', 'c5']}
