timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769460535.1680076,SENT,478b54ae-c8de-46f9-8961-b2f93433e6c4,49c8875f-618a-4d74-b07c-964558e0c8a6,c2,c4,3401,?,p2,
1769460535.1682053,CREATED,8ec3c058-92fb-4f02-8d80-c4a141282ec0,96b53825-9edb-49ad-9f5e-f295e8baa5bc,c2,c4,27,?,?,surb={'id': 'a9aa8a0c-332e-4ef1-90a0-c5097a91ace6', 'route': ['p1', 'e11', 'i2', 'x12', 'p2', 'c2']}
1769460538.5758362,CREATED,402ab043-c564-4b2c-9e66-76b555993fcc,e8f0b63a-a53a-4a26-89c0-d9ef88e200eb,c2,c4,26,?,?,surb={'id': '56699db9-4fa8-4690-8a72-12a25c5e0ec4', 'route': ['p1', 'e2', 'i4', 'x11', 'p2', 'c2']}
1769460538.6319509,RECEIVED,8fb34274-ff6f-4996-bd61-fab3519f4bd7,b02ff3b2-f564-4e43-9050-3061bdda899d,c3,c2,27,p2,?,surb={'id': 'ad728629-13e7-4f64-b907-6aaab9220b4a', 'route': ['p2', 'e10', 'i12', 'x11', 'p3', 'c3']}
1769460538.7718854,SENT,4d553cce-feed-444a-a82d-6238b4a5cf3a,1aa4eb76-3eca-4534-a933-06d3dfad0702,c2,c4,3383,?,p2,
1769460538.772043,CREATED,ed457581-75e7-499f-8c58-a667fc1c6a57,ed3aaa07-15a0-439e-a0c2-30314467c2ed,c2,c4,27,?,?,surb={'id': 'f8c54976-4acd-44c1-b876-c332a8abd08c', 'route': ['p1', 'e8', 'i12', 'x8', 'p2', 'c2']}
1769460539.204846,SENT,1cd8e986-80ce-4b77-8590-fa0467c496c0,549b7504-e9ac-40ac-805e-d60ef24c6a22,c2,c4,3405,?,p2,
1769460539.2049778,CREATED,16df71ae-a506-466a-bc2b-be624bf663c3,ed3aaa07-15a0-439e-a0c2-30314467c2ed,c2,c4,27,?,?,surb={'id': 'f8c54976-4acd-44c1-b876-c332a8abd08c', 'route': ['p1', 'e8', 'i12', 'x8', 'p2', 'c2']}
1769460539.2880998,SENT,ab3e5b7c-2057-479e-9629-189e774e4960,f5c79fa2-1cf6-4ba9-aab7-4096cb7f6a7f,c2,c4,3402,?,p2,
1769460539.2882543,CREATED,732adf7a-b8a5-404e-a406-89de4dcf3a26,1399ad1d-4a56-4930-bcb6-066c0d9a0c9a,c2,c4,27,?,?,surb={'id': '5c614d99-2d61-40a4-ac23-4c3fcc457dfa', 'route': ['p1', 'e2', 'i10', 'x8', 'p2', 'c2']}
1769460539.5202425,RECEIVED,78644749-c597-442a-912d-5dbefbb22c39,0860a38d-ca72-47c2-a038-0b0321d2a88d,c3,c2,26,p2,?,surb={'id': 'ce074b08-ec3a-4e37-9ed9-576784a46e7b', 'route': ['p2', 'e11', 'i4', 'x7', 'p3', 'c3']}
1769460539.5411003,RECEIVED,ca08c266-766c-4aab-9242-4ee702fe2962,0860a38d-ca72-47c2-a038-0b0321d2a88d,c3,c2,26,p2,?,surb={'id': 'ce074b08-ec3a-4e37-9ed9-576784a46e7b', 'route': ['p2', 'e11', 'i4', 'x7', 'p3', 'c3']}
1769460539.8936071,RECEIVED,8a5af864-7e62-470d-817e-e68c6abe1e81,742a240c-d74b-4551-844b-33a855f0df1a,c3,c2,27,p2,?,surb={'id': '1c6d0078-ada2-4cc3-b907-099318a05c72', 'route': ['p2', 'e11', 'i5', 'x1', 'p3', 'c3']}
1769460539.91245,RECEIVED,20ee8e43-3dbc-499e-9635-bb14290c1590,388153f4-64e5-491b-921d-c44b1a5d8028,c3,c2,27,p2,?,surb={'id': 'e3ca1cf7-1ef3-41cb-bc81-8964c799f986', 'route': ['p2', 'e2', 'i9', 'x9', 'p3', 'c3']}
1769460539.9313843,RECEIVED,e548ffa3-452e-4a4d-9b91-ecd2327ffca3,388153f4-64e5-491b-921d-c44b1a5d8028,c3,c2,27,p2,?,surb={'id': 'e3ca1cf7-1ef3-41cb-bc81-8964c799f986', 'route': ['p2', 'e2', 'i9', 'x9', 'p3', 'c3']}
1769460540.6778386,RECEIVED,18174fa9-f385-4ce5-b3e9-eb58e6b4d5d8,742a240c-d74b-4551-844b-33a855f0df1a,c3,c2,27,p2,?,surb={'id': '1c6d0078-ada2-4cc3-b907-099318a05c72', 'route': ['p2', 'e11', 'i5', 'x1', 'p3', 'c3']}
1769460540.7111568,SENT,4e406e49-d890-4b65-84ca-e63eaae8081d,cf481ace-4246-4e61-8d0a-6e197db52c6e,c2,c4,3360,?,p2,
1769460540.7112944,CREATED,11b38de3-859a-4343-80b9-a4095012164a,1399ad1d-4a56-4930-bcb6-066c0d9a0c9a,c2,c4,27,?,?,surb={'id': '5c614d99-2d61-40a4-ac23-4c3fcc457dfa', 'route': ['p1', 'e2', 'i10', 'x8', 'p2', 'c2']}
1769460540.992669,SENT,6be8d65b-253f-4eae-b7c2-0eb34c2effcb,4b1fa564-a550-481a-ae11-b03bd7899be7,c2,c4,3384,?,p2,
1769460540.9928215,CREATED,d112fa8a-3c32-4e0a-a460-e25a7af1baf7,cef8d5d9-1c7b-44d1-ac4a-0f04e369f05b,c2,c4,27,?,?,surb={'id': '044f5ec9-e042-46f9-ab45-6d1ce9712f07', 'route': ['p1', 'e12', 'i11', 'x10', 'p2', 'c2']}
1769460541.5142014,RECEIVED,017f545c-970d-45c2-9ef9-0081b730f3ab,fa92bed8-c4a9-4f40-93e3-80428c266933,c3,c2,27,p2,?,surb={'id': '5be8b611-9ba6-4df4-b653-17dd9a68da0d', 'route': ['p2', 'e6', 'i6', 'x11', 'p3', 'c3']}
1769460541.5896835,SENT,6d0595e4-f1fc-4a32-9faa-4becd70ffc1b,0799656d-6be3-4573-acd6-17970432adc0,c2,c4,3399,?,p2,
1769460541.5898638,CREATED,920efadf-4b5a-43e0-ba0e-f878d234cb0e,cef8d5d9-1c7b-44d1-ac4a-0f04e369f05b,c2,c4,27,?,?,surb={'id': '044f5ec9-e042-46f9-ab45-6d1ce9712f07', 'route': ['p1', 'e12', 'i11', 'x10', 'p2', 'c2']}
1769460541.7318711,SENT,26176d2c-75eb-4692-b1e8-4041381d4508,90a3e11f-cd42-4792-a9b7-eb60940c4a77,c2,c4,3393,?,p2,
1769460541.732022,CREATED,87ac4ce9-2b86-46cb-a816-4aef613cb90e,3a367e05-3c8d-48f3-9c76-f6155cba5053,c2,c4,27,?,?,surb={'id': '8f7edff0-9c3d-4066-8096-63db2db640b7', 'route': ['p1', 'e6', 'i10', 'x1', 'p2', 'c2']}
1769460541.8461096,SENT,7a91d780-456b-453e-9be7-db7a6d716fa5,231b7df7-1a49-44fe-a01c-e0644c0e4a28,c2,c4,3386,?,p2,
1769460541.8462641,CREATED,1b37bb44-72a7-4efb-bbd2-297ce6bad357,3a367e05-3c8d-48f3-9c76-f6155cba5053,c2,c4,27,?,?,surb={'id': '8f7edff0-9c3d-4066-8096-63db2db640b7', 'route': ['p1', 'e6', 'i10', 'x1', 'p2', 'c2']}
1769460541.9495404,RECEIVED,c5d8d312-e20f-4abb-861b-bfa1cc088e3d,377ddccd-0eee-4d17-a513-a70456a2e9ec,c3,c2,27,p2,?,surb={'id': '1e64053b-14c1-4017-a4f4-978f76c87eb6', 'route': ['p2', 'e12', 'i1', 'x5', 'p3', 'c3']}
1769460542.021282,SENT,f6c39b43-8639-4cee-9fd1-09656a3f84bb,b3afb35c-24dc-47dc-816f-04f8ec435b92,c2,c4,3391,?,p2,
1769460542.0214324,CREATED,e77e023d-a6bf-4f56-b362-2f7bfb75c2ec,583be512-57c8-4a4d-b691-6fbc979edbdd,c2,c4,27,?,?,surb={'id': 'e3a98c0f-602c-42ad-89bf-0f31f95db281', 'route': ['p1', 'e11', 'i2', 'x10', 'p2', 'c2']}
1769460542.121853,RECEIVED,585fc4b0-7eca-4fe6-8439-8cb567fac588,fa92bed8-c4a9-4f40-93e3-80428c266933,c3,c2,27,p2,?,surb={'id': '5be8b611-9ba6-4df4-b653-17dd9a68da0d', 'route': ['p2', 'e6', 'i6', 'x11', 'p3', 'c3']}
1769460542.1631289,RECEIVED,e8b06115-a194-4abf-afb5-77b6e5a50f82,66bdfc21-ada6-4562-a1a3-e3ef3025a8a6,c3,c2,27,p2,?,surb={'id': '1df657f8-df04-4111-9c31-782f8e5cc705', 'route': ['p2', 'e2', 'i5', 'x10', 'p3', 'c3']}
1769460542.386188,RECEIVED,003ff32f-b126-4732-8c60-d91b373d2b1d,377ddccd-0eee-4d17-a513-a70456a2e9ec,c3,c2,27,p2,?,surb={'id': '1e64053b-14c1-4017-a4f4-978f76c87eb6', 'route': ['p2', 'e12', 'i1', 'x5', 'p3', 'c3']}
1769460542.5169575,SENT,5d5a8b77-dac4-45aa-aa1c-d6b044aa7823,6c7e77c2-52bc-4d09-9c71-8a0aee9407f7,c2,c4,3384,?,p2,
1769460542.5204246,CREATED,ba32d32c-46ee-40e0-bb5c-6761c50a3c24,583be512-57c8-4a4d-b691-6fbc979edbdd,c2,c4,27,?,?,surb={'id': 'e3a98c0f-602c-42ad-89bf-0f31f95db281', 'route': ['p1', 'e11', 'i2', 'x10', 'p2', 'c2']}
1769460542.5575383,RECEIVED,fc0d0f1c-415c-40d6-9ed5-6a8c8aeb2e17,66bdfc21-ada6-4562-a1a3-e3ef3025a8a6,c3,c2,27,p2,?,surb={'id': '1df657f8-df04-4111-9c31-782f8e5cc705', 'route': ['p2', 'e2', 'i5', 'x10', 'p3', 'c3']}
1769460542.5584056,SENT,7a10539e-17bf-476e-b3d3-7ebc87ec8b56,05c14064-655b-46c6-a87b-906ed25818af,c2,c4,3387,?,p2,
1769460542.5585535,CREATED,110245ba-78e9-4931-89cb-ed8dc5a4ba07,7569b638-0392-421f-828e-522e65127a5d,c2,c4,27,?,?,surb={'id': 'c9be775d-c9d6-4dc8-9626-eef1b7d1ffd2', 'route': ['p1', 'e11', 'i10', 'x12', 'p2', 'c2']}
1769460542.625699,SENT,7060ef6a-5b40-44b4-b5ea-12dccc5bbf4b,d8789467-58f1-4acd-b0a2-fa0f19011b67,c2,c4,3420,?,p2,
1769460542.6258302,CREATED,7580c3c3-3174-46ed-9645-500831f5ef64,7569b638-0392-421f-828e-522e65127a5d,c2,c4,27,?,?,surb={'id': 'c9be775d-c9d6-4dc8-9626-eef1b7d1ffd2', 'route': ['p1', 'e11', 'i10', 'x12', 'p2', 'c2']}
1769460542.8063407,SENT,40c88a28-d3a1-4a4b-ad4f-3ffbabccedb6,ce1d720a-6fd6-492d-99d9-c9db2fc6d39c,c2,c4,3400,?,p2,
1769460542.8065038,CREATED,9bbebd47-9162-4b44-b50f-c9b524131fd7,62dda991-713e-4399-9900-9144367a7cda,c2,c4,27,?,?,surb={'id': '565eb12c-abd1-4425-aa02-fbfc540d9adf', 'route': ['p1', 'e5', 'i1', 'x11', 'p2', 'c2']}
1769460543.604249,SENT,ce3225ef-0f34-4f9d-abb9-5ee33ff95c66,dd40f229-d0bb-4ec0-a1a8-637169a6a64b,c2,c4,3384,?,p2,
1769460543.6043978,CREATED,cec55c3b-e103-49e6-b708-e0f23ec20160,62dda991-713e-4399-9900-9144367a7cda,c2,c4,27,?,?,surb={'id': '565eb12c-abd1-4425-aa02-fbfc540d9adf', 'route': ['p1', 'e5', 'i1', 'x11', 'p2', 'c2']}
1769460543.6250355,RECEIVED,474cdd10-fa0d-48b2-bb80-26c6716bf7db,9e1cb845-df70-431a-8fa5-255c5d72aec2,c3,c2,27,p2,?,surb={'id': 'd5cc7fc0-ccf5-4780-8ca2-ae833c4501fc', 'route': ['p2', 'e4', 'i10', 'x3', 'p3', 'c3']}
1769460543.7275774,SENT,53015ef5-9ab1-45ab-91dd-422ed848ac41,7db73a0f-75bb-4987-8ce2-012243fd3b95,c2,c4,3392,?,p2,
1769460543.7277408,CREATED,feef9caa-513d-454c-a2cf-96c5f73431ec,cc0fe4c5-6ee4-4d0c-85d0-340514c5e530,c2,c4,27,?,?,surb={'id': '54fc4a70-a2b6-4a66-b3ed-16ba7d7c76ed', 'route': ['p1', 'e12', 'i4', 'x10', 'p2', 'c2']}
1769460544.878037,RECEIVED,5cd54600-c870-4e9b-9282-850b50a96456,ca3f80d9-3dee-4adc-b343-659ccf392ad5,c3,c2,27,p2,?,surb={'id': '3ff21fe3-7ada-417e-b729-a4b6898b0812', 'route': ['p2', 'e5', 'i7', 'x7', 'p3', 'c3']}
1769460544.9272795,RECEIVED,936632a7-8b6d-4709-b517-8ac6d2e47e1c,9e1cb845-df70-431a-8fa5-255c5d72aec2,c3,c2,27,p2,?,surb={'id': 'd5cc7fc0-ccf5-4780-8ca2-ae833c4501fc', 'route': ['p2', 'e4', 'i10', 'x3', 'p3', 'c3']}
1769460545.0369034,SENT,dc5e516f-7e78-4550-9991-c09cba0d9d9c,53597a3c-e43b-41f5-9dcd-da76e364d74f,c2,c4,3392,?,p2,
1769460545.0370784,CREATED,4b3a7d54-df58-4108-bdd0-3e9f23eb6d1f,cc0fe4c5-6ee4-4d0c-85d0-340514c5e530,c2,c4,27,?,?,surb={'id': '54fc4a70-a2b6-4a66-b3ed-16ba7d7c76ed', 'route': ['p1', 'e12', 'i4', 'x10', 'p2', 'c2']}
1769460545.496504,RECEIVED,16ca206d-d3a4-42c4-bc6d-df7e666d018b,b0d8d581-61c7-43ad-8488-89415806e2a2,c3,c2,27,p2,?,surb={'id': 'b507549a-0e44-4ea5-b7bf-35dd8fd09433', 'route': ['p2', 'e7', 'i8', 'x11', 'p3', 'c3']}
1769460545.5339012,RECEIVED,81f14d42-ee93-4911-bfed-226c7ffc1623,ca3f80d9-3dee-4adc-b343-659ccf392ad5,c3,c2,27,p2,?,surb={'id': '3ff21fe3-7ada-417e-b729-a4b6898b0812', 'route': ['p2', 'e5', 'i7', 'x7', 'p3', 'c3']}
1769460545.7631824,RECEIVED,a9a9153b-6515-49fd-90c0-666ba4abee53,b0d8d581-61c7-43ad-8488-89415806e2a2,c3,c2,27,p2,?,surb={'id': 'b507549a-0e44-4ea5-b7bf-35dd8fd09433', 'route': ['p2', 'e7', 'i8', 'x11', 'p3', 'c3']}
1769460545.7639437,SENT,af67ecd1-12d6-42fa-966d-8b629144821e,830bd300-7f52-46f1-bdae-0602d01370e8,c2,c4,3379,?,p2,
1769460545.764885,CREATED,94f41b74-c19a-47ee-9d25-43da7531fab8,c646c915-f937-4551-af5b-558f0d9781ce,c2,c4,26,?,?,surb={'id': 'e6431020-6be5-4f17-bb1e-c60950fbb3e3', 'route': ['p1', 'e10', 'i9', 'x6', 'p2', 'c2']}
1769460545.8885412,SENT,89599ddd-4b28-457f-b283-186708487a13,a5e2c412-690b-4e2e-9bf7-5d79646b1179,c2,c4,3386,?,p2,
1769460545.8886914,CREATED,b833af6a-ac17-449c-b5fb-5aa46ee8ef7b,c646c915-f937-4551-af5b-558f0d9781ce,c2,c4,26,?,?,surb={'id': 'e6431020-6be5-4f17-bb1e-c60950fbb3e3', 'route': ['p1', 'e10', 'i9', 'x6', 'p2', 'c2']}
1769460545.941443,RECEIVED,bbe4fc0e-9a47-4ac4-a62f-19fb9ba08263,fa0344ef-4a70-45de-871d-e91589bb3891,c3,c2,26,p2,?,surb={'id': '882e14e0-0560-476a-b6d7-d9c43aa2fb4f', 'route': ['p2', 'e12', 'i7', 'x8', 'p3', 'c3']}
1769460545.9548497,SENT,fffcea39-cc7f-4349-9990-83166601bcfb,07a852ef-ef95-464a-a4b2-a78c3d1c9ebd,c2,c4,3399,?,p2,
1769460545.9550056,CREATED,fa899aed-2cea-4a2e-8adc-bcbc90eae238,8dda35ac-a8b1-47a1-8321-b838f9faadb5,c2,c4,27,?,?,surb={'id': '46911928-8735-4fd6-98bb-01cc9bde7c25', 'route': ['p1', 'e7', 'i1', 'x7', 'p2', 'c2']}
1769460546.3131518,RECEIVED,4821bdee-2ace-4cb9-821a-aada7a4fae94,bff84e0b-79bc-4da5-b1f7-b9a5a62000ae,c3,c2,26,p2,?,surb={'id': '7881c0a2-2e13-447c-985e-e0f03420a68a', 'route': ['p2', 'e12', 'i1', 'x7', 'p3', 'c3']}
1769460546.3558064,RECEIVED,7f2641e9-e6c6-458a-a891-79f5134e54fa,bff84e0b-79bc-4da5-b1f7-b9a5a62000ae,c3,c2,26,p2,?,surb={'id': '7881c0a2-2e13-447c-985e-e0f03420a68a', 'route': ['p2', 'e12', 'i1', 'x7', 'p3', 'c3']}
1769460546.4420338,SENT,10a89cfd-6b8e-4f92-b06a-864d9b1df151,a5b4ad29-ddf7-4af7-ac7d-242e0a934f17,c2,c4,3380,?,p2,
1769460546.442215,CREATED,13219f58-44ae-4b26-94f6-be6bb7265ba1,8dda35ac-a8b1-47a1-8321-b838f9faadb5,c2,c4,27,?,?,surb={'id': '46911928-8735-4fd6-98bb-01cc9bde7c25', 'route': ['p1', 'e7', 'i1', 'x7', 'p2', 'c2']}
1769460546.7241416,SENT,81a13ada-f859-451a-97ad-186fb80d4b39,733f3865-0d4c-4824-932d-a1c5459825e7,c2,c4,3399,?,p2,
1769460546.7242963,CREATED,faeb2cb3-6d74-44bb-9f9a-663a60207fd4,f05670c3-d155-4531-be89-2d3072dad069,c2,c4,27,?,?,surb={'id': '8fcb5bb4-fdec-4216-ae60-8df877570eb0', 'route': ['p1', 'e8', 'i12', 'x5', 'p2', 'c2']}
1769460546.8505528,RECEIVED,58aa7cc2-0565-4dd8-9677-f92121a4622a,a2e2c609-adba-4980-836d-f94ce4cb17f1,c3,c2,27,p2,?,surb={'id': 'a9b7b2b0-59ca-42d0-9fff-245c1fec51d5', 'route': ['p2', 'e7', 'i11', 'x1', 'p3', 'c3']}
1769460547.2807226,SENT,e7b95157-5374-449c-a7e9-236dbc7a3498,fe2e3ccf-0d71-4e1f-a3f3-df86ee2f7577,c2,c4,3384,?,p2,
1769460547.2808728,CREATED,dcf47b7e-25ff-407b-8edc-6a149e69b23d,f05670c3-d155-4531-be89-2d3072dad069,c2,c4,27,?,?,surb={'id': '8fcb5bb4-fdec-4216-ae60-8df877570eb0', 'route': ['p1', 'e8', 'i12', 'x5', 'p2', 'c2']}
1769460547.4434803,RECEIVED,85b83121-19cd-455a-8c9b-6f5b6cbb4d46,fa0344ef-4a70-45de-871d-e91589bb3891,c3,c2,26,p2,?,surb={'id': '882e14e0-0560-476a-b6d7-d9c43aa2fb4f', 'route': ['p2', 'e12', 'i7', 'x8', 'p3', 'c3']}
1769460547.5112193,RECEIVED,d3a73dfe-f0e1-4d4d-a017-09ab4baf3339,a2e2c609-adba-4980-836d-f94ce4cb17f1,c3,c2,27,p2,?,surb={'id': 'a9b7b2b0-59ca-42d0-9fff-245c1fec51d5', 'route': ['p2', 'e7', 'i11', 'x1', 'p3', 'c3']}
1769460547.6596775,SENT,adba5ea4-d2c0-46c5-902e-86c3165c59f5,ae2aca9a-8ea0-4095-8fc3-476a566bd2ea,c2,c4,3375,?,p2,
1769460547.6598268,CREATED,32398ee4-cba9-4e44-9271-61c31af5679e,85a756ca-87aa-45e8-87f2-3eacbd60a48e,c2,c4,26,?,?,surb={'id': '0fd1da19-5ea1-4806-96aa-7d320edbc470', 'route': ['p1', 'e8', 'i6', 'x11', 'p2', 'c2']}
1769460547.7962298,SENT,64f7a5b0-6eaa-44f1-8d43-a29ae2210327,c4f6d829-6a96-4e02-b9be-e8800e572591,c2,c4,3363,?,p2,
1769460547.7963822,CREATED,1f145ee0-186e-4e4b-84ff-8be766ec1c2d,85a756ca-87aa-45e8-87f2-3eacbd60a48e,c2,c4,26,?,?,surb={'id': '0fd1da19-5ea1-4806-96aa-7d320edbc470', 'route': ['p1', 'e8', 'i6', 'x11', 'p2', 'c2']}
1769460548.0197282,SENT,aeadc3bf-6ac7-4bd5-8dd7-806f8de0fd0f,f9b1ad8d-4ab9-4e72-ab86-b4573640e2f3,c2,c4,3396,?,p2,
1769460548.0200403,CREATED,5eebfa43-23d7-47d7-94de-abe71d82c54f,23768047-14da-4ada-94ab-e388f7516b18,c2,c4,26,?,?,surb={'id': 'b6fd6c31-cc86-4945-b1c9-cc1a2461b76c', 'route': ['p1', 'e6', 'i8', 'x1', 'p2', 'c2']}
1769460548.174825,SENT,3967134c-553c-4acd-8cf7-f3c5182bfb4a,eb06344c-92a1-4f72-9659-cd978da4a962,c2,c4,3376,?,p2,
1769460548.1749766,CREATED,f1f78b8f-1902-4350-9981-f0b77c413fc2,23768047-14da-4ada-94ab-e388f7516b18,c2,c4,26,?,?,surb={'id': 'b6fd6c31-cc86-4945-b1c9-cc1a2461b76c', 'route': ['p1', 'e6', 'i8', 'x1', 'p2', 'c2']}
1769460548.1990278,SENT,7fe9c255-d69e-455b-9cf7-b8f1fa1b4442,dc353ef0-860e-4438-a6b0-39de8fb63521,c2,c4,3385,?,p2,
1769460548.1993725,CREATED,6907876d-81d8-4a1d-851f-8362cc7c7f01,fd29da50-0a34-45eb-95b5-e5ef9837d2f1,c2,c4,26,?,?,surb={'id': '6c48f7bc-c275-4a4f-bcf0-329b98e82781', 'route': ['p1', 'e5', 'i2', 'x7', 'p2', 'c2']}
1769460548.3450756,SENT,3e6d0cf5-49f9-46db-afb3-1ce3b2ebf7c9,cebc7f5c-581b-4e80-85d0-dca23fc9df87,c2,c4,3381,?,p2,
1769460548.3454483,CREATED,70558099-ab4c-45e4-b257-62e6ede06c6d,fd29da50-0a34-45eb-95b5-e5ef9837d2f1,c2,c4,26,?,?,surb={'id': '6c48f7bc-c275-4a4f-bcf0-329b98e82781', 'route': ['p1', 'e5', 'i2', 'x7', 'p2', 'c2']}
1769460549.0753,SENT,f9179a29-363f-4a49-b54e-562df238f9f5,915eb552-3b4d-469e-9c16-282eb7ebbb68,c2,c4,3388,?,p2,
1769460549.0754015,CREATED,42a8f73b-ada0-4f4b-bb9a-eaa136afdb02,338153cb-a0d8-47e7-8880-58105e13b1a9,c2,c4,27,?,?,surb={'id': '13ef462e-6138-474e-b25c-fa460e95e008', 'route': ['p1', 'e7', 'i11', 'x2', 'p2', 'c2']}
1769460549.097853,RECEIVED,01cd9544-ba3e-4cd5-83e6-3f6f901eed0d,35577c72-455d-4904-acc1-958a5f8cf852,c3,c2,27,p2,?,surb={'id': '2524d25a-4162-41f1-a512-a4dbc24116c6', 'route': ['p2', 'e3', 'i8', 'x8', 'p3', 'c3']}
1769460549.364443,SENT,2c778111-4d11-4098-82a5-11136714f32b,842ad746-a2bc-4153-abdf-3b66b587d83e,c2,c4,3393,?,p2,
1769460549.3646128,CREATED,9d73521d-67f9-458e-af76-408a9d37997f,338153cb-a0d8-47e7-8880-58105e13b1a9,c2,c4,27,?,?,surb={'id': '13ef462e-6138-474e-b25c-fa460e95e008', 'route': ['p1', 'e7', 'i11', 'x2', 'p2', 'c2']}
1769460549.59669,RECEIVED,4f55e7da-da1c-41b1-82b2-3b5cdd540888,35577c72-455d-4904-acc1-958a5f8cf852,c3,c2,27,p2,?,surb={'id': '2524d25a-4162-41f1-a512-a4dbc24116c6', 'route': ['p2', 'e3', 'i8', 'x8', 'p3', 'c3']}
1769460549.9461393,RECEIVED,12106b75-ae95-4faa-886b-209f8331d92d,0300722e-0f3f-4403-9d34-fea61f173ffa,c3,c2,27,p2,?,surb={'id': '4a59d78a-c2b1-4ab4-954a-124596b81ff1', 'route': ['p2', 'e7', 'i3', 'x10', 'p3', 'c3']}
1769460549.959918,RECEIVED,3b6992a1-8896-45d6-b87b-b06ca2f3e2c7,8bc372d5-98cd-4744-ad99-98b8c81c08e8,c3,c2,27,p2,?,surb={'id': '422ad8a9-d8bf-4a3c-82c8-11bf1751bfdc', 'route': ['p2', 'e11', 'i4', 'x11', 'p3', 'c3']}
1769460550.2203188,SENT,514da27c-beea-4dc9-baae-d67c7546b00c,25eaf7ac-7144-4a92-b066-c252d6f8c9b4,c2,c4,3383,?,p2,
1769460550.2204845,CREATED,a5ed32a4-b6b8-4d7b-a57e-1703d278b5d3,0d7128a2-6c6b-4b48-bf97-7a6eeb8ddae4,c2,c4,26,?,?,surb={'id': 'e582adf2-3700-47ba-aa8c-bfeae00fd197', 'route': ['p1', 'e6', 'i1', 'x2', 'p2', 'c2']}
1769460550.3078136,SENT,a27fcf1f-0355-4232-ad48-7c5d47c88841,4cb7c30b-bdfe-4590-a88e-fed08a3fdf05,c2,c4,3379,?,p2,
1769460550.3079567,CREATED,eccbd733-4e24-4c7b-b6ca-f83ab02bffcd,0d7128a2-6c6b-4b48-bf97-7a6eeb8ddae4,c2,c4,26,?,?,surb={'id': 'e582adf2-3700-47ba-aa8c-bfeae00fd197', 'route': ['p1', 'e6', 'i1', 'x2', 'p2', 'c2']}
