timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769744844.0913413,RECEIVED,5de776f9-409b-4705-bb2f-cc5d5ce89568,4a1c4722-dfb3-4057-9dbe-b22ae65ee9a2,c1,c4,27,p1,?,surb={'id': 'b5bb225e-1365-4773-9daa-3fad55d450fb', 'route': ['p1', 'e9', 'i9', 'x4', 'p1', 'c1']}
1769744844.111517,SENT,27880333-5ba9-4b9e-a779-27f866e5188e,f9c94fbc-de0f-4c88-8ed5-b3c9a53b8080,c4,c2,3381,?,p1,
1769744844.1117945,CREATED,fa5e7201-873b-475b-bfac-2b960e1307c0,0666cbde-160f-4be2-8d66-c46d5a785e48,c4,c2,27,?,?,surb={'id': 'a3ab3840-1ad6-4278-b4db-77605a589ee0', 'route': ['p2', 'e9', 'i4', 'x9', 'p1', 'c4']}
1769744844.2371783,SENT,ff6c9035-5d91-4534-80b4-e4f870d13984,0f7e7d94-c3c5-428f-879f-299aca62ff0e,c4,c2,3384,?,p1,
1769744844.2373157,CREATED,cc2162fd-0aa6-4e21-b135-1ec3fdb8c17a,9cd1bcf5-b80b-40dd-a8a3-58a735891bed,c4,c2,27,?,?,surb={'id': '9bc1dc49-e2c5-499c-8811-bdd6acd9890d', 'route': ['p2', 'e8', 'i5', 'x5', 'p1', 'c4']}
1769744844.3133676,RECEIVED,d0fcc40b-61a4-422b-b979-fbb542b65c79,24abaa32-85bd-4099-8f1d-861db5768c19,c1,c4,27,p1,?,surb={'id': '6a9241a4-2028-4183-bcd2-43e0d2e769ac', 'route': ['p1', 'e5', 'i3', 'x8', 'p1', 'c1']}
1769744844.5626857,RECEIVED,cfb75fa9-4747-4d35-8faf-550111045525,7d486a50-b336-43bc-90c5-929c69deaffd,c1,c4,27,p1,?,surb={'id': '45777693-82f1-4cf7-a40d-afa5a07cd5b1', 'route': ['p1', 'e5', 'i2', 'x2', 'p1', 'c1']}
1769744844.9704506,RECEIVED,7756afae-d3a1-4282-a0e9-e93b65ce2c2c,5a85c224-659c-43bb-aac5-292b3210cfcd,c1,c4,27,p1,?,surb={'id': '8827d8be-56a8-4e69-8fe7-c9471d23fdc3', 'route': ['p1', 'e5', 'i4', 'x12', 'p1', 'c1']}
1769744845.0657198,SENT,1f4e73bb-80fe-4a49-bcb9-b2aff1845e6b,9d586c8a-6227-4076-b4d3-cfdacdb4c7d4,c4,c2,3380,?,p1,
1769744845.0658038,CREATED,6a03422b-8c18-4bcd-a84a-a16bbfff9d1f,5efb8441-e77f-45da-ab4d-2d6a96ca850f,c4,c2,26,?,?,surb={'id': 'fe77ec50-e30d-4ae1-b733-2eb3142bc77e', 'route': ['p2', 'e8', 'i1', 'x2', 'p1', 'c4']}
1769744845.529791,RECEIVED,1fe9b927-ecfb-47e4-9a2b-53fe97aa4d2d,8c7a2be2-c9cc-46c7-8a99-e3a1a5af8b4f,c1,c4,26,p1,?,surb={'id': 'e1b819f4-e841-4b84-87c3-0a1e67ac732b', 'route': ['p1', 'e9', 'i5', 'x1', 'p1', 'c1']}
1769744845.6206923,SENT,081df2f0-1670-468f-86cc-980bb9895f14,17942dd4-6d95-4358-a127-5967d6e36ef4,c4,c2,3400,?,p1,
1769744845.6208274,CREATED,d9236a90-bc9f-4e52-87f2-497a83ed67c4,5a2727a6-eefd-48b9-9b60-81ca78e9c9c8,c4,c2,27,?,?,surb={'id': '8b03bf0e-0bf2-4269-a3cb-40f61ed0cb14', 'route': ['p2', 'e10', 'i2', 'x12', 'p1', 'c4']}
1769744845.7598393,SENT,abb1013b-0ee9-47e9-b23f-b24349570204,ae901400-26f5-40e5-a665-84ecafe98b78,c4,c2,3356,?,p1,
