timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769744838.9274678,RECEIVED,f6390617-10c9-4a75-93d2-5c3cd935712a,fcfae772-a0f8-4212-8ede-5795b5730b51,c4,c2,27,p2,?,surb={'id': 'bb60d209-d826-48ad-a90e-ef90df842497', 'route': ['p2', 'e8', 'i6', 'x4', 'p1', 'c4']}
1769744839.1420903,RECEIVED,d232e8e5-8b3d-48ac-9d78-becc00c572c0,0abae27b-fdd3-4665-b895-c1933beafa4d,c4,c2,27,p2,?,surb={'id': '37fe726f-a25b-4ad8-983f-af0a949668ed', 'route': ['p2', 'e5', 'i5', 'x1', 'p1', 'c4']}
1769744839.3139515,SENT,73c65127-282d-42c9-9705-ae5e038783cc,f3db2ec1-be51-454a-be13-da419bf7a46d,c2,c5,3359,?,p2,
1769744839.3141377,CREATED,cf758476-78e0-48b8-ba02-67824f62eaca,3844b47a-1634-4306-9f7a-ee67867d886f,c2,c5,26,?,?,surb={'id': '49cd7504-88c7-48ea-883b-f13b637e7d40', 'route': ['p2', 'e5', 'i9', 'x8', 'p2', 'c2']}
1769744839.3318107,RECEIVED,277c80cb-b4fc-4d6d-ae10-c4ce9e5086c5,7eb50072-7abc-48cd-8272-aeb2c2af2391,c4,c2,26,p2,?,surb={'id': '34e72413-acc7-406c-a831-89620e8e9f4e', 'route': ['p2', 'e4', 'i8', 'x1', 'p1', 'c4']}
1769744839.3387165,RECEIVED,f59c009c-0617-4390-8c84-9c26c3eb1ef3,b603af41-d906-42f8-8d81-43991cd311f2,c4,c2,27,p2,?,surb={'id': 'f86cb06b-6880-46ea-96a2-0db92ed627b3', 'route': ['p2', 'e4', 'i12', 'x7', 'p1', 'c4']}
1769744839.8293111,RECEIVED,2a5245eb-6a66-4bf6-a64f-3d457cef23e0,93696ee4-ec47-4ae2-ae60-8546937f1bc2,c4,c2,26,p2,?,surb={'id': '02b97d2a-3ade-4cfd-b74d-518a9a0c9f17', 'route': ['p2', 'e2', 'i3', 'x3', 'p1', 'c4']}
1769744839.9018621,SENT,b5d8e780-c782-4404-9e91-06ad80ed3931,ba3e50d8-f033-4478-917d-aa40f9d6cfd8,c2,c5,3383,?,p2,
1769744839.9019942,CREATED,3fd8930a-6c77-4d09-ad5c-95be19f4608c,6f8b96fd-ae77-4a3e-8bc9-4614c815fae2,c2,c5,27,?,?,surb={'id': 'a47a1377-78df-446a-92dd-916e2fb491cf', 'route': ['p2', 'e2', 'i12', 'x8', 'p2', 'c2']}
1769744840.4031959,RECEIVED,70dfd2a2-2cee-4547-bd76-7f83f10358e8,598a7549-3a42-4a7b-9960-25f379240fe2,c4,c2,27,p2,?,surb={'id': '455dc037-7313-4f60-b49c-2e34bb4ea81a', 'route': ['p2', 'e6', 'i8', 'x4', 'p1', 'c4']}
1769744840.6388206,RECEIVED,5f37c95c-deb7-44d0-a26c-75ba84e424bd,af454513-e33c-4e2b-a881-0d4f762fcc13,c4,c2,27,p2,?,surb={'id': '1ae9e8bf-7f43-4e8c-8fb7-ee5dc35224f0', 'route': ['p2', 'e7', 'i1', 'x6', 'p1', 'c4']}
1769744840.8533077,SENT,5ac706b8-db18-4dab-80f4-707aee40d016,a307f1e6-b2c0-4330-b419-24f50e7d97cc,c2,c5,3380,?,p2,
1769744840.8534565,CREATED,3ba33d10-db03-49d3-a0e8-ac5927579c2d,e3c35b17-0b1b-42be-a689-0d7fe355edb3,c2,c5,26,?,?,surb={'id': '45b8fde0-bc18-44bd-add2-821f8c706842', 'route': ['p2', 'e10', 'i4', 'x1', 'p2', 'c2']}
1769744841.0676978,SENT,c9776c8b-65c4-463c-85c8-227c4a43c9b5,3778dfd0-fdd7-4647-9dc2-ab2f9d5830ad,c2,c5,3363,?,p2,
1769744841.0679088,CREATED,459df20e-03f6-4e07-b722-76d6598580fc,75c643ca-8156-44d9-a944-fa4c0033e6ee,c2,c5,27,?,?,surb={'id': '98dd1967-4136-43b1-a5b0-c6dbb347c320', 'route': ['p2', 'e8', 'i4', 'x9', 'p2', 'c2']}
1769744841.4109,RECEIVED,2b0c0316-50f5-409a-a64e-014c249da435,c09ffdb3-7f66-4e6b-9b6b-8157faf0dc5f,c4,c2,27,p2,?,surb={'id': '70654367-9b88-4109-8a52-e628530bdb69', 'route': ['p2', 'e6', 'i11', 'x5', 'p1', 'c4']}
1769744841.832957,SENT,a5dc8fe3-5d77-423b-b1bf-f4cdb36f5ac3,a17b126a-737c-4514-8094-3bf126faa700,c2,c5,3398,?,p2,
1769744841.833132,CREATED,26c21528-3763-4906-a3c4-9d140b0ee45b,da0e77c2-66d5-48bc-be45-519fee5a6d1c,c2,c5,27,?,?,surb={'id': '0b7bca00-564d-445b-85a6-148801b46a8a', 'route': ['p2', 'e9', 'i11', 'x8', 'p2', 'c2']}
1769744841.930823,SENT,89b9a889-6c3d-49a4-8345-fc5be053369f,61096445-d21b-48d3-8f15-aa095cd45c25,c2,c5,3379,?,p2,
1769744841.9309535,CREATED,658e5774-6941-4c59-9777-ece68ffc13d3,3bc003bb-198d-46bc-8b0e-fc0f23ab96fe,c2,c5,27,?,?,surb={'id': '1e0f5478-99de-4152-87ee-2afefa45ced7', 'route': ['p2', 'e12', 'i9', 'x8', 'p2', 'c2']}
1769744842.3849652,SENT,318b3090-8fb3-4212-a5ba-aca1eec71544,795b4eeb-e48a-4ff9-aecb-4ec73c2702f7,c2,c5,3384,?,p2,
1769744842.3851666,CREATED,b693af92-8c86-4aa3-bb6f-ba8ead207a07,7f218ae5-da6f-48f9-868d-bd8800c61093,c2,c5,27,?,?,surb={'id': '32d2cf15-472f-456a-a384-601af9e79bc0', 'route': ['p2', 'e10', 'i6', 'x5', 'p2', 'c2']}
1769744842.8244526,SENT,d947d65b-8560-4093-a43b-024a0481719c,ef8f36f5-b15e-41e2-b168-7939c23f655a,c2,c5,3384,?,p2,
1769744842.8245838,CREATED,f11138f6-9f83-4eb0-8337-94daa14d91d4,127537d8-d857-404f-abb5-5dd34414e907,c2,c5,27,?,?,surb={'id': '5692a779-8a48-49ba-be83-e75131a5bf0d', 'route': ['p2', 'e7', 'i5', 'x7', 'p2', 'c2']}
1769744843.042422,RECEIVED,e687be54-42e0-4a99-b91d-14316ae5ebf0,f2f68a80-5c4a-4556-8a13-47dc10d16843,c4,c2,27,p2,?,surb={'id': '9524b9cd-5af3-428e-89b2-74fc3adf5f70', 'route': ['p2', 'e11', 'i3', 'x10', 'p1', 'c4']}
1769744843.2074673,RECEIVED,649854f7-f49f-4c0e-b39e-1d3668ca5115,8c3e61aa-f0c1-4153-9d74-c8289b87237b,c4,c2,27,p2,?,surb={'id': 'c46326ea-e2c6-4d98-abf5-9fe5511f3926', 'route': ['p2', 'e9', 'i5', 'x10', 'p1', 'c4']}
1769744843.282009,RECEIVED,3e85304b-a804-4743-b54a-0cb9be2d44f2,7762a1d9-587d-4495-91a2-66e11b13e2f2,c4,c2,27,p2,?,surb={'id': 'e316ea6c-1329-4127-a50a-9275dec2bf08', 'route': ['p2', 'e8', 'i1', 'x1', 'p1', 'c4']}
