timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769487682.139343,RECEIVED,2c8efe4e-b6a6-4fb3-a878-143fa1883721,d9fa593d-aec5-406e-9dcc-986645e1f617,c2,c1,27,p1,?,surb={'id': '11453d02-13a2-413a-b626-2414b801d6fc', 'route': ['p1', 'e8', 'i5', 'x5', 'p2', 'c2']}
1769487682.1612747,SENT,4ddf4020-dec0-4659-8011-b5c0f5ffad2d,5e3b128a-7aa4-411c-98bb-c00ef89d5fd1,c1,DROP,2031,?,p1,
1769487682.1614063,CREATED,b60a5578-9122-45fd-9835-acff4d6e0c94,4d043e05-5d56-4195-8ab9-e7fdaff06491,c1,DROP,26,?,?,
1769487682.4877288,SENT,d080435c-d537-48a3-b11d-7683ec5312e8,fbf2400a-18a3-4823-b8a0-cef9cfff2b42,c1,c5,3371,?,p1,
1769487682.487878,CREATED,884c66a5-bef1-472d-af38-74b225329802,96ed42a8-d8e5-42bd-a381-ae01d68010d2,c1,c5,27,?,?,surb={'id': '44d7bae0-3c40-46d7-85a9-8298b4e0b076', 'route': ['p2', 'e2', 'i7', 'x4', 'p1', 'c1']}
1769487682.4986494,RECEIVED,f454b053-17b5-4fee-9682-9552ca8c0e89,53c2be96-1438-4fdd-ac1e-b67e10da4c6c,c2,c1,27,p1,?,surb={'id': '3ae7eb0b-d144-44c7-ad51-56365d30e2b6', 'route': ['p1', 'e9', 'i9', 'x6', 'p2', 'c2']}
1769487682.6388655,SENT,95aae077-cef0-4029-89b5-7dd5a2522b44,ef2ee123-d208-425f-9a3d-4838cb5520f8,c1,c5,3384,?,p1,
1769487682.6390145,CREATED,251fffcd-d44d-4700-ab40-b85461379e33,9ac7aa71-d377-4a6f-a5a0-22eaf60052fb,c1,c5,26,?,?,surb={'id': '2df3b9cd-bc5f-4c89-9675-74ec6cff34f3', 'route': ['p2', 'e9', 'i12', 'x10', 'p1', 'c1']}
1769487682.8284605,RECEIVED,cdf32551-fca1-4ce6-b20f-edeb33972af8,2fd7fb9d-6381-4768-b2eb-99816716c336,c2,c1,27,p1,?,surb={'id': 'dfc08e09-fe4b-490e-bb66-aba11ee07ae0', 'route': ['p1', 'e2', 'i10', 'x9', 'p2', 'c2']}
1769487683.270847,SENT,cc5fdac3-3daa-4780-9eea-73696d5c675e,acd86035-428d-412c-bffb-4cf594620b23,c1,c5,3395,?,p1,
