timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769446347.1693497,SENT,6ba0913f-5690-410d-a4c2-aaebb2b09f22,9c7d091d-7e0e-448c-ba16-0a55b1cab289,c5,c4,3397,?,p2,
1769446347.169508,CREATED,8ec91f99-e34c-4fb6-9f09-111d2eb987c2,bb13c6ca-e9ea-4264-8ec2-4ef7e8aa6f35,c5,c4,27,?,?,surb={'id': '5a7d9fb4-5d7d-4877-ae1a-42c67b92d975', 'route': ['p1', 'e11', 'i12', 'x9', 'p2', 'c5']}
1769446349.1838822,RECEIVED,c23a7d6a-2529-4fec-b823-5cb6110ffc6b,41f6765e-0b49-4dd0-8ea2-5eed090cd891,c4,c5,27,p2,?,surb={'id': '0c1c3d89-f09b-45c0-a046-a9e969411698', 'route': ['p2', 'e7', 'i7', 'x3', 'p1', 'c4']}
1769446349.2912426,SENT,c9522945-30a2-4866-a390-410968f2f96e,f635f675-9460-472c-9760-e973e80a6ca8,c5,c4,3358,?,p2,
1769446349.2913868,CREATED,0c5328ab-e2bf-4b8b-9006-34b83b447cb2,decbe9f7-8e74-4c4a-898c-a61deb7c8e63,c5,c4,26,?,?,surb={'id': '3a54fcd5-6866-47e2-9483-9b914de7485f', 'route': ['p1', 'e8', 'i8', 'x11', 'p2', 'c5']}
1769446349.3026953,RECEIVED,847ae152-ebf8-4fad-b90f-7b4ccb9d048a,474a32d4-a774-47f7-9e75-f5d39637b9ef,c4,c5,27,p2,?,surb={'id': 'c5226f8f-bb99-4d39-b10b-795629ecb3de', 'route': ['p2', 'e5', 'i2', 'x11', 'p1', 'c4']}
1769446349.6497967,RECEIVED,7bbec792-874f-4245-ae14-e59df9386df1,7eb9b64a-674c-40fd-8049-48b9da2c94ae,c4,c5,27,p2,?,surb={'id': 'cfcdf749-98bb-46be-9a71-590f2a7c789f', 'route': ['p2', 'e12', 'i5', 'x12', 'p1', 'c4']}
1769446349.7707598,RECEIVED,e73c5e29-4ba6-4d05-9ac2-733852ad6ec2,2df7f888-2b67-448e-8851-f0b1ba910e84,c4,c5,27,p2,?,surb={'id': 'b6ca622d-4536-424b-b809-f6cfab953eca', 'route': ['p2', 'e2', 'i7', 'x12', 'p1', 'c4']}
1769446350.3553145,RECEIVED,aa006756-a8ac-4b95-85e7-7419ca932b93,35f2ecb5-6c51-4602-88f5-556a1f6a2e17,c4,c5,27,p2,?,surb={'id': 'a8c00a6e-089d-46a4-94f2-2d89c4142518', 'route': ['p2', 'e9', 'i8', 'x7', 'p1', 'c4']}
1769446350.3597534,RECEIVED,18ef4773-bde4-4fcf-bb3b-82009512e9d9,1fd5757e-0e4e-4db7-a5f2-c49524a5ee41,c4,c5,26,p2,?,surb={'id': '5c464dc2-b6c5-4eab-a859-5d935cde6160', 'route': ['p2', 'e12', 'i12', 'x1', 'p1', 'c4']}
1769446350.557597,RECEIVED,4e069077-07ea-4dcb-8c0d-da6a837222d2,2461a36e-0a9c-4600-a3f9-f6bea795e8e9,c1,c5,26,p2,?,surb={'id': 'bf8a1a78-e823-4682-befa-bcef5cbf5e2b', 'route': ['p2', 'e3', 'i3', 'x7', 'p1', 'c1']}
1769446350.6329973,RECEIVED,c4330819-6e0d-496b-9283-5b1ebed3922a,984b02c8-b8ae-4747-9718-a6a5e26c1202,c4,c5,27,p2,?,surb={'id': '71e46cae-ad2b-4f61-a945-a7144d4c84b8', 'route': ['p2', 'e2', 'i3', 'x5', 'p1', 'c4']}
1769446350.6691792,SENT,bef3eeff-9278-40de-b661-8760c32303ae,286f73c3-c604-4848-828a-8db52105c8ce,c5,c4,3393,?,p2,
1769446350.6693227,CREATED,e8a701aa-8f2e-4eb1-b078-190e5a30bd6e,efb6a21e-e5af-4f99-b3bb-6138d96d8181,c5,c4,27,?,?,surb={'id': '8af93c92-31dc-42c1-ba21-5887b3cc1ef0', 'route': ['p1', 'e6', 'i8', 'x2', 'p2', 'c5']}
1769446350.860378,SENT,eb3ef42d-0c26-494a-9aeb-ded0fc92540f,b18a7f52-4778-4de3-8d6a-4ea72aa8d738,c5,c4,3401,?,p2,
1769446350.8605309,CREATED,0e6388ba-8352-4a3c-8eca-3e48fd9e3577,7ab7b59d-f353-4522-af57-cada9a7bf942,c5,c4,27,?,?,surb={'id': '0514fc4b-fcef-45ea-bf16-e231423ba321', 'route': ['p1', 'e11', 'i2', 'x10', 'p2', 'c5']}
1769446350.988668,SENT,97389eec-314e-4092-a735-6c4177dca822,ca5bb911-01f2-48c7-ad60-6bea2460563b,c5,c4,3381,?,p2,
1769446350.988823,CREATED,9a388ca9-0e8c-4c25-938d-214a855fc94c,6698b2f1-825e-4ea9-b1d7-99ac390238f3,c5,c4,27,?,?,surb={'id': 'b41d1a02-3120-4baa-9d55-cb02021177cf', 'route': ['p1', 'e11', 'i3', 'x7', 'p2', 'c5']}
1769446351.0761662,SENT,b42322aa-5949-4418-b023-bc2b02fda683,8c9fa3bc-1077-4d05-bae4-e210ccaa4e62,c5,c4,3401,?,p2,
1769446351.0763943,CREATED,98d2c9ab-fe36-4a5b-b227-0b81a5b8b349,b54a35d9-5591-49f1-9072-2e2955ad0c87,c5,c4,27,?,?,surb={'id': 'cbe9f870-89a7-48c9-8dfa-537138ebe800', 'route': ['p1', 'e6', 'i3', 'x1', 'p2', 'c5']}
1769446351.222525,RECEIVED,a60dcb65-e00d-427c-887a-6df7ab5b921c,ddce37ec-76d0-4f77-8c1e-736b12b2038c,c4,c5,27,p2,?,surb={'id': '3b71d2f1-25ec-49c8-aa77-04e46864f438', 'route': ['p2', 'e12', 'i1', 'x10', 'p1', 'c4']}
1769446351.5693789,SENT,d75c24f0-0035-4f15-8ce1-36bc24254e04,90725e4a-afee-49ec-ae12-e924912ecdca,c5,c4,3364,?,p2,
1769446351.5695255,CREATED,d02310d5-a324-410d-b18b-b1667c102352,da85e8df-b938-4b4c-8982-54f7f4f71393,c5,c4,25,?,?,surb={'id': 'ed25e95d-7030-4936-9f49-d6a37b352e9e', 'route': ['p1', 'e6', 'i3', 'x2', 'p2', 'c5']}
1769446351.6116877,RECEIVED,54b391bd-dc92-4d63-8521-04efc05ebf4e,e5578c56-d68f-4d9b-91ef-72b1ac09be62,c4,c5,27,p2,?,surb={'id': '848a2812-13c7-4b9b-b002-bad1098dabb7', 'route': ['p2', 'e2', 'i5', 'x3', 'p1', 'c4']}
1769446351.6691651,SENT,4d2d3cad-677c-4f2e-b33e-15d831d85375,b7017e0b-3cc6-48ec-95d8-dffd9058ff66,c5,c4,3397,?,p2,
1769446351.6693165,CREATED,e8a4cb4c-15e8-4c15-905e-14408fc7ba65,e413a176-7540-4086-b316-0a175e1c2f8b,c5,c4,27,?,?,surb={'id': '100a5c5c-a780-4974-b033-fcbc2cdb97ae', 'route': ['p1', 'e11', 'i6', 'x4', 'p2', 'c5']}
1769446352.1144657,RECEIVED,797870ed-ef85-4106-9da9-d94559239c79,4e25a954-62b2-4b13-9664-8d5bd7f1f56d,c4,c5,27,p2,?,surb={'id': 'b8840d22-92e6-40b1-9159-2640185340b8', 'route': ['p2', 'e3', 'i12', 'x9', 'p1', 'c4']}
1769446352.1950452,SENT,97ced87c-6124-4901-8879-895447aaaa51,d6a5ed72-49d3-4a9f-ac59-2155cab5ecc5,c5,DROP,2017,?,p2,
1769446352.195425,CREATED,3496141f-1d46-4c97-826c-97f02f5efd25,f836c6e1-e0f3-46eb-b83a-1d6864a4b5f1,c5,DROP,27,?,?,
1769446352.36089,RECEIVED,48b4e475-6f8c-4a94-9b2f-9ae7eaead10e,c6a5e5d8-b17b-4237-8f3a-e5c21eac03f9,c4,c5,26,p2,?,surb={'id': 'd01144ce-24e7-4911-b826-d8a9fe44725d', 'route': ['p2', 'e8', 'i12', 'x5', 'p1', 'c4']}
1769446352.6983907,SENT,330a49eb-ca3b-4388-bd4f-4d9c1b5dcd87,ecee5279-c537-4d7d-8034-4c26b3c0b15b,c5,c4,3380,?,p2,
1769446352.7009268,CREATED,84460f69-dc4d-4bcb-b5ad-62ec8de51fce,1097740c-01c9-458c-9a5d-6b9bf182e72c,c5,c4,27,?,?,surb={'id': '4691e67e-1ab0-4a42-8fd1-b197f34ef1a0', 'route': ['p1', 'e7', 'i9', 'x1', 'p2', 'c5']}
1769446352.8949616,SENT,168f89bf-f4d7-4ce6-b37e-0799933a02a2,d0119cff-4611-46ab-8473-e03ab4307336,c5,c4,3383,?,p2,
1769446352.8951392,CREATED,d50a9ab9-32e3-4445-9dfc-fad4150042ad,010565cf-a4d2-4623-b27e-49f02576fad7,c5,c4,27,?,?,surb={'id': '0aed3b18-058e-48d0-a576-a53d9c90140f', 'route': ['p1', 'e6', 'i2', 'x3', 'p2', 'c5']}
1769446352.9816105,RECEIVED,11f02390-eaa9-4ff4-acbb-424c9b513c40,94e90dfd-858e-440d-8ae0-94adf8a62ce2,c1,c5,27,p2,?,surb={'id': 'cddd4b4e-3cc8-4b8e-9eea-91be6f072321', 'route': ['p2', 'e7', 'i1', 'x2', 'p1', 'c1']}
1769446353.0496068,SENT,39d62314-1dd8-4a1b-ad03-42f975eeb951,a16b1947-4d45-4208-ae5c-a7fb43dd1c9d,c5,c4,3376,?,p2,
1769446353.049767,CREATED,ff21d146-bf52-498f-8d3e-4e38ab1b0a05,d2a6c912-7b1c-438f-a24f-c5a0d32c92a1,c5,c4,27,?,?,surb={'id': '00b778fa-d473-49c5-8a84-56b59f7c3082', 'route': ['p1', 'e7', 'i3', 'x1', 'p2', 'c5']}
1769446353.215337,RECEIVED,de8b1867-216a-4a2b-980d-deb0ba17c8b6,88d53c6f-83c3-4d9f-93ad-84832a0e618f,c1,c5,26,p2,?,surb={'id': '4247e012-bcd1-44ee-acfb-1683623536b6', 'route': ['p2', 'e8', 'i9', 'x12', 'p1', 'c1']}
1769446353.2626145,RECEIVED,1711e18b-064a-4cd8-9cf1-b449c9a9c692,a8c2217f-159c-42ad-a431-bd60bb3a73fe,c4,c5,27,p2,?,surb={'id': 'dd86633d-99b8-463c-b99f-3a1b56074026', 'route': ['p2', 'e2', 'i8', 'x9', 'p1', 'c4']}
1769446353.3690152,RECEIVED,be5580cd-e55b-4431-af94-6c8b7e695257,70d023ea-ac8f-4bae-96f9-b09267865f30,c4,c5,27,p2,?,surb={'id': 'cf3cbc53-5f68-4fa0-98f5-41df0819f280', 'route': ['p2', 'e10', 'i5', 'x3', 'p1', 'c4']}
1769446353.3731256,SENT,0c2a5bca-743c-4652-bfe9-bf2450a9506f,1d597a23-f9f3-490e-9765-3c7d4671c6d6,c5,c4,3360,?,p2,
1769446353.3733044,CREATED,507b41c1-294e-4014-9704-030dbd141adb,5ce7d084-b8aa-4039-ac78-fa323f8d6448,c5,c4,26,?,?,surb={'id': '3cbd53f0-6e9a-4b03-99a8-6b4e3570754f', 'route': ['p1', 'e9', 'i3', 'x8', 'p2', 'c5']}
1769446353.4061592,RECEIVED,3494fb0e-5572-45f2-91d5-b0969f9654e7,5465f173-3f4e-4e13-9518-16f8d58811de,c1,c5,27,p2,?,surb={'id': '5ca15e26-3210-4692-9ae8-335a6e757a18', 'route': ['p2', 'e3', 'i11', 'x3', 'p1', 'c1']}
1769446353.6423388,RECEIVED,617baa59-5cad-450c-a41a-f852af176d3c,bb7813eb-115b-48db-8114-4d8fd4de3587,c1,c5,27,p2,?,surb={'id': '9150bbe1-0b77-424e-9131-a33463533d9b', 'route': ['p2', 'e2', 'i7', 'x1', 'p1', 'c1']}
1769446353.7960002,RECEIVED,1a6e8ffa-f6e4-441b-ad6a-9241fac76f40,799f3be4-341e-424a-9f34-b129af7bed4c,c4,c5,27,p2,?,surb={'id': 'ba48bba3-2739-48df-96a3-18cad7d4ed3b', 'route': ['p2', 'e8', 'i3', 'x2', 'p1', 'c4']}
1769446353.8153226,RECEIVED,6c137ec2-ca89-44e4-9558-2e020e3b810b,d73293e3-39c1-40de-9348-3b8598020df2,c4,c5,26,p2,?,surb={'id': '2983bf66-8156-4cb9-a7ee-97f8bf61e5ff', 'route': ['p2', 'e6', 'i6', 'x7', 'p1', 'c4']}
1769446353.840175,RECEIVED,2bb4efac-763e-4040-be62-b98a5870646b,fa463e4a-b0d1-4ce6-9bdd-a7c5b31f4b7f,c4,c5,27,p2,?,surb={'id': 'acd046c9-980a-45b7-a509-2eaa6107c265', 'route': ['p2', 'e1', 'i8', 'x6', 'p1', 'c4']}
1769446353.9283497,RECEIVED,d9c7dbd9-abf3-4036-b73d-7c8b7d1de545,dbc5f251-f328-4ca6-8572-de239b68b0e8,c1,c5,27,p2,?,surb={'id': '9afdb037-cae3-4ce0-8360-1348d5c06659', 'route': ['p2', 'e8', 'i9', 'x3', 'p1', 'c1']}
1769446354.2022378,RECEIVED,f9ff9223-3704-4d23-842b-98e3c165d9f7,725beea6-d73d-453d-98f6-1788140a31a4,c1,c5,27,p2,?,surb={'id': 'ccecd728-c728-40bc-9369-02b012d1dd6f', 'route': ['p2', 'e7', 'i2', 'x10', 'p1', 'c1']}
1769446354.4069395,SENT,cf748ab0-cf6e-4852-ae98-d47213a79388,cbef19b6-0261-4b56-91ec-47538e6cba08,c5,c4,3405,?,p2,
1769446354.4075942,CREATED,73cb3e93-d622-4ee1-b19d-97238591fdba,00ae2fa7-94f6-48e1-87a3-7c23e4550959,c5,c4,26,?,?,surb={'id': 'eb7787af-cff5-4c3c-8435-bb72bb01ff9f', 'route': ['p1', 'e6', 'i12', 'x11', 'p2', 'c5']}
1769446354.5525918,SENT,e5c287d1-a6e9-47f9-b01b-0fd9da39ebb2,65f9a034-4653-4ca8-b397-9e8a03067fc9,c5,c4,3378,?,p2,
1769446354.5527253,CREATED,b8eccfe8-93e7-4814-a47d-c4ce7b7b5959,4717cefb-34e8-4666-91f5-5a18412d2858,c5,c4,26,?,?,surb={'id': '2915537f-fefb-4286-b665-46a082103cbf', 'route': ['p1', 'e5', 'i12', 'x6', 'p2', 'c5']}
1769446354.564937,RECEIVED,4ecfab73-270a-47b7-926b-b6355b614301,fbefd70c-b692-4de4-8c8b-9f39e00b227a,c4,c5,26,p2,?,surb={'id': 'd81648e6-7b1f-4f75-9244-566f46684bb2', 'route': ['p2', 'e7', 'i12', 'x4', 'p1', 'c4']}
1769446354.6300216,SENT,069ec963-70bd-4779-bf24-b501f0bc8285,9d6df039-f2d5-4f71-8ace-6b475d380f83,c5,c4,3406,?,p2,
1769446354.6302009,CREATED,935d93dd-2d5e-4c10-9b52-ae93c948f766,250c43e0-1403-4aa6-8f66-8a46ff18504a,c5,c4,27,?,?,surb={'id': '72104d4a-9bf4-4735-bb7b-a115df8b0e7f', 'route': ['p1', 'e6', 'i12', 'x9', 'p2', 'c5']}
1769446354.74675,RECEIVED,ef7d3bf6-2a10-4533-94fb-a4105b4fd54f,46a59afa-4031-4857-9f0e-3fedffb73bb6,c1,c5,26,p2,?,surb={'id': '6424f462-6b5c-4535-b64a-4d6cc03de821', 'route': ['p2', 'e10', 'i10', 'x5', 'p1', 'c1']}
1769446355.0654662,RECEIVED,fceca99a-1747-4b18-8450-271d08426311,6cd26e38-2967-4f7f-a303-68b32928328f,c1,c5,27,p2,?,surb={'id': 'c890c83f-ea45-46bb-9346-80b80d85e029', 'route': ['p2', 'e1', 'i4', 'x7', 'p1', 'c1']}
1769446355.1385748,SENT,8a587ee0-92c2-4afa-827a-6ed8a50629e5,8e786258-4a7a-4c74-9af6-808a48587657,c5,c4,3367,?,p2,
1769446355.1387205,CREATED,1d0ab66d-c81a-4389-85a9-243c0a267904,ddb3b3de-0e3a-4ca4-b6a3-94333c741378,c5,c4,27,?,?,surb={'id': 'd1e77a6e-636d-4d8c-b736-8c10d1b67e65', 'route': ['p1', 'e3', 'i6', 'x8', 'p2', 'c5']}
1769446355.2446556,SENT,a30753ce-0335-420b-b7a0-d1f94b64f50b,d162bfbf-7aad-42f0-bbd3-198245ff265f,c5,c4,3375,?,p2,
1769446355.244807,CREATED,e5a15fbd-55e3-485e-b8df-e8c82202bba1,25726e8c-dc96-4453-95c5-6a5a3953aa69,c5,c4,26,?,?,surb={'id': '23ad3748-72aa-451c-b8ba-f8f88ee90334', 'route': ['p1', 'e6', 'i5', 'x7', 'p2', 'c5']}
1769446355.3764882,RECEIVED,7da1aa43-017b-41a2-8ff0-81417397b7a1,206c8d68-bd7e-4e61-855d-e97fe9f5070a,c4,c5,27,p2,?,surb={'id': 'fd7179b7-cbab-4161-8f60-7a68afa0137f', 'route': ['p2', 'e7', 'i12', 'x5', 'p1', 'c4']}
1769446355.4862847,RECEIVED,3ed3d382-f91e-43b8-b0ca-bc96d233e2d7,6f067ee1-c491-4cd2-a8b4-2804d250f815,c1,c5,26,p2,?,surb={'id': '3a6edfba-0711-4348-bb75-53c12ad70e05', 'route': ['p2', 'e7', 'i2', 'x12', 'p1', 'c1']}
1769446355.6374958,RECEIVED,f870e2dc-8496-472a-95c8-ec30de63b54b,d3a69f4a-3555-4973-a770-c3f4e315ebc0,c4,c5,26,p2,?,surb={'id': '8b46f539-6d86-4eab-abc6-8f1ab0cf10c2', 'route': ['p2', 'e3', 'i11', 'x3', 'p1', 'c4']}
1769446355.839856,RECEIVED,6d2cde36-6037-40a3-9980-65280fb5dab1,14fc16cb-2b79-4b78-8035-e630ee9fec98,c4,c5,27,p2,?,surb={'id': 'b37bcb25-a738-4296-a11e-9e563821cb60', 'route': ['p2', 'e5', 'i6', 'x3', 'p1', 'c4']}
1769446356.2169147,RECEIVED,899ccc20-33e0-48b7-bd84-dbdc629cc6b2,13453447-d351-4eec-a437-b73d67b6a089,c4,c5,27,p2,?,surb={'id': '0b7e002f-4f61-47f2-b2da-624e40240f08', 'route': ['p2', 'e2', 'i2', 'x5', 'p1', 'c4']}
1769446356.2714355,SENT,cdbf9a64-efec-450f-9bb9-1b8ad5402f85,363c3238-e520-43f9-ad9c-b6cee2d6f6b3,c5,c4,3361,?,p2,
1769446356.2718132,CREATED,d395a7d7-932a-4255-8312-7bf6928a4638,81cecbf5-e216-4721-a74e-50e4b487acb1,c5,c4,27,?,?,surb={'id': 'f07096e8-a89f-448c-9c2f-28356e240be3', 'route': ['p1', 'e6', 'i5', 'x9', 'p2', 'c5']}
1769446356.279326,SENT,8b90d9db-cc0d-4b4b-a05d-bd4f92757f47,9d13c55b-ed1a-4683-a3c8-0205a06d9650,c5,c4,3387,?,p2,
1769446356.2794704,CREATED,7732f1eb-ca32-4918-adbf-176640b34dbb,7acc9e28-ceb9-4e24-ac3b-381c67890fc5,c5,c4,27,?,?,surb={'id': '94968fc4-e2c2-4b84-8627-91d2268caf1c', 'route': ['p1', 'e12', 'i12', 'x9', 'p2', 'c5']}
1769446356.341493,RECEIVED,bf302fc7-b487-4f28-aa8e-78bb24272d01,bd8032d1-e61f-4921-aa18-9e0d968290d3,c4,c5,27,p2,?,surb={'id': '111d1e43-a7cf-4a24-b98a-928d6d5237b2', 'route': ['p2', 'e3', 'i5', 'x9', 'p1', 'c4']}
1769446356.4650311,SENT,130842a7-9198-4503-96a7-6c5452d62e52,880a37c0-c081-4bc3-98e8-8a6930b7e788,c5,c4,3360,?,p2,
1769446356.4657652,CREATED,0342af25-aeea-4c30-ac75-4ecc60ba2332,b56b7092-8003-48ea-9921-4dff903745f5,c5,c4,27,?,?,surb={'id': 'afdfd214-254f-4f6d-a3bf-72fff60d705f', 'route': ['p1', 'e1', 'i2', 'x10', 'p2', 'c5']}
1769446356.5118372,SENT,0dc31765-cfcf-4030-8790-0d44a6ec67b7,b84c4bde-df1c-4559-ae54-93bbb2877760,c5,c4,3376,?,p2,
1769446356.5120115,CREATED,0d26b418-998c-41ab-a46c-237df066d1a9,ca3d9e84-8311-4228-999a-a7680c1b8bfc,c5,c4,26,?,?,surb={'id': '9937fb2e-5970-4ba3-9424-efbbb398a2c3', 'route': ['p1', 'e4', 'i1', 'x12', 'p2', 'c5']}
1769446356.6475375,SENT,d7fcf810-122c-4440-8f2f-41dbaef7db24,093430ec-5910-4af5-9bc3-3ce1f90f3b11,c5,c4,3364,?,p2,
1769446356.6476882,CREATED,218cba54-9fa6-4099-8131-2a7c184457a4,66f5bd48-2307-4b2d-bc8e-78f1b5cad5ec,c5,c4,27,?,?,surb={'id': '22fc6122-b9b9-421f-b1a2-aa379c1b08fb', 'route': ['p1', 'e2', 'i12', 'x9', 'p2', 'c5']}
1769446356.9673154,SENT,a9f919f5-1eec-46f2-904f-6a02883aac70,ea3de9db-e24a-4fcd-86e9-21a9c6022e36,c5,c4,3388,?,p2,
1769446356.9674659,CREATED,c7ce0b69-6391-4401-81d6-c316107e0139,6531673c-b2b0-4234-9bde-f642ed8dce5a,c5,c4,26,?,?,surb={'id': 'fb2f5437-f41c-4fcd-af8b-ebbfa9dc1d9a', 'route': ['p1', 'e11', 'i10', 'x4', 'p2', 'c5']}
1769446356.9746168,RECEIVED,aa6762a3-4f9d-48b3-ac88-b31c7c401fc2,3c4b2557-b305-4e76-bafa-6c599f2791b0,c4,c5,27,p2,?,surb={'id': '8bde44e6-74ea-4fe1-bdc3-6d89be4b23bf', 'route': ['p2', 'e11', 'i6', 'x6', 'p1', 'c4']}
1769446357.0815585,RECEIVED,7b305033-7bc3-4e90-8035-733e3f1d0b6a,b173c2f6-5405-4001-ac48-e1a35ce14ec9,c1,c5,27,p2,?,surb={'id': 'a34597b5-dbd3-499d-911f-7a53b8428adf', 'route': ['p2', 'e8', 'i10', 'x2', 'p1', 'c1']}
1769446357.2171414,RECEIVED,fab6a519-abf5-4bc5-9fcf-5045dd1e2891,0f9e08a4-78eb-4c89-8f6d-6ca34a1fa451,c4,c5,27,p2,?,surb={'id': '762805ab-5c24-4082-a8a1-cf0d08660153', 'route': ['p2', 'e12', 'i8', 'x11', 'p1', 'c4']}
1769446357.2226355,RECEIVED,5c02373d-e46b-4d74-a13f-a82996386c5f,d28b0a49-7f8e-418f-8129-78487b33b766,c4,c5,26,p2,?,surb={'id': 'ce486d2d-fcc9-40be-83df-d3650771c4bd', 'route': ['p2', 'e1', 'i5', 'x1', 'p1', 'c4']}
1769446357.3469586,RECEIVED,98fdda6f-f409-4d0a-af55-3c1832b6bded,2a5d337b-4e09-4a98-b693-175f6daa75d1,c4,c5,27,p2,?,surb={'id': '09789f5b-5f61-4070-9a82-4085645e822c', 'route': ['p2', 'e5', 'i2', 'x9', 'p1', 'c4']}
1769446357.466822,SENT,32c0eefd-7607-4fd5-9bbf-02e94a219849,37aaf301-f2c5-43e4-85d9-b13e7a967707,c5,c4,3383,?,p2,
1769446357.4669912,CREATED,8e281923-df3c-49e3-a9e2-29a3615e9da1,3dfebdb9-9bd1-416b-880a-7f540cacd127,c5,c4,26,?,?,surb={'id': '4b70325d-bdf1-4a2b-98e2-d3553803d62d', 'route': ['p1', 'e6', 'i11', 'x6', 'p2', 'c5']}
1769446357.9593246,SENT,ef215856-f9e9-45d7-b6f3-7cbd64d7d94d,08c1df77-f769-4da1-87f7-97bccae0149d,c5,c4,3400,?,p2,
1769446357.9594324,CREATED,1ee2f190-9367-4044-9d29-6ba32900b6b2,5cedd7e8-b79b-4269-98aa-da640a271b95,c5,c4,27,?,?,surb={'id': 'cf2b196b-dff7-41c8-a2a5-dab8bba11dc9', 'route': ['p1', 'e8', 'i8', 'x6', 'p2', 'c5']}
1769446358.1167395,SENT,d1a95766-363c-4b3f-a65e-c6d057f5ed7f,fcb65892-ede8-48d9-b49a-09b465ec4ecb,c5,c4,3429,?,p2,
1769446358.1168892,CREATED,e152f518-f2b5-4ae9-bbb0-b78a0d82db9a,bfeccc56-52d6-4319-9075-85a30b5a05f1,c5,c4,27,?,?,surb={'id': '057ad3e6-d73d-4e1b-97f2-f4c9c78a311b', 'route': ['p1', 'e10', 'i12', 'x12', 'p2', 'c5']}
1769446358.1424568,SENT,e0200ea3-f55a-403e-8e3a-989debd5fe46,c61c041e-16e6-4bc1-ae90-00f3a3829e27,c5,c4,3387,?,p2,
1769446358.1426077,CREATED,0b1a59e8-4df9-49e2-9c83-9aeb07f2d92d,328f54cb-f8a9-4cf8-abed-992c79ee139f,c5,c4,27,?,?,surb={'id': '6096f049-774a-4b5a-b5b0-39132d06599b', 'route': ['p1', 'e9', 'i10', 'x10', 'p2', 'c5']}
1769446358.1886902,SENT,50b36bd7-6622-4242-b856-0981f40c4a3f,0a19add4-82d4-48f4-b104-a8e82f433bc7,c5,c4,3383,?,p2,
1769446358.188871,CREATED,6fb19229-2e26-4ec1-a0d7-2ea2edf50b34,6ea7a2ce-179d-47d1-9865-917c72551357,c5,c4,27,?,?,surb={'id': '9c5cff94-9e35-499f-b27e-0f962d249983', 'route': ['p1', 'e7', 'i10', 'x3', 'p2', 'c5']}
1769446358.1957233,SENT,91bcd281-6fa7-4ec1-bb80-5685c2b62b61,78aeedbd-07b9-449a-a2bc-6c950064c08f,c5,c4,3375,?,p2,
