timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769490143.9604251,SENT,d5b94c32-7c1f-4fd2-948c-bc69efe7417c,7cb368e0-ded6-49c3-93d5-c4af234391ee,c5,c4,3372,?,p2,
1769490143.960584,CREATED,fe9e8091-b55c-4861-bb13-8b3ebb4749fa,6aac3a7c-3a50-4b78-b4cf-c5e568f0641c,c5,c4,27,?,?,surb={'id': '25742bea-dc5a-41e3-a7b6-f7b3a55d9fd1', 'route': ['p1', 'e12', 'i8', 'x10', 'p2', 'c5']}
1769490146.4895465,RECEIVED,e873826c-da02-4121-8586-b6c0588fa081,848a534f-6a24-4d2e-a58e-77ca3e0c3914,c3,c5,27,p2,?,surb={'id': '3bc39c33-1af1-4897-88e3-c4c220f8e0f6', 'route': ['p2', 'e5', 'i1', 'x2', 'p3', 'c3']}
1769490146.5934074,RECEIVED,a5f2b47e-4f66-4bd9-a534-c27605d0193e,848a534f-6a24-4d2e-a58e-77ca3e0c3914,c3,c5,27,p2,?,surb={'id': '3bc39c33-1af1-4897-88e3-c4c220f8e0f6', 'route': ['p2', 'e5', 'i1', 'x2', 'p3', 'c3']}
1769490146.763259,SENT,abae9f04-3645-4abb-a0d5-de4607c8f12e,d7989207-ab21-40b2-b6bf-c14cd7763709,c5,c4,3395,?,p2,
1769490146.7634249,CREATED,1c1c1faa-db2f-4860-9fd3-24ee6b8488e8,31367f0a-81f4-41a5-a137-beb238498a87,c5,c4,27,?,?,surb={'id': 'd79a4942-846f-4c82-8047-37c1f6fcab27', 'route': ['p1', 'e7', 'i8', 'x6', 'p2', 'c5']}
1769490146.8052642,RECEIVED,0cd7f62c-452d-4df3-a3e8-3bc3531dbed4,71e01c66-767d-4fe6-b4bb-0f69c6427198,c3,c5,27,p2,?,surb={'id': 'be3b6163-0878-41c1-a38c-ba16f3e62786', 'route': ['p2', 'e6', 'i1', 'x3', 'p3', 'c3']}
1769490146.855832,SENT,254db9dd-565a-4bc6-98bf-844cbcdf10e9,3a547cf6-e65c-4363-aa7b-713c707a3a98,c5,c4,3407,?,p2,
1769490146.8559806,CREATED,49ec5c19-3840-4f2f-bf3e-c9d3ae732959,f4caecaf-e095-4601-94aa-f131fe6dc907,c5,c4,27,?,?,surb={'id': '8ae3ee9d-2ed4-47d4-ae69-fcab9b9499f8', 'route': ['p1', 'e7', 'i8', 'x10', 'p2', 'c5']}
1769490146.8749945,RECEIVED,31db6155-343b-40fc-ac01-42a2533279f4,eb11ddde-e7db-436f-b5df-6dd65cd4b92e,c3,c5,27,p2,?,surb={'id': 'a27570ae-d1cd-4d42-a1f1-ab8a9737e6fb', 'route': ['p2', 'e5', 'i3', 'x12', 'p3', 'c3']}
1769490146.977951,RECEIVED,a0483f45-1db0-4cd7-8821-2a7e30c1a968,8b949d87-d7d9-43e6-ae87-a180aa0d1775,c3,c5,27,p2,?,surb={'id': '5d534a06-e7df-40bf-8277-55a9f8ba7cbb', 'route': ['p2', 'e5', 'i1', 'x4', 'p3', 'c3']}
1769490147.0979166,RECEIVED,585af7ff-89f5-47dc-a66a-d084d8f04b76,2f6b1c52-806f-494b-aa4a-29519c30f6a4,c3,c5,27,p2,?,surb={'id': '66fa0356-4cf1-426e-91e0-d27f7c18b3b5', 'route': ['p2', 'e3', 'i4', 'x5', 'p3', 'c3']}
1769490147.2179132,SENT,78d57f96-0090-4bac-9ad9-5835d3815687,cf1506da-2f93-4a75-acfa-75836df229e8,c5,c4,3391,?,p2,
1769490147.2180867,CREATED,58c36128-8270-4744-8b85-936b0d75e533,f4caecaf-e095-4601-94aa-f131fe6dc907,c5,c4,27,?,?,surb={'id': '8ae3ee9d-2ed4-47d4-ae69-fcab9b9499f8', 'route': ['p1', 'e7', 'i8', 'x10', 'p2', 'c5']}
1769490147.3038547,RECEIVED,40228a44-aa9e-461a-8963-def39f219bc6,2f6b1c52-806f-494b-aa4a-29519c30f6a4,c3,c5,27,p2,?,surb={'id': '66fa0356-4cf1-426e-91e0-d27f7c18b3b5', 'route': ['p2', 'e3', 'i4', 'x5', 'p3', 'c3']}
1769490147.5885508,SENT,11f20f72-c5c1-469d-b186-5265aec8f83a,d19b87aa-ab0a-46a7-94f0-43c13883ac19,c5,c4,3354,?,p2,
1769490147.5886843,CREATED,e2df665d-289c-4b81-beb2-9842787d586d,b7ce7bc0-6062-4941-8e41-23d6dd8b953e,c5,c4,26,?,?,surb={'id': '46413dd8-6c35-412d-85a0-f8cf2715c3b9', 'route': ['p1', 'e9', 'i3', 'x2', 'p2', 'c5']}
1769490147.854478,SENT,ac1a8264-20b5-4d21-b1e6-55c899314a68,8172616d-501e-46d3-a3a6-d3a098bbb764,c5,c4,3376,?,p2,
1769490147.8546104,CREATED,32ea97ec-b57a-4fef-b9b0-a2e9a395bd6f,b7ce7bc0-6062-4941-8e41-23d6dd8b953e,c5,c4,26,?,?,surb={'id': '46413dd8-6c35-412d-85a0-f8cf2715c3b9', 'route': ['p1', 'e9', 'i3', 'x2', 'p2', 'c5']}
1769490147.9128733,RECEIVED,cd70b83b-4542-47c0-90fb-aade6ce7341a,8b949d87-d7d9-43e6-ae87-a180aa0d1775,c3,c5,27,p2,?,surb={'id': '5d534a06-e7df-40bf-8277-55a9f8ba7cbb', 'route': ['p2', 'e5', 'i1', 'x4', 'p3', 'c3']}
1769490147.91938,RECEIVED,40b9cd4a-fea1-437b-bb85-eeca2565be5f,71e01c66-767d-4fe6-b4bb-0f69c6427198,c3,c5,27,p2,?,surb={'id': 'be3b6163-0878-41c1-a38c-ba16f3e62786', 'route': ['p2', 'e6', 'i1', 'x3', 'p3', 'c3']}
1769490148.0065384,RECEIVED,8c833440-5a56-48fd-9062-2d37cc8574b9,eb11ddde-e7db-436f-b5df-6dd65cd4b92e,c3,c5,27,p2,?,surb={'id': 'a27570ae-d1cd-4d42-a1f1-ab8a9737e6fb', 'route': ['p2', 'e5', 'i3', 'x12', 'p3', 'c3']}
1769490148.243229,RECEIVED,232074d1-d05e-4613-8fc0-2321a93ec354,17cb5a96-ee5a-49af-8aab-e1ab7f4f2e80,c3,c5,27,p2,?,surb={'id': '5850ff02-7d92-4a7f-ae76-08cef495ddaf', 'route': ['p2', 'e7', 'i1', 'x10', 'p3', 'c3']}
1769490148.5155394,SENT,46e5976c-e4b5-4536-be92-169d5c99326c,79ad5799-3674-4726-be5c-7afa5bc33c44,c5,c4,3372,?,p2,
1769490148.5156875,CREATED,4e5fe435-826a-4791-80c1-8313c8550d9d,37d391fa-26d4-486b-a8d2-e91ed24373a1,c5,c4,26,?,?,surb={'id': 'd46fc1f0-4990-44ce-8915-77df48d22a08', 'route': ['p1', 'e7', 'i5', 'x7', 'p2', 'c5']}
1769490149.2482529,RECEIVED,5c325e1e-5d7b-420c-80e4-8a8eae711e6e,6094538d-3b44-4a10-b8e0-cf2aca1b6f21,c3,c5,27,p2,?,surb={'id': '3bd6d695-f32d-43d7-b263-1f312e65bfa9', 'route': ['p2', 'e7', 'i7', 'x8', 'p3', 'c3']}
1769490149.4693415,RECEIVED,888eba64-f663-47a1-951a-dc263b7f6f2f,6094538d-3b44-4a10-b8e0-cf2aca1b6f21,c3,c5,27,p2,?,surb={'id': '3bd6d695-f32d-43d7-b263-1f312e65bfa9', 'route': ['p2', 'e7', 'i7', 'x8', 'p3', 'c3']}
1769490149.5385568,SENT,e8b79e1c-8e41-419e-bc52-eb294d7c1026,9162912f-2359-4248-a25f-19bebb62a3db,c5,c4,3372,?,p2,
1769490149.5387068,CREATED,98964c6b-1e05-4089-9702-7f5611cc1f71,37d391fa-26d4-486b-a8d2-e91ed24373a1,c5,c4,26,?,?,surb={'id': 'd46fc1f0-4990-44ce-8915-77df48d22a08', 'route': ['p1', 'e7', 'i5', 'x7', 'p2', 'c5']}
1769490149.564612,SENT,5dc40ded-7898-4b19-84d1-4ad49caf1b02,fcc08034-f860-40ec-a079-63c03766a9ea,c5,c4,3359,?,p2,
1769490149.5647607,CREATED,79b776e6-0771-498d-8ae5-239783ba083c,9340c37a-f9aa-46f2-9bb1-7907c540196d,c5,c4,27,?,?,surb={'id': '35932563-411a-47cf-af2c-f14cb9b7aa8a', 'route': ['p1', 'e11', 'i6', 'x8', 'p2', 'c5']}
1769490150.2879012,SENT,e4ca48e6-87be-481c-86a0-6c0587c791eb,0dad8692-b547-49e3-aeb7-37e0df7c662c,c5,c4,3376,?,p2,
1769490150.2880716,CREATED,25d46542-8784-4788-b690-421492f9e493,9340c37a-f9aa-46f2-9bb1-7907c540196d,c5,c4,27,?,?,surb={'id': '35932563-411a-47cf-af2c-f14cb9b7aa8a', 'route': ['p1', 'e11', 'i6', 'x8', 'p2', 'c5']}
1769490150.317537,SENT,577fd7e6-0c1e-4544-8798-27cee4e5c1ef,a6ee6c84-0f67-4729-8559-5bae173954e5,c5,c4,3392,?,p2,
1769490150.3176856,CREATED,226b7312-25f5-4c34-b884-22766bcc01d8,f7b38919-bad5-49c8-bd1e-f9e7018a01b9,c5,c4,27,?,?,surb={'id': '6d6a01c5-450c-4293-83cd-8591eff1fe47', 'route': ['p1', 'e1', 'i4', 'x10', 'p2', 'c5']}
1769490150.571137,RECEIVED,d4532fb4-2f72-43b2-b8bf-a2c44d202131,17cb5a96-ee5a-49af-8aab-e1ab7f4f2e80,c3,c5,27,p2,?,surb={'id': '5850ff02-7d92-4a7f-ae76-08cef495ddaf', 'route': ['p2', 'e7', 'i1', 'x10', 'p3', 'c3']}
1769490150.793688,SENT,e7959644-cb39-4f78-90c0-a742ade527dc,6d968033-d289-4029-ba7b-c1043eda4637,c5,c4,3399,?,p2,
1769490150.7938364,CREATED,84d319e1-8793-4637-a87f-9e5988630f17,f7b38919-bad5-49c8-bd1e-f9e7018a01b9,c5,c4,27,?,?,surb={'id': '6d6a01c5-450c-4293-83cd-8591eff1fe47', 'route': ['p1', 'e1', 'i4', 'x10', 'p2', 'c5']}
1769490151.0957656,RECEIVED,8cb4fc4a-6782-4d8c-973b-8b58be68d512,55f2fffe-bd5c-4091-b013-39baefef8759,c3,c5,27,p2,?,surb={'id': 'e1bf1bb8-4c63-48a4-97bf-ec37d923e36d', 'route': ['p2', 'e7', 'i10', 'x9', 'p3', 'c3']}
1769490151.2035785,RECEIVED,8e8f949d-5779-4069-9e7e-b534f8c5e4f1,d613b1f9-9907-4a1d-8fb0-47ef5778f3ed,c3,c5,27,p2,?,surb={'id': '942dabce-b818-4430-ba4f-8c3b975ff254', 'route': ['p2', 'e3', 'i5', 'x3', 'p3', 'c3']}
1769490151.2053647,SENT,2c2a6852-1e42-45e2-a03c-58f4868bfa61,3584bb38-f7de-4965-88cc-33a95387c0f3,c5,c4,3399,?,p2,
1769490151.2055016,CREATED,65cc32ab-e1aa-4859-9161-6b3b9e4bf8e2,75f0189c-88c6-4c86-8874-2b5ce2208369,c5,c4,27,?,?,surb={'id': '06e7d362-83a8-45ea-a171-1c01501b6593', 'route': ['p1', 'e3', 'i11', 'x2', 'p2', 'c5']}
1769490151.4724345,SENT,3d0cfb40-2ca4-43d9-90ef-282b5aeb3b83,76c9ea37-ac65-4064-9151-7a92ad98fd3f,c5,c4,3379,?,p2,
1769490151.4726028,CREATED,ad64cdab-d97e-4297-8574-0f6c26f5728b,75f0189c-88c6-4c86-8874-2b5ce2208369,c5,c4,27,?,?,surb={'id': '06e7d362-83a8-45ea-a171-1c01501b6593', 'route': ['p1', 'e3', 'i11', 'x2', 'p2', 'c5']}
1769490151.5004225,SENT,98b8b9c6-9f5e-40ff-b624-ca46da7a8cf0,b662e4f6-d54b-4fef-bccb-8e2f38e55214,c5,c4,3393,?,p2,
1769490151.5005617,CREATED,eb33785d-49b3-4fe2-ad09-b0ca65760c10,893d1b0d-49c0-4a69-a041-809ee18a8496,c5,c4,27,?,?,surb={'id': '75376ae0-1e8a-47d3-a493-9d606e9bc953', 'route': ['p1', 'e2', 'i11', 'x9', 'p2', 'c5']}
1769490151.5379364,SENT,074c13b8-2ab0-4acd-9060-f35d4979c464,6c8bf1f8-1d3e-4725-9d9c-e84b76d4d563,c5,c4,3382,?,p2,
1769490151.5381222,CREATED,5cfab144-7fde-41c6-b8fd-aa944143eb32,893d1b0d-49c0-4a69-a041-809ee18a8496,c5,c4,27,?,?,surb={'id': '75376ae0-1e8a-47d3-a493-9d606e9bc953', 'route': ['p1', 'e2', 'i11', 'x9', 'p2', 'c5']}
1769490151.6128514,RECEIVED,1a8ce59b-96fd-4425-a9ae-62a2622a59bf,d613b1f9-9907-4a1d-8fb0-47ef5778f3ed,c3,c5,27,p2,?,surb={'id': '942dabce-b818-4430-ba4f-8c3b975ff254', 'route': ['p2', 'e3', 'i5', 'x3', 'p3', 'c3']}
1769490151.8933566,SENT,58384775-af57-415f-bc91-af9ae92ce2f4,56d568f4-2082-46e7-825b-c00df032c1d8,c5,c4,3383,?,p2,
1769490151.893535,CREATED,a8ca7177-7bdc-49a9-9dc2-ada3aac7f0cf,87741d18-aeae-4135-821a-84d936c3a81c,c5,c4,27,?,?,surb={'id': '46faa830-1669-42b1-be67-64fdabb9da4d', 'route': ['p1', 'e12', 'i2', 'x12', 'p2', 'c5']}
1769490152.0223942,SENT,fe782f84-afee-4a95-b3e5-132a4dfa82a1,118b7adb-e7ee-48ea-bfe4-24317a334a19,c5,c4,3391,?,p2,
1769490152.022545,CREATED,98154574-edd2-48ce-85e2-1d1f81bb30aa,87741d18-aeae-4135-821a-84d936c3a81c,c5,c4,27,?,?,surb={'id': '46faa830-1669-42b1-be67-64fdabb9da4d', 'route': ['p1', 'e12', 'i2', 'x12', 'p2', 'c5']}
1769490152.369847,SENT,48a76b72-97e3-41de-b5e1-a0dfc3cb1f69,9653e679-9890-43ab-b3de-450063ea7630,c5,c4,3384,?,p2,
1769490152.3699942,CREATED,c07dd0bb-98b4-4263-bc2a-6e002b437ebf,016ba1fe-7174-4082-aed9-310b4d86abe3,c5,c4,27,?,?,surb={'id': '60136e53-79ad-4776-b50c-b2ca6eeaa9d7', 'route': ['p1', 'e9', 'i5', 'x2', 'p2', 'c5']}
1769490152.418323,SENT,62688f36-0000-4add-8830-36b60aefa8bd,acc3e493-1728-4649-a8ce-34f3bda2c0f9,c5,c4,3384,?,p2,
1769490152.418473,CREATED,5ffddbcd-fdf9-4481-b94a-844f310c42cb,016ba1fe-7174-4082-aed9-310b4d86abe3,c5,c4,27,?,?,surb={'id': '60136e53-79ad-4776-b50c-b2ca6eeaa9d7', 'route': ['p1', 'e9', 'i5', 'x2', 'p2', 'c5']}
1769490152.5484967,SENT,ae3ad13d-1255-4bcd-af3c-f5dff5c512ed,81f7f2a2-18ce-401d-85e0-21070270fc54,c5,c4,3376,?,p2,
1769490152.5486472,CREATED,685ff801-087a-4b48-a9b1-b6f0c2690e18,b571be0e-8226-4c11-a1f6-32e550e3cefd,c5,c4,27,?,?,surb={'id': '85ba2431-8490-4138-9033-2d9da69f54e2', 'route': ['p1', 'e9', 'i4', 'x4', 'p2', 'c5']}
1769490152.5975373,SENT,decfb1d6-1f62-447f-98d7-2eeed92d7f82,5079d533-b7d2-4dd4-b5e4-0863eefcdc83,c5,c4,3385,?,p2,
1769490152.597679,CREATED,bf81e196-6f52-4107-a2f4-1d57c8781b1b,b571be0e-8226-4c11-a1f6-32e550e3cefd,c5,c4,27,?,?,surb={'id': '85ba2431-8490-4138-9033-2d9da69f54e2', 'route': ['p1', 'e9', 'i4', 'x4', 'p2', 'c5']}
1769490152.8884206,SENT,fc6aa4af-79dd-4c05-80e8-8250b8c67036,354bea22-7d58-45fd-a2db-faf3cc3e6775,c5,c4,3376,?,p2,
1769490152.8885715,CREATED,b2c12cb4-354d-4e0a-b3b2-182f4aac6da3,2618c557-15a6-475f-a9d8-588ce08ea0fa,c5,c4,27,?,?,surb={'id': '088a9d4f-7475-47c0-8e0f-31f570b951b8', 'route': ['p1', 'e5', 'i6', 'x10', 'p2', 'c5']}
1769490153.177405,RECEIVED,4f7d3ea5-d1cd-42d9-912b-d483da9e7cf5,55f2fffe-bd5c-4091-b013-39baefef8759,c3,c5,27,p2,?,surb={'id': 'e1bf1bb8-4c63-48a4-97bf-ec37d923e36d', 'route': ['p2', 'e7', 'i10', 'x9', 'p3', 'c3']}
1769490153.3073552,SENT,73955c08-c039-44d5-b75f-931d642be912,5a1420b9-659c-4705-a585-f5bd2b258e9e,c5,c4,3360,?,p2,
1769490153.3075042,CREATED,f3308a0c-a1a0-44cd-b9a3-6f44098cd5f0,2618c557-15a6-475f-a9d8-588ce08ea0fa,c5,c4,27,?,?,surb={'id': '088a9d4f-7475-47c0-8e0f-31f570b951b8', 'route': ['p1', 'e5', 'i6', 'x10', 'p2', 'c5']}
1769490153.6406186,RECEIVED,49b5754c-e5ee-4a22-8452-c01fccf80d79,284d3dec-cc19-43a6-ac8c-4cacd9b9f403,c3,c5,26,p2,?,surb={'id': '62846d1c-ee45-4fcb-9ca2-139a5dec8a20', 'route': ['p2', 'e11', 'i9', 'x12', 'p3', 'c3']}
1769490153.7428572,RECEIVED,3bf4570e-8e15-4cab-bab2-401f7bb97269,284d3dec-cc19-43a6-ac8c-4cacd9b9f403,c3,c5,26,p2,?,surb={'id': '62846d1c-ee45-4fcb-9ca2-139a5dec8a20', 'route': ['p2', 'e11', 'i9', 'x12', 'p3', 'c3']}
1769490153.8668578,SENT,372a601b-d0d6-435a-8e0c-de0746175dc9,1eb7594e-769c-4470-9317-a7dbf2523733,c5,c4,3386,?,p2,
1769490153.867008,CREATED,6ed02efe-7753-48a0-8455-b910e26a3454,79a0f196-85e6-495c-8647-27456bfb3db4,c5,c4,27,?,?,surb={'id': '219ce38b-fc77-491f-bef4-705b7cc91355', 'route': ['p1', 'e9', 'i12', 'x11', 'p2', 'c5']}
1769490153.9563909,SENT,e6232f71-3154-4925-85d6-77b5dfeea5a4,06cb99cf-0d51-49dd-859d-34280b90f152,c5,c4,3360,?,p2,
1769490153.956543,CREATED,0eb88948-4656-414c-8bb4-2f179ba097f2,79a0f196-85e6-495c-8647-27456bfb3db4,c5,c4,27,?,?,surb={'id': '219ce38b-fc77-491f-bef4-705b7cc91355', 'route': ['p1', 'e9', 'i12', 'x11', 'p2', 'c5']}
1769490154.3114386,RECEIVED,42bddf95-ad5c-462f-a991-5fb4d9d44ce6,9ceb8323-91cb-454a-a81a-5c0d6274148d,c3,c5,27,p2,?,surb={'id': 'd2edda59-7bd5-41f1-b1e8-cf40e0056d39', 'route': ['p2', 'e12', 'i11', 'x10', 'p3', 'c3']}
1769490154.5601466,RECEIVED,43d0d140-d23d-48ad-a616-42dbcafaee3f,3e01f96f-6680-474e-a7fe-8a9b11c848ea,c3,c5,26,p2,?,surb={'id': '10a970f4-0e9a-4e16-817b-694ddd3f012d', 'route': ['p2', 'e1', 'i4', 'x7', 'p3', 'c3']}
1769490154.5884452,SENT,ed962ca6-1da6-40a0-ab48-da5d21f32ff2,47a928c9-9bb3-4fa2-a310-3028ca845414,c5,c4,3376,?,p2,
1769490154.5885952,CREATED,0c69766f-8f5c-4c21-b8a3-ab60a0d24598,5cf824a3-f86f-48bf-a243-8f758d15b196,c5,c4,27,?,?,surb={'id': 'c0db3a4c-abf4-4c22-b60e-cfe2ed375606', 'route': ['p1', 'e8', 'i9', 'x5', 'p2', 'c5']}
1769490155.0725648,SENT,268ad785-eaea-43bb-b445-a0157f961c51,8705ff82-a3c1-4251-8290-a31af6364574,c5,c4,3379,?,p2,
1769490155.072708,CREATED,97683121-db79-4924-aba4-c0ad07d49bc2,5cf824a3-f86f-48bf-a243-8f758d15b196,c5,c4,27,?,?,surb={'id': 'c0db3a4c-abf4-4c22-b60e-cfe2ed375606', 'route': ['p1', 'e8', 'i9', 'x5', 'p2', 'c5']}
1769490155.3142855,SENT,c62c7a93-7f45-47c6-93fa-207369f6c3e8,5e3b67ea-6cfd-4e9b-882a-bc830da7f7f8,c5,c4,3395,?,p2,
1769490155.3144314,CREATED,46dde0c4-8348-46f9-9e7a-4392498b7a44,72e08340-1659-4d35-8940-65b54c2519c9,c5,c4,27,?,?,surb={'id': '9b3134ce-2efb-40d5-a75a-4307ba7fa653', 'route': ['p1', 'e10', 'i7', 'x2', 'p2', 'c5']}
1769490155.4898808,RECEIVED,9e145ee8-160c-449e-bcf8-dd6cef39c0f3,4a4e4d95-7b3f-4aaa-86d6-e584ba6da6c0,c3,c5,27,p2,?,surb={'id': '40aa3067-f70b-4277-b818-6d6d0473db9c', 'route': ['p2', 'e7', 'i9', 'x3', 'p3', 'c3']}
1769490155.5292265,SENT,b9ff7ad0-0e48-44e6-bb39-8520a016670f,628364f0-5050-4ad1-9643-a2279e37b5c7,c5,c4,3384,?,p2,
1769490155.5293674,CREATED,841ad5b7-cacb-4b48-83ea-c200360681e2,72e08340-1659-4d35-8940-65b54c2519c9,c5,c4,27,?,?,surb={'id': '9b3134ce-2efb-40d5-a75a-4307ba7fa653', 'route': ['p1', 'e10', 'i7', 'x2', 'p2', 'c5']}
1769490155.5767472,RECEIVED,41710681-106f-457d-b09f-d1e09cd41aa0,3e01f96f-6680-474e-a7fe-8a9b11c848ea,c3,c5,26,p2,?,surb={'id': '10a970f4-0e9a-4e16-817b-694ddd3f012d', 'route': ['p2', 'e1', 'i4', 'x7', 'p3', 'c3']}
1769490155.6887608,RECEIVED,9ca9f356-452d-4493-82cc-f7e49af6f95e,274e6e5b-4680-40db-8e14-1ad321c872ba,c3,c5,27,p2,?,surb={'id': '46262c76-424a-41b0-8edf-6ff7aaee93d5', 'route': ['p2', 'e12', 'i4', 'x5', 'p3', 'c3']}
1769490155.8426049,RECEIVED,f7e92de1-8a15-45bf-9cba-fa60bbcadfa2,94d74e8d-dc2c-4b9b-bc73-4364858c8979,c3,c5,27,p2,?,surb={'id': 'b158dd4a-b6cd-4c87-9000-6598f0cf6fff', 'route': ['p2', 'e2', 'i7', 'x6', 'p3', 'c3']}
1769490155.9353807,RECEIVED,f204aa68-f085-46c3-bb59-8b6fb24e95b6,4a4e4d95-7b3f-4aaa-86d6-e584ba6da6c0,c3,c5,27,p2,?,surb={'id': '40aa3067-f70b-4277-b818-6d6d0473db9c', 'route': ['p2', 'e7', 'i9', 'x3', 'p3', 'c3']}
1769490155.947938,RECEIVED,2178926d-6301-4394-b501-003537461984,274e6e5b-4680-40db-8e14-1ad321c872ba,c3,c5,27,p2,?,surb={'id': '46262c76-424a-41b0-8edf-6ff7aaee93d5', 'route': ['p2', 'e12', 'i4', 'x5', 'p3', 'c3']}
