timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769490151.3539274,SENT,07781297-c8f7-48aa-90b6-201a26385c4b,dcdfb496-61c5-470b-946f-0f02c71d18c2,c2,c1,3371,?,p2,
1769490151.354127,CREATED,1ad5880f-3a96-4d40-8340-4bd1258722d9,a7f47219-b3de-4975-9fbe-f072f060babb,c2,c1,27,?,?,surb={'id': '3ca72470-ee42-4136-a175-7e7d12943cbb', 'route': ['p1', 'e8', 'i10', 'x2', 'p2', 'c2']}
1769490152.1061058,SENT,a7755128-54ef-4019-8fee-c9cc114fac39,3dbe022b-a721-4f70-a587-f5150fef5cad,c2,c1,3360,?,p2,
1769490152.1062627,CREATED,c097fa53-c0bb-4b1d-8f8c-5bb532d61e68,a7f47219-b3de-4975-9fbe-f072f060babb,c2,c1,27,?,?,surb={'id': '3ca72470-ee42-4136-a175-7e7d12943cbb', 'route': ['p1', 'e8', 'i10', 'x2', 'p2', 'c2']}
1769490152.1800864,RECEIVED,b3fe9aeb-4c20-4406-b388-f2bf44c68d65,ab4199a7-cb22-4c6e-ad6f-ad5aec842682,c1,c2,27,p2,?,surb={'id': 'd257bff3-d71b-43ea-afe1-574506aea6cd', 'route': ['p2', 'e11', 'i7', 'x4', 'p1', 'c1']}
1769490152.1938908,RECEIVED,77d56c06-b8a2-4e00-96db-0e87539968f4,0e26e93b-886f-4081-a73f-5913921d3ff1,c1,c2,26,p2,?,surb={'id': '505e86e8-5086-40cc-a52e-c53fb1cd0de2', 'route': ['p2', 'e3', 'i9', 'x12', 'p1', 'c1']}
1769490152.6892846,RECEIVED,08730405-2037-45e6-b944-94857740d40d,ab4199a7-cb22-4c6e-ad6f-ad5aec842682,c1,c2,27,p2,?,surb={'id': 'd257bff3-d71b-43ea-afe1-574506aea6cd', 'route': ['p2', 'e11', 'i7', 'x4', 'p1', 'c1']}
1769490152.712849,SENT,5a9305e4-87c7-4d4e-9749-e55f964144f7,e201a1a2-df0d-48b9-801b-27cd35148312,c2,c1,3365,?,p2,
1769490152.712996,CREATED,46416de9-593c-44a4-a945-8ed50d2b4e94,49e7b2aa-3293-4e23-ae24-25eb74900b7f,c2,c1,27,?,?,surb={'id': '6c2c71b3-ca95-439a-9c4a-af3c6a9fe2e5', 'route': ['p1', 'e3', 'i9', 'x3', 'p2', 'c2']}
1769490152.7862492,RECEIVED,13e69e5e-877a-4640-a841-b4fb39d11b15,cff6505a-2065-40ac-bbc5-c35cdf180a49,c1,c2,27,p2,?,surb={'id': 'eaea75de-e81a-4b47-8975-1523f08c5cd9', 'route': ['p2', 'e8', 'i6', 'x2', 'p1', 'c1']}
1769490152.841085,SENT,1386a37c-0ebb-4a1f-88e4-89eeff503b6f,8d63657f-8aa9-4913-835e-888ba79e21b6,c2,c1,3380,?,p2,
1769490152.8412316,CREATED,d2d54810-76fc-4650-8971-18433313a716,49e7b2aa-3293-4e23-ae24-25eb74900b7f,c2,c1,27,?,?,surb={'id': '6c2c71b3-ca95-439a-9c4a-af3c6a9fe2e5', 'route': ['p1', 'e3', 'i9', 'x3', 'p2', 'c2']}
1769490152.8495834,SENT,d42b6a27-e624-4c5f-a6ad-8e9f44ea0a55,6c36520c-38f3-4f19-9d32-456f8238c33f,c2,c1,3392,?,p2,
1769490152.8497336,CREATED,64f418ce-a0a2-411c-b097-7587fb884b82,5926c1d8-421d-48b2-9844-a15fa3b4ab6c,c2,c1,27,?,?,surb={'id': '597b2f93-1d44-41a8-97ba-932903cd9f39', 'route': ['p1', 'e3', 'i9', 'x4', 'p2', 'c2']}
1769490153.0472832,RECEIVED,6f4da7e9-451c-4aad-af72-a6024f35fe59,0e26e93b-886f-4081-a73f-5913921d3ff1,c1,c2,26,p2,?,surb={'id': '505e86e8-5086-40cc-a52e-c53fb1cd0de2', 'route': ['p2', 'e3', 'i9', 'x12', 'p1', 'c1']}
1769490153.228317,RECEIVED,06ecaaf6-da96-4760-811e-8a6b7cb54fb7,0161a8ac-cc13-4e4b-8ff8-2892654da79e,c1,c2,27,p2,?,surb={'id': '99601817-d49d-49f1-8520-5fbb5747a4d9', 'route': ['p2', 'e9', 'i7', 'x5', 'p1', 'c1']}
1769490153.4902031,SENT,af75015e-c984-459b-89f0-0d676a1545a6,afb8002c-eba4-4f73-a692-9956fdd624c5,c2,c1,3372,?,p2,
1769490153.4903526,CREATED,aed8eea6-8891-498a-82de-b15931f798ad,5926c1d8-421d-48b2-9844-a15fa3b4ab6c,c2,c1,27,?,?,surb={'id': '597b2f93-1d44-41a8-97ba-932903cd9f39', 'route': ['p1', 'e3', 'i9', 'x4', 'p2', 'c2']}
1769490153.8275473,SENT,9c9b6672-781f-4285-9042-54d376e7771e,efcbf18b-a80a-4f66-bea3-546605cb3276,c2,c1,3380,?,p2,
1769490153.8276987,CREATED,629f3368-1417-48ae-98e1-0632bc8063ad,67eafcf4-de3d-42e1-ac96-7f982cabae91,c2,c1,26,?,?,surb={'id': 'a01bf51f-ef42-47b5-8afc-4d8b5cf6eadd', 'route': ['p1', 'e1', 'i1', 'x1', 'p2', 'c2']}
1769490154.0817587,RECEIVED,43f37835-b110-4ea1-bdc3-f61ca43fc95e,88efa5b5-8815-4624-b5e6-d463d930f44f,c1,c2,27,p2,?,surb={'id': '47c3d41c-37c5-4e9d-b1dd-79cfabf42555', 'route': ['p2', 'e11', 'i3', 'x11', 'p1', 'c1']}
1769490154.2702029,SENT,537ea004-8a38-41cb-b1a5-1f0fc02c5dce,4cba7adf-baf7-4399-a548-7458e4cdab38,c2,c1,3382,?,p2,
