timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769461154.803727,SENT,1d5a6688-8703-4a94-804b-6c089fdf0581,33a8864c-1354-464c-9c91-fbbeb40f032e,c4,c5,3393,?,p1,
1769461154.8038712,CREATED,0e29f474-8a5e-4425-89b9-9462711270ad,a59bf7cb-8682-4efe-adea-7d244c520aba,c4,c5,27,?,?,surb={'id': '7e490080-6307-4c58-b9f8-15850805a7b0', 'route': ['p2', 'e5', 'i8', 'x12', 'p1', 'c4']}
1769461155.0764234,SENT,2c8f62a1-20b9-4517-b2f5-4d0d34d108c6,e70adabd-2323-4f2c-a718-183408843804,c4,c5,3360,?,p1,
1769461155.0765696,CREATED,779a45df-1efd-4159-ac06-72071ac62afa,08179a4c-1d3b-4943-a4b0-cc91dccb5670,c4,c5,27,?,?,surb={'id': '34aaa264-aeee-47f8-b927-ed6ce21f4c33', 'route': ['p2', 'e5', 'i10', 'x10', 'p1', 'c4']}
1769461155.1810825,SENT,6aa575cc-8327-407b-959f-f70baf4433b8,a6b6c60b-7879-4637-ba85-c806d24b835d,c4,c5,3401,?,p1,
1769461155.1812367,CREATED,a5a28331-6f75-416f-a315-b0b06c648b15,8c37fd5d-d3bc-4b78-86d5-c765f90fa522,c4,c5,27,?,?,surb={'id': 'd3a0b98e-0f0f-4521-85d8-2eca856d176d', 'route': ['p2', 'e1', 'i4', 'x12', 'p1', 'c4']}
1769461155.877861,RECEIVED,1fc37ac7-a461-4b48-82f1-f159ec07a709,9ce94f5a-b5b8-4f93-9e12-1821d995c5f0,c3,c4,27,p1,?,surb={'id': 'ac5eb205-7317-4e40-aac8-1c99ee45f71f', 'route': ['p1', 'e11', 'i1', 'x11', 'p3', 'c3']}
1769461156.321498,SENT,f74d4d31-7cd2-4529-abcb-0d694ec70d0c,5c4978c0-8b94-4a1e-a234-b9843f9c391e,c4,c5,3376,?,p1,
1769461156.3216338,CREATED,fb4ef7cc-d5d5-46e6-9774-07cc03b18e2c,3397786c-355b-47f1-86e1-c26b880ed545,c4,c5,27,?,?,surb={'id': '79aef2bc-13f0-4246-9010-a59899f8d263', 'route': ['p2', 'e1', 'i4', 'x4', 'p1', 'c4']}
1769461156.423476,RECEIVED,ac27a616-8dfd-4f00-9e04-9eb7cbff687a,8f063fd4-6c3c-46f3-a5b3-31ef3fcf1fe8,c5,c4,27,p1,?,surb={'id': '11e928fd-99b0-453e-afeb-7682fa6c1b35', 'route': ['p1', 'e4', 'i2', 'x8', 'p2', 'c5']}
1769461156.5802011,SENT,2ef50ddd-7e16-4031-8abe-eea9b4d5c7ab,60d7ac0d-5aed-487e-a0e4-be796fdcb8be,c4,c5,3375,?,p1,
1769461156.5803518,CREATED,7d664433-72c5-4816-b020-7de35fd79e57,9ddb3b67-928f-45f5-8312-4b106dd79873,c4,c5,26,?,?,surb={'id': '93c9a340-3885-44a9-8882-e7b0da4ca631', 'route': ['p2', 'e10', 'i12', 'x5', 'p1', 'c4']}
1769461156.7004623,RECEIVED,04fca20b-ce49-4921-9aea-e26cb628f6da,7c6ef971-cd77-4c07-a39e-d73e87841538,c3,c4,27,p1,?,surb={'id': '403693a6-a785-4499-b4d0-c332e3d2d076', 'route': ['p1', 'e8', 'i2', 'x9', 'p3', 'c3']}
1769461156.7049963,RECEIVED,092abc57-6c16-43ee-a92e-b928a73ecc55,c5eb6ac7-15e4-41bf-ad66-b3792ebbc15b,c5,c4,27,p1,?,surb={'id': 'e5ff3809-925b-44ea-8e9c-ec0a52c927e1', 'route': ['p1', 'e9', 'i8', 'x1', 'p2', 'c5']}
1769461156.9697325,SENT,03eea5bc-73be-4553-9f7b-a73be2fdd63a,13697da6-1767-47a9-ae61-69e2dee6da17,c4,c5,3400,?,p1,
1769461156.9698734,CREATED,a57f4e19-8b24-413a-9227-34a6aba0b91d,45920a59-c720-4d29-9908-376489efde89,c4,c5,27,?,?,surb={'id': 'ce6677bf-4569-4421-b98a-c836b6e3cbab', 'route': ['p2', 'e10', 'i6', 'x3', 'p1', 'c4']}
1769461157.010004,RECEIVED,b455da13-15a0-425e-963f-9346b2fc03c5,b676ff69-02f9-4c3e-a17a-9b4d9da6efa8,c5,c4,27,p1,?,surb={'id': 'e2f09725-46c8-45e1-ad30-c7fdb0ec0e37', 'route': ['p1', 'e2', 'i4', 'x5', 'p2', 'c5']}
1769461157.0660923,RECEIVED,5070ff6a-c801-4db3-9fe4-2c65a254e4eb,d18f4e05-362d-4e3e-82e4-6c0dd5deef63,c3,c4,27,p1,?,surb={'id': 'a99e7cdc-8c7f-4239-bf29-4069e2650025', 'route': ['p1', 'e3', 'i11', 'x7', 'p3', 'c3']}
