timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769490760.5282373,SENT,e56257c7-ee73-4949-a4cd-4d6f532f1048,5a7d74c7-fafc-4c15-b62b-14276e397e89,c4,DROP,2018,?,p1,
1769490760.5283802,CREATED,1a11a5a9-6556-4c8b-8e5e-f1b765912cb8,95361c74-6a34-4b8b-9290-7a66feb44625,c4,DROP,26,?,?,
1769490761.4490328,SENT,ba32e497-f6d4-4df6-85fd-6af2e6f8b31d,e4124771-6aa7-40d9-934a-df86942382d9,c4,c2,3391,?,p1,
1769490761.4492273,CREATED,557820f1-bb7b-446b-a27c-52a2aaf2c95f,9dbd7bdf-0877-4d99-9e12-08376878fe20,c4,c2,27,?,?,surb={'id': 'e4cf8fb5-4796-41e2-9717-51d61483f5f1', 'route': ['p2', 'e8', 'i11', 'x6', 'p1', 'c4']}
1769490762.5920722,CREATED,0b927d6f-fada-44fb-a1bb-a06d2eebba84,5bf561f9-d223-4a28-b7ef-78ecf5913e5e,c4,c2,27,?,?,surb={'id': '64f15577-cbd4-407e-9645-11ff729551e5', 'route': ['p2', 'e4', 'i10', 'x4', 'p1', 'c4']}
1769490762.9375567,RECEIVED,1d45621d-5ab5-4850-ad09-1336f28fe69f,405aa473-3f83-48f3-bbbb-5a0bf14df33d,c2,c4,27,p1,?,surb={'id': '5d62eae7-2c15-43ab-b2a0-e9141535c8b0', 'route': ['p1', 'e10', 'i8', 'x5', 'p2', 'c2']}
1769490763.1186547,RECEIVED,b912cdf0-a935-4948-9612-df6cd7276c8c,d8e6b415-db4f-4dfa-b4c4-a83512e62880,c2,c4,26,p1,?,surb={'id': 'f2b2d2e1-01f5-4fcf-b6ee-f2ee11a34ec0', 'route': ['p1', 'e10', 'i8', 'x1', 'p2', 'c2']}
1769490763.1406527,SENT,833d23c0-f4f5-4860-a3c2-f48c497f7eca,c03594ff-0dcc-4656-8c2b-06454aa07b23,c4,c2,3387,?,p1,
1769490763.1407998,CREATED,a83d0b19-c825-4d72-ad88-fc5033a0b3cc,f2109e7a-ce41-41eb-94d3-0d78192bc784,c4,c2,27,?,?,surb={'id': '28cfeb3f-5f0b-4c0a-9b5a-66d1702243d4', 'route': ['p2', 'e3', 'i11', 'x2', 'p1', 'c4']}
1769490763.4076982,SENT,85686793-53b3-4c9f-9d48-122928ea136e,60a71453-151a-4a1d-b376-93853fccfbe2,c4,c2,3384,?,p1,
1769490763.4078393,CREATED,bd5a2b85-9c2b-4a06-95e3-19164786620c,41e43758-85b3-4ee5-a476-3897233569cc,c4,c2,27,?,?,surb={'id': '0f7fdbcb-cd21-473d-8654-c5ce245650a0', 'route': ['p2', 'e3', 'i11', 'x10', 'p1', 'c4']}
1769490763.5803666,SENT,39814720-7b4c-4407-a000-3585ccc8777f,92164885-c79f-47ff-9faa-91083adaa4cd,c4,c2,3395,?,p1,
1769490763.58052,CREATED,b5a5cb31-aa28-420f-a712-569dedf258dc,04d2f794-024f-4631-9679-4d6b76e6e455,c4,c2,27,?,?,surb={'id': '43f9c001-7079-4f2f-a20e-34dbe507d38c', 'route': ['p2', 'e5', 'i7', 'x5', 'p1', 'c4']}
1769490764.1781912,SENT,0926d405-2a0c-40b5-922b-6794440494f7,115bdf8d-1d9d-45d6-a816-6132c8de9392,c4,c2,3403,?,p1,
1769490764.178349,CREATED,8b99337b-c55c-4a65-9532-96100925add9,ed2fc13a-3916-4238-8a29-7091df548cbd,c4,c2,27,?,?,surb={'id': '2c2d6867-83fe-4ac5-a38f-c733829fbe92', 'route': ['p2', 'e1', 'i9', 'x10', 'p1', 'c4']}
1769490764.3620052,RECEIVED,55bd20d4-169b-4ae7-8261-adf9efe9d752,fda230ed-8733-48b5-9e20-6fa169e7d5cc,c2,c4,27,p1,?,surb={'id': 'b4ab3bc4-ca0b-43db-9337-1491f8eb5826', 'route': ['p1', 'e2', 'i8', 'x7', 'p2', 'c2']}
1769490764.3747673,RECEIVED,e558ad84-d5e9-4af1-b67a-3f9b362cf8cc,f96e06b2-8e49-40b0-a390-8dbc6b7ac571,c1,c4,27,p1,?,surb={'id': '97ae3f5e-e3e2-4277-b2a2-df3eef79fabb', 'route': ['p1', 'e4', 'i10', 'x6', 'p1', 'c1']}
1769490764.4176383,SENT,736381de-8b8b-4cb6-8315-4571bf310e06,e52f883c-7ce4-47bd-80e3-5b97b075b8e3,c4,c2,3363,?,p1,
1769490764.4177787,CREATED,b0d08b46-7d56-42bf-bd3c-7397214751d2,289a85be-3bfe-47ce-8531-47535a77391c,c4,c2,27,?,?,surb={'id': '45f82bf0-6f6e-4df1-a44d-50f75f5fdb6b', 'route': ['p2', 'e10', 'i1', 'x5', 'p1', 'c4']}
1769490764.5408041,SENT,3e20b7e3-a3c4-4d47-9feb-518fc9c8d984,02a119d6-f1ae-41f6-b856-f8087eb3945f,c4,c2,3379,?,p1,
1769490764.5409553,CREATED,fa7ad116-7eaf-4b81-aa4e-d692f7b66a17,49dbec1d-f662-4d7d-8f47-8306318f5257,c4,c2,27,?,?,surb={'id': 'f4461344-85f2-4c45-8bf8-548f647d8467', 'route': ['p2', 'e2', 'i10', 'x7', 'p1', 'c4']}
1769490764.7311573,RECEIVED,26dc517a-4686-4d25-ba49-e580b47d045d,260338ea-b4e7-47b3-b15e-02db786da0e5,c1,c4,26,p1,?,surb={'id': 'bd35f194-3d03-428f-bc96-490a17263c64', 'route': ['p1', 'e11', 'i3', 'x10', 'p1', 'c1']}
1769490764.8796196,SENT,eeda4de2-9ca5-4ea5-9f80-bd9f637459e9,27ff18c0-96a2-42b0-bfa9-de6f75da25e9,c4,c2,3359,?,p1,
1769490764.879801,CREATED,67ccf18f-a15d-4337-8ba3-d38add7dd8e3,68602f7f-6a7c-4bba-afca-6f5b3eb2e654,c4,c2,27,?,?,surb={'id': '51474a10-626b-4e6d-82a5-d56184409209', 'route': ['p2', 'e5', 'i3', 'x5', 'p1', 'c4']}
1769490765.0909169,SENT,6ae7dba8-4514-45d6-af47-3d4462213820,f676afbe-727f-404a-8dc1-0218d6140a55,c4,c2,3388,?,p1,
1769490765.0910964,CREATED,6945dfe1-675e-427b-9356-b284d4d23a01,dee28a7b-9678-474c-9a85-0300461c4caa,c4,c2,27,?,?,surb={'id': '56244a85-2ab6-4fe7-8b9c-6a3624960c02', 'route': ['p2', 'e6', 'i11', 'x1', 'p1', 'c4']}
1769490765.1182082,RECEIVED,1855d945-8eaa-4cb6-92d4-ad98fd7458e8,b21b2225-89ff-4318-904a-eea5344c6fbd,c2,c4,27,p1,?,surb={'id': '418582de-93d1-430e-a407-f04a13e33773', 'route': ['p1', 'e2', 'i6', 'x3', 'p2', 'c2']}
1769490765.3247228,SENT,9fe18fda-9d8d-4770-a3eb-7dfa96d99761,7fe6e5bc-dcb5-4022-8dfc-73e99c364185,c4,c2,3383,?,p1,
1769490765.3248703,CREATED,345de455-d936-42ad-8994-91576ed1ade0,1537dd15-0dfc-40af-b6cb-4678c7acdac8,c4,c2,27,?,?,surb={'id': '6baa6ab1-af64-4d24-92b7-0bd4a311e3e3', 'route': ['p2', 'e3', 'i7', 'x12', 'p1', 'c4']}
1769490765.349924,SENT,666bffe6-362e-489e-a105-49c87d81d5df,f46bc8cc-bab0-417a-bc58-679029e32613,c4,c2,3380,?,p1,
1769490765.3501122,CREATED,af5492f1-cecd-4c50-8d42-d32bcb8f3dd5,bc65c411-0462-498c-b244-5f8f86f524da,c4,c2,27,?,?,surb={'id': 'ead5f805-2e57-4c03-b2de-3cc8292b47b6', 'route': ['p2', 'e9', 'i9', 'x9', 'p1', 'c4']}
1769490765.3640382,RECEIVED,cd81877f-d895-4d31-8d01-bd951093aff3,a766b2ae-f554-44a8-9bdf-fa123334ed81,c2,c4,27,p1,?,surb={'id': '651ec7cc-242a-4536-bb34-f3760f37017e', 'route': ['p1', 'e5', 'i10', 'x12', 'p2', 'c2']}
1769490765.4235246,RECEIVED,15f2a441-3a21-4673-a165-6ea8a2cf012b,9deaed99-cec6-452d-842f-d53aafd0e44f,c1,c4,27,p1,?,surb={'id': '602b914c-6a4e-47a0-b2b1-de1a66cd121b', 'route': ['p1', 'e11', 'i9', 'x9', 'p1', 'c1']}
1769490765.5854113,RECEIVED,9105408b-47aa-4e3a-9d9c-7874746ddaf2,9949c3e0-1bae-4021-be4a-a41d284a8fc1,c2,c4,27,p1,?,surb={'id': '29122b1e-eacd-4eca-ac4d-0992459e5d07', 'route': ['p1', 'e12', 'i7', 'x11', 'p2', 'c2']}
1769490765.6528206,SENT,b6dd4639-122d-4b9a-9dc3-3679f832760b,567978b8-c3bd-4314-8d91-afdae74a65bd,c4,c2,3372,?,p1,
1769490765.6530013,CREATED,e1ba951a-98b5-4cca-aaaf-9cf8839f8787,0b630f6f-a1db-493a-9d96-50a21f1f8dad,c4,c2,27,?,?,surb={'id': '650514f8-4bcb-477d-a693-7c4d649bfccc', 'route': ['p2', 'e5', 'i3', 'x1', 'p1', 'c4']}
1769490765.6878884,RECEIVED,2e2d2ba4-7288-44d4-94d9-cf9dd2ac4c74,5f7edf65-6cf8-4d75-a0b0-a6e3509dc45f,c2,c4,26,p1,?,surb={'id': '4eddd1eb-0369-40c1-b821-b73d8b7876da', 'route': ['p1', 'e5', 'i8', 'x5', 'p2', 'c2']}
1769490765.8553953,RECEIVED,3fa85562-4e5d-4200-a8fb-a3630c1cce1b,1f8c9186-6d78-4240-8bde-0b7108b0cbcc,c2,c4,27,p1,?,surb={'id': '171035a5-2d36-426f-ac4a-31b074aa7c66', 'route': ['p1', 'e1', 'i10', 'x6', 'p2', 'c2']}
1769490765.9198287,RECEIVED,58f67bf9-ff5e-4889-bdcf-e023fcd23a68,84f9c532-7c63-4351-aae8-d9995f42ebb5,c2,c4,27,p1,?,surb={'id': '2d7fa3c7-27d2-442c-a1e3-bd04a8d559cb', 'route': ['p1', 'e6', 'i7', 'x8', 'p2', 'c2']}
1769490765.9339294,SENT,dc682661-e8bd-463b-8647-94b969c4f8b8,4fce88ea-f79b-498a-82c0-e013f0cda37a,c4,c2,3383,?,p1,
1769490765.934251,CREATED,80347713-e997-4b7a-8131-e11117a8c00a,75da4ca9-8b74-4e75-b21b-e91339596942,c4,c2,27,?,?,surb={'id': '3ed3827a-f5c7-470c-8533-b90c8ddb8f80', 'route': ['p2', 'e4', 'i8', 'x3', 'p1', 'c4']}
1769490766.023226,RECEIVED,6fb6e54f-3e97-41cb-8fbf-29934524beab,3763cc77-3406-47e1-86c7-636d58948ee6,c1,c4,27,p1,?,surb={'id': 'ca4a310e-2978-4940-a28d-75817fc4b238', 'route': ['p1', 'e11', 'i2', 'x1', 'p1', 'c1']}
1769490766.0979123,SENT,4191d0b0-6040-4d73-b427-69a5419701b1,3edda2a2-83cc-4029-980f-0d55cad32c56,c4,c2,3388,?,p1,
1769490766.0981023,CREATED,6446c7a4-ebe3-46bb-a41f-ccd80e802a6d,7900c0da-bc1c-459e-92fa-d679ef53fb37,c4,c2,27,?,?,surb={'id': '1b5d8a17-2a4b-458e-beea-526b714eb7a1', 'route': ['p2', 'e7', 'i10', 'x5', 'p1', 'c4']}
1769490766.1561062,RECEIVED,5dc268e1-f353-48c6-99cd-a555f5f766c8,71841bbe-dc9d-4440-b706-f6b5cdf1c974,c1,c4,27,p1,?,surb={'id': '77a5733c-e17a-4328-93b6-2befa20dbc17', 'route': ['p1', 'e8', 'i12', 'x12', 'p1', 'c1']}
1769490766.2523382,SENT,b3fe36a5-35a2-46f2-a674-55957415e3f8,bba7aa5f-7d35-4a9b-a478-e6148df12912,c4,c2,3389,?,p1,
1769490766.2524931,CREATED,67a9dab5-970a-40db-9751-b27103082568,91cd731e-3465-4398-a0b1-b9e672692e63,c4,c2,25,?,?,surb={'id': '26ce4f07-dcf5-4578-9b9a-2ea56892a8a2', 'route': ['p2', 'e3', 'i8', 'x10', 'p1', 'c4']}
1769490766.3681397,SENT,bfeca514-fd3a-4eba-a75d-7684ae4abd9e,f01b43bd-5b53-436e-81d7-aa4c9fed7071,c4,c2,3367,?,p1,
1769490766.368288,CREATED,3e359cbd-35e7-42e4-9ca3-40ef137832dd,a92a4d86-3bd7-466c-854c-f234e5074607,c4,c2,27,?,?,surb={'id': '99a22212-0a3f-44a2-bf0b-819d88e10320', 'route': ['p2', 'e9', 'i1', 'x4', 'p1', 'c4']}
1769490766.6198297,RECEIVED,fa3e3bc9-2de3-430c-a528-f96e872dbb88,38acbdb7-0fb5-43bb-a6aa-77c3064a32ba,c1,c4,27,p1,?,surb={'id': '86e3b4f0-2a70-4597-a5b7-aaad9ca4be54', 'route': ['p1', 'e8', 'i1', 'x3', 'p1', 'c1']}
1769490766.7303517,RECEIVED,292f83e3-3e89-4fcd-89a8-56bc90f3e1cb,71d16db3-cbd2-433b-b250-cacc9ade8f55,c1,c4,26,p1,?,surb={'id': 'cf401a62-0916-4c7f-8541-e260ef060dac', 'route': ['p1', 'e2', 'i2', 'x6', 'p1', 'c1']}
1769490766.9155169,RECEIVED,cf7eed76-ec02-4d78-9880-e022cf7b86d3,8f6b7307-2872-4cef-b8c7-0d2fe5afab75,c2,c4,25,p1,?,surb={'id': '98861c13-3688-4632-902d-548059fa39c6', 'route': ['p1', 'e2', 'i12', 'x10', 'p2', 'c2']}
1769490767.5739732,SENT,4b0babe5-fdb3-4d6d-918c-2ae9549ea81c,4b8ff9eb-3c4c-4092-88cb-8f0791fb6b85,c4,c2,3388,?,p1,
1769490767.574167,CREATED,9d17fb69-bd48-4797-918f-195cd91e89db,d62a67db-e10c-434b-918a-9571aa77af5b,c4,c2,26,?,?,surb={'id': '39d9c59c-c22e-4087-92ff-c85679a58cab', 'route': ['p2', 'e6', 'i10', 'x9', 'p1', 'c4']}
1769490767.8796089,RECEIVED,68839af6-019a-460a-ad75-142a288b0359,0ee04406-4a9d-4bc0-80f3-5faf379e5197,c2,c4,26,p1,?,surb={'id': '6508d5ea-f139-4398-865f-684d4fc480a9', 'route': ['p1', 'e7', 'i8', 'x4', 'p2', 'c2']}
1769490767.980639,SENT,62bc0bc1-ff4b-41e6-8061-9afc5fc2b82d,f8dec2a2-c39f-4498-86b9-8504dbca0ac6,c4,c2,3392,?,p1,
1769490767.980786,CREATED,a1836752-6f93-4e02-a3bf-4e761865c00d,bbb6273d-4fd6-48f2-9414-4484d285ebf0,c4,c2,27,?,?,surb={'id': 'd1b5e18d-160d-4013-9ace-a3ea6e7acb8a', 'route': ['p2', 'e12', 'i10', 'x8', 'p1', 'c4']}
1769490767.9827714,RECEIVED,ab05bca9-706f-4689-9cb9-d2c4b63430be,dd0baa9f-b441-4810-b5bb-da6c39602ab1,c2,c4,27,p1,?,surb={'id': '416c97e4-1f93-402b-bf85-bc6b5c7c1ae9', 'route': ['p1', 'e4', 'i2', 'x7', 'p2', 'c2']}
1769490768.0603065,SENT,13d25b8d-551f-4c8c-88d8-423f1232a057,6539111a-e4fe-4022-84e8-e72cc66c263e,c4,c2,3392,?,p1,
1769490768.0604808,CREATED,5cf1a2ac-a6bf-4d16-955a-2ad066f7acb0,4a63c1bf-1541-4797-9b95-684e6129cb4f,c4,c2,27,?,?,surb={'id': 'ba827c2c-c940-4783-9c03-f31d1a5dfd41', 'route': ['p2', 'e3', 'i11', 'x12', 'p1', 'c4']}
1769490768.3368492,RECEIVED,22bd3158-aa93-4261-98c6-321198572062,de1e2b9f-1321-4292-9a8d-3e2570554eea,c2,c4,27,p1,?,surb={'id': '009a9324-f8b2-406a-a800-477005028ce3', 'route': ['p1', 'e12', 'i3', 'x11', 'p2', 'c2']}
1769490768.3944683,RECEIVED,409b66f3-ee61-497c-8a7f-8cda1e459433,d748b957-8082-4c2a-baef-8e27cc572467,c1,c4,27,p1,?,surb={'id': 'fd3a2b2d-716f-4bcc-983f-bb0843e9b0f6', 'route': ['p1', 'e7', 'i3', 'x7', 'p1', 'c1']}
1769490768.6579223,RECEIVED,532b5e13-3f0d-40b6-a3cb-1870bc940822,77abd28f-761a-462f-ac3d-3d28463a760d,c1,c4,27,p1,?,surb={'id': '24bf5dee-eb0f-48ec-894a-3a27494f88d0', 'route': ['p1', 'e4', 'i7', 'x10', 'p1', 'c1']}
1769490768.7321725,RECEIVED,3e032e42-f25a-4923-ae58-dd66c61b60f5,d4a2b1f0-86f3-47a1-b4a0-c230b130ad04,c1,c4,27,p1,?,surb={'id': '58155a62-0693-498a-817d-57b2b4281ee7', 'route': ['p1', 'e8', 'i1', 'x11', 'p1', 'c1']}
1769490768.7927938,SENT,5559d0f0-3898-4dc1-a70d-07511f5466e7,cc071abc-c28a-4de4-85e4-5fc5ecdefd3e,c4,c2,3373,?,p1,
1769490768.792949,CREATED,13e3d5c2-f317-43f7-be60-b43a05efff47,44eb05c7-58b4-416e-aae3-fd5e6fe50500,c4,c2,26,?,?,surb={'id': 'bf2937a9-6a78-437c-b902-fae4cbc68759', 'route': ['p2', 'e8', 'i12', 'x3', 'p1', 'c4']}
1769490769.003697,RECEIVED,e0271cea-869c-4989-88e3-7561d3d18699,3096fc76-3b8e-4c16-933e-b118ce7e2009,c2,c4,26,p1,?,surb={'id': 'de4ef89c-a9ab-4981-9a38-9ccbbcb7a18c', 'route': ['p1', 'e2', 'i4', 'x8', 'p2', 'c2']}
1769490769.3089845,RECEIVED,58a69c43-bb3a-4702-8b04-7eeeb0f77c1b,6f106609-f082-4995-b837-c40e590469ee,c2,c4,27,p1,?,surb={'id': '1ea7aa55-092e-484a-8250-f5b6249dcaca', 'route': ['p1', 'e4', 'i10', 'x6', 'p2', 'c2']}
1769490769.6677358,RECEIVED,1847ac8e-90fe-41df-b840-21c5031b99e8,3ff8f795-337b-4305-9e98-02ffec7cafd7,c1,c4,27,p1,?,surb={'id': '1a73d56a-0f16-42af-9a7d-0cb7ee0298a3', 'route': ['p1', 'e10', 'i10', 'x3', 'p1', 'c1']}
1769490769.8797255,RECEIVED,bd94947e-0b0f-4280-98d5-dd13ae0cffe2,7646e6af-5ac5-43bd-8538-391af3aa7d18,c2,c4,27,p1,?,surb={'id': '176d4c00-bcf5-403d-9048-b3347b27034d', 'route': ['p1', 'e6', 'i8', 'x12', 'p2', 'c2']}
1769490769.926756,RECEIVED,8c89c7db-5ef6-453a-b9d8-a9a58c7f3b1f,0a784572-836a-4360-99d2-f0825f1b9fa8,c2,c4,27,p1,?,surb={'id': '9e283b42-a57a-416b-86e2-8dcf62a560ac', 'route': ['p1', 'e2', 'i5', 'x10', 'p2', 'c2']}
1769490769.9284923,SENT,5ffe0767-8628-48b7-8110-14d0873ffebb,a3d5f20e-8a89-4280-b848-5a6a1d14944b,c4,c2,3385,?,p1,
1769490769.928653,CREATED,baaf8c00-e1df-4b56-9219-71c9ef81b2e4,4a3067fa-ac56-4207-86d4-62cf85f1c55c,c4,c2,27,?,?,surb={'id': 'dd320bdf-9ac6-4db0-ae69-09a380001a49', 'route': ['p2', 'e1', 'i4', 'x6', 'p1', 'c4']}
1769490769.9943905,RECEIVED,f0c017c3-969c-4bc2-b29a-6a588758fc41,9a5966c3-9cf5-4f27-9885-6be87bc0fa13,c2,c4,25,p1,?,surb={'id': '808c63f6-b0cd-4435-a477-5582d0546c15', 'route': ['p1', 'e10', 'i5', 'x10', 'p2', 'c2']}
1769490770.15193,RECEIVED,a6190ba7-9a2d-4774-b447-6162d4dd7db2,c60771f2-8b50-48f9-8035-ac618fd6a152,c1,c4,27,p1,?,surb={'id': '14643280-0bf5-46cd-a982-07bf15f55050', 'route': ['p1', 'e6', 'i12', 'x2', 'p1', 'c1']}
1769490770.2400417,RECEIVED,5111ea0e-1270-4d87-a155-689c0d4d7956,85bb1946-059d-47cf-8a73-01e4f17d7a0a,c1,c4,27,p1,?,surb={'id': 'ee66ca45-6bcc-46ae-b51c-ce9b37606e55', 'route': ['p1', 'e3', 'i8', 'x10', 'p1', 'c1']}
1769490770.2458906,RECEIVED,92985f69-7b05-49b7-aede-c75cb3e9d9f4,ac8eeb65-2d83-497a-8bbe-5dfca76e9caa,c2,c4,26,p1,?,surb={'id': 'bd5f0516-3693-44ca-b21e-56dea73a7fa9', 'route': ['p1', 'e11', 'i8', 'x2', 'p2', 'c2']}
1769490770.2882075,SENT,618905be-9a0c-4b39-b19e-fbc976397359,42b9da28-d76e-4108-844b-1d19b018afb0,c4,c2,3387,?,p1,
1769490770.2882688,CREATED,840f7cb2-c59b-49c6-b7d7-340434d6644b,0ee46111-2a4e-4f51-b0f2-894330fa1865,c4,c2,25,?,?,surb={'id': '1dff9a30-ffdc-4556-b69e-9ef363fcdfe3', 'route': ['p2', 'e5', 'i8', 'x6', 'p1', 'c4']}
1769490770.3234024,RECEIVED,7a1e18be-4948-4e58-a976-dfb14014dddf,20fc3ca3-8f9e-4f40-938e-cfc2b9828f4e,c1,c4,26,p1,?,surb={'id': '8c57cd8b-bd5d-4bbf-af23-5561b5fb3bf4', 'route': ['p1', 'e3', 'i6', 'x9', 'p1', 'c1']}
1769490770.9274356,SENT,21da9273-5d09-40bb-b763-ae1a22f2f9e8,7097012b-a530-414f-82d5-80f1497df80c,c4,c2,3398,?,p1,
1769490770.9275866,CREATED,7668fa5b-8fd2-4031-8c63-1578ae077e7f,954c3334-906b-472a-b441-93d417e9cbcc,c4,c2,27,?,?,surb={'id': 'c76dfdf6-4e44-4800-88c1-ecb7921a6557', 'route': ['p2', 'e6', 'i12', 'x5', 'p1', 'c4']}
1769490771.0891757,SENT,c790f0e6-2fdd-40ed-928b-2c617c901adb,93bfb386-3ed8-42c1-bf89-f9544b5294cc,c4,c2,3380,?,p1,
1769490771.0893269,CREATED,f2411e20-fd34-4f4f-bcec-2460a4afe31c,d227a3fa-e746-439e-b3d1-77b69033669a,c4,c2,26,?,?,surb={'id': '6e3f9222-399d-4cb3-b2fa-61d9c5d590d5', 'route': ['p2', 'e4', 'i1', 'x7', 'p1', 'c4']}
1769490771.099551,RECEIVED,13d46514-7318-4aac-869c-d28f46f4beca,4b6d85db-9170-4ed7-b824-b9af729be78b,c2,c4,27,p1,?,surb={'id': '9f5681c4-eb91-44a9-a8ad-262260c946d3', 'route': ['p1', 'e6', 'i5', 'x2', 'p2', 'c2']}
1769490771.1473298,SENT,78393025-1b55-4ed8-8385-a1dc3649f9a4,9e1e2029-46e9-4a78-ab2e-bdb46086c57c,c4,c2,3376,?,p1,
1769490771.1474805,CREATED,a77a31bf-1def-4ce9-9a65-a90d0c4538cd,f210931b-9230-4c91-95df-e425bacd31a3,c4,c2,27,?,?,surb={'id': 'effacac0-3639-4f55-88bb-6751c13bec18', 'route': ['p2', 'e4', 'i3', 'x1', 'p1', 'c4']}
1769490771.225957,RECEIVED,7afa6617-12f8-4a38-a478-8271bf854d8a,e853bf3a-5ca2-485b-8487-0f7cb38d3bd3,c1,c4,27,p1,?,surb={'id': '1f94c9d9-e001-4485-9320-aed71cd913c5', 'route': ['p1', 'e3', 'i12', 'x7', 'p1', 'c1']}
1769490771.264982,SENT,22e670fb-414f-484d-9ba6-5e9d369f0ee9,fa28b1bb-e16a-44d7-ac7a-0def828b036a,c4,c2,3375,?,p1,
1769490771.2651737,CREATED,309f5ded-f5c7-49ad-94f6-247645c71777,472f4866-a943-4eb0-a4a9-000552a609ef,c4,c2,27,?,?,surb={'id': 'a3fecfd1-d1ce-480b-9224-c6794c0cf23a', 'route': ['p2', 'e1', 'i4', 'x7', 'p1', 'c4']}
1769490771.4068022,RECEIVED,85ec69f0-e86e-4b88-bb8d-623852c5dfd9,9b6955fb-c380-458c-870a-bcd3b2993316,c1,c4,26,p1,?,surb={'id': '15110a06-cc74-4cfe-95d1-f5f39c07ee10', 'route': ['p1', 'e12', 'i8', 'x8', 'p1', 'c1']}
1769490771.4149408,RECEIVED,2a792123-1977-4bfc-9156-27d9d780f116,317eaf6f-7d00-4d92-9c44-e11a33ae7781,c1,c4,27,p1,?,surb={'id': '82f75af0-4c13-4a60-8151-16db521d7494', 'route': ['p1', 'e3', 'i7', 'x9', 'p1', 'c1']}
1769490771.5254357,RECEIVED,3a3778f8-5153-4faa-b9a9-8ed3c2db09a1,d21e339c-533a-4450-957d-fefdeadd6f10,c2,c4,26,p1,?,surb={'id': '78814465-75a3-4a91-ac5c-10a1145dfa99', 'route': ['p1', 'e12', 'i5', 'x10', 'p2', 'c2']}
1769490771.747347,SENT,294fb8bf-2c77-436a-b6c7-3c54383a331b,19cb62cb-f91f-4c7e-9a42-918b2e423801,c4,c2,3382,?,p1,
