timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769490760.6598105,SENT,b51e89d7-f3b4-41bd-8a5e-4d2b3d3f74a8,3eb6d21e-9cf0-4f67-b418-7ba6b6c1e1b1,c2,DROP,2032,?,p2,
1769490760.6599844,CREATED,f23d5c7b-4f41-4aee-8ac8-d95968bc7970,a590a613-2611-40ed-bf95-5b2b575dc295,c2,DROP,27,?,?,
1769490760.7520826,SENT,02a5f123-e63d-4c5c-a04f-95b8887e12c8,0c879ca5-56aa-40a0-b3f3-48c158098868,c2,c4,3364,?,p2,
1769490760.752357,CREATED,ab05bca9-706f-4689-9cb9-d2c4b63430be,dd0baa9f-b441-4810-b5bb-da6c39602ab1,c2,c4,27,?,?,surb={'id': '416c97e4-1f93-402b-bf85-bc6b5c7c1ae9', 'route': ['p1', 'e4', 'i2', 'x7', 'p2', 'c2']}
1769490763.1899724,CREATED,cf7eed76-ec02-4d78-9880-e022cf7b86d3,8f6b7307-2872-4cef-b8c7-0d2fe5afab75,c2,c4,25,?,?,surb={'id': '98861c13-3688-4632-902d-548059fa39c6', 'route': ['p1', 'e2', 'i12', 'x10', 'p2', 'c2']}
1769490763.2946138,SENT,d127704e-7a78-4c3b-b000-81f9bf4abcd6,250ecd85-49cb-4ebd-946c-ff58ba9d2efc,c2,c4,3380,?,p2,
1769490763.2947602,CREATED,1855d945-8eaa-4cb6-92d4-ad98fd7458e8,b21b2225-89ff-4318-904a-eea5344c6fbd,c2,c4,27,?,?,surb={'id': '418582de-93d1-430e-a407-f04a13e33773', 'route': ['p1', 'e2', 'i6', 'x3', 'p2', 'c2']}
1769490763.536909,SENT,e52d7d7f-2d42-44ec-8cda-314f58fb55ea,412678ea-4da0-42fd-b50d-240fc2223772,c2,c4,3392,?,p2,
1769490763.5370908,CREATED,cd81877f-d895-4d31-8d01-bd951093aff3,a766b2ae-f554-44a8-9bdf-fa123334ed81,c2,c4,27,?,?,surb={'id': '651ec7cc-242a-4536-bb34-f3760f37017e', 'route': ['p1', 'e5', 'i10', 'x12', 'p2', 'c2']}
1769490763.6735673,RECEIVED,557820f1-bb7b-446b-a27c-52a2aaf2c95f,9dbd7bdf-0877-4d99-9e12-08376878fe20,c4,c2,27,p2,?,surb={'id': 'e4cf8fb5-4796-41e2-9717-51d61483f5f1', 'route': ['p2', 'e8', 'i11', 'x6', 'p1', 'c4']}
1769490763.9065182,RECEIVED,904e0ae9-7622-41ad-b1bd-5a6486a25c9d,a2a64d92-2167-44f2-91c2-155d10bf0d99,c4,c2,27,p2,?,surb={'id': 'e12456f2-6504-4c77-b1a7-b920d1a9231c', 'route': ['p2', 'e9', 'i10', 'x12', 'p1', 'c4']}
1769490763.91889,RECEIVED,864718c5-380e-4ea8-a493-7887be6e0a57,ec02c101-a035-4c58-98f1-dabbd796f7a0,c4,c2,26,p2,?,surb={'id': 'a80c4320-ff95-4b3a-a5c7-2ce46951d5c9', 'route': ['p2', 'e11', 'i11', 'x9', 'p1', 'c4']}
1769490764.0674365,RECEIVED,4d8d831f-8ddb-47a4-87de-a1c0c704dbd7,ac8a57d4-75f5-4935-8e5d-ce5c87fa6adf,c5,c2,27,p2,?,surb={'id': 'be72f42a-0a41-47da-8c28-447688563c8a', 'route': ['p2', 'e1', 'i6', 'x5', 'p2', 'c5']}
1769490764.21196,SENT,680ab835-a561-44ca-bb1a-42520f5f97eb,cd5fa54c-6d51-469b-9aff-93a4dbdf384f,c2,c4,3360,?,p2,
1769490764.2121696,CREATED,2e2d2ba4-7288-44d4-94d9-cf9dd2ac4c74,5f7edf65-6cf8-4d75-a0b0-a6e3509dc45f,c2,c4,26,?,?,surb={'id': '4eddd1eb-0369-40c1-b821-b73d8b7876da', 'route': ['p1', 'e5', 'i8', 'x5', 'p2', 'c2']}
1769490764.384727,SENT,484fde34-e5cc-4f52-b138-00104b77bee1,55a2e09b-2a70-409a-ae81-cc1027e675f6,c2,c4,3392,?,p2,
1769490764.3848732,CREATED,9105408b-47aa-4e3a-9d9c-7874746ddaf2,9949c3e0-1bae-4021-be4a-a41d284a8fc1,c2,c4,27,?,?,surb={'id': '29122b1e-eacd-4eca-ac4d-0992459e5d07', 'route': ['p1', 'e12', 'i7', 'x11', 'p2', 'c2']}
1769490764.7310004,RECEIVED,c340c4e6-1069-4891-9c38-8b586af92a43,37695487-022c-4574-95a8-0b4eabef5fca,c5,c2,27,p2,?,surb={'id': 'ce983672-570f-462c-a82a-d08c02393856', 'route': ['p2', 'e8', 'i9', 'x3', 'p2', 'c5']}
1769490764.7981682,SENT,bd9e08c2-8d24-4544-89d7-a7fa61aa6890,bf2c6e66-e275-4223-964e-a00713399fa2,c2,c4,3384,?,p2,
1769490764.7983227,CREATED,58f67bf9-ff5e-4889-bdcf-e023fcd23a68,84f9c532-7c63-4351-aae8-d9995f42ebb5,c2,c4,27,?,?,surb={'id': '2d7fa3c7-27d2-442c-a1e3-bd04a8d559cb', 'route': ['p1', 'e6', 'i7', 'x8', 'p2', 'c2']}
1769490764.8266006,RECEIVED,7ca6b7d5-a60b-44ab-9c22-b8bda391be37,55826687-4fbb-48f5-8697-ef5c73deccc4,c3,c2,27,p2,?,surb={'id': 'e5b775cb-efc8-4945-be48-e1c07f99f535', 'route': ['p2', 'e10', 'i1', 'x1', 'p3', 'c3']}
1769490764.938451,RECEIVED,ec14d26d-d13f-47de-9122-f5117b43d140,766ff627-4437-416e-b26e-63de3a6faeba,c4,c2,27,p2,?,surb={'id': '09634fdd-e7f9-4f30-a353-f04c62523c97', 'route': ['p2', 'e1', 'i10', 'x11', 'p1', 'c4']}
1769490765.0693803,SENT,a127c136-0b6d-4062-92dd-402cf0dd82ad,52302fbb-5b98-4505-b678-d5d73a9a1cb3,c2,c4,3356,?,p2,
1769490765.0695267,CREATED,68839af6-019a-460a-ad75-142a288b0359,0ee04406-4a9d-4bc0-80f3-5faf379e5197,c2,c4,26,?,?,surb={'id': '6508d5ea-f139-4398-865f-684d4fc480a9', 'route': ['p1', 'e7', 'i8', 'x4', 'p2', 'c2']}
1769490765.1742542,RECEIVED,6a2fd2a9-e549-4c55-8c5a-4a01dc883fc0,c6c33b4a-4ca6-449b-b6f1-60e3504a7194,c3,c2,27,p2,?,surb={'id': 'e6ef83bb-6b4a-4e94-9552-d0eb6e158e07', 'route': ['p2', 'e7', 'i5', 'x8', 'p3', 'c3']}
1769490765.3316863,SENT,657c4899-6465-48dc-be0c-ddcf0c7a19ef,d58ad57f-b075-44b6-8e64-5fb93f9c37cc,c2,c4,3364,?,p2,
1769490765.3318331,CREATED,22bd3158-aa93-4261-98c6-321198572062,de1e2b9f-1321-4292-9a8d-3e2570554eea,c2,c4,27,?,?,surb={'id': '009a9324-f8b2-406a-a800-477005028ce3', 'route': ['p1', 'e12', 'i3', 'x11', 'p2', 'c2']}
1769490765.3939064,RECEIVED,310776e1-9733-4f64-9edb-0b741ab0c9df,d56a8ce6-7bdf-4738-a9fd-24c5b5ed457d,c3,c2,27,p2,?,surb={'id': '28332c39-b2ba-4283-b732-03039db845b8', 'route': ['p2', 'e1', 'i10', 'x5', 'p3', 'c3']}
1769490765.3968658,RECEIVED,bd5a2b85-9c2b-4a06-95e3-19164786620c,41e43758-85b3-4ee5-a476-3897233569cc,c4,c2,27,p2,?,surb={'id': '0f7fdbcb-cd21-473d-8654-c5ce245650a0', 'route': ['p2', 'e3', 'i11', 'x10', 'p1', 'c4']}
1769490765.4405413,RECEIVED,8e3b4833-0e1c-4a41-bd0e-20f087c1d8c9,096bb49e-5b35-41e8-8b6b-f6e3ef652278,c3,c2,27,p2,?,surb={'id': '3ebc0de3-1c3e-4dd5-807f-3bf2078c9c9a', 'route': ['p2', 'e7', 'i10', 'x11', 'p3', 'c3']}
1769490765.4740942,RECEIVED,3b3f6f04-c2fc-4feb-97e7-bb7f20e027cf,67f64c2e-232c-419c-93ff-f6d4854d39f2,c4,c2,27,p2,?,surb={'id': '183449ec-8af4-4566-80c5-f2b181047bea', 'route': ['p2', 'e2', 'i5', 'x9', 'p1', 'c4']}
1769490765.573131,RECEIVED,8b99337b-c55c-4a65-9532-96100925add9,ed2fc13a-3916-4238-8a29-7091df548cbd,c4,c2,27,p2,?,surb={'id': '2c2d6867-83fe-4ac5-a38f-c733829fbe92', 'route': ['p2', 'e1', 'i9', 'x10', 'p1', 'c4']}
1769490765.5901325,RECEIVED,8df9050c-b3d3-4768-9b3c-8ad466e02cb6,2996e7aa-9853-4f7b-b0ed-c0b5ff05d0d5,c5,c2,27,p2,?,surb={'id': '83da65df-4063-40a7-85e2-f5a71585d4fe', 'route': ['p2', 'e5', 'i2', 'x3', 'p2', 'c5']}
1769490765.8492885,RECEIVED,0b927d6f-fada-44fb-a1bb-a06d2eebba84,5bf561f9-d223-4a28-b7ef-78ecf5913e5e,c4,c2,27,p2,?,surb={'id': '64f15577-cbd4-407e-9645-11ff729551e5', 'route': ['p2', 'e4', 'i10', 'x4', 'p1', 'c4']}
1769490765.8833523,RECEIVED,3c8441f4-c83f-45c3-80f5-44627d4d6274,020e45ef-c771-45ea-b2bc-2007cab54914,c3,c2,27,p2,?,surb={'id': '4e24fdfb-5b81-4491-9a8a-1a5b2935f7d5', 'route': ['p2', 'e2', 'i11', 'x9', 'p3', 'c3']}
1769490765.9386117,RECEIVED,24bc5e55-01cd-4d85-b590-7405fa9221a8,40493556-320d-45fd-9853-701eeb2699d3,c5,c2,26,p2,?,surb={'id': 'f6cb5edc-eb03-4d58-a4ef-6525cb7fc8c9', 'route': ['p2', 'e7', 'i6', 'x2', 'p2', 'c5']}
1769490765.9820862,RECEIVED,52be5921-1d14-4a22-a20f-de62c68963f9,5fcac68c-1eaf-456c-ba79-80b97acbc0ec,c3,c2,27,p2,?,surb={'id': '01f3f0eb-16f2-43bb-a3c1-6e6e82e9f481', 'route': ['p2', 'e5', 'i2', 'x11', 'p3', 'c3']}
1769490765.9997697,RECEIVED,f15430f2-0e45-429e-9db3-8c0933ddb67c,a855603f-42bd-4557-bff8-ebb882a9694e,c3,c2,27,p2,?,surb={'id': 'a05617b5-9b8d-4082-b86e-bd4e8fed5b47', 'route': ['p2', 'e9', 'i8', 'x10', 'p3', 'c3']}
1769490766.004383,RECEIVED,3b336073-eb99-442e-90eb-9a01733643ce,6141ec5c-74da-4153-aedf-ebfba23eac37,c5,c2,27,p2,?,surb={'id': '9592d91d-224f-4534-b003-56f6b47990e3', 'route': ['p2', 'e12', 'i1', 'x2', 'p2', 'c5']}
1769490766.0362546,RECEIVED,b8878023-eedf-4dc6-a0b9-df6a353b6292,6804f760-7437-463f-82cb-3788e7daaa17,c5,c2,26,p2,?,surb={'id': 'f0ef567a-32a9-4c51-be69-ff66528867f6', 'route': ['p2', 'e4', 'i2', 'x5', 'p2', 'c5']}
1769490766.2208843,RECEIVED,93de2d95-0923-4c74-ba69-91c02c208ec8,eb272308-074f-4c0a-8969-805dc918efc8,c5,c2,27,p2,?,surb={'id': '2b577996-9331-47b4-91cb-c19b04539683', 'route': ['p2', 'e2', 'i3', 'x12', 'p2', 'c5']}
1769490766.3511612,SENT,088f9f5f-4c14-409b-9cd4-e3011861be29,57375b02-1d43-45ef-9d4c-0a3f7052b7bb,c2,c4,3375,?,p2,
1769490766.3513103,CREATED,92985f69-7b05-49b7-aede-c75cb3e9d9f4,ac8eeb65-2d83-497a-8bbe-5dfca76e9caa,c2,c4,26,?,?,surb={'id': 'bd5f0516-3693-44ca-b21e-56dea73a7fa9', 'route': ['p1', 'e11', 'i8', 'x2', 'p2', 'c2']}
1769490766.3879724,SENT,bffeadf4-c9bb-406a-b4ee-3ddd7a4b0248,5383c915-9693-4fa5-8d02-1610c19fcfc3,c2,c4,3388,?,p2,
1769490766.3881326,CREATED,5f19b794-1131-4a99-911d-d654c90f2257,85429584-c3d9-4504-bab1-9f9561d310d1,c2,c4,27,?,?,surb={'id': 'b8ec024e-08c3-4023-9dcd-fc82357a0425', 'route': ['p1', 'e11', 'i3', 'x12', 'p2', 'c2']}
1769490766.533428,RECEIVED,67ccf18f-a15d-4337-8ba3-d38add7dd8e3,68602f7f-6a7c-4bba-afca-6f5b3eb2e654,c4,c2,27,p2,?,surb={'id': '51474a10-626b-4e6d-82a5-d56184409209', 'route': ['p2', 'e5', 'i3', 'x5', 'p1', 'c4']}
1769490766.545498,RECEIVED,a83d0b19-c825-4d72-ad88-fc5033a0b3cc,f2109e7a-ce41-41eb-94d3-0d78192bc784,c4,c2,27,p2,?,surb={'id': '28cfeb3f-5f0b-4c0a-9b5a-66d1702243d4', 'route': ['p2', 'e3', 'i11', 'x2', 'p1', 'c4']}
1769490766.584362,RECEIVED,92b3329e-2db5-48b1-a299-9e2d049ac807,96d96557-e18a-4614-bdd8-921e68178e56,c3,c2,27,p2,?,surb={'id': '83a5d03b-0f06-47d8-8227-a2b72b3c4aa6', 'route': ['p2', 'e9', 'i11', 'x1', 'p3', 'c3']}
1769490766.685608,SENT,42a8e446-1a26-4cec-ac49-1f1b46ca81c1,51039b18-b082-47dc-834b-8ebb27ab7307,c2,c4,3364,?,p2,
1769490766.6857579,CREATED,13d46514-7318-4aac-869c-d28f46f4beca,4b6d85db-9170-4ed7-b824-b9af729be78b,c2,c4,27,?,?,surb={'id': '9f5681c4-eb91-44a9-a8ad-262260c946d3', 'route': ['p1', 'e6', 'i5', 'x2', 'p2', 'c2']}
1769490766.6877782,RECEIVED,17b69133-e167-441f-8200-04a4585bfd0d,53ed4d13-383b-47bf-a951-456382e96f73,c3,c2,26,p2,?,surb={'id': '12675d4f-ca3a-42dd-a703-ceb76be5acf2', 'route': ['p2', 'e2', 'i9', 'x5', 'p3', 'c3']}
1769490766.735292,RECEIVED,345de455-d936-42ad-8994-91576ed1ade0,1537dd15-0dfc-40af-b6cb-4678c7acdac8,c4,c2,27,p2,?,surb={'id': '6baa6ab1-af64-4d24-92b7-0bd4a311e3e3', 'route': ['p2', 'e3', 'i7', 'x12', 'p1', 'c4']}
1769490766.7514088,RECEIVED,0ded6c78-f2cf-4aad-b76a-3263f761e65f,192a5e72-54bc-40a2-9425-673539a0b061,c5,c2,27,p2,?,surb={'id': 'a584a083-c149-4437-9895-489fbebcdd62', 'route': ['p2', 'e9', 'i2', 'x7', 'p2', 'c5']}
1769490766.8381598,SENT,42a9f0a0-f854-4ef5-86bd-e88920ea2dad,28ded703-1006-4012-aedf-0ea9c197a518,c2,c4,3356,?,p2,
1769490766.838303,CREATED,e0271cea-869c-4989-88e3-7561d3d18699,3096fc76-3b8e-4c16-933e-b118ce7e2009,c2,c4,26,?,?,surb={'id': 'de4ef89c-a9ab-4981-9a38-9ccbbcb7a18c', 'route': ['p1', 'e2', 'i4', 'x8', 'p2', 'c2']}
1769490766.878029,SENT,7c53ae1c-49e7-4646-8c2c-5f34d9a512f7,aab2e043-e667-4d2f-9091-51c0349d1677,c2,c4,3392,?,p2,
1769490766.8789718,CREATED,f0c017c3-969c-4bc2-b29a-6a588758fc41,9a5966c3-9cf5-4f27-9885-6be87bc0fa13,c2,c4,25,?,?,surb={'id': '808c63f6-b0cd-4435-a477-5582d0546c15', 'route': ['p1', 'e10', 'i5', 'x10', 'p2', 'c2']}
1769490766.9302297,RECEIVED,e1ba951a-98b5-4cca-aaaf-9cf8839f8787,0b630f6f-a1db-493a-9d96-50a21f1f8dad,c4,c2,27,p2,?,surb={'id': '650514f8-4bcb-477d-a693-7c4d649bfccc', 'route': ['p2', 'e5', 'i3', 'x1', 'p1', 'c4']}
1769490767.0537257,RECEIVED,67a9dab5-970a-40db-9751-b27103082568,91cd731e-3465-4398-a0b1-b9e672692e63,c4,c2,25,p2,?,surb={'id': '26ce4f07-dcf5-4578-9b9a-2ea56892a8a2', 'route': ['p2', 'e3', 'i8', 'x10', 'p1', 'c4']}
1769490767.0588973,RECEIVED,f9b706f6-c382-404b-b65b-ac5918b9e508,85ee9b5f-b9c1-4687-99fb-cb8960f7cca8,c5,c2,26,p2,?,surb={'id': '937dd44b-72fa-4f51-83d2-680a977d8cd8', 'route': ['p2', 'e10', 'i2', 'x1', 'p2', 'c5']}
1769490767.0742319,RECEIVED,b0d08b46-7d56-42bf-bd3c-7397214751d2,289a85be-3bfe-47ce-8531-47535a77391c,c4,c2,27,p2,?,surb={'id': '45f82bf0-6f6e-4df1-a44d-50f75f5fdb6b', 'route': ['p2', 'e10', 'i1', 'x5', 'p1', 'c4']}
1769490767.095599,RECEIVED,6945dfe1-675e-427b-9356-b284d4d23a01,dee28a7b-9678-474c-9a85-0300461c4caa,c4,c2,27,p2,?,surb={'id': '56244a85-2ab6-4fe7-8b9c-6a3624960c02', 'route': ['p2', 'e6', 'i11', 'x1', 'p1', 'c4']}
1769490767.2513635,RECEIVED,39f884a4-4da9-4326-a3e3-f47070f4e558,ef8afc79-ced4-4e0e-a3b2-9f203289c450,c5,c2,27,p2,?,surb={'id': '82b80a2d-de2c-4ab2-9b03-d9663c84c93f', 'route': ['p2', 'e9', 'i5', 'x4', 'p2', 'c5']}
1769490767.3373208,SENT,f94d29cf-75ec-4f29-b562-04fca861a167,ad1a540b-4eb1-454f-a9c6-326db26eeec7,c2,c4,3385,?,p2,
1769490767.3374808,CREATED,bd94947e-0b0f-4280-98d5-dd13ae0cffe2,7646e6af-5ac5-43bd-8538-391af3aa7d18,c2,c4,27,?,?,surb={'id': '176d4c00-bcf5-403d-9048-b3347b27034d', 'route': ['p1', 'e6', 'i8', 'x12', 'p2', 'c2']}
1769490767.51873,RECEIVED,9659569f-f37e-45a5-822c-294897742ab3,7d9589db-8f42-4563-a0a3-0528053daf7c,c3,c2,27,p2,?,surb={'id': '2ffacccd-7fea-4aec-9399-b44ab1e9146b', 'route': ['p2', 'e9', 'i6', 'x10', 'p3', 'c3']}
1769490767.6491864,RECEIVED,af5492f1-cecd-4c50-8d42-d32bcb8f3dd5,bc65c411-0462-498c-b244-5f8f86f524da,c4,c2,27,p2,?,surb={'id': 'ead5f805-2e57-4c03-b2de-3cc8292b47b6', 'route': ['p2', 'e9', 'i9', 'x9', 'p1', 'c4']}
1769490767.7194445,RECEIVED,806b1c39-3b29-4b6c-bd47-3b03a204b98b,36a162d2-abe6-449f-9b86-d136128eab80,c3,c2,27,p2,?,surb={'id': 'b7e0e1e3-31f4-4664-8b74-c80109407524', 'route': ['p2', 'e8', 'i1', 'x7', 'p3', 'c3']}
1769490767.788623,RECEIVED,b1e74fae-0bbe-4bb4-9d25-41fffabd9b7d,afe65753-00c6-4808-9f36-df0c97bfcead,c3,c2,27,p2,?,surb={'id': '10148c74-05b5-407d-931b-5dc6a43bef20', 'route': ['p2', 'e11', 'i12', 'x7', 'p3', 'c3']}
1769490767.908927,SENT,66bea031-3a4d-492c-b49d-77e482c1800b,365c00b6-6453-4443-880e-1882cbac41d4,c2,c4,3375,?,p2,
1769490767.9090981,CREATED,8c89c7db-5ef6-453a-b9d8-a9a58c7f3b1f,0a784572-836a-4360-99d2-f0825f1b9fa8,c2,c4,27,?,?,surb={'id': '9e283b42-a57a-416b-86e2-8dcf62a560ac', 'route': ['p1', 'e2', 'i5', 'x10', 'p2', 'c2']}
1769490767.9196172,RECEIVED,c997de69-f986-4cc3-b73e-cb4e915e4abf,0e446714-46ba-439b-a230-3be3cf701d46,c3,c2,27,p2,?,surb={'id': '2305bbcf-71cb-4042-9019-57da7e7d4a33', 'route': ['p2', 'e8', 'i11', 'x8', 'p3', 'c3']}
1769490768.0389256,RECEIVED,fa7ad116-7eaf-4b81-aa4e-d692f7b66a17,49dbec1d-f662-4d7d-8f47-8306318f5257,c4,c2,27,p2,?,surb={'id': 'f4461344-85f2-4c45-8bf8-548f647d8467', 'route': ['p2', 'e2', 'i10', 'x7', 'p1', 'c4']}
1769490768.074437,SENT,d58ee8fd-824e-48ea-a8cb-699007dac036,5936dabe-8463-48e8-af04-55c274b6fdbb,c2,c4,3384,?,p2,
1769490768.0745826,CREATED,58a69c43-bb3a-4702-8b04-7eeeb0f77c1b,6f106609-f082-4995-b837-c40e590469ee,c2,c4,27,?,?,surb={'id': '1ea7aa55-092e-484a-8250-f5b6249dcaca', 'route': ['p1', 'e4', 'i10', 'x6', 'p2', 'c2']}
1769490768.4973717,RECEIVED,d71df6c1-4e88-47e8-b6bc-862cb2697493,fbf8b67d-8e5d-444d-95e6-ad4c782451bf,c5,c2,27,p2,?,surb={'id': '8dd7d613-d546-4072-96d3-2305812d0e65', 'route': ['p2', 'e1', 'i12', 'x10', 'p2', 'c5']}
1769490768.5473242,RECEIVED,b5a5cb31-aa28-420f-a712-569dedf258dc,04d2f794-024f-4631-9679-4d6b76e6e455,c4,c2,27,p2,?,surb={'id': '43f9c001-7079-4f2f-a20e-34dbe507d38c', 'route': ['p2', 'e5', 'i7', 'x5', 'p1', 'c4']}
1769490768.5932095,SENT,6bf864d7-66a0-4153-ae87-8d89da681c2c,02f04120-c4ff-45e9-a9f2-e26bbb128936,c2,c4,3376,?,p2,
1769490768.5933588,CREATED,3a3778f8-5153-4faa-b9a9-8ed3c2db09a1,d21e339c-533a-4450-957d-fefdeadd6f10,c2,c4,26,?,?,surb={'id': '78814465-75a3-4a91-ac5c-10a1145dfa99', 'route': ['p1', 'e12', 'i5', 'x10', 'p2', 'c2']}
1769490768.7089326,RECEIVED,2850b537-1f8a-4c97-8420-570e2bef0f7f,a1815811-9e59-4fd9-bfc5-f70203c2c2a8,c5,c2,27,p2,?,surb={'id': '3f5ac0e7-d9ca-4938-a2b4-23efb7bff82d', 'route': ['p2', 'e6', 'i9', 'x1', 'p2', 'c5']}
1769490768.8426697,RECEIVED,9d17fb69-bd48-4797-918f-195cd91e89db,d62a67db-e10c-434b-918a-9571aa77af5b,c4,c2,26,p2,?,surb={'id': '39d9c59c-c22e-4087-92ff-c85679a58cab', 'route': ['p2', 'e6', 'i10', 'x9', 'p1', 'c4']}
1769490769.018321,RECEIVED,6446c7a4-ebe3-46bb-a41f-ccd80e802a6d,7900c0da-bc1c-459e-92fa-d679ef53fb37,c4,c2,27,p2,?,surb={'id': '1b5d8a17-2a4b-458e-beea-526b714eb7a1', 'route': ['p2', 'e7', 'i10', 'x5', 'p1', 'c4']}
1769490769.2225626,RECEIVED,f8073a44-205e-4979-b6da-6c5f6b01894f,ed52b6d6-d015-415a-86c3-bb85210c6ece,c3,c2,27,p2,?,surb={'id': '644cadd4-585d-4aac-8075-78015083b8d8', 'route': ['p2', 'e5', 'i10', 'x9', 'p3', 'c3']}
1769490769.2479618,RECEIVED,2de2a868-f962-4232-8c28-a966be265f5d,85f2ea9e-b88b-4a2a-9e8e-c428cc1b2d4f,c5,c2,26,p2,?,surb={'id': '22d6a1b5-e17e-46d8-95d6-a53bd657ae9c', 'route': ['p2', 'e7', 'i9', 'x7', 'p2', 'c5']}
1769490769.4624302,RECEIVED,b973a926-d9a3-4137-92c5-a7d33624cb8f,1efe4401-ffa4-46c8-8719-df07c6ce2ef5,c3,c2,27,p2,?,surb={'id': 'cac2db51-6923-4043-8ad2-eec70319fbe6', 'route': ['p2', 'e1', 'i1', 'x8', 'p3', 'c3']}
1769490769.5861094,RECEIVED,e3f7b625-b780-4b17-bbd0-ff6d9ba94d74,fa00bfc1-742f-4081-8ee3-c9941ffb4417,c5,c2,27,p2,?,surb={'id': 'd8a9ff48-7c5a-4339-bd52-4df1ca1dd4ea', 'route': ['p2', 'e6', 'i2', 'x2', 'p2', 'c5']}
1769490769.6819131,RECEIVED,30c8b155-d8e9-4733-a2e7-7fb6f5fcf67b,c46a1ab4-0f21-42d1-bc68-710c1179dc84,c5,c2,27,p2,?,surb={'id': 'c9759fd3-97f1-448b-9749-a5d90dcb3d27', 'route': ['p2', 'e9', 'i10', 'x2', 'p2', 'c5']}
1769490769.7192066,RECEIVED,a1836752-6f93-4e02-a3bf-4e761865c00d,bbb6273d-4fd6-48f2-9414-4484d285ebf0,c4,c2,27,p2,?,surb={'id': 'd1b5e18d-160d-4013-9ace-a3ea6e7acb8a', 'route': ['p2', 'e12', 'i10', 'x8', 'p1', 'c4']}
1769490769.7913032,RECEIVED,5c3acadd-55e3-445b-9fe6-58e793347f86,b6a042e0-d11a-4d32-8a8e-509c61444139,c5,c2,27,p2,?,surb={'id': 'b1ffd73a-7cea-4d35-a672-9234ab741223', 'route': ['p2', 'e11', 'i2', 'x6', 'p2', 'c5']}
