packets_observed,duration_observed,diaz_anonymity,danezis_metric_A,entropy_bits,max_entropy_bits,target_llr,detected_receiver,true_receiver,success
75000,64.8038387298584,0.00029964422930692854,-4.3483275628546005,0.000474924867008973,1.584962500721156,4.708380352712993,c1,c1,True
77500,67.45256400108337,0.00027279032040358905,-4.348655869731273,0.0004323624283993979,1.584962500721156,4.115017089963658,c1,c1,True
80000,69.70433902740479,0.00020379658579554316,-4.346589554955792,0.00032300994626093774,1.584962500721156,4.951996267669529,c1,c1,True
82500,71.90778732299805,0.00031907698449396406,-4.353133060021698,0.0005057250552661188,1.584962500721156,-0.97803031948024,c1,c1,False
85000,74.10521292686462,0.0005380036974272418,-4.3621402118671755,0.0008527156856715095,1.584962500721156,-4.376637870665945,c1,c1,False
87500,76.49136543273926,2.330933220501386e-05,-4.362664543095082,3.6944417461798946e-05,1.584962500721156,1.9950366164430307,c1,c1,True
90000,78.9153938293457,1.41425914752791e-05,-4.357395127198353,2.2415477151336066e-05,1.584962500721156,3.253434723137616,c1,c1,True
92500,81.63131046295166,8.467943164783363e-06,-4.354838247004706,1.342137237441966e-05,1.584962500721156,1.7520010821071992,c1,c1,True
95000,84.13800239562988,1.2639614450978513e-05,-4.35741022260951,2.0033314928374167e-05,1.584962500721156,0.10202240611306479,c1,c1,True
97500,86.39479732513428,2.132100653279822e-05,-4.348989171073742,3.379299583211597e-05,1.584962500721156,9.417101643823116,c1,c1,True
100000,88.4822130203247,6.21571915648835e-06,-4.351590753917496,9.85168177804817e-06,1.584962500721156,3.7549571844638194,c1,c1,True
102500,90.85434556007385,2.1687565217428165e-08,-4.350155528743553,3.437397760156811e-08,1.584962500721156,0.5275826282413618,c1,c1,True
105000,93.19738006591797,6.272785906270007e-09,-4.3483497408900345,9.942130436490134e-09,1.584962500721156,6.941160900390059,c1,c1,True
107500,95.85735273361206,2.108027258115733e-09,-4.345525981904709,3.341144154611474e-09,1.584962500721156,6.669050255671209,c1,c1,True
110000,98.38812327384949,2.432408567477172e-10,-4.349168628559876,3.8552763658841836e-10,1.584962500721156,6.518044679292871,c1,c1,True
112500,100.80033779144287,2.1124869784252937e-10,-4.3510140121036995,3.3482126440658325e-10,1.584962500721156,6.095541894550479,c1,c1,True
115000,103.59743022918701,3.5883481678413235e-09,-4.355131079507108,5.687397285559963e-09,1.584962500721156,-0.966217859840981,c1,c1,False
117500,106.00530862808228,2.40385811507525e-07,-4.363987356605444,3.8100249694485126e-07,1.584962500721156,-6.832918659934876,c1,c1,False
120000,108.1581506729126,6.699136044528936e-07,-4.372832253442989,1.0617879417807818e-06,1.584962500721156,-9.948078715609881,c1,c1,False
122500,110.42420649528503,1.8845001855109066e-10,-4.3684499616281895,2.986862126636849e-10,1.584962500721156,4.162240823810862,c1,c1,True
125000,112.70637893676758,5.583980238537023e-10,-4.367147435499849,8.850399282849157e-10,1.584962500721156,2.953418810175208,c1,c1,True
127500,115.01424527168274,1.5990610284420633e-09,-4.366872070691307,2.5344517664452764e-09,1.584962500721156,1.580672160092945,c1,c1,True
130000,117.63095211982727,4.9292461592779454e-11,-4.355709119989964,7.812670319279327e-11,1.584962500721156,13.141684206180798,c1,c1,True
132500,120.05538558959961,4.4196849302816104e-13,-4.350027271569957,7.00503487949875e-13,1.584962500721156,4.847373024937042,c1,c1,True
135000,122.62408375740051,2.7065451660012335e-13,-4.346238674377552,4.2897725946200713e-13,1.584962500721156,6.775173193916999,c1,c1,True
137500,125.51699733734131,4.992293925803878e-13,-4.335478176605806,7.912598664977152e-13,1.584962500721156,13.274319477235622,c1,c1,True
140000,127.98887491226196,7.299179043538155e-11,-4.338965535788156,1.156892507005769e-10,1.584962500721156,-0.22353701585598174,c1,c1,False
142500,130.1385359764099,2.94158565916709e-11,-4.33934739665002,4.6623029624389615e-11,1.584962500721156,1.5188830740898993,c1,c1,True
145000,132.3624234199524,1.5939123422606407e-11,-4.339691531908281,2.52629129191974e-11,1.584962500721156,3.2202130117057095,c1,c1,True
147500,134.6593816280365,1.002920083967205e-11,-4.339481400363987,1.589590724308133e-11,1.584962500721156,4.965324439102915,c1,c1,True
150000,137.06427717208862,5.9793227629539085e-12,-4.339008203094532,9.477002358990359e-12,1.584962500721156,5.762247046282937,c1,c1,True
152500,139.51243352890015,4.056888030436738e-12,-4.337731942945283,6.430015397866737e-12,1.584962500721156,4.803674444287026,c1,c1,True
155000,141.91870021820068,4.778439957216683e-10,-4.343782821646438,7.573648144136048e-10,1.584962500721156,-5.559003836788179,c1,c1,False
157500,144.05322289466858,3.983149193730676e-10,-4.347583331994668,6.313142106840829e-10,1.584962500721156,-4.592706471265046,c1,c1,False
160000,146.2037239074707,7.838972577841615e-13,-4.350190565118584,1.2424477580060414e-12,1.584962500721156,3.9184994927181833,c1,c1,True
162500,148.75249934196472,1.4459724382151942e-11,-4.356616765838139,2.2918120916474214e-11,1.584962500721156,-1.7442737655437668,c1,c1,False
165000,151.12010860443115,1.1321109949269868e-14,-4.351082170732317,1.794353473613393e-14,1.584962500721156,14.78812236982776,c1,c1,True
167500,153.67586994171143,1.1211933508917603e-15,-4.347672644393689,1.777049417221337e-15,1.584962500721156,14.466862219322138,c1,c1,True
170000,156.3332495689392,5.815617345694668e-15,-4.347320206787853,9.217535411469553e-15,1.584962500721156,10.329361227950358,c1,c1,True
