timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769475962.6923647,RECEIVED,f7a77cc7-973a-4088-9953-49ce988ba3fd,6b2e1ce2-f653-4593-b3cf-bcc276686137,c1,c2,27,p2,?,surb={'id': 'a40661cb-e248-4eb9-9a9c-0d0812596eb7', 'route': ['p2', 'e8', 'i4', 'x7', 'p1', 'c1']}
1769475962.8387427,RECEIVED,9df4a6b9-0aad-4bb7-9345-9e9a7df67711,f1dc1aeb-c19f-4fe8-bdec-71abb9eed667,c3,c2,26,p2,?,surb={'id': '145208d7-1da8-4f60-9900-b422bf3cae6e', 'route': ['p2', 'e4', 'i12', 'x8', 'p3', 'c3']}
1769475962.872961,RECEIVED,fbc7bba4-e2ff-4680-b5f4-dd5df01f68ba,fd254ddb-a58d-4c83-943d-d295b78dbfe6,c1,c2,27,p2,?,surb={'id': '26d98932-088e-4f6f-bd52-8f45cab8c5d8', 'route': ['p2', 'e10', 'i10', 'x12', 'p1', 'c1']}
1769475962.8863354,RECEIVED,3b4cc4f6-88bc-4941-877c-735c9a9df02c,0c02cb70-f46f-49e3-a77b-2b0705f81779,c4,c2,27,p2,?,surb={'id': 'fe249a6e-3da3-4550-8141-69c20c2994fe', 'route': ['p2', 'e6', 'i6', 'x8', 'p1', 'c4']}
1769475962.8920174,RECEIVED,5b79ee20-377b-48a6-8dad-1c1f83f8e6e9,bf360a65-a1f2-4229-9905-4bb348365a14,c3,c2,26,p2,?,surb={'id': '2cdf752f-376c-4b8e-b375-362dc7dfc4c4', 'route': ['p2', 'e3', 'i8', 'x6', 'p3', 'c3']}
1769475962.912324,RECEIVED,27193dec-b6c5-468c-b6fe-79b09f13b200,dc6f466c-227b-4bfd-a19e-6904c13f98be,c4,c2,27,p2,?,surb={'id': 'dc773a93-157e-435a-bd05-c564a84f0ce3', 'route': ['p2', 'e1', 'i2', 'x6', 'p1', 'c4']}
1769475962.9248989,RECEIVED,bf3e2564-178c-48b4-8172-dd8179ae0f5b,ab70d3ae-1306-401a-9a20-366d69cfd87e,c4,c2,27,p2,?,surb={'id': 'c38aa4e8-1c07-450d-9984-dfcd574ef5d5', 'route': ['p2', 'e4', 'i12', 'x2', 'p1', 'c4']}
1769475962.985492,RECEIVED,0cd0aa16-fae1-43a4-828a-982e323f60dc,1dc9a1dc-eb52-4f43-87c9-e910ee3ac82d,c4,c2,27,p2,?,surb={'id': '790fee49-3404-4e9b-89de-48be04e6ccf0', 'route': ['p2', 'e7', 'i7', 'x1', 'p1', 'c4']}
1769475963.022485,RECEIVED,b8d9ef7b-6731-491a-9a59-826569556166,fa92d44e-e16a-4e39-a1c4-f5bbcf475c85,c1,c2,27,p2,?,surb={'id': '3817838e-17c3-4103-9ff5-e2fedfb676a1', 'route': ['p2', 'e12', 'i3', 'x2', 'p1', 'c1']}
1769475963.042217,RECEIVED,d432bc4e-7f0c-4c86-9e94-88faea89f5dc,c20c0684-d9c1-4ba3-aa93-1d910f8ee2b7,c3,c2,27,p2,?,surb={'id': '71fb274c-4da4-444f-ad68-5e4ed5a83495', 'route': ['p2', 'e11', 'i12', 'x5', 'p3', 'c3']}
1769475963.3204567,RECEIVED,61e757ff-5b1a-4f68-9ea0-824b37de67f9,44814304-8f14-41b9-be02-95dc682638a2,c3,c2,27,p2,?,surb={'id': '3c694147-a293-4ec5-8f4f-aea03a68bb34', 'route': ['p2', 'e3', 'i3', 'x4', 'p3', 'c3']}
