timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769734968.007609,CREATED,195a5b54-d354-43d7-948e-50a45bc2283f,879be33a-86b0-4769-983b-f3d86820ecc0,c2,c3,27,?,?,surb={'id': '83a09e0d-d7f4-414c-890d-7441f4db02f0', 'route': ['p3', 'e1', 'i10', 'x7', 'p2', 'c2']}
1769734968.3350825,SENT,c842d532-cbb1-4ca4-ae0d-efa2a3aae3cc,c39d5fbd-acf5-443c-99a1-49f6ec7f1c9f,c2,c3,3393,?,p2,
1769734968.3352354,CREATED,55205002-6fe6-4ab3-bfbd-f44b28c5d3ff,196f882a-6ce0-45e3-bc9b-6d6f279cb2d1,c2,c3,27,?,?,surb={'id': 'fb291ac0-561f-47a4-bc74-15cd3d22328e', 'route': ['p3', 'e6', 'i8', 'x10', 'p2', 'c2']}
1769734968.831555,SENT,887ea30b-bb5c-466e-9c3b-b047a0924616,f41c2fb4-da62-4b22-9457-9752023290e4,c2,c3,3359,?,p2,
1769734968.8316858,CREATED,b7a60254-127d-4c90-89a0-6ed260efd6ba,0d3a1b7d-bd6c-4bbd-8c94-15c1f80ae952,c2,c3,27,?,?,surb={'id': '2c4c9c65-ee97-4271-ae60-dadda029e35f', 'route': ['p3', 'e3', 'i9', 'x2', 'p2', 'c2']}
1769734968.9176896,SENT,a72b338a-1a80-4be0-b3bc-2542640a5da4,80b1d8f0-d203-4cd6-b72c-86213c9f1e1b,c2,c3,3375,?,p2,
1769734968.9178243,CREATED,f7026d3f-d929-4de4-9848-2886c1bd7f2d,2e5d9fba-1567-4003-ad66-bff9f16668a9,c2,c3,26,?,?,surb={'id': '4f508b66-35bc-4c76-99bd-dbeec72be885', 'route': ['p3', 'e6', 'i6', 'x5', 'p2', 'c2']}
1769734969.2826195,SENT,8f44745f-79c4-4031-8d54-5387b667a439,98acc2c3-6e84-40bf-b028-de41a57204b7,c2,c3,3397,?,p2,
1769734969.282791,CREATED,d510403d-aa4d-4384-9fba-22d0708d90d3,c6f99613-5993-45ec-b336-951ead0adae7,c2,c3,27,?,?,surb={'id': '4ba575e2-b287-4fb0-a94e-fcb9b7b1b9ef', 'route': ['p3', 'e12', 'i12', 'x1', 'p2', 'c2']}
1769734969.9126399,SENT,ffb69df8-e88a-4057-acda-ea9f8281e0d9,52dd5c41-8cc1-4aef-b08f-e7c74120901d,c2,c3,3383,?,p2,
1769734969.9127562,CREATED,bf6f5d3d-bf9f-4fa7-95dd-2a5c938a0e35,0b03eefc-16f4-48ed-b016-fa1daf2cc909,c2,c3,27,?,?,surb={'id': '7ca4b6ea-b9a4-421a-815c-3b09ce30e512', 'route': ['p3', 'e8', 'i12', 'x5', 'p2', 'c2']}
1769734970.1795464,RECEIVED,588fe66b-0518-43f7-b0b0-734c8c011087,99582fe6-cda2-4def-adc8-ec15045b514f,c3,c2,27,p2,?,surb={'id': '1a4f792b-354c-4de0-a34a-f165ccfbd46e', 'route': ['p2', 'e5', 'i5', 'x4', 'p3', 'c3']}
1769734970.7098382,SENT,e693b0e7-bc88-4dc1-9a25-aa09fb9e7d71,31497891-7541-403b-8687-02c77b710a6b,c2,c3,3384,?,p2,
1769734970.709989,CREATED,0569f457-282c-4f35-aed8-b1461de8e263,55914131-6b84-44b8-b801-463876f346e0,c2,c3,27,?,?,surb={'id': 'a1c6992d-b991-4397-8589-b127a21634fa', 'route': ['p3', 'e3', 'i5', 'x9', 'p2', 'c2']}
1769734970.7257218,RECEIVED,7967ef97-745f-400a-ba0d-1efa81b75b54,9a547fd4-40d9-44e8-890f-f8620d2e2b65,c3,c2,27,p2,?,surb={'id': '5fd939bc-4a76-4702-928c-d42d44a5759c', 'route': ['p2', 'e10', 'i12', 'x5', 'p3', 'c3']}
1769734970.7847316,SENT,1c87717a-8bba-40a0-8d23-a6675bf5cda0,10b5bcb6-1308-4330-bcbe-cc24eefc9f98,c2,c3,3363,?,p2,
1769734970.7848632,CREATED,031c829c-55f0-4c0f-b571-7e2c4cd8adeb,41b3e669-3c31-41d0-a000-60cbf4fc0c22,c2,c3,26,?,?,surb={'id': '5c9924ef-cc75-4019-99ee-045a76f4b426', 'route': ['p3', 'e5', 'i11', 'x1', 'p2', 'c2']}
1769734970.846616,SENT,fcfb1303-1747-4256-aae6-6167743a7a37,507edc6f-aa90-4f41-982a-6c53d91a84a5,c2,c3,3401,?,p2,
1769734970.846747,CREATED,7b6abf01-6a83-4846-87c9-8360dcd3a01b,0c0e86e6-e20f-44cd-b004-a759455ff068,c2,c3,27,?,?,surb={'id': '932a1852-8051-4409-8ac0-41ee1fd87ff5', 'route': ['p3', 'e3', 'i3', 'x12', 'p2', 'c2']}
1769734971.644791,RECEIVED,c1572018-37c0-4ffc-8eb1-8c48e12a0766,86ab2fe9-f6e2-4600-9002-95f7dbfd3e50,c3,c2,26,p2,?,surb={'id': '0b8f6873-81ef-4adb-a551-bb9ca91fcc3a', 'route': ['p2', 'e3', 'i3', 'x6', 'p3', 'c3']}
1769734971.6721172,SENT,8b4c5459-011d-4dec-b135-76038a7e5587,5fe349dc-9be8-4c41-80d9-baf925d2e19d,c2,c3,3379,?,p2,
1769734971.6722758,CREATED,67a7e90b-9016-4500-971e-d90f8ff9f316,41a9f63b-76c0-459c-8f34-a11e899d1f3d,c2,c3,27,?,?,surb={'id': '6c34e331-ff5f-4111-9a3d-839a65b39b3f', 'route': ['p3', 'e3', 'i5', 'x10', 'p2', 'c2']}
1769734972.0771337,SENT,c774e506-4383-41e8-b373-ff554e1d8228,259a2cb9-ee4d-488e-929f-6542045fb885,c2,c3,3363,?,p2,
1769734972.0772855,CREATED,f4cf5150-7ce7-4a13-ae1d-d93fdb7015dc,183ccfcb-6679-4291-b335-69341fce7a00,c2,c3,27,?,?,surb={'id': '38a7d59d-c39c-40bc-902d-7d3c1f986e24', 'route': ['p3', 'e8', 'i8', 'x6', 'p2', 'c2']}
1769734972.742622,RECEIVED,d41ac8ec-721b-41d5-860f-9cc449783d18,7fc429fe-4711-4bff-98d5-374ce2364292,c3,c2,27,p2,?,surb={'id': '529d3bf9-98c7-4f79-97c9-2e5db77e457f', 'route': ['p2', 'e3', 'i12', 'x9', 'p3', 'c3']}
1769734972.8531802,RECEIVED,fa60a5a2-dd1c-4c1c-94ff-b4c419461f85,77a4106d-6449-4718-a43f-fa7faaa1131b,c3,c2,25,p2,?,surb={'id': 'c4fa68fe-2aea-4da2-9b27-11a79b52d9c5', 'route': ['p2', 'e12', 'i11', 'x12', 'p3', 'c3']}
1769734973.5552034,SENT,ad2dde0e-9325-44d4-9b6f-fa6fd24aba00,7414e3bc-a380-4a3e-a034-fb5e3ae2c225,c2,c3,3379,?,p2,
1769734973.555353,CREATED,53583ef9-1050-4e62-a436-883aa5d41f1c,31e4c95a-6049-461c-96cc-30cf695bbe46,c2,c3,27,?,?,surb={'id': '2772aa15-29fa-44b2-862c-32a42fa89833', 'route': ['p3', 'e8', 'i5', 'x11', 'p2', 'c2']}
1769734973.5768738,RECEIVED,80395038-e124-4bb2-938c-427017a778cf,793b739f-521d-470d-af99-ce4a7e2b0361,c3,c2,26,p2,?,surb={'id': 'a00447d7-8157-477f-b2a0-6979095148f5', 'route': ['p2', 'e9', 'i5', 'x5', 'p3', 'c3']}
1769734973.6099303,SENT,9d6ded1f-f76f-4f20-b917-ea632889f59b,15eb356d-e2bd-479f-9158-f52a29e512fc,c2,c3,3375,?,p2,
1769734973.610101,CREATED,dbc58de8-d4f5-413f-a678-30f96dc33d55,8786948e-e3c5-4196-8c97-ca7278e59439,c2,c3,26,?,?,surb={'id': '0c1d570b-d7ab-465c-9a78-81bb7163ec41', 'route': ['p3', 'e7', 'i12', 'x7', 'p2', 'c2']}
1769734973.6462257,SENT,77b4a6ea-b5da-4a57-971d-f76a5e6f6d50,ac65f083-7b7c-4ffe-bbec-202792a8f6c2,c2,c3,3380,?,p2,
1769734973.646381,CREATED,4a641337-64d1-4260-be0f-88982e1f90bc,ee0873ff-918b-461d-8fc4-70689c336e4a,c2,c3,27,?,?,surb={'id': '24c330f4-4b97-42e2-8889-cb2a5c48e0b7', 'route': ['p3', 'e11', 'i4', 'x3', 'p2', 'c2']}
1769734973.83714,SENT,95bb4a05-dc1d-42c8-8013-6fc85443e0dd,834e0520-9ab9-4c4e-b372-56e5a9c9ea21,c2,c3,3383,?,p2,
