timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769760878.4738746,SENT,2fcddeb7-48fc-413e-80da-bab7614f94f2,cc49597c-9447-4469-8214-fee68bbbc207,c3,c1,3391,?,p3,
1769760878.4740722,CREATED,31b78f92-8163-4df9-8dba-05b19679549e,2c267a8e-90c6-43e4-a00d-97c06f1764c0,c3,c1,26,?,?,surb={'id': '34a21197-8a80-4399-a408-54296932e23e', 'route': ['p1', 'e3', 'i2', 'x7', 'p3', 'c3']}
1769760878.703146,RECEIVED,dbc6a083-2623-4161-a625-1cb11f8a468d,dd873cee-a151-4bbd-9b64-52d3bc0186f6,c5,c3,26,p3,?,surb={'id': 'a1a1baae-34b8-4419-9ac6-694a98e72e03', 'route': ['p3', 'e6', 'i10', 'x3', 'p2', 'c5']}
1769760879.0836737,RECEIVED,59e1caed-41b7-4f1a-8c1f-391a388ee210,53554915-685f-4e93-bd1a-6fb9e8497582,c5,c3,27,p3,?,surb={'id': 'c30872dd-f749-4dfb-8dce-340d1f742d66', 'route': ['p3', 'e10', 'i3', 'x8', 'p2', 'c5']}
1769760879.146456,SENT,7c7ba2a7-661a-4263-88fd-5153d527d96d,41bf6f7c-f771-41bc-aaa6-c3800060a291,c3,c1,3401,?,p3,
1769760879.146601,CREATED,11e4fd90-ae97-4f42-9e8a-68fe87bb8003,db51479c-89ab-4088-95fe-e5b67aae101b,c3,c1,27,?,?,surb={'id': '883ebebd-e397-4dab-8d7f-f6e8d7561459', 'route': ['p1', 'e4', 'i9', 'x5', 'p3', 'c3']}
1769760879.269682,SENT,546bff47-e391-4405-a723-83f631650fe2,f703e6c3-cf6e-4e38-9740-5b29923febe8,c3,c1,3395,?,p3,
1769760879.2698114,CREATED,17f9e7cf-f488-4e37-8e47-e36526ba8fb5,ec7f2bc1-a636-41ce-b4c3-02eceda96e55,c3,c1,27,?,?,surb={'id': '2afeb044-b8bf-44ed-ad6c-7b6368312f97', 'route': ['p1', 'e12', 'i8', 'x3', 'p3', 'c3']}
1769760879.7396848,SENT,fd00e791-8613-4377-b838-5f3efc5e08f6,469a56c8-01ff-4ef3-b301-811302376306,c3,c1,3352,?,p3,
1769760879.7398167,CREATED,63aef0ae-5800-4ada-9437-123f99f66e15,66626a45-5533-47fb-897a-76a63c3ab82e,c3,c1,27,?,?,surb={'id': 'ddbfe116-df94-4d79-b146-f525492c0126', 'route': ['p1', 'e8', 'i7', 'x4', 'p3', 'c3']}
1769760879.8057008,SENT,e9be85e1-9d2d-4ff5-8796-f852d052b1a4,63835754-bb8c-4817-b4a3-1c51acfb66ef,c3,c1,3396,?,p3,
1769760879.8058355,CREATED,ca4d8ee6-2106-4c0a-bd45-020baae0361b,9771eda3-9bd3-4901-ab8b-f63c2d8b8e6d,c3,c1,27,?,?,surb={'id': 'b9c9c8e4-f2c9-48e7-a362-1f13b1e4fab1', 'route': ['p1', 'e12', 'i2', 'x12', 'p3', 'c3']}
1769760880.043605,SENT,cf1db14a-82c4-4374-861b-b97b93a082d8,dc1d1993-dcd8-4086-9c08-56a305e1ba00,c3,c1,3376,?,p3,
1769760880.043755,CREATED,acca3fa4-0d71-4f1e-83a9-5f1343460a8d,3392e1d1-9154-4aa0-a9fe-989e4c6f9def,c3,c1,26,?,?,surb={'id': '4401bb32-05e8-4ca3-ae17-3067c95b03d3', 'route': ['p1', 'e3', 'i9', 'x4', 'p3', 'c3']}
1769760880.1889896,SENT,c085554a-e79a-4dc2-8a98-eb847530ba35,d2544efc-280a-4294-8dac-6339172545ec,c3,c1,3379,?,p3,
1769760880.189145,CREATED,8a40c8ab-f420-4b1b-b899-b9b0c93ba36e,6d7967fe-7358-413f-b28c-91587d0ad261,c3,c1,27,?,?,surb={'id': '7e922292-25e4-43da-b1c9-8295640fd33a', 'route': ['p1', 'e11', 'i8', 'x11', 'p3', 'c3']}
1769760880.4088469,SENT,06e52d4e-5a2c-4b71-92c4-4cd7cd09dab6,fdf44694-f763-4f07-babf-b25a76227da2,c3,c1,3375,?,p3,
1769760880.4089775,CREATED,274fa03a-35f8-457d-b768-177e346aa840,d386d809-8612-48d5-acd2-47958d3222cb,c3,c1,27,?,?,surb={'id': '4c5f96b8-a56f-4ff0-8b49-e9c7d7fd3423', 'route': ['p1', 'e10', 'i8', 'x6', 'p3', 'c3']}
1769760881.109619,SENT,f3f22af7-5c41-4db8-ac40-9b2209509326,9500f512-2384-4178-8979-1bebd76e8bad,c3,c1,3380,?,p3,
1769760881.1097684,CREATED,449b6e79-6b46-4091-84ef-b2f63be1e235,b22808fa-de4a-40b4-8681-3c2090272be1,c3,c1,26,?,?,surb={'id': 'c0f0ad38-7be1-4e02-ae05-b89c26187443', 'route': ['p1', 'e3', 'i10', 'x1', 'p3', 'c3']}
1769760881.2029955,RECEIVED,13f2f48a-eae9-48aa-a153-d50452b80942,eb691d5a-8197-4a8c-8114-6691ba395ea6,c5,c3,26,p3,?,surb={'id': 'e3bb3d5e-838f-4109-8ee5-942026252cef', 'route': ['p3', 'e4', 'i9', 'x8', 'p2', 'c5']}
1769760881.358815,SENT,27829d9c-47ce-4c39-af3a-16c49412edb9,a666c714-d7de-458b-927c-bff1bd6805b3,c3,c1,3404,?,p3,
1769760881.3589473,CREATED,95a57629-d3e4-4b78-8b7c-a6da32739aab,c3bbf4df-a0f3-4177-a14a-47ad763332f7,c3,c1,27,?,?,surb={'id': '1587e544-75cc-47c9-b2c4-165d6fd4c896', 'route': ['p1', 'e2', 'i8', 'x8', 'p3', 'c3']}
1769760881.5892217,RECEIVED,f9f64d89-2370-41fe-8e16-775c96eeb76f,1d2da2d9-0315-4ddf-8e6c-d96e846a24be,c5,c3,27,p3,?,surb={'id': 'c9e64b28-6d25-487d-b52d-6b83b7c81f48', 'route': ['p3', 'e12', 'i4', 'x6', 'p2', 'c5']}
1769760881.7732105,RECEIVED,bd0ab47d-a5d5-4e8a-b572-49cd4e0794b1,f3a63d97-1bf5-4ab6-9a91-ae6cdf390e34,c5,c3,26,p3,?,surb={'id': '5e94d979-a3e8-41ff-90f2-ddf95c981be1', 'route': ['p3', 'e2', 'i3', 'x12', 'p2', 'c5']}
1769760881.8803253,RECEIVED,b4e5952d-eca6-4552-a38c-922590b84a17,a00a82e9-922e-484c-a399-d21f45f3b0db,c5,c3,27,p3,?,surb={'id': '1d3d9303-f982-45c5-937c-6192b3e6ffb1', 'route': ['p3', 'e5', 'i3', 'x1', 'p2', 'c5']}
1769760881.9009652,SENT,340fb7f3-0071-42dc-b890-6034d7660020,40b9940a-f0aa-44c9-87c8-b9eda2599af5,c3,c1,3405,?,p3,
1769760881.902189,CREATED,b3d3c844-a4fc-4f71-ac1c-2ec7de09bbf0,82da88e5-d462-48ca-9990-560197b31a62,c3,c1,27,?,?,surb={'id': '3d948477-6410-43c3-a0be-a19a93ca0bcc', 'route': ['p1', 'e12', 'i9', 'x10', 'p3', 'c3']}
1769760882.0408916,SENT,39753135-6b1e-4be9-97c7-c6d26018411e,0813f6d6-e959-4387-b04d-304989a24a03,c3,c1,3403,?,p3,
1769760882.0410242,CREATED,ec5bc5a4-8555-4b9e-8295-2bc0c93b100c,c63edcc6-9632-4a3a-b8d1-26a68b28ec0c,c3,c1,27,?,?,surb={'id': '0fed920b-bf4c-4c7c-9c77-b4a1e6751745', 'route': ['p1', 'e1', 'i5', 'x9', 'p3', 'c3']}
1769760882.2293956,SENT,bbe710ec-5001-4bb3-91b3-02b16104ce56,50d17abe-bdf9-4fe1-9cc9-3aae74a2be54,c3,c1,3387,?,p3,
1769760882.2295294,CREATED,b3be8dee-4807-437a-8fed-e7cc04208bba,d4dc0be1-2e20-4a5a-94dc-500f06c4ad16,c3,c1,27,?,?,surb={'id': 'e18a642f-139e-4e9a-801e-c059f2567cf5', 'route': ['p1', 'e10', 'i7', 'x10', 'p3', 'c3']}
1769760882.271766,SENT,738aa889-6aa3-4544-a5df-735c8c13fa9f,1761a6a0-c2d0-4514-a199-f30e995526f1,c3,c1,3375,?,p3,
1769760882.2718997,CREATED,0cec6ad7-ce98-4679-9e67-ab2daf58ac93,b7edb8fb-f197-4d9f-9b5c-cfb768071251,c3,c1,27,?,?,surb={'id': '4e98c517-4674-45a8-a3fd-0ff2baf88aab', 'route': ['p1', 'e4', 'i10', 'x5', 'p3', 'c3']}
1769760882.477397,SENT,bba08d70-5ec1-482a-bc89-c80f88791f45,fc838f7b-d0fa-45bb-ac03-3991fec94aec,c3,c1,3385,?,p3,
1769760882.4775321,CREATED,262d9bad-81df-4682-8587-57334e050644,26e63163-5c2c-4b75-9ab6-83a54b6e3dcc,c3,c1,27,?,?,surb={'id': 'ac5bdb14-521c-4332-9df8-899616463df9', 'route': ['p1', 'e10', 'i7', 'x7', 'p3', 'c3']}
1769760882.8454988,RECEIVED,6ba25a95-b05a-4298-8dc7-b2c0630e7e75,dc5bb57a-6e51-4d6e-a49a-84487c86de03,c5,c3,26,p3,?,surb={'id': '54f03839-34bc-4605-a631-1b2331469de0', 'route': ['p3', 'e4', 'i2', 'x1', 'p2', 'c5']}
1769760882.9468515,SENT,9304b69f-6c0a-425c-bfc7-3a1ccb165afd,a01bce81-0f6a-47bf-90ca-2effbe89ef1a,c3,c1,3365,?,p3,
1769760882.9469392,CREATED,b6d1ae2e-3ee0-4ce9-8e4a-8d0bb22e37b6,373f14aa-f2b6-4f51-835e-d98e653efabb,c3,c1,26,?,?,surb={'id': '34f3330f-ffda-442a-9c26-4962d0ffa278', 'route': ['p1', 'e10', 'i2', 'x9', 'p3', 'c3']}
1769760884.1118762,RECEIVED,6bcb5ace-cbf8-4317-a8fe-e9579d0f6220,75e39c19-43a5-47b6-a40b-cde70f35833b,c5,c3,27,p3,?,surb={'id': '6d2dc0fe-cfea-4fc5-8455-a388cd4c2f6f', 'route': ['p3', 'e5', 'i1', 'x6', 'p2', 'c5']}
1769760884.49924,RECEIVED,081d7b77-4254-47fe-b7ac-f66ee52965c6,b62d32b5-877f-43d9-bc37-3f8ba29d84b4,c5,c3,27,p3,?,surb={'id': '18482e7a-9035-4a2f-a2b2-f7595dd9f970', 'route': ['p3', 'e8', 'i2', 'x11', 'p2', 'c5']}
1769760884.5932934,RECEIVED,2cd4b11f-0f89-4a87-a482-d9a1bc7c82fc,ed89d55b-484b-4718-8ea9-2de79cc61ea0,c5,c3,27,p3,?,surb={'id': '09b90f72-5722-458e-9263-bc5415c3f0d5', 'route': ['p3', 'e12', 'i9', 'x6', 'p2', 'c5']}
1769760884.805783,SENT,227c6c9b-bd4e-4e44-85e2-5e8be83b4088,18133306-e656-4a50-8d3c-f6102ebc6cf4,c3,c1,3391,?,p3,
1769760884.805916,CREATED,943ea44b-1cb4-4d77-9a9a-1923a7a925de,b7346cd0-281f-4584-be53-9534fae91c1e,c3,c1,27,?,?,surb={'id': '2b323dd6-bfef-49b0-8f8e-c8eebeec76fa', 'route': ['p1', 'e9', 'i12', 'x6', 'p3', 'c3']}
1769760884.8224597,SENT,c01db0de-5abe-44da-b9bb-29c669399816,59947f16-0bbc-43c8-b631-726c02fdf3e1,c3,c1,3385,?,p3,
1769760884.8225935,CREATED,668e1f0d-295b-47cb-a106-3aefcf12a194,4567789a-bad2-4490-81d5-71184aa9270a,c3,c1,26,?,?,surb={'id': 'e3ca253b-b3dc-4713-9d15-9d45c6569dff', 'route': ['p1', 'e12', 'i12', 'x12', 'p3', 'c3']}
1769760884.909226,RECEIVED,143baac1-22d6-4b79-9bac-332ebaf1f9f4,b92ac941-6d88-4e2b-b6a3-a978902a7515,c5,c3,27,p3,?,surb={'id': 'c68ccd30-f51e-42bf-bd51-0edcd23b47c2', 'route': ['p3', 'e1', 'i4', 'x3', 'p2', 'c5']}
1769760885.0134234,RECEIVED,f5e99223-169c-4a5a-b946-9eb179d18024,afdfd0e0-816c-4d73-812c-05d15b451f58,c5,c3,27,p3,?,surb={'id': '855b9d7f-e2e4-4cde-9dae-0974d9fa10aa', 'route': ['p3', 'e10', 'i11', 'x9', 'p2', 'c5']}
1769760885.0146987,SENT,3a6067bf-8086-4e67-931c-d829a36876d1,19bea018-29fd-4b1f-91a3-58423dfa871a,c3,c1,3375,?,p3,
1769760885.0148377,CREATED,63b6ac85-8d72-4b7a-ad91-2b90badbc93c,d357fcaa-c842-4f19-8e7e-cf6be4195ecd,c3,c1,27,?,?,surb={'id': 'bc36507e-d865-4c1f-b0a6-fb5cc96f52b4', 'route': ['p1', 'e2', 'i7', 'x4', 'p3', 'c3']}
1769760885.0505745,SENT,5ec770e2-eb84-4069-8cb2-657219a6ef8a,ebfb93ec-eaee-4094-91a4-5cac1b04abb0,c3,c1,3397,?,p3,
1769760885.0507073,CREATED,f6a048c3-3b9f-4501-a4c2-2c1c8ad6e99f,96b5e410-7429-4a2a-bf6b-b45fc9ffb2b3,c3,c1,27,?,?,surb={'id': 'e352a28f-5a3e-4203-9028-a34fc93acc37', 'route': ['p1', 'e10', 'i5', 'x7', 'p3', 'c3']}
1769760885.3132262,SENT,14a5bf3a-b187-4b6a-9d73-c44f71d56d6c,2acf4d8a-83df-46af-92d4-9204e8b43581,c3,c1,3375,?,p3,
1769760885.3133645,CREATED,8cdf494b-cefe-472c-8eb3-a8ef1f5b59db,6f640a8d-0f83-44e6-b063-127e625bbb2e,c3,c1,27,?,?,surb={'id': 'c96fa8f6-af1b-4421-afc5-61a9177366f9', 'route': ['p1', 'e4', 'i2', 'x1', 'p3', 'c3']}
1769760885.340399,SENT,779a7185-1481-4417-abc4-bf07ba430abc,e4dd8b28-759f-40cc-b87f-442d90b4ecc7,c3,c1,3380,?,p3,
1769760885.340537,CREATED,178ff068-085c-4f92-91dc-6c6764428b39,d2cbd879-aaf6-4f32-817a-9f05bccc6f1f,c3,c1,27,?,?,surb={'id': 'a51600ef-d761-45a9-ab2f-60d4634d91b7', 'route': ['p1', 'e3', 'i7', 'x1', 'p3', 'c3']}
1769760885.4235904,SENT,e62cfdcc-f2c3-41c2-8391-ef806ccc54d1,1f725d97-66e5-4ecf-9295-ae3c98483cb9,c3,c1,3400,?,p3,
1769760885.4237401,CREATED,287a3b71-1e8b-4426-a748-a6aaffe9c9aa,9921ca88-3fba-49cf-a081-430d5d2e5be9,c3,c1,26,?,?,surb={'id': '81686e16-d4c0-4fdd-8ce8-e3830b69fe3b', 'route': ['p1', 'e12', 'i5', 'x11', 'p3', 'c3']}
1769760885.7864623,SENT,9b26645b-7c9f-4d46-8cdb-33f62a7aae6d,f8a77cd0-bd29-4382-8b01-a6d272ba4618,c3,c1,3382,?,p3,
1769760885.7865942,CREATED,87288ad1-5b53-4a94-86a1-c1e77372755a,882aad66-5b6f-4fe4-909d-a592171ee935,c3,c1,26,?,?,surb={'id': 'cb02f770-56a2-4994-a436-c300c78c2562', 'route': ['p1', 'e2', 'i2', 'x7', 'p3', 'c3']}
