timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769747917.072712,SENT,7e5de3bc-fb08-409a-b8ee-08a547e04394,d1869fbe-b0d6-479b-97d7-5ba0f75cfc5a,c2,c1,3399,?,p2,
1769747917.0728579,CREATED,925fed26-b2aa-423f-a12a-2366faeca229,a092bcdd-c85b-4909-9cc1-c49e001c8fb3,c2,c1,27,?,?,surb={'id': 'd44330a2-54fb-481d-a79f-8ee17dfa7cbc', 'route': ['p1', 'e9', 'i10', 'x12', 'p2', 'c2']}
1769747919.2858977,SENT,04797832-8463-4cfb-a5e6-591b8e2ec959,c6751674-c26c-4508-81c7-e98118c2b43a,c2,c1,3380,?,p2,
1769747919.2860339,CREATED,21ebd054-74f6-4e71-943d-0c3e80e0be31,a13defd0-f504-47aa-a406-e7119339e0b5,c2,c1,27,?,?,surb={'id': '020467af-23d9-4713-94cd-0dcc59b16f39', 'route': ['p1', 'e8', 'i7', 'x9', 'p2', 'c2']}
1769747919.363826,RECEIVED,f0e64e63-de0f-4c87-ab13-20eb1bea5ff8,a6f37bc9-543c-41de-aaba-f24f8067c266,c5,c2,27,p2,?,surb={'id': '59f9a717-ad4f-45f0-9155-3df2224b0057', 'route': ['p2', 'e7', 'i2', 'x3', 'p2', 'c5']}
1769747919.517372,RECEIVED,9bb591c6-8b23-43a4-a5bc-c8bc3248e999,a6f37bc9-543c-41de-aaba-f24f8067c266,c5,c2,27,p2,?,surb={'id': '59f9a717-ad4f-45f0-9155-3df2224b0057', 'route': ['p2', 'e7', 'i2', 'x3', 'p2', 'c5']}
1769747919.527738,SENT,29532345-ebba-4f13-85dd-be694c4669ae,a688c52c-0d5d-45ad-ad0c-ef47b8e6659e,c2,c1,3388,?,p2,
1769747919.5278702,CREATED,afa65c0e-6b91-485a-b458-6622c733dae3,a13defd0-f504-47aa-a406-e7119339e0b5,c2,c1,27,?,?,surb={'id': '020467af-23d9-4713-94cd-0dcc59b16f39', 'route': ['p1', 'e8', 'i7', 'x9', 'p2', 'c2']}
1769747919.7643847,SENT,4b61a9ef-4501-48a2-b39b-ced1fd22f3b1,0efcae7a-dde7-4c4c-abbb-d57dc73d9e26,c2,c1,3359,?,p2,
1769747919.7645319,CREATED,2c161082-f1ec-4a8d-8952-1a0fed64475d,58c49b5d-4602-406c-8c6d-7950b823bb79,c2,c1,26,?,?,surb={'id': 'c9ee3672-e3e2-4685-9c0a-fb477b0a1c7f', 'route': ['p1', 'e5', 'i5', 'x8', 'p2', 'c2']}
1769747920.0865536,RECEIVED,1e6bddf8-d433-4567-93b2-72b05e7ed6ad,6e2ef4a7-c7ea-4694-acd8-ec0991965f41,c5,c2,27,p2,?,surb={'id': 'ab72df6e-a8c8-4fee-b872-5d8f532788ed', 'route': ['p2', 'e4', 'i5', 'x4', 'p2', 'c5']}
1769747920.3565931,SENT,79103e25-fb44-46c1-9b7f-d91ae10362ef,c7b61368-01f8-47e0-835e-82ec2488de25,c2,c1,3383,?,p2,
1769747920.3567433,CREATED,973dfbe7-34d6-4d0d-9d85-094ecb329432,58c49b5d-4602-406c-8c6d-7950b823bb79,c2,c1,26,?,?,surb={'id': 'c9ee3672-e3e2-4685-9c0a-fb477b0a1c7f', 'route': ['p1', 'e5', 'i5', 'x8', 'p2', 'c2']}
1769747920.621474,SENT,0c460c64-f791-4ca7-b965-8a299aa8e92a,aa51c089-27f0-434f-b67f-9e1cbea04455,c2,c1,3380,?,p2,
1769747920.6216314,CREATED,a99e509e-4447-47a1-8a1d-a5eba78f6ac7,7b94e1d6-7bcc-4600-9eb0-1e53b715ae4f,c2,c1,26,?,?,surb={'id': 'e627f3aa-b741-49c2-825d-5f6f7cba19b2', 'route': ['p1', 'e1', 'i5', 'x10', 'p2', 'c2']}
1769747920.7617002,SENT,7bd558d4-b4fb-455e-81bc-0c45bfc827c9,87a008ad-579a-4591-88dc-dec602db286b,c2,c1,3389,?,p2,
1769747920.7618358,CREATED,105b03e6-ae43-4f61-b67d-0e35ec712e92,7b94e1d6-7bcc-4600-9eb0-1e53b715ae4f,c2,c1,26,?,?,surb={'id': 'e627f3aa-b741-49c2-825d-5f6f7cba19b2', 'route': ['p1', 'e1', 'i5', 'x10', 'p2', 'c2']}
1769747920.795928,RECEIVED,6315cc4b-8a98-4248-b03c-db660012fb6a,1f9b9167-df40-4275-a70c-3a165ab7f9a9,c5,c2,26,p2,?,surb={'id': '51bfd2d7-5d90-40d7-9cb1-b60599532dcc', 'route': ['p2', 'e2', 'i6', 'x11', 'p2', 'c5']}
1769747920.8666055,SENT,be503686-f0a0-4c0c-9b41-987171a0f4e1,1f0ded9c-ded0-4067-a8af-44106faeed05,c2,c1,3379,?,p2,
1769747920.867417,CREATED,033699b3-9637-4387-8bb8-e7dabbeb1d93,2658bca9-39da-4a7c-b3ac-836612701a80,c2,c1,27,?,?,surb={'id': 'b3af7ec9-cac5-4987-8c68-64ee2f2f5185', 'route': ['p1', 'e3', 'i8', 'x7', 'p2', 'c2']}
1769747920.9543686,RECEIVED,408b79a1-07df-4daf-bb99-2664636a6e90,1f9b9167-df40-4275-a70c-3a165ab7f9a9,c5,c2,26,p2,?,surb={'id': '51bfd2d7-5d90-40d7-9cb1-b60599532dcc', 'route': ['p2', 'e2', 'i6', 'x11', 'p2', 'c5']}
1769747920.9936042,SENT,6f29bbff-d7a2-4669-8816-811f243d6c10,ab4d2198-5917-4942-a415-47ec57c66492,c2,c1,3373,?,p2,
1769747920.9937384,CREATED,c713ccb9-081a-40ed-9ec4-47aac13bc3f3,2658bca9-39da-4a7c-b3ac-836612701a80,c2,c1,27,?,?,surb={'id': 'b3af7ec9-cac5-4987-8c68-64ee2f2f5185', 'route': ['p1', 'e3', 'i8', 'x7', 'p2', 'c2']}
1769747921.1462753,SENT,e15ebedb-2126-4887-a4e3-739fa413b33e,0f0b9d29-1ae4-4324-a070-61a713132f60,c2,c1,3388,?,p2,
1769747921.1464095,CREATED,0b6042b8-d0f4-45b4-84a5-30bf2959c1b7,96fda84d-91e8-432e-8860-55e69bdbde33,c2,c1,27,?,?,surb={'id': '2dfd3b29-b3a2-4519-b960-8705b3d446c2', 'route': ['p1', 'e5', 'i3', 'x6', 'p2', 'c2']}
1769747921.3005042,RECEIVED,2d8107c5-a152-4172-a65b-6607449dfaed,6e2ef4a7-c7ea-4694-acd8-ec0991965f41,c5,c2,27,p2,?,surb={'id': 'ab72df6e-a8c8-4fee-b872-5d8f532788ed', 'route': ['p2', 'e4', 'i5', 'x4', 'p2', 'c5']}
1769747921.6994638,RECEIVED,4d2d3550-99c1-44e3-8004-fe01ae41f517,1e725027-a561-4fc0-9732-91e852d3a580,c5,c2,26,p2,?,surb={'id': '5d734e17-3fd8-45d9-ac3d-51855e228dc8', 'route': ['p2', 'e8', 'i9', 'x5', 'p2', 'c5']}
1769747922.0368536,SENT,8eccd640-9be5-4ca1-9faa-ccbf442d7590,0d3488fc-a069-434e-af5e-7e481df9dfa9,c2,c1,3383,?,p2,
1769747922.0369968,CREATED,f1eec5e5-bf4c-49e5-b1cb-9bf4259f500d,96fda84d-91e8-432e-8860-55e69bdbde33,c2,c1,27,?,?,surb={'id': '2dfd3b29-b3a2-4519-b960-8705b3d446c2', 'route': ['p1', 'e5', 'i3', 'x6', 'p2', 'c2']}
1769747922.1170263,RECEIVED,cfbffe29-f3f3-478b-b307-ab0f733c37da,a95538f9-2c52-4a4c-bda0-d2afed769d7e,c5,c2,26,p2,?,surb={'id': '2395118a-dc5a-4045-b203-8bc7c954dd6a', 'route': ['p2', 'e10', 'i3', 'x1', 'p2', 'c5']}
1769747922.3800778,RECEIVED,f0c03e25-9239-43a3-b093-b8b2701f1c35,1e725027-a561-4fc0-9732-91e852d3a580,c5,c2,26,p2,?,surb={'id': '5d734e17-3fd8-45d9-ac3d-51855e228dc8', 'route': ['p2', 'e8', 'i9', 'x5', 'p2', 'c5']}
1769747922.5674148,SENT,5bfe1567-b5e0-41e4-810d-ca2d8d7e18f9,56cbb5ef-bd60-48a3-a0ed-8840b5cc3a0f,c2,c1,3355,?,p2,
1769747922.5675445,CREATED,dd098525-0af6-4877-a24e-cbdd0b5dabe6,a8e23701-4184-43c7-b1b6-0b9a01d9d106,c2,c1,26,?,?,surb={'id': 'e93a1552-4d4c-4033-92f2-2e1064f0596e', 'route': ['p1', 'e5', 'i10', 'x4', 'p2', 'c2']}
1769747922.9160173,RECEIVED,ec6952e2-2aa5-4779-ac58-b91c6cc9d751,a7c77a45-101e-4e61-a731-f17076520905,c5,c2,26,p2,?,surb={'id': 'daae7789-bfcf-4253-a64d-36fd1351d13f', 'route': ['p2', 'e10', 'i2', 'x5', 'p2', 'c5']}
1769747923.0192423,RECEIVED,20935876-9cb7-4bd8-a7b6-6b08d48e0571,619c0f96-8e6d-49aa-bcb6-9f9ae1836d30,c5,c2,27,p2,?,surb={'id': 'e196a3c0-e443-45e4-add2-223dd0c2b346', 'route': ['p2', 'e6', 'i9', 'x2', 'p2', 'c5']}
1769747923.380768,RECEIVED,8c2416e3-9a60-4d74-a8c1-b3cf5f4f6acb,a7c77a45-101e-4e61-a731-f17076520905,c5,c2,26,p2,?,surb={'id': 'daae7789-bfcf-4253-a64d-36fd1351d13f', 'route': ['p2', 'e10', 'i2', 'x5', 'p2', 'c5']}
1769747923.4555016,SENT,ac5b744b-225d-4422-a2bb-d757b76b1a40,2c42494f-1dbe-4e45-812e-d53bd6398db2,c2,c1,3380,?,p2,
1769747923.4556386,CREATED,23bcbecc-730d-4013-a1a8-b553cd11d110,a8e23701-4184-43c7-b1b6-0b9a01d9d106,c2,c1,26,?,?,surb={'id': 'e93a1552-4d4c-4033-92f2-2e1064f0596e', 'route': ['p1', 'e5', 'i10', 'x4', 'p2', 'c2']}
1769747923.5444634,RECEIVED,613610ac-e173-41b2-ba59-6fb5c09ad880,890f3f1d-dd44-4392-bd89-7d9e69e1c476,c5,c2,27,p2,?,surb={'id': '221395ab-db15-49e7-bb76-ef9b135a526d', 'route': ['p2', 'e2', 'i6', 'x5', 'p2', 'c5']}
1769747924.02757,RECEIVED,2f0c563a-d3f3-4625-8bbc-b56f1033dd45,a95538f9-2c52-4a4c-bda0-d2afed769d7e,c5,c2,26,p2,?,surb={'id': '2395118a-dc5a-4045-b203-8bc7c954dd6a', 'route': ['p2', 'e10', 'i3', 'x1', 'p2', 'c5']}
1769747924.227694,RECEIVED,f5007a97-0285-4b70-a1b0-4d76b5d91882,890f3f1d-dd44-4392-bd89-7d9e69e1c476,c5,c2,27,p2,?,surb={'id': '221395ab-db15-49e7-bb76-ef9b135a526d', 'route': ['p2', 'e2', 'i6', 'x5', 'p2', 'c5']}
1769747924.3509884,SENT,9ae41983-f3cf-47c3-80a8-89b5671faf2d,b928ee7a-d380-41ce-b30c-43fc2909f7c5,c2,c1,3375,?,p2,
1769747924.3511639,CREATED,94439cbf-d102-4403-98dd-7a7a30aa77f5,29bc4e82-5128-49c3-96bd-4d1abd5880b7,c2,c1,27,?,?,surb={'id': '95ae07a2-48b3-4076-8496-bf2784357829', 'route': ['p1', 'e6', 'i9', 'x3', 'p2', 'c2']}
1769747925.0227466,RECEIVED,1aa6f766-fea1-45ce-a11e-c2bf302b2795,a965bb0e-54af-489d-b096-1dc812e023a9,c5,c2,27,p2,?,surb={'id': 'b51c6a18-c778-40b9-9f35-53d2b1a7ad2f', 'route': ['p2', 'e12', 'i3', 'x10', 'p2', 'c5']}
1769747925.167554,SENT,273399c4-6a4e-4871-99ba-c21adebc45cd,dfd74682-9935-4424-923e-2db25e2bcbcc,c2,c1,3381,?,p2,
1769747925.167686,CREATED,d5e652a5-b359-4167-bc02-66eea9fc32aa,29bc4e82-5128-49c3-96bd-4d1abd5880b7,c2,c1,27,?,?,surb={'id': '95ae07a2-48b3-4076-8496-bf2784357829', 'route': ['p1', 'e6', 'i9', 'x3', 'p2', 'c2']}
1769747925.5014517,SENT,0f779396-8548-4c6f-8047-64e7097ac457,c5c0fe05-7584-4d89-bc02-02c6552c15a3,c2,c1,3366,?,p2,
1769747925.5016024,CREATED,62ac0be1-7924-4f08-b9d3-bafd78fb3467,795927b5-3d3c-4cef-baef-5ffad78a76e8,c2,c1,26,?,?,surb={'id': '954840fe-5e2d-435b-b1d5-16c8f4c30583', 'route': ['p1', 'e7', 'i7', 'x9', 'p2', 'c2']}
1769747925.5284455,SENT,f19196aa-d6c2-4520-ac67-1b307808ba70,1db88e97-a307-4d9c-8e05-361ef76979da,c2,c1,3359,?,p2,
1769747925.528584,CREATED,9a206530-a4a8-45a6-a158-a4eba7feaf82,795927b5-3d3c-4cef-baef-5ffad78a76e8,c2,c1,26,?,?,surb={'id': '954840fe-5e2d-435b-b1d5-16c8f4c30583', 'route': ['p1', 'e7', 'i7', 'x9', 'p2', 'c2']}
1769747925.535555,RECEIVED,98ec5f7f-cb66-4941-b278-3707bace9573,619c0f96-8e6d-49aa-bcb6-9f9ae1836d30,c5,c2,27,p2,?,surb={'id': 'e196a3c0-e443-45e4-add2-223dd0c2b346', 'route': ['p2', 'e6', 'i9', 'x2', 'p2', 'c5']}
1769747925.7050307,RECEIVED,2f27fff9-c048-4fb2-932e-83ce1e29b896,470a6e58-75f9-4e26-8ab0-6f8a54910742,c5,c2,26,p2,?,surb={'id': '130e998d-1fbd-4793-8eeb-5587d1c97b07', 'route': ['p2', 'e10', 'i11', 'x6', 'p2', 'c5']}
1769747926.2628481,RECEIVED,1c7968e6-dfa7-4d08-bf36-b43e93aa9f94,470a6e58-75f9-4e26-8ab0-6f8a54910742,c5,c2,26,p2,?,surb={'id': '130e998d-1fbd-4793-8eeb-5587d1c97b07', 'route': ['p2', 'e10', 'i11', 'x6', 'p2', 'c5']}
1769747926.312018,SENT,a78e6c04-a867-49fb-b92c-9bd44be1f38d,2dfad8a1-c549-48eb-86e5-6af3784108e6,c2,c1,3395,?,p2,
1769747926.3121822,CREATED,18f58b5a-58da-49db-877e-991e36f3be2a,11115d9c-9e84-455f-ab61-f4186d45a196,c2,c1,27,?,?,surb={'id': '23213789-715a-4090-9cfd-31a4e3bafdec', 'route': ['p1', 'e2', 'i3', 'x2', 'p2', 'c2']}
1769747926.3814898,SENT,b5f58181-023c-4cb6-98e0-2c2b1b36a655,98594c0a-ecc4-4d3a-90d7-734f692fd638,c2,c1,3377,?,p2,
1769747926.3816397,CREATED,977e0fdc-4f45-4adb-9a7b-b5096137f8e9,11115d9c-9e84-455f-ab61-f4186d45a196,c2,c1,27,?,?,surb={'id': '23213789-715a-4090-9cfd-31a4e3bafdec', 'route': ['p1', 'e2', 'i3', 'x2', 'p2', 'c2']}
1769747926.6073134,SENT,06f02d21-365f-4061-abc2-fc55f443cd4f,6b4d8424-dfe0-441a-9ae6-d03bb93dc4b3,c2,c1,3368,?,p2,
1769747926.6074455,CREATED,2c2d7d5f-6f16-4ac4-9d37-9713f8d1357a,6f1497fa-1845-44be-a721-1a7572223c5c,c2,c1,27,?,?,surb={'id': 'f7195907-8443-48e7-88d8-1301ec1a6a25', 'route': ['p1', 'e7', 'i9', 'x12', 'p2', 'c2']}
1769747926.7156155,SENT,4f6e101e-53f2-4dc2-9b98-a0b4438464a9,ae93f619-397b-4644-bd02-06916fdb6724,c2,c1,3358,?,p2,
1769747926.7157838,CREATED,d9676e26-f5c7-464d-96fd-22dfbae62f9d,6f1497fa-1845-44be-a721-1a7572223c5c,c2,c1,27,?,?,surb={'id': 'f7195907-8443-48e7-88d8-1301ec1a6a25', 'route': ['p1', 'e7', 'i9', 'x12', 'p2', 'c2']}
1769747926.8249846,SENT,acbdd4af-5ead-444c-9bf9-617b66a177f4,a3528ad8-748f-4a27-b1be-4f2a3ad512f1,c2,c1,3379,?,p2,
1769747926.8251407,CREATED,e4380930-626d-4618-9580-4d7c78567656,01198e61-c423-4f51-a3ca-6e43ff79b121,c2,c1,27,?,?,surb={'id': 'e31d1be0-6223-4371-a9b2-449805731277', 'route': ['p1', 'e6', 'i9', 'x8', 'p2', 'c2']}
1769747926.828185,RECEIVED,330c5188-af2b-4374-877c-838519abc32b,7b34f3a2-e5a9-491b-aae4-578f1a41ad5d,c5,c2,25,p2,?,surb={'id': '45c5a781-397e-4457-be2d-fb976e8910a7', 'route': ['p2', 'e5', 'i7', 'x2', 'p2', 'c5']}
1769747926.833386,SENT,5f506c7a-9625-44dd-9891-97e4f78af8ad,6287db8f-0dd0-4c76-9a12-1171e09c7f51,c2,c1,3372,?,p2,
1769747926.8335168,CREATED,49d77340-fc7d-491b-aa68-ebcf3e95e39d,01198e61-c423-4f51-a3ca-6e43ff79b121,c2,c1,27,?,?,surb={'id': 'e31d1be0-6223-4371-a9b2-449805731277', 'route': ['p1', 'e6', 'i9', 'x8', 'p2', 'c2']}
1769747926.8625624,SENT,efdad33a-a690-416e-b551-f5a07e617070,1dd886d1-8b33-4977-b101-9790d5521cef,c2,c1,3388,?,p2,
1769747926.862694,CREATED,1ead13a0-b073-4bed-914a-2be1a937d142,207999cc-58f7-47e3-9146-255a61bfe741,c2,c1,26,?,?,surb={'id': 'b4787540-09a1-4063-b760-8c319a3e5d08', 'route': ['p1', 'e5', 'i4', 'x5', 'p2', 'c2']}
1769747927.325652,SENT,bf48b7ed-a133-47ab-8b51-797c3e062f7c,012beb63-e90e-425e-9a76-277900236626,c2,c1,3385,?,p2,
1769747927.3257103,CREATED,db5b51a5-e929-4840-9b68-decf41acc913,207999cc-58f7-47e3-9146-255a61bfe741,c2,c1,26,?,?,surb={'id': 'b4787540-09a1-4063-b760-8c319a3e5d08', 'route': ['p1', 'e5', 'i4', 'x5', 'p2', 'c2']}
1769747927.4051435,RECEIVED,7ff2a3f0-9183-4b35-8caa-d6d737de2ee4,a965bb0e-54af-489d-b096-1dc812e023a9,c5,c2,27,p2,?,surb={'id': 'b51c6a18-c778-40b9-9f35-53d2b1a7ad2f', 'route': ['p2', 'e12', 'i3', 'x10', 'p2', 'c5']}
1769747927.4206722,RECEIVED,8af0c72a-5940-4f23-8393-7fffec4393c6,52797546-90f9-4827-b59e-a023497a3416,c5,c2,27,p2,?,surb={'id': 'f72e97d2-8352-4b3a-a7cb-9239f16258ec', 'route': ['p2', 'e8', 'i10', 'x8', 'p2', 'c5']}
1769747927.6345081,SENT,07402913-e6ae-4743-9fdf-d7b902432c02,3802d6d2-d493-4c23-b889-c7bae7987602,c2,c1,3378,?,p2,
1769747927.6346457,CREATED,fb49c7aa-5745-4566-9c9e-c1d9a7495085,32b09927-a01b-4476-9a7a-30c1e2f5c266,c2,c1,27,?,?,surb={'id': '6edb4f5e-4f03-4ce3-95c7-afca4087d28d', 'route': ['p1', 'e9', 'i7', 'x10', 'p2', 'c2']}
1769747927.8041968,SENT,a89af6c6-3b12-40e7-9497-ad61ef052277,0aad25f9-8b58-41c6-aeb2-f5479af8be4d,c2,c1,3388,?,p2,
1769747927.8042896,CREATED,53633755-9301-4945-b319-83bb41f6dd38,32b09927-a01b-4476-9a7a-30c1e2f5c266,c2,c1,27,?,?,surb={'id': '6edb4f5e-4f03-4ce3-95c7-afca4087d28d', 'route': ['p1', 'e9', 'i7', 'x10', 'p2', 'c2']}
1769747928.1541224,SENT,d898459e-7ca7-4ab6-b292-a214dc85eda2,5a109ca5-59a8-4612-b296-f88db9b5b55e,c2,c1,3406,?,p2,
1769747928.154257,CREATED,a04a87b8-bdd3-432c-878e-9881df3a4d08,2a8e85bf-a178-456e-805e-666efe8f448e,c2,c1,27,?,?,surb={'id': 'bb00a659-ca7a-4537-9f64-844d063fb8f7', 'route': ['p1', 'e9', 'i11', 'x3', 'p2', 'c2']}
1769747928.2131152,SENT,19c522dd-ab79-4b2d-8d95-701e41a361e4,afea8124-4e34-4a83-91a4-a37986c0839a,c2,c1,3392,?,p2,
1769747928.2132807,CREATED,b685a574-7aed-49be-838c-f98eb7f69083,2a8e85bf-a178-456e-805e-666efe8f448e,c2,c1,27,?,?,surb={'id': 'bb00a659-ca7a-4537-9f64-844d063fb8f7', 'route': ['p1', 'e9', 'i11', 'x3', 'p2', 'c2']}
1769747928.4203737,RECEIVED,04070851-449b-41ec-aff4-627a084279d8,29c7c7af-bdd5-4690-bb92-3645f5088fd4,c5,c2,27,p2,?,surb={'id': 'bd18bc2a-ab73-4a01-94c4-045bfcac0528', 'route': ['p2', 'e5', 'i3', 'x8', 'p2', 'c5']}
1769747928.463834,RECEIVED,a9050bf7-4f43-4c74-8263-29c9bc3658b7,5abce605-f9da-430f-bb68-d54ede0c5988,c5,c2,27,p2,?,surb={'id': '6afd1a0a-b4bd-4e58-9a5a-158ebf47e941', 'route': ['p2', 'e12', 'i1', 'x1', 'p2', 'c5']}
1769747928.546253,RECEIVED,be25b24b-2cb3-47a5-841c-6285e3f66f2e,7b34f3a2-e5a9-491b-aae4-578f1a41ad5d,c5,c2,25,p2,?,surb={'id': '45c5a781-397e-4457-be2d-fb976e8910a7', 'route': ['p2', 'e5', 'i7', 'x2', 'p2', 'c5']}
1769747928.6274538,RECEIVED,95fb9968-3529-4f94-941c-b56ac850522c,52797546-90f9-4827-b59e-a023497a3416,c5,c2,27,p2,?,surb={'id': 'f72e97d2-8352-4b3a-a7cb-9239f16258ec', 'route': ['p2', 'e8', 'i10', 'x8', 'p2', 'c5']}
1769747928.6646187,SENT,3cee53a3-56f6-4e8f-b206-aea00b956e5a,cdc8bbba-8166-484e-9b3b-04ff3a623e00,c2,c1,3392,?,p2,
1769747928.6647122,CREATED,f8df1961-ebd5-4e4b-889a-f3b0fdc0b91d,e659f211-0814-4c28-9840-b4e4b7963d6b,c2,c1,27,?,?,surb={'id': '808f5e2c-ac4f-495b-acbb-535bf275eb1b', 'route': ['p1', 'e2', 'i10', 'x10', 'p2', 'c2']}
1769747928.7512722,RECEIVED,0e248617-5edd-4a25-90d4-eb85efea618a,5655715c-31a7-42e7-ba56-c9257dac27ad,c5,c2,26,p2,?,surb={'id': '100e3839-7b2a-4087-9503-9aa40d277955', 'route': ['p2', 'e4', 'i2', 'x2', 'p2', 'c5']}
1769747928.9393165,RECEIVED,eb5de7e5-2279-4447-94d1-4a5a8d28427a,3d726ec0-1734-4c39-8f2f-8b38526d6a0f,c5,c2,27,p2,?,surb={'id': 'f59f081d-63ee-47db-aeb0-8315920a4205', 'route': ['p2', 'e5', 'i2', 'x11', 'p2', 'c5']}
1769747929.0812314,RECEIVED,84909351-a4e6-49e7-93e2-f1176f6cc689,5655715c-31a7-42e7-ba56-c9257dac27ad,c5,c2,26,p2,?,surb={'id': '100e3839-7b2a-4087-9503-9aa40d277955', 'route': ['p2', 'e4', 'i2', 'x2', 'p2', 'c5']}
1769747929.27994,RECEIVED,925a5e23-d734-44dd-b832-9bc024d69dd3,29c7c7af-bdd5-4690-bb92-3645f5088fd4,c5,c2,27,p2,?,surb={'id': 'bd18bc2a-ab73-4a01-94c4-045bfcac0528', 'route': ['p2', 'e5', 'i3', 'x8', 'p2', 'c5']}
1769747929.3487625,SENT,0c4f2dda-6837-4bcd-9e2b-e447274a24f4,edfca229-7817-454e-96f1-8da3cb59373c,c2,c1,3404,?,p2,
1769747929.3488567,CREATED,a85d6353-2f83-4007-904c-aabaca1d4b5f,e659f211-0814-4c28-9840-b4e4b7963d6b,c2,c1,27,?,?,surb={'id': '808f5e2c-ac4f-495b-acbb-535bf275eb1b', 'route': ['p1', 'e2', 'i10', 'x10', 'p2', 'c2']}
1769747929.5490193,SENT,399104b7-40a1-4009-bebf-20dc29432de5,c5c81c9e-1de3-40bc-9bd8-79b31e9c53ee,c2,c1,3389,?,p2,
1769747929.5491831,CREATED,9e27e4f9-3735-4002-a32e-d93ff1973f96,28a1b8f9-d731-4a3c-a0ab-02751ffe9cd7,c2,c1,27,?,?,surb={'id': 'e8aa6e48-853e-43f9-acb7-cade674a8c7c', 'route': ['p1', 'e3', 'i12', 'x9', 'p2', 'c2']}
1769747930.0471096,RECEIVED,493e94d7-7cec-45e2-87dd-af7c91424e29,d5bb2cab-b6ee-40fd-8dd3-17df2854d227,c5,c2,27,p2,?,surb={'id': 'a89675a7-1b3b-4ccb-a8a0-dc4df7464d06', 'route': ['p2', 'e2', 'i2', 'x12', 'p2', 'c5']}
1769747930.0528316,RECEIVED,b2c82b06-683e-4ba2-b3b2-ccef0b026cbc,b7b879d4-988d-4ab0-8eea-630eb6888135,c5,c2,27,p2,?,surb={'id': 'f9791f9f-308f-48b7-b2b9-68d3941aca9b', 'route': ['p2', 'e2', 'i12', 'x3', 'p2', 'c5']}
1769747930.073593,SENT,af449dce-4072-4967-8da1-5df4e89ade0d,fd510647-188b-4c6d-b876-ba46c3ea70c0,c2,c1,3395,?,p2,
