timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769747920.489975,RECEIVED,4287edb6-3d40-452c-af37-adb935d3cfeb,f3bb0510-96de-4153-b3bf-f5da1768d5df,c3,c1,27,p1,?,surb={'id': '96eeb3c1-da6b-44ae-8421-f7c5ee6254d1', 'route': ['p1', 'e4', 'i7', 'x7', 'p3', 'c3']}
1769747920.7232041,RECEIVED,f916bc3f-361f-4aa8-b3be-e5db8198166f,a9c0394b-ec5c-4924-b5cf-17beed458a7b,c3,c1,27,p1,?,surb={'id': '2cba38f4-e53a-48e8-a5a3-b4baada5e6df', 'route': ['p1', 'e12', 'i3', 'x10', 'p3', 'c3']}
1769747920.9218235,SENT,56c5875a-2802-415f-aee9-1dac2c0e5087,1d897842-8779-49ce-95ae-38d8f2bf15d1,c1,c5,3376,?,p1,
1769747920.9219694,CREATED,103f251f-1b80-476b-9e9e-a7c9a6989a75,ed4b417a-6f83-480f-9356-8ac059072481,c1,c5,27,?,?,surb={'id': 'e6c762a9-26bf-4c9a-b4c2-9eaf194381a6', 'route': ['p2', 'e8', 'i3', 'x1', 'p1', 'c1']}
1769747921.033248,SENT,e4e6debe-deca-45c5-909d-3b37986ca1c5,e25ecf53-24a1-4a7f-9ef5-272443b8c6b8,c1,c5,3374,?,p1,
1769747921.0333827,CREATED,e32dec99-f7ba-45e4-b839-477f2e35b3ed,0c59bd5b-f703-4ad3-8192-a14d34950f0a,c1,c5,27,?,?,surb={'id': '01f26f60-c3c8-4548-9c7b-b2f5502293d4', 'route': ['p2', 'e2', 'i8', 'x4', 'p1', 'c1']}
1769747921.090589,RECEIVED,34729e82-9356-42bb-94f6-9e0c0eecd033,fa181288-fc21-4537-b87c-f86bcd74f58d,c3,c1,27,p1,?,surb={'id': 'da9566d6-5c4f-4f71-8d04-23a8291f49b4', 'route': ['p1', 'e12', 'i11', 'x8', 'p3', 'c3']}
1769747921.1435933,RECEIVED,03c55a67-0104-4468-85c6-ce93584436cb,256755fa-d928-4ff3-bf10-7821ce62ff14,c3,c1,27,p1,?,surb={'id': '3e02af82-b6ee-4b4b-a599-abfa1ddea437', 'route': ['p1', 'e2', 'i2', 'x12', 'p3', 'c3']}
1769747921.253258,RECEIVED,c13b1ea4-2788-4601-b058-8d573e49bab6,5ad030e2-df85-44c0-a53e-028a9c06b31e,c2,c1,26,p1,?,surb={'id': '47e3844a-228f-416c-99bd-988ff6a91811', 'route': ['p1', 'e7', 'i9', 'x1', 'p2', 'c2']}
1769747921.318287,RECEIVED,4b597b01-d3a6-4dab-9293-20378d9923cf,881d0d02-4e1b-402a-832c-6af48ec4825e,c3,c1,26,p1,?,surb={'id': '7a8f4bc8-9f81-4d8b-bd2d-cd01d99151e8', 'route': ['p1', 'e9', 'i2', 'x10', 'p3', 'c3']}
1769747921.405025,RECEIVED,4825d584-8ea5-4672-ab07-96e465daefa2,881d0d02-4e1b-402a-832c-6af48ec4825e,c3,c1,26,p1,?,surb={'id': '7a8f4bc8-9f81-4d8b-bd2d-cd01d99151e8', 'route': ['p1', 'e9', 'i2', 'x10', 'p3', 'c3']}
1769747921.4458156,RECEIVED,bb9709f5-82e8-44ad-8384-36318585db25,787a40ee-0ac6-462d-b729-1b3e3176800c,c2,c1,26,p1,?,surb={'id': 'b741f15f-5a80-42d0-bc20-a799267c3844', 'route': ['p1', 'e11', 'i2', 'x12', 'p2', 'c2']}
1769747921.6219416,SENT,91c227c2-b29f-4988-87c6-39855c9bc939,d50ccf63-390d-48f2-8f3d-324827ee6c85,c1,c5,3363,?,p1,
1769747921.622208,CREATED,921b56c7-08ef-4fcb-b51f-93bd6d94ba1c,0c59bd5b-f703-4ad3-8192-a14d34950f0a,c1,c5,27,?,?,surb={'id': '01f26f60-c3c8-4548-9c7b-b2f5502293d4', 'route': ['p2', 'e2', 'i8', 'x4', 'p1', 'c1']}
1769747921.7055244,RECEIVED,105b03e6-ae43-4f61-b67d-0e35ec712e92,7b94e1d6-7bcc-4600-9eb0-1e53b715ae4f,c2,c1,26,p1,?,surb={'id': 'e627f3aa-b741-49c2-825d-5f6f7cba19b2', 'route': ['p1', 'e1', 'i5', 'x10', 'p2', 'c2']}
