timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769747923.9331832,RECEIVED,50214aad-0ed6-417b-ab66-74562ff925b6,56da7b83-ef32-4f41-8d07-1640d5d77412,c4,c3,27,p3,?,surb={'id': '30f2831f-4330-453f-8514-918660ffb1c0', 'route': ['p3', 'e8', 'i4', 'x1', 'p1', 'c4']}
1769747924.0005033,SENT,67df37ea-0c1a-409c-a763-998321bf6ddc,2125ce05-dcd9-414a-9d4c-03cb6d11e0a5,c3,c1,3391,?,p3,
1769747924.0006347,CREATED,dd903974-12c0-4a5b-ac09-9f0570425ace,dc8e849a-63af-4aa5-b72f-1d676a195e53,c3,c1,27,?,?,surb={'id': '3f63cb91-2ed3-480b-967c-616bf6924975', 'route': ['p1', 'e8', 'i10', 'x6', 'p3', 'c3']}
1769747924.0339754,SENT,c42ca7cd-6e9d-4208-897b-8f8ba4370889,09c14f67-222b-43f4-b1e6-e5dacc16afc0,c3,c1,3391,?,p3,
1769747924.035162,CREATED,107c993f-fa98-4937-bc76-1cee78edc81b,2a7cd72e-8bf0-4a1c-a111-4ae11e128591,c3,c1,27,?,?,surb={'id': '48a24a48-ee7f-4590-812f-43939a5a5529', 'route': ['p1', 'e8', 'i4', 'x12', 'p3', 'c3']}
1769747924.2070892,SENT,90b15225-3f02-48e8-97cb-0deb98266e50,d58bdf42-5969-476d-919a-51da7d8838a3,c3,c1,3383,?,p3,
1769747924.207229,CREATED,fa37fcaf-f119-4fa0-b136-01453478ba69,2a7cd72e-8bf0-4a1c-a111-4ae11e128591,c3,c1,27,?,?,surb={'id': '48a24a48-ee7f-4590-812f-43939a5a5529', 'route': ['p1', 'e8', 'i4', 'x12', 'p3', 'c3']}
1769747924.2475514,RECEIVED,de685c9d-bb6f-4857-afe1-6b71100b570d,ab3c1437-7e0c-481d-9bdb-14d8f8e4a1a0,c4,c3,27,p3,?,surb={'id': '3deae7de-bbf4-4751-9083-c5def894cf3a', 'route': ['p3', 'e11', 'i6', 'x8', 'p1', 'c4']}
1769747924.534774,SENT,af707777-861c-412b-9e10-57b9f2b44791,ec910e7a-d81d-44e0-8a1d-1bf0b1207a12,c3,c1,3383,?,p3,
1769747924.5349023,CREATED,dddb081b-77b8-453c-8781-f1a46c59e052,b468c984-1285-4dc7-883f-1a99e8e2a1f6,c3,c1,27,?,?,surb={'id': '05dd7e55-f6e6-4e04-9a1c-776f90317a6f', 'route': ['p1', 'e4', 'i2', 'x1', 'p3', 'c3']}
1769747924.621314,SENT,d61ca16b-ebbb-4a6d-954d-30a787a4b9a8,6412b0e6-d812-4492-8dfe-006b56b7a599,c3,c1,3361,?,p3,
1769747924.6214483,CREATED,2232dfb3-082c-4f5f-99ae-ee2d87d65cf3,b468c984-1285-4dc7-883f-1a99e8e2a1f6,c3,c1,27,?,?,surb={'id': '05dd7e55-f6e6-4e04-9a1c-776f90317a6f', 'route': ['p1', 'e4', 'i2', 'x1', 'p3', 'c3']}
1769747924.6549869,SENT,00ebd738-c322-49f2-93de-7c84c5e8bd87,d333b7d6-e0d6-4642-84cc-29687d9f7a6d,c3,c1,3360,?,p3,
1769747924.6552048,CREATED,1e81397a-feda-4e62-8461-f0c2558650d2,64b26db1-dcc6-4b0e-8341-2e2b7ff0d646,c3,c1,27,?,?,surb={'id': '91b2c417-7769-4bca-86fc-afd7a017fc64', 'route': ['p1', 'e4', 'i2', 'x9', 'p3', 'c3']}
1769747924.7303448,SENT,b7968332-cbe6-49dd-ba72-bc0e1142fa54,bb8834a8-2534-4afa-adab-e41bcad75da3,c3,c1,3375,?,p3,
1769747924.7304716,CREATED,ba91b59c-06c3-4d8c-b2f6-4c23886b9a43,64b26db1-dcc6-4b0e-8341-2e2b7ff0d646,c3,c1,27,?,?,surb={'id': '91b2c417-7769-4bca-86fc-afd7a017fc64', 'route': ['p1', 'e4', 'i2', 'x9', 'p3', 'c3']}
1769747924.9260864,SENT,3ec6c26d-2574-4557-98f1-fad8b42573d0,0cfb2a5c-44d2-4719-a05c-f257e67b3144,c3,c1,3363,?,p3,
1769747924.9262238,CREATED,34f306c6-cd97-4a46-8d0c-b14cf6b13ad9,2ebbca1c-cc14-4688-abd8-603b51d482e6,c3,c1,27,?,?,surb={'id': '38d6d3d2-c4da-467f-8022-456926d7489e', 'route': ['p1', 'e2', 'i8', 'x3', 'p3', 'c3']}
1769747925.005663,SENT,fe61c1c4-4df2-4658-af96-1df926ff0175,8980158e-964c-4659-8b6f-b2e3ada554ba,c3,c1,3389,?,p3,
1769747925.0058331,CREATED,fd4d8476-3fa6-4c3b-96bf-2b0489dd023f,2ebbca1c-cc14-4688-abd8-603b51d482e6,c3,c1,27,?,?,surb={'id': '38d6d3d2-c4da-467f-8022-456926d7489e', 'route': ['p1', 'e2', 'i8', 'x3', 'p3', 'c3']}
