timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769468561.008025,RECEIVED,37a01e8b-25a8-42c2-b469-d47969da3b95,6f010a86-93c3-4d64-85b2-bda8f6492328,c3,c1,27,p1,?,surb={'id': 'ad1c7e09-2887-4f0b-8d36-65d383caede1', 'route': ['p1', 'e11', 'i11', 'x9', 'p3', 'c3']}
1769468561.7200365,SENT,bcd61700-3df7-4dee-98b8-9b5f2ce4ff5f,2b3a4ca7-a637-4092-a0df-d851062b3062,c1,c4,3376,?,p1,
1769468561.7202387,CREATED,19e6d087-90e6-4ce3-b62c-9ffbb56e9299,3e1fb518-f0ee-4af4-8a7e-d46dd05aa758,c1,c4,27,?,?,surb={'id': 'cba91fea-809c-4bdd-aec1-1c9b447237d1', 'route': ['p1', 'e5', 'i5', 'x7', 'p1', 'c1']}
1769468561.8036327,SENT,11ee9765-a78c-4549-a372-a2c28fd3e45d,f89851cf-3a4f-4bfd-8232-b5de791770bd,c1,c4,3376,?,p1,
1769468561.8037791,CREATED,1a6458b1-07cb-4c36-ac78-214482d88095,672a2cb8-56ef-423e-b1ee-96360ceece77,c1,c4,27,?,?,surb={'id': 'af096eae-7559-4d93-b00b-d9abdc5bc873', 'route': ['p1', 'e2', 'i11', 'x1', 'p1', 'c1']}
1769468561.8374457,SENT,d2151a53-9d44-4d35-a5f1-adba720356fd,a3fbb8d1-51cd-4886-87ec-67e107a23e6e,c1,c4,3383,?,p1,
1769468561.837592,CREATED,9e83f390-94d5-4281-aa0a-868dab6e4cac,0f6ebe36-ee57-4571-957f-ba43232fa032,c1,c4,27,?,?,surb={'id': '534289f4-74c5-4bad-815e-9388d3151ac0', 'route': ['p1', 'e7', 'i3', 'x6', 'p1', 'c1']}
1769468562.0120347,RECEIVED,1359468a-3d76-43b8-b7d3-54ec18e0f953,a483f3b4-226f-4e97-b45b-1acaea02810f,c3,c1,26,p1,?,surb={'id': '604305e8-405a-45b0-a411-bbfddf10db27', 'route': ['p1', 'e3', 'i8', 'x10', 'p3', 'c3']}
1769468562.0522056,RECEIVED,83a66834-8c03-4418-9bb7-302f9399e463,c9d5b121-a38b-4f86-a8ef-8c72a1f5320b,c3,c1,27,p1,?,surb={'id': 'c37d1769-8615-4b41-9f25-2d98030e6105', 'route': ['p1', 'e1', 'i10', 'x11', 'p3', 'c3']}
1769468562.1921787,SENT,178b0843-f3c6-455a-a2c3-d8af0b39f77a,85f64316-cbc2-42c7-b69e-e9e977086cd0,c1,c4,3376,?,p1,
1769468562.1923306,CREATED,1083b8e1-398b-40de-8583-a6c9b58d19ed,bf6fa612-c3cd-46c3-9ea4-7c5d43e9834f,c1,c4,27,?,?,surb={'id': 'fcc937b0-ddb7-47c3-9513-57a699f2f0d7', 'route': ['p1', 'e3', 'i8', 'x2', 'p1', 'c1']}
1769468562.285934,SENT,18c9842e-5754-4dd2-9c4a-68f4d24b032e,1e37b018-5ab9-4280-9afa-e9dba2b6e011,c1,c4,3376,?,p1,
1769468562.2861075,CREATED,1131bf9b-8cd1-4a82-aac6-95be268851fb,d13e914a-33d8-416a-8eed-191d0030b943,c1,c4,26,?,?,surb={'id': '32f78373-1776-4dea-ab45-4fbb16507d65', 'route': ['p1', 'e2', 'i6', 'x11', 'p1', 'c1']}
1769468562.2954578,SENT,86c1794e-c1ff-4eb8-a88a-344c881004a6,b1276b7f-815f-4d52-981c-6a8c466d8021,c1,c4,3358,?,p1,
1769468562.2956038,CREATED,39b2ecff-8cf5-4521-bc45-713e8edd9bc7,45e74438-a9be-4ea5-ad74-fd7c87146305,c1,c4,27,?,?,surb={'id': '810474c4-0f9d-4ad8-ba6a-4ca80c6d065f', 'route': ['p1', 'e11', 'i4', 'x3', 'p1', 'c1']}
1769468562.730562,SENT,fd40eedf-8c10-4cef-b3dd-ef8f6a2c1bd8,aad0d90e-2f22-4e73-9354-e4a590fc67f4,c1,c4,3390,?,p1,
1769468562.730707,CREATED,c06e226f-70ac-41d2-b96e-6788257892eb,3299b3af-78fe-4ed8-99a2-61bc383b3fa4,c1,c4,27,?,?,surb={'id': '30e9297f-28de-450d-b2a5-e071b77406a4', 'route': ['p1', 'e11', 'i8', 'x10', 'p1', 'c1']}
1769468562.9512863,RECEIVED,1bfa75fe-3cbd-43c2-976f-7d0c6a0ad5eb,5e7425ae-4c6f-4fc9-9f03-3493cdc19272,c3,c1,27,p1,?,surb={'id': 'ee356ee8-5afb-4937-8ba0-09b9fca2e8d0', 'route': ['p1', 'e2', 'i2', 'x7', 'p3', 'c3']}
1769468563.1805394,SENT,cc328a32-60b5-40f7-98fe-adfe8e6758be,5cf3dbb0-f1e8-41d8-967a-bd3aefa7c73e,c1,c4,3378,?,p1,
1769468563.1806898,CREATED,dcb30e38-0e38-4e9e-83a0-e488a91c073e,1d3d7845-2d1e-4573-bc6f-10e14cf04384,c1,c4,26,?,?,surb={'id': '49471a3f-4100-4da4-adbd-f4cf7813d804', 'route': ['p1', 'e3', 'i1', 'x11', 'p1', 'c1']}
1769468563.1933494,SENT,7af2fce2-fb3c-447e-8285-c0a9a0425961,0f65394b-1d77-4803-8953-ed88ffb1397f,c1,c4,3401,?,p1,
1769468563.1935127,CREATED,7809338d-7928-4957-b882-aa96f7d2c286,87c1d3ee-7c9d-4f78-b9a6-fd9e29c7b33f,c1,c4,27,?,?,surb={'id': '14300c95-438d-421c-93cc-55fb2c125bd1', 'route': ['p1', 'e12', 'i10', 'x6', 'p1', 'c1']}
1769468563.3254106,RECEIVED,586ffb62-2024-47cc-bfa7-7fb1e1edee84,2d5c1a14-4753-4a84-9ff0-4480888f8529,c3,c1,27,p1,?,surb={'id': '03384cf4-3f36-4663-9750-8effd670f591', 'route': ['p1', 'e7', 'i9', 'x9', 'p3', 'c3']}
1769468563.3444912,RECEIVED,c759600d-5a6f-4ec8-8d83-d5d6d9fda81f,cf8c0af7-1be0-45df-8385-da7feb4ad25e,c3,c1,27,p1,?,surb={'id': '77f07a53-b6de-4a0e-9c7e-4c154f34b7ba', 'route': ['p1', 'e12', 'i12', 'x6', 'p3', 'c3']}
1769468563.9085875,SENT,f6c77051-1140-48c4-aa59-a4b9864b6d36,488a47b1-1ad6-49a8-91ca-c3bd4a1c4847,c1,c4,3366,?,p1,
1769468563.9087393,CREATED,73f51dcd-d40b-4555-8dc7-67e55968abd8,a8b27cd9-15f3-4ad7-8fa2-95ef9adf7daf,c1,c4,27,?,?,surb={'id': '40d7f56c-2617-44ae-97bf-5d21bdf9afc9', 'route': ['p1', 'e2', 'i5', 'x12', 'p1', 'c1']}
1769468564.2665794,SENT,66fc3c89-b2d2-4e47-bdcd-99bf4bef3d40,b951ddac-9505-40ed-95cb-4efe32310160,c1,c4,3388,?,p1,
1769468564.266725,CREATED,62e8bde7-f945-43c4-9661-a7672cdd2d28,eebe0f28-78e9-4ea5-910e-1965e60c8304,c1,c4,26,?,?,surb={'id': '7d2a7b73-a9ab-4d51-83e3-0da99bd90802', 'route': ['p1', 'e5', 'i11', 'x12', 'p1', 'c1']}
1769468564.533959,RECEIVED,ff95636e-75a8-434c-b6fc-f14257245494,c53eef08-308b-4180-80da-77e0d31ef98d,c3,c1,27,p1,?,surb={'id': '7906bde1-b2cc-4bbf-912c-d490212a2910', 'route': ['p1', 'e10', 'i9', 'x3', 'p3', 'c3']}
1769468564.5861373,SENT,965321c7-9e99-4953-8630-32de7f9d8d56,4b993287-b098-4765-be60-de5737b43406,c1,c4,3376,?,p1,
1769468564.5862932,CREATED,f0495599-2282-47ab-8b11-a3c61f19cbb7,d81c33fe-bae5-4d2a-a7e5-40edabd852b2,c1,c4,26,?,?,surb={'id': 'ba215eba-395e-4db4-a87f-df5de234d175', 'route': ['p1', 'e6', 'i12', 'x8', 'p1', 'c1']}
1769468564.6294591,RECEIVED,fd17512c-8a5f-4ffd-9bd1-5e006950a0c6,424ef9a1-bdbf-4c67-91d2-ba699dc8b4f5,c3,c1,27,p1,?,surb={'id': '3de6f3a5-823d-4903-b609-e7c13fb948f7', 'route': ['p1', 'e8', 'i11', 'x2', 'p3', 'c3']}
1769468564.759569,RECEIVED,f02731f4-dea8-4891-85ab-355191b83884,822e2436-4c5e-4a6b-84da-7aaee491cc9c,c3,c1,26,p1,?,surb={'id': '68ec5264-d156-4d25-9211-b2575b1f8038', 'route': ['p1', 'e4', 'i6', 'x4', 'p3', 'c3']}
1769468564.8882236,SENT,44dfc96d-4292-45c7-8cd0-9344ef3eff94,ee13ccbe-0d26-46aa-8d72-0fbc765b0343,c1,c4,3397,?,p1,
1769468564.8883736,CREATED,05f0b8f2-9dc6-49b4-9385-25437c15c8f4,79c792da-66d4-457a-a807-0d084b0d99bc,c1,c4,27,?,?,surb={'id': 'bbba084d-a8ce-47d5-906d-9acf0c2b0148', 'route': ['p1', 'e8', 'i3', 'x6', 'p1', 'c1']}
1769468565.0181327,SENT,fd970060-1e51-4c17-9581-d117ba666750,93dd01f7-f8be-42c9-9201-0f6e531921a2,c1,c4,3396,?,p1,
1769468565.0182817,CREATED,5370e851-4367-494d-9c44-cb965d4ff99b,de866d4d-69fe-49ef-af53-d98d0f4a77db,c1,c4,27,?,?,surb={'id': '741db85e-3acb-4db6-acee-2b5437551dcd', 'route': ['p1', 'e11', 'i1', 'x11', 'p1', 'c1']}
1769468565.107784,RECEIVED,5c288238-2840-4593-85fe-cc592def4f34,4ed8b385-6987-4ca3-9e0b-000e9bbfafb8,c3,c1,27,p1,?,surb={'id': '0276d0ff-ca32-43bc-aacc-75aaeb6d3b16', 'route': ['p1', 'e1', 'i10', 'x2', 'p3', 'c3']}
1769468565.2314076,SENT,da67f396-69a1-498b-90a8-3b1de0c30046,5e0f69d5-ec53-4e19-8f09-7a445b7c80bc,c1,c4,3383,?,p1,
