timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769453757.9897244,RECEIVED,eb3c7946-8548-4b66-88d2-615cfce728e0,00ac90b1-fc4f-492f-9d7f-3c8b3b1f7152,c2,c4,26,p1,?,surb={'id': 'eb7b71dc-f989-414a-ac94-25bcbc2c092c', 'route': ['p1', 'e6', 'i8', 'x7', 'p2', 'c2']}
1769453758.2197726,SENT,da1fd541-1a85-4242-b029-0102c53917b8,bfd95d90-c8fd-46be-bde6-a12d78d11159,c4,c1,3391,?,p1,
1769453758.2199233,CREATED,495498d7-010d-4119-ad37-fe221f75bb49,bc2bb7a6-e476-43f4-acf3-2af7774765b3,c4,c1,27,?,?,surb={'id': '919ef0fd-d822-46d6-94f0-0d3a9b56ea44', 'route': ['p1', 'e6', 'i10', 'x10', 'p1', 'c4']}
1769453758.2562366,RECEIVED,da1bfc14-1886-4a39-98e4-9081b52683d8,5d66495c-49e3-45ed-a216-99151e6077d5,c2,c4,27,p1,?,surb={'id': 'd08302ba-01c4-48fe-865a-afb1898304b2', 'route': ['p1', 'e10', 'i2', 'x8', 'p2', 'c2']}
1769453758.2940392,RECEIVED,3dc3e721-c31a-45c4-b57c-7e22f44585ad,ecf01ac9-07ce-4877-832c-c1b7dd28e257,c2,c4,27,p1,?,surb={'id': 'feaf0c25-9a15-49a6-b976-e4871083381e', 'route': ['p1', 'e6', 'i12', 'x12', 'p2', 'c2']}
1769453758.392674,RECEIVED,e3f8498c-3c93-4b02-844f-f7bc2b43131f,dd4b0d96-d472-441f-8591-c38cea907671,c2,c4,27,p1,?,surb={'id': 'd6bdea44-dcb1-43f0-95a9-2c9979685c17', 'route': ['p1', 'e11', 'i3', 'x11', 'p2', 'c2']}
1769453758.532449,RECEIVED,ab7bc46a-9582-4f4e-8b14-d0e3b8ddfce4,dc5b4bed-071f-4ad0-b6bd-f3cfff4c69dd,c2,c4,26,p1,?,surb={'id': '86ea7c63-d769-4b66-949a-01a2b540fc93', 'route': ['p1', 'e3', 'i11', 'x6', 'p2', 'c2']}
1769453758.5950038,RECEIVED,01bcbf2f-787c-49ae-80f5-38fbdd7b21b6,d872c81f-d054-4912-9627-6630a685832a,c2,c4,27,p1,?,surb={'id': 'b06c71b1-b388-467c-a637-000710036921', 'route': ['p1', 'e1', 'i4', 'x12', 'p2', 'c2']}
1769453758.6735702,RECEIVED,3ad84407-dd4c-4ce6-8f17-00870ae74bf7,484aa6e9-8d25-4663-b764-c85b1842fc29,c2,c4,27,p1,?,surb={'id': 'd35e8202-a31d-45aa-8463-90e2a32c6b0b', 'route': ['p1', 'e1', 'i5', 'x8', 'p2', 'c2']}
1769453758.7255576,RECEIVED,e6103e96-208e-4332-be9b-df7a9904ea17,86e15995-12f6-4ec7-a6cc-017bfc869a66,c2,c4,27,p1,?,surb={'id': 'b8cdda43-4a32-44b1-a335-c1edd253321d', 'route': ['p1', 'e11', 'i3', 'x12', 'p2', 'c2']}
1769453758.7303243,RECEIVED,bec958fc-bb02-45dd-9c3a-d2173fa408ac,c2b305d9-5e4f-473f-a767-263d5d7eb3bd,c2,c4,27,p1,?,surb={'id': 'a4b5d956-0f98-43da-9819-6234fc912d06', 'route': ['p1', 'e1', 'i12', 'x1', 'p2', 'c2']}
1769453758.7977219,SENT,d6ded77f-d394-4901-a708-91ac68d6c12d,6ca2dbde-de4e-438b-aa1f-3b799ada94a2,c4,c1,3387,?,p1,
1769453758.7978673,CREATED,74fa24ec-7f64-4fc4-a686-e67a1a224ba5,81a6f617-9688-46ad-bf68-98811bb7c599,c4,c1,27,?,?,surb={'id': '7c9b8a76-08ea-403b-bbfe-3c4407c6f8d1', 'route': ['p1', 'e10', 'i5', 'x10', 'p1', 'c4']}
1769453758.956396,SENT,424d0b04-ebf9-403a-8aca-90ae53ae8861,89bed3a2-6462-4e3e-9692-cdeee936cacd,c4,c1,3389,?,p1,
1769453758.9565637,CREATED,31b30d4e-a3e3-49e1-9e0d-f72ea8026cb4,aeb4b967-944e-4e47-af2a-08fd895d3bac,c4,c1,27,?,?,surb={'id': '5f0f867c-b419-47b1-960d-93ec063c548c', 'route': ['p1', 'e9', 'i11', 'x7', 'p1', 'c4']}
1769453759.012416,SENT,d0d1d02f-8ceb-414d-8dc2-654aef2dac76,9a6e2dd2-6b05-41f6-a833-ac0ba4cbc73a,c4,c1,3376,?,p1,
1769453759.0125623,CREATED,31356c4c-20a6-4f11-815f-b44ceaacca86,6b6d23e7-09fb-4649-be9f-429a16dead95,c4,c1,27,?,?,surb={'id': 'a9250858-6761-47f2-9660-3de44163a994', 'route': ['p1', 'e4', 'i8', 'x10', 'p1', 'c4']}
1769453759.4937012,SENT,d74e7adf-02ca-48c6-82de-6d20cc176c53,8977b7e4-8923-44b5-816e-e9715b71834f,c4,c1,3362,?,p1,
