timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769453756.6265836,SENT,e1b6ac8b-9ee5-41a4-9d50-b27188e48989,4c975f44-b313-41d6-882f-4df9c718a0ae,c2,c4,3379,?,p2,
1769453756.6267385,CREATED,da1bfc14-1886-4a39-98e4-9081b52683d8,5d66495c-49e3-45ed-a216-99151e6077d5,c2,c4,27,?,?,surb={'id': 'd08302ba-01c4-48fe-865a-afb1898304b2', 'route': ['p1', 'e10', 'i2', 'x8', 'p2', 'c2']}
1769453756.7055213,RECEIVED,041efcff-5011-43b4-bf21-90c883fcdb03,1070f101-b2b9-4b91-8962-a51617ce11af,c5,c2,27,p2,?,surb={'id': 'd2126812-995d-49f4-9c6f-620ddab876b8', 'route': ['p2', 'e12', 'i2', 'x1', 'p2', 'c5']}
1769453756.7314856,RECEIVED,dd4db275-40ff-45dd-b2c3-c8bfee445a20,796c7b5d-0028-41e6-9c9b-0112ca737b2c,c3,c2,27,p2,?,surb={'id': 'be0d4f18-6566-422e-90c3-b1b2a9ad3d8f', 'route': ['p2', 'e11', 'i2', 'x9', 'p3', 'c3']}
1769453756.8385441,SENT,cbca2328-1dcc-42fa-a166-d72a9ccb96c2,fbf86f7c-b1ac-45f1-ae0a-ff7a5b94a4b6,c2,c4,3376,?,p2,
1769453756.8386946,CREATED,eb3c7946-8548-4b66-88d2-615cfce728e0,00ac90b1-fc4f-492f-9d7f-3c8b3b1f7152,c2,c4,26,?,?,surb={'id': 'eb7b71dc-f989-414a-ac94-25bcbc2c092c', 'route': ['p1', 'e6', 'i8', 'x7', 'p2', 'c2']}
1769453756.8585896,SENT,c302d8a1-4d86-48ea-ba72-93be3f167074,99c91076-8883-4491-ba4a-ecf130f51950,c2,c4,3396,?,p2,
1769453756.8587334,CREATED,bec958fc-bb02-45dd-9c3a-d2173fa408ac,c2b305d9-5e4f-473f-a767-263d5d7eb3bd,c2,c4,27,?,?,surb={'id': 'a4b5d956-0f98-43da-9819-6234fc912d06', 'route': ['p1', 'e1', 'i12', 'x1', 'p2', 'c2']}
1769453757.0745506,SENT,c0b49cec-2a45-47a2-8643-b3ae3d52a7b7,f0bd9c9d-7202-4197-bf60-ac69571b9409,c2,c4,3387,?,p2,
1769453757.0747015,CREATED,e6103e96-208e-4332-be9b-df7a9904ea17,86e15995-12f6-4ec7-a6cc-017bfc869a66,c2,c4,27,?,?,surb={'id': 'b8cdda43-4a32-44b1-a335-c1edd253321d', 'route': ['p1', 'e11', 'i3', 'x12', 'p2', 'c2']}
1769453757.1228168,RECEIVED,411caa71-8ce5-475e-9a48-71403ce7eb54,397b7e1f-d305-468b-a994-e3edc9491bb9,c5,c2,27,p2,?,surb={'id': '94702d3a-8011-4f3a-97dc-08ea25962906', 'route': ['p2', 'e12', 'i9', 'x12', 'p2', 'c5']}
1769453757.3146827,RECEIVED,b0c94fdb-9c02-47e6-a7d7-490d8e8170f5,83d0fed2-7965-475e-ad1a-a2d9108ed6fe,c5,c2,27,p2,?,surb={'id': '6301da18-db58-43f0-ab88-57d4d1c710ef', 'route': ['p2', 'e10', 'i7', 'x6', 'p2', 'c5']}
