timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769453749.0925543,SENT,5bd315cb-10a1-4da8-b2e1-7f5deb2ddb6c,02e25c0b-dd58-47f3-bb18-82198f020487,c1,c2,3392,?,p1,
1769453749.092715,CREATED,1901e35b-7cc0-4582-8d96-2dc9401a7ee2,0224350b-3777-47c4-ba44-24b140549830,c1,c2,27,?,?,surb={'id': '373c2b9c-fa85-4bed-b1f8-c4baabdf967d', 'route': ['p2', 'e11', 'i10', 'x12', 'p1', 'c1']}
1769453751.3062398,CREATED,26be4b5e-c214-40e6-a48d-11465b13f9ba,be93dce0-8896-4956-a3c8-b6209ab0b2f4,c1,c2,27,?,?,surb={'id': '03b06ed3-eddd-4af5-8a2b-b7fbd406c16d', 'route': ['p2', 'e11', 'i7', 'x6', 'p1', 'c1']}
1769453751.415679,SENT,62b872b1-b600-412d-ab8f-eabe17a7f59d,98a51a00-14fe-44cf-8473-b3a70f8eb296,c1,c2,3401,?,p1,
1769453751.4158256,CREATED,f872ce52-355f-4e3d-87b1-e258c5c672ae,703a75c3-4247-421e-b972-3d545569e4b3,c1,c2,27,?,?,surb={'id': '353405ff-777f-42f8-bff2-287612bf5503', 'route': ['p2', 'e10', 'i12', 'x3', 'p1', 'c1']}
1769453751.478001,RECEIVED,0ba5d9c2-9207-4b68-9ec0-ef00979c044d,09b26f1a-b845-42d2-a8c6-8b9596fa4e7d,c4,c1,27,p1,?,surb={'id': '0f8f624d-1129-49bd-914b-3cfacd3a9eef', 'route': ['p1', 'e4', 'i11', 'x6', 'p1', 'c4']}
1769453752.2873166,SENT,f81025f0-4baf-4860-a061-b95861bd200f,f214f310-b2ea-4e64-9e37-6f29a564981e,c1,c2,3357,?,p1,
1769453752.2874627,CREATED,884cb5b5-2569-43fa-be5b-d6aeddcaeb03,d35a1d23-e86a-4dd2-b8d8-025e2db4d095,c1,c2,27,?,?,surb={'id': '53de4030-cb4d-40b3-8d76-d1bba16ed0bc', 'route': ['p2', 'e8', 'i9', 'x7', 'p1', 'c1']}
1769453752.4486544,SENT,f232ffb0-ed6a-47f7-97dc-c3aa07378c6d,b1df4e4f-ec01-4399-b51e-cf1740ef6a96,c1,c2,3379,?,p1,
1769453752.4494598,CREATED,2fb75eae-828c-4ac5-9e91-691bada78e17,2d59fded-7b7c-4e94-8c74-384b91937dd3,c1,c2,27,?,?,surb={'id': '6cfbdad0-f5d3-4a07-bf97-b42d9f8c33b3', 'route': ['p2', 'e8', 'i4', 'x7', 'p1', 'c1']}
1769453752.6109908,RECEIVED,02cda024-fa54-4ee4-b074-dec03f239101,dd19bb0a-1a64-4572-bd97-62e9362c49a7,c4,c1,27,p1,?,surb={'id': '341720d8-ec24-42b7-9d09-b9e18c8957cb', 'route': ['p1', 'e5', 'i7', 'x10', 'p1', 'c4']}
1769453753.0499485,SENT,a1e20607-9ff4-4e5f-b475-bf86752311eb,1eba83b7-a097-4259-83ed-97c7cffb5eb4,c1,DROP,2019,?,p1,
1769453753.0501897,CREATED,4d2e5033-7c24-4260-b11e-5c1b39759044,0c8346d0-4975-43e8-b9e8-935de83c784b,c1,DROP,26,?,?,
1769453753.1282966,RECEIVED,6f68e823-bbad-47be-9f43-640b56cfba23,da2bb97f-a598-473e-abe6-f4ceb07be6fb,c4,c1,27,p1,?,surb={'id': 'e69a356b-f4a1-441c-892d-6b83caf52e3a', 'route': ['p1', 'e6', 'i1', 'x3', 'p1', 'c4']}
1769453753.2419446,RECEIVED,f75ec288-e419-47da-bd01-6be2252c5643,3d2a073d-917d-46b4-bbc1-c17b6e8c9250,c4,c1,27,p1,?,surb={'id': '8cd0624b-34c1-448a-ab03-b8574d630785', 'route': ['p1', 'e8', 'i12', 'x1', 'p1', 'c4']}
1769453753.403407,RECEIVED,cd0ef377-017f-4d48-8887-4f9ff09d8285,7cc160bb-c5aa-48e0-8567-45a0ce5d00b9,c4,c1,26,p1,?,surb={'id': '9a3c8bcf-a951-44d6-a3cd-b2fdde66055a', 'route': ['p1', 'e8', 'i7', 'x2', 'p1', 'c4']}
1769453753.8288016,SENT,ef68a0ff-74fd-4a6b-b92e-a86d93ff7d99,91c1ed4e-82b3-4b56-af07-b116a576ee00,c1,c2,3391,?,p1,
1769453753.8289437,CREATED,d74ff955-577e-4c5d-8a3e-bc2ac2a61efa,9da37c33-7a29-4161-839c-934960375e58,c1,c2,27,?,?,surb={'id': '992d8859-f2fd-448f-88e2-f52f3ffbe144', 'route': ['p2', 'e7', 'i11', 'x12', 'p1', 'c1']}
1769453754.2439084,SENT,f3b6972b-8f68-411e-8ed6-1235c408da55,722b6fc4-79b9-4c07-8ec8-a86834f9a9f7,c1,c2,3387,?,p1,
1769453754.2440782,CREATED,3b429a60-ae69-44cd-b76a-d56115b89c53,a7970a25-605b-4242-94f1-969223c5ac7f,c1,c2,27,?,?,surb={'id': 'b4890373-c7aa-451b-b815-abbbc9b5c58a', 'route': ['p2', 'e3', 'i2', 'x10', 'p1', 'c1']}
1769453754.972671,RECEIVED,885bf8c6-4126-4cfe-aee0-279135f2c0cf,db1631d4-f3e4-4d8b-bd3d-1515bdfe17e0,c4,c1,27,p1,?,surb={'id': '3c69e27f-800a-4945-a6b2-a5fe396bb8d6', 'route': ['p1', 'e5', 'i6', 'x6', 'p1', 'c4']}
1769453755.3199198,RECEIVED,cde4235d-1742-4f33-9041-5ab3446bdf8f,ec0cb9fd-06aa-4a0b-add6-e515fda93bfa,c4,c1,26,p1,?,surb={'id': 'ad359a8f-6664-43bd-acc8-846c593c8e27', 'route': ['p1', 'e9', 'i10', 'x7', 'p1', 'c4']}
1769453755.4063356,RECEIVED,98133390-4b1d-4e2b-85ad-7b389f3726e2,135b0ff0-dad2-4ec2-b7e5-764422a7ca78,c4,c1,26,p1,?,surb={'id': '8fd62075-a78d-455d-8e4c-9c615f040d5c', 'route': ['p1', 'e7', 'i1', 'x1', 'p1', 'c4']}
1769453755.411801,RECEIVED,0449ab38-9d94-4ac2-9335-a4adeefd7efa,b733213a-fcab-467a-bb22-26966452e9b7,c4,c1,25,p1,?,surb={'id': '4bac92da-042e-46fa-bac3-42957038513f', 'route': ['p1', 'e3', 'i1', 'x11', 'p1', 'c4']}
1769453755.4175177,RECEIVED,f8d2d582-a51c-419c-832a-ff29d1c11db4,69a828c5-d303-4853-b959-1ec782278eb0,c4,c1,26,p1,?,surb={'id': '12b4ad8e-9653-4417-b5d3-c1befeb21cef', 'route': ['p1', 'e10', 'i7', 'x8', 'p1', 'c4']}
1769453755.6065905,SENT,aaec0d4f-2cb1-4a97-b9bf-c94ea985765e,72123d64-d255-4dd2-8df1-24ec5228507a,c1,c2,3383,?,p1,
1769453755.6067371,CREATED,1610382f-8958-4836-8df6-471fb3d4942f,c909bb39-e517-4674-8d27-cf79df08cf33,c1,c2,27,?,?,surb={'id': '0bf1814c-4604-4f3c-89f9-6a726377ba5f', 'route': ['p2', 'e7', 'i12', 'x4', 'p1', 'c1']}
1769453755.649912,SENT,a355ffee-417f-43a4-9199-5524732a9ebe,30fe64ba-9e66-4dd7-bf45-2f4d1e99d021,c1,c2,3372,?,p1,
1769453755.6500828,CREATED,dffc6e81-4a29-4cfb-9328-5364c5c2fadf,0e8b5bc6-687d-4102-a6bb-2144b9076c09,c1,c2,27,?,?,surb={'id': '86af29d1-71b9-44e3-b4b6-01c70cbdbe0e', 'route': ['p2', 'e4', 'i10', 'x6', 'p1', 'c1']}
1769453755.6806169,RECEIVED,0247867f-7898-4c66-8870-1b33685438f7,d8e45998-de45-4100-bd38-8161d77aa865,c4,c1,27,p1,?,surb={'id': '91febb1f-868f-482b-85fb-195b4a736870', 'route': ['p1', 'e5', 'i6', 'x2', 'p1', 'c4']}
1769453755.7858467,RECEIVED,6a15112e-bcdc-4288-9e9c-f33f0c0b0bfc,fc64332b-fae7-450e-aa7a-8db547f08516,c4,c1,27,p1,?,surb={'id': '19c1744a-ac90-4ceb-b7e6-6a2ab969e98e', 'route': ['p1', 'e5', 'i3', 'x11', 'p1', 'c4']}
1769453755.9457014,RECEIVED,aca7081a-796c-44a1-9e19-af99e48a145c,bb8a8c9d-9888-46bc-8230-365cef82764a,c4,c1,27,p1,?,surb={'id': '1484deef-2fcf-417e-b6ee-be52edee846b', 'route': ['p1', 'e8', 'i9', 'x11', 'p1', 'c4']}
1769453756.080848,SENT,adcb029f-c4b7-48de-84d9-496d5f1bf681,5f8441c3-6958-4a59-8243-8b7331a488bc,c1,c2,3375,?,p1,
1769453756.0809937,CREATED,09b0bab2-4ba7-48e1-998b-7681c47b8dd8,45d7bc83-efe9-4a76-979b-c9c6312ae437,c1,c2,26,?,?,surb={'id': 'c2dc64a8-959a-4657-894f-c85a731bf9d3', 'route': ['p2', 'e12', 'i5', 'x4', 'p1', 'c1']}
1769453756.600319,RECEIVED,e986ae9c-a578-431c-96b7-e43bfe7fc339,6adcfe82-adc5-495a-bf15-282f320c58b6,c4,c1,27,p1,?,surb={'id': '8538e37a-fe73-4a31-a682-8e5a929516dd', 'route': ['p1', 'e1', 'i5', 'x11', 'p1', 'c4']}
1769453756.9216375,RECEIVED,a8d37b9b-6607-43a3-ac1e-3668b71ae9a9,c8cf5f2a-5574-421d-a66d-7ad3ef46138b,c4,c1,27,p1,?,surb={'id': '4a769fdd-4527-41bc-9ea4-08dcc5da0f85', 'route': ['p1', 'e1', 'i6', 'x10', 'p1', 'c4']}
1769453756.9663684,RECEIVED,355c38b3-4d8c-4166-b8e6-2ffd39e4083d,f6162c39-ccfd-4460-89ba-089214f83160,c4,c1,27,p1,?,surb={'id': '73fe7bff-0b0e-4706-ad55-82085fe41c50', 'route': ['p1', 'e12', 'i2', 'x6', 'p1', 'c4']}
1769453757.010408,SENT,354ef220-9e30-4bbc-80ce-0d88b0cdde9c,d22d75b1-b386-4740-907a-2b91a430380e,c1,c2,3380,?,p1,
1769453757.010638,CREATED,db8856af-81f2-4d79-9aae-058476f9de9b,4daf8afa-9d0d-4403-804b-3fa0e56eeba3,c1,c2,27,?,?,surb={'id': 'bd712f86-379d-4eb9-a76c-529695b03bb9', 'route': ['p2', 'e7', 'i2', 'x5', 'p1', 'c1']}
1769453757.4019706,SENT,1e02bfe9-1901-44bb-b5e1-1ed64c1c7df3,0d5f0ca1-8f81-454a-8790-9f161abf95b1,c1,c2,3372,?,p1,
1769453757.4021428,CREATED,c99caffc-df75-42d5-8df3-b3efd15f52a8,c44f7406-173a-426b-a157-ed01c35ff56d,c1,c2,26,?,?,surb={'id': '74a2992e-c1af-43f6-9428-94a52df99e27', 'route': ['p2', 'e4', 'i6', 'x7', 'p1', 'c1']}
1769453758.0399842,SENT,10e209a3-8cac-4aa6-83b2-b9993df00fbc,cc317215-298d-4d87-939d-1a562ef758ad,c1,c2,3376,?,p1,
1769453758.040171,CREATED,579233f4-c8c0-4a0e-a0a6-c7b5b1fe953e,d673ad1e-27e1-44e2-b123-86eec7e8fe42,c1,c2,27,?,?,surb={'id': 'ede39b00-8b06-43db-aeba-33bf0dae645c', 'route': ['p2', 'e10', 'i7', 'x5', 'p1', 'c1']}
1769453759.211143,RECEIVED,7c4d479f-f982-4255-af57-d7c774bec1ca,d9b1e615-54f2-41b4-a91c-1a08ebb0d393,c4,c1,27,p1,?,surb={'id': '5755b24e-0b0e-4118-be9a-0a658b104920', 'route': ['p1', 'e4', 'i12', 'x7', 'p1', 'c4']}
1769453759.2941864,SENT,d7f5dc15-8bdf-480e-8c05-2774e0bbbdb1,37e9393a-ded9-4cbb-81a8-68d5291c55f8,c1,c2,3379,?,p1,
1769453759.2945406,CREATED,7bb1bb81-d079-4a80-bc8a-7c298fdf90ea,09fdf918-edce-4d8e-9a0d-e7d5fa1df93e,c1,c2,27,?,?,surb={'id': '228aa741-84c5-428a-83a0-1cb42ebc7deb', 'route': ['p2', 'e11', 'i3', 'x11', 'p1', 'c1']}
1769453759.3291047,SENT,9e9c6517-37a9-4c1b-bde8-2a657087ff15,c2a7fe80-bb1c-42ff-9833-5d1a82a939e5,c1,c2,3379,?,p1,
1769453759.3292642,CREATED,14296232-1e49-4993-8865-cc90870518dd,6b5dabf8-27ee-4d75-bc27-273289e72dcc,c1,c2,27,?,?,surb={'id': '0af11a66-9487-4e61-8bc6-ef741851e497', 'route': ['p2', 'e11', 'i4', 'x1', 'p1', 'c1']}
1769453759.670091,SENT,1b46fe79-7cf6-4518-844c-eeba22ad48a2,5de018a7-92c1-47e1-8261-199aa5d2590b,c1,c2,3375,?,p1,
1769453759.6702425,CREATED,e5b168fc-18a1-440e-9a12-92017b3bfbea,0cc12f5a-f072-4652-bc7e-9b35119e27f9,c1,c2,27,?,?,surb={'id': '7c150a3a-c5f3-4e71-8f50-657702dca32a', 'route': ['p2', 'e2', 'i5', 'x11', 'p1', 'c1']}
1769453759.891597,SENT,69280213-7d71-4041-a366-b80a40234e72,b4b746e1-9e76-4ffb-86dd-2c5f1cfabf30,c1,c2,3384,?,p1,
1769453759.891738,CREATED,8d08608c-3552-4927-b64e-1ede18c948d5,e5c2aef4-93ea-42f9-8a9b-0a9d06610a97,c1,c2,27,?,?,surb={'id': '0c9816f1-2953-4fda-b779-c4ed04b46e70', 'route': ['p2', 'e10', 'i9', 'x1', 'p1', 'c1']}
1769453760.086428,RECEIVED,4d26f57c-3598-4a5f-9055-887e32877607,0b027463-0ab8-4937-b7f8-9e4486d62641,c4,c1,27,p1,?,surb={'id': '7b61426b-6003-495c-a3da-9fd913c9c3d8', 'route': ['p1', 'e5', 'i7', 'x1', 'p1', 'c4']}
1769453760.2235527,RECEIVED,7f60316f-568b-4843-a525-1887dbfb77e8,90d14e70-5abb-471c-a15e-49f59590942f,c4,c1,27,p1,?,surb={'id': 'f217a123-1a7a-415e-ac3a-97ea7768b754', 'route': ['p1', 'e1', 'i2', 'x12', 'p1', 'c4']}
1769453760.2580235,RECEIVED,37e3722b-619d-42a4-a951-ca13a20e65cd,d7c5a3a5-a51c-4f7f-83c1-8ee55cbc533c,c4,c1,27,p1,?,surb={'id': 'ce891172-0240-4d3d-9c12-e2cfdd60429d', 'route': ['p1', 'e1', 'i10', 'x8', 'p1', 'c4']}
1769453760.3476155,RECEIVED,3ee7ca16-354d-4fc3-887b-e06135d492ba,7d29cef7-bd8c-430a-acba-6b66bc111344,c4,c1,26,p1,?,surb={'id': '93c25af1-39e4-4f11-9d6c-6eacb6b2c92e', 'route': ['p1', 'e8', 'i7', 'x12', 'p1', 'c4']}
1769453760.36171,RECEIVED,3b2c33e6-6712-4f21-af9a-6e43e8d5c1d9,d2ef7b79-3621-4c90-8117-a9a5f9d2fc85,c4,c1,27,p1,?,surb={'id': '95d3bdf7-0a8a-41ca-bce7-4f53042446de', 'route': ['p1', 'e7', 'i7', 'x11', 'p1', 'c4']}
1769453760.5686445,RECEIVED,31356c4c-20a6-4f11-815f-b44ceaacca86,6b6d23e7-09fb-4649-be9f-429a16dead95,c4,c1,27,p1,?,surb={'id': 'a9250858-6761-47f2-9660-3de44163a994', 'route': ['p1', 'e4', 'i8', 'x10', 'p1', 'c4']}
1769453761.0806046,SENT,49a6f914-4140-4678-bee3-2920b1d02800,aee4de31-3e11-430d-96e0-67a641daf5e3,c1,c2,3373,?,p1,
1769453761.080831,CREATED,ca2036cf-0758-46b3-9cbd-52638138d1aa,7dfeac88-66a7-4f03-bdd7-f9a86d9a9029,c1,c2,26,?,?,surb={'id': 'f1b0d694-9b3b-4e73-901c-257259f1a06b', 'route': ['p2', 'e6', 'i3', 'x12', 'p1', 'c1']}
1769453761.1022894,RECEIVED,e938eb2a-37e4-43f0-b5ef-87e295c3d8e3,7f9d995a-47d9-47e5-8138-3a454b89bd31,c4,c1,27,p1,?,surb={'id': 'e92a2b15-5d36-48da-8982-d6376f4fd83c', 'route': ['p1', 'e11', 'i7', 'x3', 'p1', 'c4']}
1769453761.1132889,SENT,d889d0bf-a2a7-42ce-9818-391ff904edd4,7109a350-a0f3-42bd-9c88-c2b9a5df497f,c1,c2,3391,?,p1,
1769453761.1134331,CREATED,66e7bbe8-4a5c-4117-9372-309d36830591,301b6550-8296-4f67-bb08-40245df498f5,c1,c2,27,?,?,surb={'id': 'e00b76a3-8ce6-4932-b302-c009aecc4d5d', 'route': ['p2', 'e5', 'i3', 'x12', 'p1', 'c1']}
1769453761.1221173,SENT,0fca9494-d709-4f26-90b2-14a8a70b912d,100cebe4-9790-48ef-ae5a-bb9643390daa,c1,c2,3392,?,p1,
1769453761.1222653,CREATED,7f39a262-d38d-40b0-873e-f4822640aeb2,ca27b5d1-eb47-4d89-8611-9223f7ba996a,c1,c2,27,?,?,surb={'id': '2bbe10e8-9add-43cb-9e77-f6859b025442', 'route': ['p2', 'e3', 'i9', 'x11', 'p1', 'c1']}
1769453761.5863364,RECEIVED,31b30d4e-a3e3-49e1-9e0d-f72ea8026cb4,aeb4b967-944e-4e47-af2a-08fd895d3bac,c4,c1,27,p1,?,surb={'id': '5f0f867c-b419-47b1-960d-93ec063c548c', 'route': ['p1', 'e9', 'i11', 'x7', 'p1', 'c4']}
1769453761.6349792,SENT,c865ba08-c53e-4a2e-b8a7-64ce49ca9f52,52c8eee4-e632-46a6-92d1-1521546f8021,c1,c2,3359,?,p1,
1769453761.635155,CREATED,bb65367a-9b20-4e9d-9e71-2c438ce577a4,797170d9-6ac1-43b1-bc0c-c310a25d968b,c1,c2,27,?,?,surb={'id': 'eb33a55c-8148-4438-bf8d-e67ed19ec272', 'route': ['p2', 'e1', 'i9', 'x12', 'p1', 'c1']}
1769453761.7057934,RECEIVED,872bc3b8-ab8a-46ca-a1f9-b0784bb9d15b,5b42f5bd-d3ee-4b7c-9456-6ecaead1621f,c4,c1,27,p1,?,surb={'id': 'baec8684-3406-45fa-bbb2-5c958db56c0e', 'route': ['p1', 'e8', 'i2', 'x7', 'p1', 'c4']}
1769453761.8069577,RECEIVED,495498d7-010d-4119-ad37-fe221f75bb49,bc2bb7a6-e476-43f4-acf3-2af7774765b3,c4,c1,27,p1,?,surb={'id': '919ef0fd-d822-46d6-94f0-0d3a9b56ea44', 'route': ['p1', 'e6', 'i10', 'x10', 'p1', 'c4']}
1769453762.1742172,RECEIVED,f6599a15-eb7e-4db9-a52a-d5d1e5655bc1,7e3de37d-9a3c-448c-928b-b04c3a58d0dd,c4,c1,27,p1,?,surb={'id': 'e9656aa6-7814-4357-b56c-00d5a8a8969d', 'route': ['p1', 'e7', 'i1', 'x1', 'p1', 'c4']}
1769453762.272737,SENT,832df4c5-0d02-4a56-8a3e-437f0c1e364f,ce827cb6-72cc-496e-9b78-188f102434d1,c1,c2,3371,?,p1,
1769453762.2729504,CREATED,b20def78-b8a9-4270-9b01-3b68a112cc51,969ef986-cd80-4a9f-b604-614219a4dda5,c1,c2,26,?,?,surb={'id': '13ac7da0-e209-40c3-a56e-a4292d017dea', 'route': ['p2', 'e3', 'i9', 'x11', 'p1', 'c1']}
1769453762.412079,SENT,b50e1dce-5eca-483a-9802-98aab1a821f8,8f50e120-944d-4316-bf69-10a551bbae50,c1,c2,3384,?,p1,
1769453762.4122777,CREATED,ecdc84e3-2a1a-4d36-aab6-0ccff7c43a83,5a4f8391-650d-470f-9c7b-5f811df7f8e9,c1,c2,27,?,?,surb={'id': '6ea395dd-2f80-41ba-91f7-239e50188ad9', 'route': ['p2', 'e2', 'i9', 'x12', 'p1', 'c1']}
1769453762.4865463,RECEIVED,1aebb9c3-c2d4-4c08-865b-892960f6fe02,f7255ec1-8e5f-4e26-a6ae-e62d63b8b1af,c4,c1,26,p1,?,surb={'id': '13f30168-b7db-4b20-a33b-d6bc2f06edb7', 'route': ['p1', 'e10', 'i2', 'x11', 'p1', 'c4']}
1769453762.6228142,RECEIVED,4ad592f6-1a41-4eeb-a12b-855bfe166308,2d0598e0-2ce6-46ca-959b-b96c7b548eb2,c4,c1,27,p1,?,surb={'id': 'c4e9bdc5-dfa1-43e6-842f-37c8ebea146c', 'route': ['p1', 'e12', 'i3', 'x5', 'p1', 'c4']}
1769453762.6232896,SENT,92beba8f-17fa-496f-bee0-31f3243d967a,86bec974-79f5-495e-82da-91a8b3e5bab4,c1,c2,3363,?,p1,
1769453762.6236005,CREATED,4f187cad-95a2-4cac-b746-deb737e74b3d,1cd8ec6b-feb3-4990-9c07-716bb24edec6,c1,c2,26,?,?,surb={'id': 'e784aeca-6ec1-469a-a003-82bea3c94ca9', 'route': ['p2', 'e10', 'i4', 'x2', 'p1', 'c1']}
1769453762.7329283,RECEIVED,74fa24ec-7f64-4fc4-a686-e67a1a224ba5,81a6f617-9688-46ad-bf68-98811bb7c599,c4,c1,27,p1,?,surb={'id': '7c9b8a76-08ea-403b-bbfe-3c4407c6f8d1', 'route': ['p1', 'e10', 'i5', 'x10', 'p1', 'c4']}
1769453763.4342494,RECEIVED,f82da120-fb17-4c2f-bd18-db5cfe7017bc,0fcd96d5-a563-4c90-84cf-98cc4ed9eb91,c4,c1,26,p1,?,surb={'id': '9b606b87-bcc5-47fa-a8f0-cbbd236635b7', 'route': ['p1', 'e4', 'i1', 'x2', 'p1', 'c4']}
1769453763.4652054,RECEIVED,f50e8ec3-7f93-4f88-b8a9-d02b46b613cc,807cfc9c-f1e7-41e1-8261-f3870fba2065,c4,c1,26,p1,?,surb={'id': '3c9a9549-7fe7-419a-b1e2-452930c80a11', 'route': ['p1', 'e7', 'i11', 'x10', 'p1', 'c4']}
1769453763.6779816,RECEIVED,b1422806-3662-4f1b-ac78-982e02714b9d,1c5d4d3f-27c8-4cd8-bbe6-7662b3777f51,c4,c1,27,p1,?,surb={'id': '0e8b25b0-3f9d-49e9-9608-e7f29af515bc', 'route': ['p1', 'e2', 'i12', 'x2', 'p1', 'c4']}
1769453763.7686584,SENT,d9e997f1-2db9-40c0-81af-42c12bc7c783,1e1e5b30-cf8b-462c-a9ef-d63b53b1630e,c1,c2,3396,?,p1,
1769453763.7687876,CREATED,7a6f5f6e-9100-4e27-b1fa-08ad046ecae3,5d788c63-7c80-4368-b7d1-297df6a32292,c1,c2,27,?,?,surb={'id': '90206903-9ff0-4017-b613-ff41910f4f54', 'route': ['p2', 'e8', 'i2', 'x10', 'p1', 'c1']}
1769453763.976828,SENT,408d3907-e50d-4adc-9c4c-8299f03d2093,1c1ba813-b6fb-4e43-bb6c-103cd00ed4c4,c1,c2,3383,?,p1,
1769453763.9769635,CREATED,d4e1ee5b-0c3e-4563-8c28-155675948052,2b4601b0-36a4-4c07-97e7-47d45081a85b,c1,c2,26,?,?,surb={'id': '0d6fd942-db89-4eff-af84-bb1454a8d17f', 'route': ['p2', 'e11', 'i2', 'x1', 'p1', 'c1']}
1769453764.0105321,RECEIVED,5fed9b48-db84-46f2-87fd-b035c92c7c3c,01cf896c-7c16-4c9d-b99d-c59df870d315,c4,c1,27,p1,?,surb={'id': '6924937e-155c-4ff3-bd1e-f902d43dbde7', 'route': ['p1', 'e4', 'i9', 'x8', 'p1', 'c4']}
1769453764.249496,SENT,c839c1aa-c679-4ac1-9782-f8efc1d12696,ac4611f9-9930-4e39-85f0-4ee595a8bc34,c1,c2,3385,?,p1,
