timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769394427.679552,RECEIVED,65ba7afd-da66-43f2-97bd-f4e2086c2ee3,04a991dc-c25d-47f9-a842-90582eb579da,c5,c4,27,p1,?,surb={'id': 'b9456706-c21c-4e75-aab8-730426fcb07b', 'route': ['p1', 'e11', 'i11', 'x10', 'p2', 'c5']}
1769394428.0324528,RECEIVED,f3fc3d13-3077-48c1-a78b-169619724489,59691088-89da-4518-8002-695545cd867c,c5,c4,27,p1,?,surb={'id': 'd4924f3c-02ac-4b35-bee9-602dd8fca257', 'route': ['p1', 'e2', 'i8', 'x2', 'p2', 'c5']}
1769394428.0848968,SENT,4f8a07b7-81c8-49f0-a3d6-c7945f1fbaeb,32e25765-d8bc-406c-90fa-9af31b609d27,c4,c2,3389,?,p1,
1769394428.0852082,CREATED,74ae460d-827e-42f6-b0c0-04126429a088,11d631b8-32c2-4fc3-8463-2f5aabfb98dd,c4,c2,27,?,?,surb={'id': '830e7fdf-5ee9-4fa1-bfa6-c2691b4bfa4d', 'route': ['p2', 'e4', 'i12', 'x12', 'p1', 'c4']}
1769394428.1264348,RECEIVED,d2a8d196-d73c-4b6b-a9ff-ad100f7dfedf,f8b04f79-a39d-404e-9d4c-106ecedf18d3,c5,c4,27,p1,?,surb={'id': '5fed2823-d548-43b0-bd5a-d86bf0bf0204', 'route': ['p1', 'e11', 'i7', 'x9', 'p2', 'c5']}
1769394428.2052975,RECEIVED,b368f798-7cc9-4aad-8c86-ef6a33fc7d8a,58ad59fe-7214-44e9-b4f1-340ee1673534,c5,c4,26,p1,?,surb={'id': '53e55976-b41f-43fd-a5e1-3d076128e393', 'route': ['p1', 'e11', 'i4', 'x4', 'p2', 'c5']}
1769394428.2639492,RECEIVED,92ec3429-498f-47ff-a052-17d4fd059e43,20a630cd-7459-4a68-9960-9d25089bb18f,c5,c4,27,p1,?,surb={'id': 'ff7f6182-05c4-46d5-9054-ec013f7c2b68', 'route': ['p1', 'e10', 'i10', 'x11', 'p2', 'c5']}
1769394428.2708328,SENT,9a6054d9-5f6a-4a48-8129-80470adffb6d,c291fd89-0456-40af-956d-7292dcf08f7a,c4,c2,3385,?,p1,
1769394428.2709358,CREATED,59bf7cff-f0bd-48ec-aa66-e0290513a0a2,ce5d313a-78cf-41cd-bb6c-45e87171a8c4,c4,c2,27,?,?,surb={'id': '67e86215-58aa-479a-9a4e-a5f4ed414af1', 'route': ['p2', 'e10', 'i11', 'x3', 'p1', 'c4']}
1769394428.3362556,RECEIVED,15406782-0c81-4823-8f28-5638444b5527,cabd2411-4e06-4506-94c3-1a92d4772988,c5,c4,26,p1,?,surb={'id': 'c03b0101-e277-4949-952a-4fdcd3b9064a', 'route': ['p1', 'e9', 'i3', 'x1', 'p2', 'c5']}
