timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769495079.7733986,SENT,3e200fe0-837a-4eb2-a02d-4c7da16178d0,4a636477-bd28-46cd-b4d9-7733c780af4d,c2,c3,3380,?,p2,
1769495079.7735593,CREATED,ab76ff46-7edc-4bbf-9f8f-f1d2ae9353bc,a2c408b6-40f7-47e5-85a8-99cf0476f36c,c2,c3,26,?,?,surb={'id': 'e3ca24b9-e850-4762-a465-a3c39ac5c6bd', 'route': ['p3', 'e7', 'i9', 'x5', 'p2', 'c2']}
1769495082.7485955,CREATED,aa3a8b6e-05ab-4ad8-b870-3900a560e7c5,4366acdd-616b-4fb4-9dc2-a3452fea772e,c2,c3,27,?,?,surb={'id': '1d5b1eda-955f-4e93-a7d6-4abb8dfb67b4', 'route': ['p3', 'e10', 'i8', 'x3', 'p2', 'c2']}
1769495083.0128648,SENT,06ed1ce2-6293-4ba1-ae7b-c74622519335,4ccb1bbf-45e4-4997-b992-1fe0715d4481,c2,c3,3379,?,p2,
1769495083.012996,CREATED,53c6d76c-5e51-437e-bccf-26e430e92689,a706db3a-9e1f-467d-b481-62c55116fd26,c2,c3,26,?,?,surb={'id': '268ccb58-345b-44c5-9198-7cbd72d7bd7b', 'route': ['p3', 'e10', 'i3', 'x10', 'p2', 'c2']}
1769495083.3180737,RECEIVED,5823f96b-4126-44c3-a113-210379274cfa,e1b28f73-b9ba-4ba0-99a3-6ae22650ebf7,c5,c2,27,p2,?,surb={'id': '2ea5aafa-7114-4706-b7ea-20cfebc517bf', 'route': ['p2', 'e7', 'i7', 'x2', 'p2', 'c5']}
1769495083.927044,SENT,fdbf3865-cedf-45ad-959a-8a3979b06652,c1a1c755-d2bf-4f64-b789-12e193faf5f9,c2,c3,3391,?,p2,
1769495083.9283044,CREATED,17c0ebfe-2232-4739-a2df-1e92955c2b33,72a17d70-66da-4474-8c0e-23356b50db86,c2,c3,27,?,?,surb={'id': '33498554-84a0-4ae2-8751-4512fe2745c1', 'route': ['p3', 'e8', 'i10', 'x12', 'p2', 'c2']}
1769495084.0536203,SENT,bfe487ef-0ace-46f8-b8f2-d9c31dfbb69b,f9d7d752-1d9c-4fa7-99ea-78b52108017b,c2,c3,3380,?,p2,
1769495084.0537653,CREATED,d173f1e7-66dd-462a-82b7-3c1904375ced,eba0c33e-5560-40a5-aaff-bdd351cd1862,c2,c3,27,?,?,surb={'id': 'b1714b3f-4ffa-4283-adef-7e76825636a6', 'route': ['p3', 'e6', 'i5', 'x11', 'p2', 'c2']}
1769495084.3429608,SENT,1a955ab0-4020-460c-ae5b-9fcd2a382c4e,dc1ce456-d87e-4a18-91b9-45edf6c043d8,c2,c3,3388,?,p2,
1769495084.3431184,CREATED,a9d68974-2ba0-4d78-8517-c2eb722844c7,ec253f2f-7815-419f-89ef-03e20883b0a8,c2,c3,26,?,?,surb={'id': '84630814-16cf-4f78-9618-6d3f5fe18e92', 'route': ['p3', 'e1', 'i3', 'x11', 'p2', 'c2']}
1769495084.7143848,RECEIVED,4ba38165-af96-44b0-9309-4dc189cd12db,cb236387-a12b-414b-a024-1d7010968865,c5,c2,27,p2,?,surb={'id': '3f4571ff-f1fc-4702-8394-4527d796c331', 'route': ['p2', 'e9', 'i3', 'x12', 'p2', 'c5']}
1769495084.7647417,SENT,32b43812-4bc5-4063-8f1b-5a1aa3876a01,28e71d55-9972-486b-afdf-065ddf981aed,c2,c3,3351,?,p2,
1769495084.7649136,CREATED,0b50fb0a-96cb-4412-8562-60d318ee6eca,8aec463c-9cd6-4bea-89de-336882b9c9ee,c2,c3,26,?,?,surb={'id': 'd16babc4-6e66-457e-b1e2-83089ac429f2', 'route': ['p3', 'e5', 'i4', 'x7', 'p2', 'c2']}
1769495085.0262525,RECEIVED,9c2ad1a6-aaa8-407d-9763-6336fdb336c2,94113e0d-c81b-407b-a462-bd7f4053204f,c5,c2,26,p2,?,surb={'id': '46fa11b5-c7ac-4f12-9c84-26f7bb0024a6', 'route': ['p2', 'e6', 'i6', 'x12', 'p2', 'c5']}
1769495085.4578965,SENT,6332156e-95c0-4c5c-9e7a-539264caa233,b173ea9c-9248-4762-9db8-a7d1f037548a,c2,c3,3381,?,p2,
1769495085.4581826,CREATED,5de45e90-a25f-4de4-866b-99bb87f09644,b9f8b811-7c67-4ac1-9f02-557d0047b625,c2,c3,27,?,?,surb={'id': '52e75451-a987-468c-adc1-f6576827b80b', 'route': ['p3', 'e1', 'i1', 'x5', 'p2', 'c2']}
1769495085.5687141,SENT,7230265e-ca63-4205-a3ac-10afb8a5e997,b97a3d05-0e48-4e50-a41c-282ab488b37d,c2,c3,3375,?,p2,
1769495085.5688648,CREATED,10df439b-66f8-4e05-b1eb-a2104714fe60,785cd3c3-3c79-4005-9c91-0d3fc2580687,c2,c3,27,?,?,surb={'id': '412da06d-f2b3-46df-ba7e-e602fbff8671', 'route': ['p3', 'e9', 'i5', 'x7', 'p2', 'c2']}
1769495085.753954,SENT,8043744b-3711-477c-b0d8-3140761f4d0c,72b7481e-57c8-4e50-ab32-aea361653767,c2,c3,3388,?,p2,
1769495085.7541332,CREATED,4c8efe2c-78bc-48d2-b787-4358ac5608fc,d92891fd-8874-4ec9-b0f3-b72bbc31d66b,c2,c3,27,?,?,surb={'id': '19ef97a7-96e2-4b77-9fd2-9c5f3659d228', 'route': ['p3', 'e9', 'i8', 'x5', 'p2', 'c2']}
1769495085.887773,SENT,1b7d4190-d1f2-4713-a59e-08bac23515ab,a94b5a60-e74b-4aec-9bef-e8bb53a99fb6,c2,c3,3375,?,p2,
1769495085.8879483,CREATED,0a3e7235-7491-44a4-b6ce-34481225e397,67dbfcdc-fed4-46b9-8b6b-199df47dd455,c2,c3,27,?,?,surb={'id': '4c723f1b-d1d2-41f0-954c-4e681fcecb0a', 'route': ['p3', 'e3', 'i10', 'x8', 'p2', 'c2']}
1769495085.9432654,RECEIVED,46827bb2-ad6f-4e94-bd07-0d5947bfd3b7,01f55420-e410-41a0-be24-dc7f0dc5f7b3,c5,c2,27,p2,?,surb={'id': '3245da15-9657-451e-9367-6a5f06633c74', 'route': ['p2', 'e6', 'i12', 'x11', 'p2', 'c5']}
1769495086.076243,SENT,5e22b0f0-cacc-4345-9221-47aa96f7384e,3d891dc0-7075-4140-9e35-caf7f1f81ea0,c2,c3,3383,?,p2,
1769495086.076397,CREATED,3213af56-fbf4-4199-87f0-816312e11f92,03426822-021a-40f8-91c6-292bbb4b78e7,c2,c3,26,?,?,surb={'id': '44c59110-2d1b-4314-9f9c-d14e7e1ecd6d', 'route': ['p3', 'e10', 'i3', 'x3', 'p2', 'c2']}
1769495086.1461725,RECEIVED,46ff3d11-5d5a-4ad2-8feb-01eafe34c342,99f43069-73ec-4af9-b56d-a615245726d7,c5,c2,27,p2,?,surb={'id': '9b7c6cae-5374-4de5-a8fa-7b79db7072b5', 'route': ['p2', 'e4', 'i3', 'x12', 'p2', 'c5']}
1769495086.2850888,SENT,038915d2-d4db-4796-998b-7c7407597bad,870f488a-217e-4a4a-b173-db70bcfd2f1b,c2,c3,3382,?,p2,
1769495086.285236,CREATED,b90ee30d-3449-44aa-b44b-2b63a7d0d418,7c1ade70-70ac-4dd0-8206-abd010d02489,c2,c3,26,?,?,surb={'id': 'd9db5e48-699f-428f-8ba0-440c55f8b29a', 'route': ['p3', 'e4', 'i5', 'x7', 'p2', 'c2']}
1769495086.4687848,RECEIVED,85fcbc44-1f6f-4f29-a360-efee830fc9cb,8e17dfa2-2a5f-4165-ba2e-dc5a202dd1ac,c5,c2,26,p2,?,surb={'id': '3dae669c-91c1-4cd2-921d-e43d4e6115e0', 'route': ['p2', 'e5', 'i12', 'x8', 'p2', 'c5']}
1769495086.7272644,RECEIVED,c901e6e0-15b1-49a6-a4f1-626519bd1f77,8c863232-ae3c-42f0-889a-1c50e79223d0,c5,c2,26,p2,?,surb={'id': '170aaf29-b96e-46bc-919e-d7d79d4c7005', 'route': ['p2', 'e2', 'i2', 'x2', 'p2', 'c5']}
1769495086.9461794,SENT,1794cad2-b9bc-4803-9d69-5235ae76ee27,b7a0405e-2320-46ee-94c8-47edfd83f134,c2,c3,3369,?,p2,
1769495086.9463265,CREATED,cf464101-eb0f-4ef4-8f9e-2759007d9805,6d13044d-7cfb-43fd-8729-42dfd3c68fe5,c2,c3,26,?,?,surb={'id': 'd02211c5-60bf-49bd-a254-fb6e284cca93', 'route': ['p3', 'e12', 'i9', 'x9', 'p2', 'c2']}
1769495087.2025628,RECEIVED,5fcf17da-62dc-444b-99a8-75014195da80,b112d181-dd24-4d63-a620-cb9f208fba63,c5,c2,27,p2,?,surb={'id': '8b149a52-8fb2-4d7e-bbcf-4cdcf98d1d7e', 'route': ['p2', 'e7', 'i1', 'x12', 'p2', 'c5']}
1769495087.4108257,RECEIVED,263922cf-c895-4d1b-85ce-9d2f0978620e,5103f6df-5479-4c3f-a0b7-cffd44aacfb7,c5,c2,27,p2,?,surb={'id': 'cd9f7ed8-286c-43c8-be50-000271221f2c', 'route': ['p2', 'e9', 'i5', 'x10', 'p2', 'c5']}
1769495087.8174138,RECEIVED,75f4ef35-c6be-45dc-be00-76f7f5957bdd,42c705eb-3e06-435c-b6c5-1a7e5082434b,c5,c2,27,p2,?,surb={'id': '2168b4c0-353d-46c0-ba53-02799403e574', 'route': ['p2', 'e7', 'i7', 'x1', 'p2', 'c5']}
1769495087.9235427,SENT,c4e40014-453b-43b3-9bda-1cc006d76e93,3a28a002-f105-4741-a45d-1092f1801146,c2,c3,3388,?,p2,
1769495087.923692,CREATED,bc632705-7396-4ab9-8b80-4c9c47443f87,ba02e6d5-91d5-4893-8f0e-70133ca6b1f1,c2,c3,27,?,?,surb={'id': '7d992276-cc1c-4e04-b963-066cbd32c46e', 'route': ['p3', 'e2', 'i10', 'x8', 'p2', 'c2']}
1769495088.045423,SENT,8e1566a7-89b0-48b8-a11b-7939200f35ec,73f51669-3c78-469f-9425-317c0a558b7c,c2,c3,3372,?,p2,
1769495088.0455723,CREATED,f47a6557-11fd-4d66-b7de-29531577a027,30367bb5-6c19-4f22-a04a-0e471f715580,c2,c3,25,?,?,surb={'id': '2df44554-834b-4e53-9447-3021265c82cd', 'route': ['p3', 'e3', 'i11', 'x7', 'p2', 'c2']}
1769495088.0868416,RECEIVED,2ade3118-5336-45e2-a1df-6f9d17392be7,fdc541d1-1742-4091-87bf-1d496dfbcf44,c5,c2,27,p2,?,surb={'id': '7325e6b3-43f7-48d3-ba7e-25f4ea28e44c', 'route': ['p2', 'e1', 'i6', 'x11', 'p2', 'c5']}
1769495088.237148,SENT,746cc02a-c6e1-4e84-ba00-97dec1a96363,9873c75d-ad49-4751-877d-e28030b7a36d,c2,c3,3363,?,p2,
1769495088.2372959,CREATED,7af74cda-ab7d-49fa-9fd2-3dcde9e639f0,d9affef2-fada-4702-91f7-87ba851710fc,c2,c3,27,?,?,surb={'id': '0741d65d-c572-4b51-a58f-a90b033f5333', 'route': ['p3', 'e3', 'i9', 'x5', 'p2', 'c2']}
1769495088.2450345,SENT,dba6c139-8531-4d35-9305-94de32f798eb,b8daf5e8-bb50-4361-a975-0b203a8ca4fe,c2,c3,3383,?,p2,
1769495088.245198,CREATED,caf4fe0c-8a24-4a8d-8c47-1e1494a15391,6f30e3e3-a560-4e5d-a911-9afafb727993,c2,c3,27,?,?,surb={'id': '254b1c51-8a11-49c4-bf2b-24a7de8cd03a', 'route': ['p3', 'e1', 'i1', 'x3', 'p2', 'c2']}
1769495088.4388077,RECEIVED,3dcfc960-f83a-4631-91c4-c477da2bbf39,ea4fb946-5cf7-440a-bcf0-5afdd499a912,c5,c2,27,p2,?,surb={'id': '7043e730-2434-446f-b0d0-2256e8709b9a', 'route': ['p2', 'e10', 'i7', 'x10', 'p2', 'c5']}
1769495088.7846515,RECEIVED,ff28cb33-212e-47de-b14c-6d9622052d86,e78478bf-1886-4ea3-b0d7-1dda819e8b13,c5,c2,27,p2,?,surb={'id': 'ce4513bc-ea9c-4732-98fe-eb406b482fdc', 'route': ['p2', 'e3', 'i11', 'x10', 'p2', 'c5']}
1769495088.7957788,RECEIVED,fff33bf6-e81a-4a67-aa31-9f4c1857f746,9d268447-36f7-4361-82f8-b7703f39bce5,c5,c2,27,p2,?,surb={'id': 'c68bb1dc-f410-4e6c-b665-f58f9441a19b', 'route': ['p2', 'e5', 'i1', 'x12', 'p2', 'c5']}
1769495088.9345539,RECEIVED,6ec949cb-f2c0-4c1f-a914-01890e0b00e7,688fff83-f40e-4e34-86e2-5e9c777c1e72,c5,c2,26,p2,?,surb={'id': 'b156a53f-4798-4d83-8969-2c70a4ac8c8b', 'route': ['p2', 'e12', 'i7', 'x6', 'p2', 'c5']}
1769495089.0484798,RECEIVED,3df4ba5e-4f88-4092-bf11-901ff68abc9f,2416d720-6520-425b-bd8e-314625100e3c,c5,c2,27,p2,?,surb={'id': '4b39e84e-60fb-4a94-9a34-5c31663f565e', 'route': ['p2', 'e2', 'i2', 'x12', 'p2', 'c5']}
1769495089.0592132,SENT,9b51b3fe-7b33-4c7d-9646-ffb3db564edc,40c00b59-369c-4b8b-a988-582f05329d6d,c2,c3,3379,?,p2,
1769495089.059363,CREATED,d3f0f05a-1f7c-4376-bb1f-59e00b3c2da2,d4fb1366-0633-49f6-b96a-9cc4743582f4,c2,c3,27,?,?,surb={'id': 'aaed8bc8-7524-4984-90cb-c211ad59ec22', 'route': ['p3', 'e7', 'i1', 'x4', 'p2', 'c2']}
1769495089.1793244,RECEIVED,9a6ff347-5098-40a0-be79-b50651edf3e8,dab2293b-5f1d-4d25-985a-4532ecc3ff2a,c5,c2,27,p2,?,surb={'id': '7e63072c-6f99-4628-9285-1c854f0a3be4', 'route': ['p2', 'e10', 'i3', 'x2', 'p2', 'c5']}
1769495089.289287,RECEIVED,fd21683b-7ace-4fa1-be8e-52b5807b059e,b4d2c043-57bb-4012-9010-f0037c1edf04,c5,c2,27,p2,?,surb={'id': '62a09108-3851-4f6a-b266-6b82e3177e42', 'route': ['p2', 'e5', 'i9', 'x8', 'p2', 'c5']}
1769495089.776996,SENT,20f14d15-2494-4700-a652-2a6b159d7cf2,cc2841f4-7230-458c-ad38-61e8d246628a,c2,c3,3367,?,p2,
1769495089.777188,CREATED,13587aa6-4f03-49e1-a455-60598b416e4f,d8f2d865-8edc-4711-b540-4a130801811b,c2,c3,27,?,?,surb={'id': '1d39e537-22cf-4169-8ae8-a02d63db3765', 'route': ['p3', 'e8', 'i9', 'x1', 'p2', 'c2']}
1769495089.7926712,SENT,ed9996eb-0761-4336-b81b-4865f37256f2,31badc11-a710-493b-99f4-aee1869f6426,c2,c3,3380,?,p2,
1769495089.792819,CREATED,47e022a6-5ab9-4e26-8849-a83c2f84273b,0cd73873-b8e0-4dec-ba2b-3e7638bf4df2,c2,c3,27,?,?,surb={'id': 'd1291608-51b5-456c-94f3-6e481520e9b2', 'route': ['p3', 'e8', 'i10', 'x2', 'p2', 'c2']}
1769495090.1585739,RECEIVED,33d8bd8a-16b1-42ca-8758-18dd9b9e4913,403d30c3-23af-434e-b729-3a1b19b16dad,c5,c2,27,p2,?,surb={'id': 'c146cfcb-f289-40a2-912a-518cdaa5ecef', 'route': ['p2', 'e10', 'i4', 'x9', 'p2', 'c5']}
1769495090.329758,SENT,b8a639e7-2157-470e-b17b-3ed68d19625c,f00161e8-80b5-4d79-a0ac-38fb804ebd19,c2,c3,3377,?,p2,
1769495090.3300037,CREATED,4b003aa0-7062-47a2-949c-29a03feef2eb,14d106cd-7502-4035-a505-7c56020b2de6,c2,c3,27,?,?,surb={'id': '544a9a9c-ae71-46a6-866e-0d853de21a7f', 'route': ['p3', 'e4', 'i9', 'x6', 'p2', 'c2']}
1769495090.5272727,SENT,adfbbb7c-6530-459a-aa20-6bcb404e0d70,4c2b54a3-f86e-4f41-ae18-6dec79974188,c2,c3,3385,?,p2,
1769495090.5274231,CREATED,68c4674c-9367-478f-8fb6-0a43d7b505cb,51b2e713-476f-4506-9c29-131af1b9d42e,c2,c3,26,?,?,surb={'id': 'fe46cecd-a842-4b65-bfce-cbaa82519262', 'route': ['p3', 'e3', 'i9', 'x11', 'p2', 'c2']}
1769495090.576664,RECEIVED,abe8b564-a435-472c-884d-949f42f35ca5,f99f951f-7518-4189-beff-78c75f63ff88,c5,c2,27,p2,?,surb={'id': 'b2406a23-1fa0-466c-b04b-ba50f5b599f6', 'route': ['p2', 'e7', 'i8', 'x12', 'p2', 'c5']}
1769495090.6689095,SENT,6920cb68-5fb5-4dca-935e-3ad633de7426,70b4fbc9-94ac-43dd-9121-bab462e16c92,c2,c3,3364,?,p2,
1769495090.6691427,CREATED,47fc7f9d-a293-4375-9461-b52eb0f42a24,2a7a2112-a9f6-4358-86ab-af26a644b472,c2,c3,25,?,?,surb={'id': '15c03483-bd74-44a1-9f77-811d066dc3d6', 'route': ['p3', 'e1', 'i10', 'x3', 'p2', 'c2']}
1769495090.8179975,RECEIVED,08b5cedf-8f06-4f45-a965-e2792f5dc54d,1bcd451f-e554-4dc1-92b8-01db4220a8aa,c5,c2,27,p2,?,surb={'id': '359526aa-76bc-426d-a3ce-3ec3dd6ca247', 'route': ['p2', 'e9', 'i7', 'x12', 'p2', 'c5']}
1769495090.9092212,SENT,f117a357-5893-4ca9-b566-c076c5327d34,749b6cba-b6f3-44ba-807a-0bc3e46a7112,c2,c3,3371,?,p2,
1769495090.9093192,CREATED,aaa03219-940d-4a5f-9af6-59e74ac1b532,78e388c3-f983-423d-807f-c657a18f693f,c2,c3,27,?,?,surb={'id': '02685794-3892-4815-ad07-f84d480251f6', 'route': ['p3', 'e4', 'i4', 'x1', 'p2', 'c2']}
1769495091.0321705,SENT,385aaef2-46d4-4be2-af21-164d34e99fe9,4389210f-fc98-4d44-b9f6-ef4f4c4731ef,c2,c3,3375,?,p2,
1769495091.0323188,CREATED,f0cfc5e2-81bd-4b3e-9569-7d3621942ca8,facd6ecf-7c93-4899-9121-c750fc4f75ba,c2,c3,27,?,?,surb={'id': 'f575bcab-5958-437d-90f6-2bda6697b607', 'route': ['p3', 'e11', 'i8', 'x10', 'p2', 'c2']}
1769495091.0635128,RECEIVED,e559e83b-b90b-42dd-b3cf-5d847a565018,d5866b2a-734b-4f03-b6a9-a46a566f6532,c5,c2,27,p2,?,surb={'id': 'dd05b8c9-732b-4666-9428-0e5507a736ed', 'route': ['p2', 'e5', 'i3', 'x10', 'p2', 'c5']}
1769495091.1089878,RECEIVED,1a911cdc-6cee-478f-afc4-cd7d13ac91ce,7206c623-f55a-40d9-a1c5-2d2afee4f067,c5,c2,27,p2,?,surb={'id': '8e1e305b-2ce4-4ec3-98db-652d33051058', 'route': ['p2', 'e12', 'i5', 'x9', 'p2', 'c5']}
1769495091.3189948,SENT,2059d73a-fc04-4ef7-bdde-0b13e36f6ce0,04d1d717-8d18-43a0-8e75-8f37054d9619,c2,c3,3384,?,p2,
1769495091.31918,CREATED,12ea8f14-3022-4495-a46d-c7c058b0f41f,75e5cfad-8e1b-4a59-8ae9-5f5af82761e8,c2,c3,27,?,?,surb={'id': '8d68f9e7-0134-4bd3-8f98-4571b89bda59', 'route': ['p3', 'e2', 'i1', 'x5', 'p2', 'c2']}
1769495091.5343137,SENT,67cfc138-3f26-4824-a0ae-2a3b63b7fc48,28b34050-7883-4796-9409-3bd6910d1a72,c2,c3,3379,?,p2,
1769495091.5344634,CREATED,3ccca74f-9dc2-4115-894e-b2f57d352f8d,19784d94-b78f-4ebe-95e5-79e68d8aa7bc,c2,c3,26,?,?,surb={'id': 'ae75e852-f544-4aac-9002-9d878511b1e8', 'route': ['p3', 'e12', 'i2', 'x6', 'p2', 'c2']}
1769495091.7029514,SENT,82921012-fc26-4d91-9a55-67d371eabf77,db1bcc9b-a772-444b-a47b-6a14c3391ce7,c2,c3,3383,?,p2,
1769495091.7031388,CREATED,467411c8-926c-453f-b598-e80f41384b34,616d47fe-fc32-45f9-8b7e-f2ef4fea5cae,c2,c3,27,?,?,surb={'id': 'ea14b148-73c2-43af-820f-fbfd73f6ea4b', 'route': ['p3', 'e12', 'i2', 'x1', 'p2', 'c2']}
1769495091.7985964,SENT,93edf69d-388a-4b60-ad88-1e5aab9ae0c7,18d4f55c-b860-4623-a048-83dbef994c09,c2,c3,3376,?,p2,
1769495091.7987382,CREATED,0747c48e-281f-483b-9713-8dae176874bc,bc254c28-7faa-4823-9d51-501b86713564,c2,c3,27,?,?,surb={'id': '9049eba1-c069-456e-977a-adc237e184fc', 'route': ['p3', 'e6', 'i7', 'x5', 'p2', 'c2']}
1769495092.0292842,SENT,4d5734cc-b3fd-4785-abaa-cb1b7d577538,ed1ec8b7-4e5e-4305-918d-154474ecad91,c2,c3,3392,?,p2,
1769495092.0294333,CREATED,18a68fb5-0375-4459-b877-03390e26d882,4cdfb639-5dea-45ba-b031-88f6b972c109,c2,c3,27,?,?,surb={'id': 'fdc1b48b-01a9-4970-a300-3ec3a4d8cf13', 'route': ['p3', 'e12', 'i1', 'x6', 'p2', 'c2']}
1769495092.0471046,SENT,725725f9-de65-46c6-a093-ba7d2b82c00c,4da017fb-9457-4fce-9307-891ec56649c7,c2,c3,3391,?,p2,
1769495092.047239,CREATED,366eade4-344b-4799-9817-07ef3fea3edf,871a8fd9-6a35-4777-8e3d-6583d876fa60,c2,c3,27,?,?,surb={'id': '9de0502a-18a9-405b-8a04-e802a4a7cf25', 'route': ['p3', 'e6', 'i3', 'x7', 'p2', 'c2']}
1769495092.0586982,RECEIVED,ca9f1c03-58a5-435e-ac00-e36af5c7c4e7,1281891b-0525-4b15-bcec-ffba7c617992,c5,c2,27,p2,?,surb={'id': 'b58d2f81-b13e-4ba1-be24-03b0a1bfd430', 'route': ['p2', 'e3', 'i10', 'x11', 'p2', 'c5']}
1769495092.295639,RECEIVED,d555b49d-bfea-4893-bdfd-0c8cf09077e1,eb502f74-2c0b-463e-b49b-84cf7cb635c0,c5,c2,26,p2,?,surb={'id': '59f49d97-6dc8-43b7-8f2b-4c26dcb4a12c', 'route': ['p2', 'e7', 'i10', 'x7', 'p2', 'c5']}
1769495092.9842045,RECEIVED,4cfe278f-9604-4042-a8b2-d7c3f4b085a8,e47dbd69-fa65-46ee-8d35-f58fc7ea7927,c5,c2,26,p2,?,surb={'id': 'b1cacf31-6532-44fa-a01d-b6e6ebb6c6b0', 'route': ['p2', 'e1', 'i9', 'x3', 'p2', 'c5']}
1769495093.0754457,SENT,fc5f4b30-330c-4ae8-a7c5-5570ac189c48,b135d7ef-48d1-4ada-a960-9115c05f4883,c2,c3,3363,?,p2,
1769495093.075594,CREATED,267f6300-7759-4d50-ab33-a5e226ff4d54,9139b999-f343-4848-a7b0-4bf07ad41ced,c2,c3,26,?,?,surb={'id': '40ec955c-814a-48cf-b7b2-0f1845e1a74b', 'route': ['p3', 'e3', 'i5', 'x1', 'p2', 'c2']}
1769495093.207686,RECEIVED,eebefe47-9dad-4bb3-8ec2-8acd62f1c284,0808e83d-05c4-4e87-aa3f-9f10968fb9e4,c5,c2,27,p2,?,surb={'id': '9aea7dc1-3359-4ff6-bed6-83b3a754df15', 'route': ['p2', 'e4', 'i4', 'x3', 'p2', 'c5']}
1769495093.692177,SENT,2a0a247d-c367-401c-a727-44df2a51416d,f3d2f063-eaa1-4424-9f37-4e6f7824e89f,c2,c3,3359,?,p2,
1769495093.6923087,CREATED,822765c9-b6a5-4515-9dc5-2150e6a0da03,97ab279e-3d88-41ca-bafa-acd7d9f134b8,c2,c3,27,?,?,surb={'id': '2f383eda-07c6-4521-9e73-415bbeee767f', 'route': ['p3', 'e4', 'i4', 'x4', 'p2', 'c2']}
1769495093.920162,RECEIVED,637faf6b-fed6-48fa-ac88-150f8c462895,017cd566-7949-48ed-81ec-92fa81a1a679,c5,c2,26,p2,?,surb={'id': '7a0be5d9-595c-43f9-b65f-a63355a0478a', 'route': ['p2', 'e11', 'i3', 'x5', 'p2', 'c5']}
1769495093.9876237,RECEIVED,f497a3b7-19dd-4951-9d9a-4b9f51580fbb,e9b670ab-6d6b-4d10-b9f0-ed7a4fc55018,c5,c2,27,p2,?,surb={'id': 'aa67ec1a-f538-4baf-9ab3-de5a88838b43', 'route': ['p2', 'e8', 'i8', 'x12', 'p2', 'c5']}
1769495094.226685,RECEIVED,b18c52be-e7ea-4de3-837a-3d6d4d30d34c,4f3d6059-63bb-44b2-b707-2d5522c2f1a2,c5,c2,26,p2,?,surb={'id': 'd75072bb-2947-42e0-a5a9-c4516c74c820', 'route': ['p2', 'e9', 'i1', 'x2', 'p2', 'c5']}
1769495094.4557023,SENT,29750e55-ded3-4ac7-86b8-fa837e4b3677,fecf9f06-8ddd-4935-b897-189494a388fc,c2,c3,3390,?,p2,
