timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769495088.1015213,SENT,0cbb003b-12c9-420a-9f20-0242cd15cb46,375a7c7b-ed59-427e-aa1a-24b63d3abb5c,c3,DROP,2031,?,p3,
1769495088.101649,CREATED,ae796671-6eba-48a2-ade8-fff352ee4a45,45699538-003e-4539-9f9d-1010262019cb,c3,DROP,26,?,?,
1769495088.1109903,SENT,0872620a-a75d-43ec-a32f-d7fe8e903562,aecce5ce-f0dc-4234-8e3e-95fc44002490,c3,DROP,2020,?,p3,
1769495088.1111534,CREATED,ee61f27a-bde3-4208-a5a7-1df026412f11,0f0aa05d-d55d-4cac-b15f-3559007a0717,c3,DROP,27,?,?,
1769495088.1435826,RECEIVED,d173f1e7-66dd-462a-82b7-3c1904375ced,eba0c33e-5560-40a5-aaff-bdd351cd1862,c2,c3,27,p3,?,surb={'id': 'b1714b3f-4ffa-4283-adef-7e76825636a6', 'route': ['p3', 'e6', 'i5', 'x11', 'p2', 'c2']}
1769495088.1765285,RECEIVED,cf464101-eb0f-4ef4-8f9e-2759007d9805,6d13044d-7cfb-43fd-8729-42dfd3c68fe5,c2,c3,26,p3,?,surb={'id': 'd02211c5-60bf-49bd-a254-fb6e284cca93', 'route': ['p3', 'e12', 'i9', 'x9', 'p2', 'c2']}
1769495088.4088879,RECEIVED,0b50fb0a-96cb-4412-8562-60d318ee6eca,8aec463c-9cd6-4bea-89de-336882b9c9ee,c2,c3,26,p3,?,surb={'id': 'd16babc4-6e66-457e-b1e2-83089ac429f2', 'route': ['p3', 'e5', 'i4', 'x7', 'p2', 'c2']}
1769495088.4427586,RECEIVED,b5ecf890-ba0e-44c0-b3ce-c4311f7decbf,620a531c-bb72-4ed8-8486-a6fe4f460c75,c4,c3,27,p3,?,surb={'id': 'de14e252-6c2f-4501-b7e5-94ca1c2f874c', 'route': ['p3', 'e12', 'i10', 'x9', 'p1', 'c4']}
1769495088.4913201,RECEIVED,5de45e90-a25f-4de4-866b-99bb87f09644,b9f8b811-7c67-4ac1-9f02-557d0047b625,c2,c3,27,p3,?,surb={'id': '52e75451-a987-468c-adc1-f6576827b80b', 'route': ['p3', 'e1', 'i1', 'x5', 'p2', 'c2']}
1769495088.5309396,SENT,d27d5fa4-4e6b-4052-aace-08c3ef8e70ed,2f862c92-86b5-40e3-b8bf-cb3b57de8d0f,c3,c4,3372,?,p3,
1769495088.5311272,CREATED,726a7fde-5500-42c5-bab5-8850c321121f,04662d8a-5fe3-46b8-993b-4a81a7a1619d,c3,c4,27,?,?,surb={'id': '27417901-76c9-4a87-958a-3f695b3ab501', 'route': ['p1', 'e2', 'i3', 'x7', 'p3', 'c3']}
1769495088.8841002,SENT,d1c8ee8f-e74d-4396-9168-718584e9bc95,85f13031-02dd-4b5e-80c8-b2c67f5caee1,c3,c4,3388,?,p3,
1769495088.884255,CREATED,e22387c8-eece-4953-b0b5-3638ea034295,87bd0987-0a7a-44e7-8279-7f2a7a00f581,c3,c4,26,?,?,surb={'id': 'e78bb28e-93fb-456a-8d59-a295b0e880e1', 'route': ['p1', 'e12', 'i12', 'x5', 'p3', 'c3']}
1769495088.9452767,RECEIVED,0a3e7235-7491-44a4-b6ce-34481225e397,67dbfcdc-fed4-46b9-8b6b-199df47dd455,c2,c3,27,p3,?,surb={'id': '4c723f1b-d1d2-41f0-954c-4e681fcecb0a', 'route': ['p3', 'e3', 'i10', 'x8', 'p2', 'c2']}
1769495089.0224717,SENT,a27a6954-ef38-4fab-a9e1-c1c7e777f9e5,fa7eb3c6-653c-40b4-80f8-17bed9d3ba7a,c3,c4,3360,?,p3,
1769495089.0232637,CREATED,3b9fe406-ba3b-4f33-8406-d41a0819b59d,cbcb5e4b-931c-42c3-9932-f3a81ec9773f,c3,c4,27,?,?,surb={'id': '23c5d506-5ae4-48ac-982f-32100bebe21e', 'route': ['p1', 'e6', 'i2', 'x8', 'p3', 'c3']}
