timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769730659.0392547,RECEIVED,03c0f4c9-a095-4df2-9dd9-4dd5bb916889,2cc4a18d-e32b-458d-adda-e1601ded283a,c3,c5,27,p2,?,surb={'id': 'f6dcaabc-3a2b-4fcf-9130-22c0d1f1499e', 'route': ['p2', 'e12', 'i11', 'x12', 'p3', 'c3']}
1769730659.1292365,SENT,35094e5b-cd76-46cd-acab-a9b1d60c2256,312cb30f-b859-4c5b-88b1-38b48df479fa,c5,c3,3358,?,p2,
1769730659.1293933,CREATED,a703f3f3-5b28-4680-b0d1-8e5d5f5595b6,97e2d383-4e68-4a58-9c55-a4cb3cd58e71,c5,c3,27,?,?,surb={'id': '5741fc34-6563-49bb-a33f-bd80adba8fa1', 'route': ['p3', 'e5', 'i1', 'x8', 'p2', 'c5']}
1769730659.5902514,RECEIVED,de019de5-ec73-4ab1-905c-c4353ee061e2,594aedb2-1fdc-4c0d-bb85-f0b4af311869,c3,c5,27,p2,?,surb={'id': 'dcd73eff-4101-4784-b694-5dfd8679a607', 'route': ['p2', 'e4', 'i3', 'x7', 'p3', 'c3']}
1769730659.6035562,RECEIVED,6e3922c1-1be3-4ca0-9782-68496590796b,09e6a3af-2d8d-4ec4-b5ad-ebb99e48b6d0,c3,c5,27,p2,?,surb={'id': '5ff5d4ed-1d9a-4f62-98ea-d4f67f12dd51', 'route': ['p2', 'e9', 'i1', 'x1', 'p3', 'c3']}
1769730660.640613,RECEIVED,408c0226-86c5-46d3-9e39-94881a7ce4d2,312a71f7-4548-4885-add5-959ff070a531,c3,c5,27,p2,?,surb={'id': '81b07186-fe79-4b97-8d18-d44d5983ccf8', 'route': ['p2', 'e5', 'i12', 'x10', 'p3', 'c3']}
1769730660.8432248,RECEIVED,b28df437-c4c4-4fe4-b1d0-7f341419f32f,61d76642-8dc0-4555-91a2-01a1244da4c9,c3,c5,27,p2,?,surb={'id': '750e7747-4410-4893-a66e-c023837fc8d1', 'route': ['p2', 'e3', 'i9', 'x12', 'p3', 'c3']}
1769730660.8640144,SENT,ca4e9c8f-cf15-4c9f-b979-3db55407e2a4,0e481d4b-b1ec-40eb-b33b-b632a9330b7a,c5,c3,3383,?,p2,
1769730660.8645983,CREATED,d0f0e4aa-dda2-4fd0-b8ed-84fa34e695ac,3eaee1c7-5f54-4266-bcdf-dc0421841692,c5,c3,25,?,?,surb={'id': '4feae8d9-5239-4cc8-bc13-042a72df6675', 'route': ['p3', 'e7', 'i10', 'x5', 'p2', 'c5']}
1769730660.9129076,SENT,f831f221-a7d0-471a-90dc-2c73a6569635,d9e5bfd9-cd64-47b3-bb05-208f805e2d77,c5,c3,3388,?,p2,
1769730660.9130862,CREATED,bb1f0b6f-694a-4417-97a6-ced29d5134bc,0495a982-7709-4736-ab84-b02a35d98780,c5,c3,27,?,?,surb={'id': 'cfdba3b5-8a65-42a9-a02a-dd80b59deb08', 'route': ['p3', 'e10', 'i4', 'x7', 'p2', 'c5']}
1769730661.102868,SENT,20823c59-548b-4e54-a502-66da38011cac,0a17149b-9d74-4aaa-8aae-56e8a2a7ac70,c5,c3,3388,?,p2,
1769730661.1030188,CREATED,32584400-8ab1-4072-8f49-51d13ec6a84b,ae9102b7-c144-4e39-a414-7d0819e77cd6,c5,c3,27,?,?,surb={'id': '07610733-ad72-4091-bc63-125df98d68aa', 'route': ['p3', 'e10', 'i5', 'x5', 'p2', 'c5']}
1769730661.3214076,RECEIVED,0625c011-3231-4431-bd3b-ac6cf125896a,95407697-f64c-42f4-a9cd-8c3eb7ec429e,c3,c5,27,p2,?,surb={'id': '6a9184e7-ea6e-49b7-947c-2dda4af96b38', 'route': ['p2', 'e9', 'i4', 'x4', 'p3', 'c3']}
