timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769742373.4235387,SENT,ab11928b-ebe2-4ab8-9b0c-b369b0744d63,c72f0a56-c9c0-4c86-8cd4-ef7f857bc88f,c5,c3,3386,?,p2,
1769742373.4236803,CREATED,a9bbc0de-b882-488a-8d09-95f234cfd43e,ecd0a759-4364-48ed-8415-a665f4ef591f,c5,c3,26,?,?,surb={'id': '26ac3b3e-c6a4-4966-a0c6-a58aec86e773', 'route': ['p3', 'e8', 'i6', 'x4', 'p2', 'c5']}
1769742373.445575,SENT,32ad94d0-f2eb-4ac7-b776-61115416b56f,cf6e0955-70a3-427b-ad01-0cf3fa38a869,c5,c3,3374,?,p2,
1769742373.4457111,CREATED,91cd3bf7-0a0c-4879-8fde-c71273d43c5b,04b6b285-f8e6-4b05-972a-1fc824abb8bf,c5,c3,27,?,?,surb={'id': '43ed33ac-e82d-490d-ba36-6beca4f4f498', 'route': ['p3', 'e5', 'i7', 'x5', 'p2', 'c5']}
1769742373.5199804,SENT,0e051dbc-c2f9-40e2-870d-701f771eb296,581dc90b-7665-4f27-976e-c2c7df9f5ef3,c5,c3,3383,?,p2,
1769742373.5201683,CREATED,a1f45e88-7265-4b77-89b6-99896d6ff18a,a5ec31ff-3ad7-4e1a-88a2-312d5f6fe547,c5,c3,27,?,?,surb={'id': '32390a84-d635-4662-8fbe-babb595d6647', 'route': ['p3', 'e12', 'i4', 'x1', 'p2', 'c5']}
1769742373.754357,SENT,c0ff8cc6-b2f5-44b0-ad81-0e5737807e9a,3d13e0a4-84df-4975-8874-9170c38fc172,c5,c3,3380,?,p2,
1769742373.7544796,CREATED,43e3b0de-4b68-4d48-aeb1-b5d2eeaf64d3,d4ce0e0b-5516-4ab5-96d4-03a5fc298185,c5,c3,27,?,?,surb={'id': '1f19817c-1900-41cf-a80e-1314b4cfdc6e', 'route': ['p3', 'e11', 'i9', 'x3', 'p2', 'c5']}
1769742374.064956,RECEIVED,10e77c8e-36b4-4c36-a97f-6be4477cd5d2,2ee24520-73f6-4d79-bae2-3cb05e2dcf59,c1,c5,27,p2,?,surb={'id': '92b68edb-9afb-432c-a8d1-4bc9ae08e36f', 'route': ['p2', 'e7', 'i3', 'x8', 'p1', 'c1']}
1769742374.1218464,RECEIVED,2fc30ce1-1ff3-4c99-be21-8cba7a252602,7498d1dd-32bc-4eec-a223-1e1ea9065ab8,c2,c5,26,p2,?,surb={'id': 'be32cd7e-7882-40af-a2ab-7fc7f76d9f2d', 'route': ['p2', 'e2', 'i6', 'x7', 'p2', 'c2']}
