timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769755938.7907639,CREATED,51c8210b-3ced-4418-94a4-692cd078ce15,0eba84db-5aa6-431e-8e96-7fe20a876561,c2,c4,27,?,?,surb={'id': 'f14349ca-24f5-46a6-803b-dd2499eb2a99', 'route': ['p1', 'e12', 'i12', 'x1', 'p2', 'c2']}
1769755939.126384,RECEIVED,90f35466-beca-42f7-af73-8f0d4010eb3f,d1c59cb2-63a3-4e9f-b674-a907fd2002c7,c4,c2,27,p2,?,surb={'id': 'be66faf4-ffdd-4f49-a6ae-e04365e4c7c7', 'route': ['p2', 'e12', 'i3', 'x12', 'p1', 'c4']}
1769755939.2242987,SENT,b56a0aca-171a-4f03-a3f1-9235dfc41f50,c288c017-6cee-4ce2-bc88-28c6cf3bab85,c2,c4,3379,?,p2,
1769755939.224497,CREATED,e64916ef-40a4-47b0-b6d6-1bf126f37f42,0053eccf-30d9-4b39-ae5d-188be8055972,c2,c4,27,?,?,surb={'id': 'b37663f9-54a2-409a-84ff-0afabfd59000', 'route': ['p1', 'e7', 'i12', 'x6', 'p2', 'c2']}
1769755939.5143237,SENT,f555eb55-99f5-4cd6-8903-42199557613b,67db2df7-671f-49d7-ad0f-e191fdfb0d68,c2,c4,3360,?,p2,
1769755939.5144534,CREATED,7a773176-2283-47b2-8832-873341aad0ab,b65f942a-dc44-4c61-b271-af75b2cd15cc,c2,c4,27,?,?,surb={'id': 'd29cc9df-6fdf-45b0-9048-71e7ebc17edb', 'route': ['p1', 'e5', 'i4', 'x10', 'p2', 'c2']}
1769755939.5550175,RECEIVED,56d173d5-fa2c-4d1a-ae5a-c2dd1509b81b,6aa0fe5e-ebc9-4584-88e9-d5488f7b206d,c3,c2,27,p2,?,surb={'id': 'e13333ae-1478-4e7b-96db-59273caf1ec7', 'route': ['p2', 'e10', 'i3', 'x9', 'p3', 'c3']}
1769755939.7885644,RECEIVED,cd3e133f-9d12-468a-b705-d763fbbc32ad,e4cc6cb6-accb-4c42-8082-d39aa5601517,c4,c2,27,p2,?,surb={'id': 'f3650719-e0fb-4803-9d3f-ca1c1dbd01a4', 'route': ['p2', 'e11', 'i2', 'x3', 'p1', 'c4']}
1769755939.929407,SENT,9149d2cb-2471-41c4-ab7e-6f3dc871779e,63de8a0a-0488-4f3f-8401-2138279e1dc5,c2,c4,3373,?,p2,
1769755939.9295416,CREATED,c1a7b32a-b40e-40da-bcc6-01d9efb0dc0c,7e19ef2f-ade1-41cf-8355-84d3377beed0,c2,c4,27,?,?,surb={'id': '09166bd3-2f09-4da6-936e-312019a5d197', 'route': ['p1', 'e9', 'i2', 'x10', 'p2', 'c2']}
1769755939.9443011,RECEIVED,599a94c1-1dc7-4067-92d4-0a57588d51bf,92c076ee-2c83-4273-ac77-9772fb0b6d73,c3,c2,27,p2,?,surb={'id': 'cfcd4982-504d-4a26-a363-fbecc10a00fd', 'route': ['p2', 'e10', 'i9', 'x4', 'p3', 'c3']}
1769755940.090816,SENT,024a9d96-0ef8-4c2c-a9f9-698cc47ee1ed,bc1b90d8-40f0-4efc-97ef-f3ce682c3e4e,c2,c4,3400,?,p2,
1769755940.09096,CREATED,1f8a5e61-59a2-4fb0-a4bd-c6ec9c1f931b,bee6efad-3021-4dd7-a87d-ec707a7610e9,c2,c4,27,?,?,surb={'id': '0021a43c-8c36-431d-8507-04f7e9fabb1f', 'route': ['p1', 'e7', 'i8', 'x11', 'p2', 'c2']}
1769755940.1859007,SENT,d2db3aad-a878-4d8a-8f30-d2d793f81811,9452d9fe-6a04-4fe5-b80c-1a24fb109ccc,c2,c4,3399,?,p2,
