timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769755940.8208516,SENT,1f5fe208-d250-4d8d-973a-f218d430d59f,df7d6526-27ef-4c7f-910c-57307dc574b0,c1,c4,3383,?,p1,
1769755940.8210037,CREATED,ff910006-cdef-4a09-a7b7-4ab1107f2c0a,8657e0e4-8292-4f40-90da-23e317a96f9f,c1,c4,26,?,?,surb={'id': 'a7718bf3-b878-40f5-847c-9c32df8ca639', 'route': ['p1', 'e1', 'i12', 'x1', 'p1', 'c1']}
1769755940.9529972,RECEIVED,60486c06-a546-4f2d-a4b3-c28018949fc3,7e8ceb8f-4ce3-4cc0-b4fa-d6b875849351,c5,c1,27,p1,?,surb={'id': 'b5d40cd6-60b8-4b2f-8d67-c97005e47dc7', 'route': ['p1', 'e6', 'i2', 'x2', 'p2', 'c5']}
1769755940.958279,RECEIVED,c83b0cd1-3168-40fe-969b-c325de93f514,7f9f305a-cc08-45e9-ad58-a227df12e666,c5,c1,27,p1,?,surb={'id': 'aef6a8c1-6b23-4e80-8a08-3ed6f2396ed1', 'route': ['p1', 'e1', 'i11', 'x3', 'p2', 'c5']}
1769755941.0017467,RECEIVED,9af52c8a-c50f-4412-9014-023a971da5be,0a0a5db9-40e3-49e8-9475-4ae9163d8803,c5,c1,26,p1,?,surb={'id': '2fb77921-422b-421c-a843-6b29dc150278', 'route': ['p1', 'e5', 'i2', 'x3', 'p2', 'c5']}
1769755941.049233,SENT,5d28df21-3486-454d-badc-6f73a76a7f4a,1e5fc6f0-51d8-4c10-93ad-24f9a3cf382b,c1,c4,3383,?,p1,
1769755941.0493643,CREATED,a8e0d2b8-9e42-4b25-aed0-d0683b2fb174,98e2a03d-c66a-4208-b871-4e15c8e89dc1,c1,c4,26,?,?,surb={'id': 'a2d95e41-2b11-43a4-9bef-f901a94f8043', 'route': ['p1', 'e2', 'i3', 'x8', 'p1', 'c1']}
1769755941.1373866,SENT,bdaf8db4-201e-4837-9bae-93b753d814f7,ad96c3f6-6843-4b1a-aac2-1ff08718c24f,c1,c4,3385,?,p1,
1769755941.1376023,CREATED,76fe1a68-5f70-4adf-8b44-c5460b0c45eb,1727be80-b964-4b60-b511-0bbf583482db,c1,c4,27,?,?,surb={'id': 'd77fe2d9-b7a4-4ca5-91a7-dab6bdf47f15', 'route': ['p1', 'e2', 'i10', 'x7', 'p1', 'c1']}
1769755941.2551,RECEIVED,59ca0baf-0544-4d83-9902-eeea73e89778,0b5b7680-1555-4e0b-aa17-1523963f3fce,c5,c1,27,p1,?,surb={'id': 'dc883518-3ab9-4a43-a280-ce08ffad41a4', 'route': ['p1', 'e1', 'i8', 'x8', 'p2', 'c5']}
1769755941.324392,SENT,83ea84e7-58f6-41b8-8d49-63a0e82a2ccd,0c7df705-1493-49e0-985d-9ae13920840e,c1,c4,3397,?,p1,
1769755941.3245227,CREATED,df4698c1-4c01-4550-a2da-2070fff95f4a,749f5f00-1251-421f-9706-c3be802ed1f0,c1,c4,27,?,?,surb={'id': 'ada9dabd-8d72-4d5d-8d43-30ded0c75e94', 'route': ['p1', 'e5', 'i11', 'x11', 'p1', 'c1']}
1769755941.3727455,RECEIVED,4aa6f420-6d74-43de-bed3-9b13a8504b16,68a81b70-c461-4913-9c50-ca83e13d434e,c5,c1,26,p1,?,surb={'id': '44313716-e041-4886-b85f-abf75e4476d1', 'route': ['p1', 'e12', 'i2', 'x3', 'p2', 'c5']}
1769755941.3735719,SENT,3628d72d-812b-4ee9-9c96-3f1bcf585f9f,538c02bf-055a-4fe6-a6de-17dcb8e26b97,c1,c4,3379,?,p1,
1769755941.374892,CREATED,599eb9f6-045a-415b-b32b-6b3a76bc444c,de0781c6-89c5-419b-8106-7c54283472bb,c1,c4,27,?,?,surb={'id': 'c08ca56e-fbac-4027-a5b5-27686b7f79ae', 'route': ['p1', 'e2', 'i6', 'x8', 'p1', 'c1']}
