timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769495706.2133799,CREATED,7fd4be31-2c1b-4a60-b819-d71828d40c66,d7e8e15e-cc63-4c80-9983-5c5e2f0846bf,c4,c3,27,?,?,surb={'id': '584b4793-3222-4362-9ad9-4d6ca62eb421', 'route': ['p3', 'e3', 'i1', 'x3', 'p1', 'c4']}
1769495706.292576,SENT,6545a945-5b02-441d-83a0-cc5e8d841cac,301ad3ad-ab24-426f-82e8-eac87f051c0b,c4,c3,3389,?,p1,
1769495706.2927206,CREATED,28a01e5c-fb3c-4fd7-9709-8e0ffb57a889,d776d684-2f9e-42ae-97af-96440cc4d8df,c4,c3,27,?,?,surb={'id': '91138066-0e0d-45e2-9be8-c0f2be187141', 'route': ['p3', 'e12', 'i1', 'x4', 'p1', 'c4']}
1769495706.7381701,RECEIVED,63d2c7e5-1024-438e-a6de-8f121c559e81,3d4a96f7-1094-4af0-89f6-2ea603902be7,c3,c4,27,p1,?,surb={'id': 'a0643055-1727-47ba-9647-87f0e274a162', 'route': ['p1', 'e9', 'i12', 'x1', 'p3', 'c3']}
1769495707.2309008,SENT,1000603e-2cab-4dec-b1a3-df154ce3c5f9,bc711626-ca6f-4181-bc62-ce431bee0d70,c4,c3,3376,?,p1,
1769495707.231075,CREATED,657decc9-70aa-4b00-a929-d2b21c04111b,0202e4a2-7f6a-4fe9-ad5c-3404625b8769,c4,c3,26,?,?,surb={'id': 'e8782ce2-9c33-40fb-acdf-b4a9c868d25f', 'route': ['p3', 'e4', 'i8', 'x10', 'p1', 'c4']}
1769495707.4311914,SENT,ad526026-1dba-4a76-aa99-5cbb4e1aa073,d5fe0e55-4e1f-49d0-8dc6-5f57a0c7319a,c4,c3,3375,?,p1,
1769495707.4313407,CREATED,d2a18bb3-0f79-4712-941c-82d375aacb51,7c36351f-623c-4d7d-a1a8-fed393e97ee2,c4,c3,27,?,?,surb={'id': '67eaa094-b868-4499-86f4-0b4ac0526da3', 'route': ['p3', 'e9', 'i8', 'x2', 'p1', 'c4']}
1769495707.5786252,SENT,e3a4e3ff-3543-40c0-b22f-e4456bc332c0,cf92d2d4-983f-4ea5-b1ef-46b5b87e7213,c4,c3,3378,?,p1,
1769495707.5787761,CREATED,85d61de3-2e46-432f-a2fa-84a61ddee57d,2b08fbf6-3e14-47c0-9317-f28fed73900c,c4,c3,27,?,?,surb={'id': '9f6d9be3-4090-47dd-b05f-b24ddca0e09d', 'route': ['p3', 'e4', 'i1', 'x6', 'p1', 'c4']}
1769495707.598853,RECEIVED,a740ff39-b540-429e-8087-797dab173899,9ff232c4-a24a-4f4e-8787-c16678e59bad,c3,c4,27,p1,?,surb={'id': 'de18315f-7d93-4fe9-8fd2-6c76e0bfbe15', 'route': ['p1', 'e9', 'i8', 'x1', 'p3', 'c3']}
1769495707.7143803,SENT,a435f998-8003-4912-aa9b-3a0f527cbf86,9e3628db-65a6-4c6f-ac3d-a755afea39f7,c4,c3,3376,?,p1,
1769495707.7144942,CREATED,2f6faab4-2748-4aba-b991-e41f979a9b29,2d224c07-f261-4079-9acb-7fbec435dd29,c4,c3,26,?,?,surb={'id': '30be185d-70d1-4549-afdd-f4e218160549', 'route': ['p3', 'e10', 'i5', 'x9', 'p1', 'c4']}
1769495707.7779822,RECEIVED,73880d54-0b98-4f6c-8948-ba92d403cae1,95e2b082-2675-4022-ae4e-946ccc9368c1,c3,c4,27,p1,?,surb={'id': '92156870-6a5e-48d6-8f3b-1114e695fcc1', 'route': ['p1', 'e3', 'i2', 'x9', 'p3', 'c3']}
1769495707.8484612,SENT,22b369e6-c2ca-4705-92fd-57d60818265e,edb83324-a3a6-4ac9-9df2-a00e94738f9c,c4,c3,3392,?,p1,
