timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769495704.8672388,SENT,9c9d95e2-9d00-43b2-bf2d-46403e9bfcf6,086d385d-3726-4f0c-ba24-6bd4f9639305,c1,c5,3371,?,p1,
1769495704.8674033,CREATED,672c17a9-e7c9-4da8-8824-1ee3dc32727f,cc5c7b42-071d-4d2f-9acc-6e9ebd79bcf0,c1,c5,27,?,?,surb={'id': '501d5e0d-f9c8-475a-86ed-66bce7ee65bf', 'route': ['p2', 'e2', 'i5', 'x4', 'p1', 'c1']}
1769495705.0548391,RECEIVED,c1bc85ae-7986-4e04-b865-a125e4e76905,9910aca6-18f4-4b0f-94e4-2003059ba28c,c5,c1,26,p1,?,surb={'id': '90b4710e-883b-435c-be10-605a2898d5b9', 'route': ['p1', 'e1', 'i6', 'x1', 'p2', 'c5']}
1769495705.0947347,SENT,749efaec-26e4-46d9-99dd-bca7573b0a29,bd2e7289-0541-4e71-adc6-a863e640723d,c1,DROP,2015,?,p1,
1769495705.0948696,CREATED,f2970bd0-1288-4097-a160-2f932d75bc38,cd87bc22-70ec-4627-a550-4916b94557a3,c1,DROP,27,?,?,
1769495705.2736442,RECEIVED,350d8049-5579-481b-89e2-a5ff8e9cc229,c5fcbe0e-49c8-4b72-8239-3689b5910e37,c5,c1,27,p1,?,surb={'id': 'e996605b-e586-4b8d-a95e-d19f6e183f38', 'route': ['p1', 'e6', 'i10', 'x4', 'p2', 'c5']}
1769495705.324175,RECEIVED,2170d096-dba3-4f0f-826a-832f73977fcb,a0047ee6-cb6a-41fb-a813-85103cdabab8,c5,c1,27,p1,?,surb={'id': '6fe2fea4-36cb-45cc-9f31-051857d26f53', 'route': ['p1', 'e8', 'i8', 'x11', 'p2', 'c5']}
1769495705.437036,RECEIVED,8123b22a-74a8-403d-b7c4-434d0af93d13,5d2a3165-8231-40ee-a9a8-03e7cb2702f0,c2,c1,27,p1,?,surb={'id': '0bb96563-07d5-4a01-b601-25da358dae03', 'route': ['p1', 'e9', 'i5', 'x4', 'p2', 'c2']}
1769495705.574302,RECEIVED,2570b56d-e137-4ea6-a04b-310f99471bc5,17cd2bb7-4b9b-41a1-a02e-0fffd16c5be8,c5,c1,27,p1,?,surb={'id': 'ab85ecff-9270-4d13-a46c-80e3de5a9194', 'route': ['p1', 'e12', 'i7', 'x8', 'p2', 'c5']}
1769495705.5923722,SENT,12f81713-8e12-4b04-9d40-497081a030d1,516dc63c-a440-42f1-8ced-52dd43d5fe0e,c1,c5,3360,?,p1,
1769495705.592514,CREATED,3d24c9c3-d0d3-41e4-94c0-431cbc3d7388,2a5fe898-675e-4602-9edb-32381064f1ea,c1,c5,27,?,?,surb={'id': 'bd6f1085-7169-4264-a209-c4f92c81907c', 'route': ['p2', 'e2', 'i4', 'x7', 'p1', 'c1']}
1769495705.6052704,RECEIVED,653d7bb7-db2f-4116-9a01-5b9f3ed68fec,46d1ae53-2401-456f-aae1-8f94790c8fc6,c5,c1,27,p1,?,surb={'id': '0ee1d79b-1dbf-49ba-afcb-b8a0b50f1e9b', 'route': ['p1', 'e2', 'i2', 'x3', 'p2', 'c5']}
1769495705.9633946,SENT,30c776a4-074a-48e6-a3f5-fd37b072c243,17cb45b6-46d9-4ded-8bd7-ab8e25093d6e,c1,DROP,2019,?,p1,
1769495705.9635248,CREATED,ef072b63-c5ad-42e2-baa5-6f69caa2413d,e2a038df-a492-42bd-b700-128ea49910c8,c1,DROP,27,?,?,
1769495705.9994345,RECEIVED,a6d17f3f-c51a-4640-9581-fcbfba9fcd57,1a776fe5-4a08-411f-a5a5-82010a53b5b4,c2,c1,27,p1,?,surb={'id': '67969047-3bf1-4f35-9900-08431172d45b', 'route': ['p1', 'e9', 'i7', 'x1', 'p2', 'c2']}
1769495706.0028174,RECEIVED,1952abf3-4863-4def-85c6-a363235c3d04,1c67bf16-f416-47fd-ba95-5cd067ee84b9,c5,c1,26,p1,?,surb={'id': '9e03bf63-aa17-49c6-b5e9-8fbf83443631', 'route': ['p1', 'e6', 'i4', 'x5', 'p2', 'c5']}
1769495706.0149543,SENT,7d7a1de4-5079-45bd-8708-9188d6f9c2e8,e7c1a08f-e68b-4108-ae2f-167dea8ac885,c1,DROP,2036,?,p1,
1769495706.0151105,CREATED,a72951a6-ba75-40fe-9ab6-60591ba8ce9e,578c79b9-d747-4af6-b9c7-0a6b06543d4d,c1,DROP,27,?,?,
1769495706.1468992,RECEIVED,b3f5c8aa-fb74-4449-aed2-a0f923055e68,2be6f558-1bf9-4a17-835a-b9a4e2602800,c5,c1,27,p1,?,surb={'id': '5fb7ed92-94ee-48c0-a713-19458d565a3f', 'route': ['p1', 'e7', 'i9', 'x5', 'p2', 'c5']}
1769495706.3770344,RECEIVED,e7e2aa6a-1978-43de-9518-1ca881b863ba,dfc01d99-d093-4d01-9521-190798e73e67,c2,c1,26,p1,?,surb={'id': 'e892449c-27ab-4846-a4d3-8f7b1f0faaf0', 'route': ['p1', 'e6', 'i12', 'x8', 'p2', 'c2']}
1769495706.4763825,RECEIVED,251f0c6f-0a0e-4246-88df-bd6a86827baf,54cd6142-4a41-468c-956b-5881dec4bef7,c2,c1,27,p1,?,surb={'id': '9f187000-8f77-4171-a362-d93bb986c673', 'route': ['p1', 'e6', 'i5', 'x10', 'p2', 'c2']}
1769495706.8007638,RECEIVED,71ae0ede-767f-48f9-987f-88705d515436,43c98f43-010d-4058-a289-950062204292,c2,c1,27,p1,?,surb={'id': '6ef8d4d6-4a5b-4aa4-80f5-c68c8e5d3f7e', 'route': ['p1', 'e11', 'i2', 'x6', 'p2', 'c2']}
1769495706.8862345,SENT,c12e4532-a929-416b-a480-d9f901e00ece,74760581-e20e-4999-a7f4-63c3f0aa1080,c1,c5,3364,?,p1,
1769495706.8863292,CREATED,a0b8cce6-18f0-4549-b877-a610a54a6ede,b4990a1a-6159-49fa-96c3-21bb97c0556e,c1,c5,26,?,?,surb={'id': '2240d8f9-c0a5-465e-9370-7961e411485b', 'route': ['p2', 'e4', 'i6', 'x11', 'p1', 'c1']}
1769495706.956711,RECEIVED,90a56a21-e7ef-4043-ae27-4dc1a615b111,973f0e0f-0072-485d-bca9-60f1fdbc5d30,c2,c1,26,p1,?,surb={'id': '5677fdce-208e-498b-ae61-9831fca69840', 'route': ['p1', 'e12', 'i6', 'x4', 'p2', 'c2']}
1769495707.1136034,SENT,bb901a04-439c-489c-b714-82496ed5406f,41d40b12-a7e5-420d-88f3-7e37dec6af87,c1,c5,3364,?,p1,
1769495707.1137764,CREATED,9401fdd1-3ef8-497e-9de2-75b362048ac7,42f0c0f9-484d-45e6-bfef-21b46077fbdf,c1,c5,27,?,?,surb={'id': 'd79c0a69-c472-4f6f-92ef-6dd97fb66aba', 'route': ['p2', 'e11', 'i2', 'x2', 'p1', 'c1']}
1769495707.2766528,RECEIVED,24bcaae9-938b-4f7e-b2eb-52a0214f95d9,22dc9c19-3f58-4313-bfb9-fa3a9bec3fa5,c2,c1,27,p1,?,surb={'id': '160ba0fb-2d03-46fa-85e7-a6ad95a71302', 'route': ['p1', 'e2', 'i1', 'x1', 'p2', 'c2']}
1769495707.334856,RECEIVED,269a8d57-17ce-4d43-a5d6-ddfd1be8cbe2,8bd8ffc3-4dff-4ba2-b98b-14923d52e260,c5,c1,27,p1,?,surb={'id': 'efeca8f2-d3de-4a6e-a3ac-6d8109a85fd4', 'route': ['p1', 'e2', 'i11', 'x3', 'p2', 'c5']}
1769495707.3451335,RECEIVED,3670e879-2df6-4ef1-8b47-361f8c090e8b,ed54a5c2-06f2-4251-9b68-78e98c869d1f,c5,c1,26,p1,?,surb={'id': '3fffcf74-822e-42b4-b7d5-e62ff9efa59f', 'route': ['p1', 'e4', 'i12', 'x9', 'p2', 'c5']}
1769495707.5782259,SENT,92a51a34-b07a-4860-a0c0-84b00649a44e,4a03285b-256a-44fc-894e-3da935b9603e,c1,c5,3372,?,p1,
