timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769760260.7810175,CREATED,3a5e1cb6-e3c8-4d45-8eaf-c178a1b70a1b,9f2c6dae-50ec-46b3-9307-de4f0dc75632,c5,c4,27,?,?,surb={'id': '486c325e-c884-4362-946b-c73a029daaca', 'route': ['p1', 'e6', 'i4', 'x2', 'p2', 'c5']}
1769760260.941443,SENT,0d5c9e29-3b48-401f-86d7-f3c506455ad2,3b7c8c63-8b2b-4336-9f7b-49720ea1c47e,c5,c4,3371,?,p2,
1769760260.9415915,CREATED,53d9622f-d68f-427d-8a5b-d788af8602d2,bb4e7bbe-3831-4ca9-99a0-7083bcc5b7cf,c5,c4,27,?,?,surb={'id': 'acd0ce76-04dd-4162-aed5-61a0a3e3d53f', 'route': ['p1', 'e4', 'i7', 'x6', 'p2', 'c5']}
1769760261.0968401,SENT,423d6afc-3769-4cb6-b2be-3c1f25fb7baf,5a86bc58-5e94-4881-b668-3186a0ee3a09,c5,c4,3380,?,p2,
1769760261.0969748,CREATED,95a15551-b51a-428c-9a26-f46c9d3dc776,edf64ed5-9fdc-4b4e-8082-4bba678b6fc1,c5,c4,27,?,?,surb={'id': '58e1f989-1aa1-4ec8-b88f-8bff5b915564', 'route': ['p1', 'e4', 'i10', 'x3', 'p2', 'c5']}
1769760261.6507194,SENT,37a240c4-71a9-4523-9e3e-e7e442f6b022,78ddfb58-0aed-4387-92fe-72b37be380d5,c5,c4,3400,?,p2,
1769760261.6508431,CREATED,860bcfe8-330e-4a77-9c7c-323cb0711d8e,fa14acb2-dc3d-4d23-8fc1-0f39aa77cddf,c5,c4,27,?,?,surb={'id': 'e83f80fd-568f-40d9-b7f4-fc3e90b75718', 'route': ['p1', 'e9', 'i12', 'x1', 'p2', 'c5']}
1769760261.741228,SENT,8c469163-fde0-46dc-a14e-c5b5f6c8d653,3683a85f-3028-40cf-84eb-aae3ed817c8b,c5,c4,3360,?,p2,
1769760261.7413404,CREATED,866da9e7-7968-44cd-ab65-df0a263c60e3,300a9d19-8b9a-48fa-b6a3-d614305ae4fe,c5,c4,27,?,?,surb={'id': 'c4980669-aa00-4472-917f-e3f8019fd4b2', 'route': ['p1', 'e2', 'i3', 'x12', 'p2', 'c5']}
1769760261.8618383,RECEIVED,7ecce410-e89f-4dca-ba24-45a784215f22,6175d78b-de5b-4b73-9625-a7ab6052d920,c1,c5,26,p2,?,surb={'id': 'b9aecacd-827e-4804-93f1-16128413c924', 'route': ['p2', 'e9', 'i9', 'x8', 'p1', 'c1']}
1769760261.9741883,SENT,bb0323f1-e986-4f78-9641-8bf8f88bf8bb,069ff16f-9806-4287-9e76-250258e53a50,c5,c4,3380,?,p2,
1769760261.9743378,CREATED,1bd4e6df-4592-4a06-9bbf-af1d96021215,b3b4c11f-27a8-477d-bfb8-4a10481abc3a,c5,c4,27,?,?,surb={'id': 'c413c57e-fe7a-4af6-9418-f2efe61f618f', 'route': ['p1', 'e10', 'i4', 'x6', 'p2', 'c5']}
1769760262.0095065,SENT,dbf87588-b25e-409a-8b80-b125e99e1d63,409b4100-8f9d-423b-b454-dfff8869a9a7,c5,c4,3364,?,p2,
1769760262.0096524,CREATED,a23f2816-4505-426e-8a2c-8a994ce4bd77,27a8ae30-fddc-471c-a849-08add69ec384,c5,c4,27,?,?,surb={'id': '1b6a8702-c20c-4b18-87f5-ad8886d57882', 'route': ['p1', 'e5', 'i6', 'x1', 'p2', 'c5']}
1769760262.0568051,SENT,ef792164-cfa5-44d9-9930-cff79ac624a2,efd96cb0-31e1-4b5f-bacf-a0631bd351ac,c5,c4,3377,?,p2,
1769760262.0570045,CREATED,c2cb4d6b-7847-4506-927c-1f81ec300888,8a6ba6d5-a2a4-46a3-9099-12d722860e6b,c5,c4,27,?,?,surb={'id': '5470ede5-46ec-47ba-87e9-a572ffbfd7b8', 'route': ['p1', 'e11', 'i6', 'x2', 'p2', 'c5']}
1769760262.3098617,SENT,c9564c09-ee29-46f6-b439-c3c017354482,a43dee14-052a-4bff-a796-50d0e3136d0c,c5,DROP,2020,?,p2,
1769760262.3099856,CREATED,1b29cf2f-ffe1-45c1-93bd-6c9df850e4ee,dbbb8e3e-c06a-4c4d-b5dc-0bc9d0bb388f,c5,DROP,27,?,?,
1769760262.3468828,RECEIVED,6aac2d28-510c-4742-a7ac-996a48a3cc51,696bf55f-23bd-44fb-8db7-3742853e1701,c1,c5,27,p2,?,surb={'id': 'a37b8198-abb5-4228-a60a-1f6580c40ddd', 'route': ['p2', 'e6', 'i9', 'x7', 'p1', 'c1']}
1769760262.7963686,RECEIVED,e5e36345-3b60-44bf-973a-6fea3a3f36c3,7abff2be-e6b1-4eff-9da6-9f1c40a3be13,c1,c5,27,p2,?,surb={'id': '2522052b-bfd7-4cb5-af35-8a63298c4c63', 'route': ['p2', 'e4', 'i9', 'x12', 'p1', 'c1']}
1769760262.80438,RECEIVED,263347c1-7e8c-4b79-97bb-9fa0e1c06c1c,c8bcc1ca-fc9f-4db5-88d5-2f23b7be64fe,c1,c5,26,p2,?,surb={'id': 'bf824bce-04d6-45c6-8824-000484d4f97c', 'route': ['p2', 'e10', 'i4', 'x8', 'p1', 'c1']}
1769760262.8368697,RECEIVED,2f7c5674-9aab-4c02-ac1f-2238a4942a8a,8be4fd67-6341-4e76-b6c0-c5c12aa8d341,c1,c5,27,p2,?,surb={'id': 'f8ce49c5-5b3d-4adb-aa4f-ebd7e4cbd669', 'route': ['p2', 'e7', 'i1', 'x11', 'p1', 'c1']}
1769760263.1970296,RECEIVED,88e33eba-900c-41ab-b2f1-2009a5f99b76,f753c27c-cdb3-456b-9e2f-b71066b71686,c1,c5,27,p2,?,surb={'id': '22f37126-f1fe-41ec-ada5-b6a1db1d5cd9', 'route': ['p2', 'e3', 'i10', 'x3', 'p1', 'c1']}
1769760263.364133,RECEIVED,3a24a0be-7f0d-44b3-ae41-ea9886688059,23e8fe8a-6e7c-4b74-a940-608021bd09af,c1,c5,26,p2,?,surb={'id': '73d8b2b9-d01f-448e-a81f-f74132f0e3d4', 'route': ['p2', 'e9', 'i3', 'x6', 'p1', 'c1']}
