timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769760258.7244542,CREATED,98c09b98-ec32-4ba4-ae02-52bdf1c616b8,603456f6-a40a-4a35-aead-a3de65c1d64f,c1,c5,26,?,?,surb={'id': 'bf5403d1-0ad4-4977-b635-1e0d71441822', 'route': ['p2', 'e5', 'i5', 'x10', 'p1', 'c1']}
1769760259.0613227,SENT,7240c8c5-8cb7-43cc-bb63-963534715c0b,4859c65a-cfc6-4bee-b6fd-123159836fb5,c1,c5,3385,?,p1,
1769760259.0614522,CREATED,3a24a0be-7f0d-44b3-ae41-ea9886688059,23e8fe8a-6e7c-4b74-a940-608021bd09af,c1,c5,26,?,?,surb={'id': '73d8b2b9-d01f-448e-a81f-f74132f0e3d4', 'route': ['p2', 'e9', 'i3', 'x6', 'p1', 'c1']}
1769760259.395899,SENT,137f55e8-c6b0-46fc-ba49-85eb4d4dca9f,8cb2e023-0242-492f-b292-9830c6022f0a,c1,c5,3380,?,p1,
1769760259.3960156,CREATED,1bc39f68-e555-4a73-a4d0-e6b131e944f1,83776ee6-8fdf-4206-8932-09aa78118322,c1,c5,26,?,?,surb={'id': '4ae65942-2089-4313-a1b5-8ded5791b947', 'route': ['p2', 'e3', 'i1', 'x10', 'p1', 'c1']}
1769760259.430666,RECEIVED,ada91291-ab2f-41cc-a0d6-6653982e4a21,15a31e58-c1a2-47dd-bc31-ad912c7ea2af,c3,c1,27,p1,?,surb={'id': '85700b5d-9c77-4d52-91e3-ae979b289a8f', 'route': ['p1', 'e11', 'i3', 'x3', 'p3', 'c3']}
1769760259.6274898,RECEIVED,b38e63d2-cbe8-4cb2-8a7b-bb14c32d4393,fa8ea58a-47e1-46ee-a2f9-f3dac170621e,c4,c1,27,p1,?,surb={'id': 'bafe25cb-228c-4afe-adee-cde442fc50e9', 'route': ['p1', 'e3', 'i12', 'x7', 'p1', 'c4']}
1769760259.6309454,RECEIVED,2c345956-c886-463b-aa12-3cb5578d571c,253303ba-95c2-4a28-93d5-a43fd87b0a61,c4,c1,25,p1,?,surb={'id': 'd4d2f949-97b0-4e85-a2b7-87a1524db458', 'route': ['p1', 'e7', 'i11', 'x2', 'p1', 'c4']}
1769760259.7899833,RECEIVED,c9e7c167-91c2-44b3-937e-27e363c57e73,a2a9a289-0af0-4203-9536-002ab994e835,c3,c1,27,p1,?,surb={'id': '35e335fa-3a19-4217-b8e5-763473ffc2aa', 'route': ['p1', 'e1', 'i12', 'x2', 'p3', 'c3']}
1769760260.155213,RECEIVED,f039f2e1-0480-487d-8e76-b9658813431f,33e29c09-fcb8-4338-b01b-a02f0a48f5c3,c4,c1,27,p1,?,surb={'id': '43fd718d-4053-4af0-8d05-d3667f45f871', 'route': ['p1', 'e10', 'i7', 'x11', 'p1', 'c4']}
1769760260.264631,SENT,5fb941cd-fb0c-419c-94d6-1b453b635a69,bfdb273a-0f91-4a74-8868-187df7a97744,c1,c5,3355,?,p1,
1769760260.2647617,CREATED,7ecce410-e89f-4dca-ba24-45a784215f22,6175d78b-de5b-4b73-9625-a7ab6052d920,c1,c5,26,?,?,surb={'id': 'b9aecacd-827e-4804-93f1-16128413c924', 'route': ['p2', 'e9', 'i9', 'x8', 'p1', 'c1']}
1769760260.4214544,RECEIVED,c855ae30-83cd-47bc-913c-d6f7c46b3eed,cdf97f7b-fbd4-480b-a3ca-cb09ca46cbe5,c3,c1,27,p1,?,surb={'id': '085e460d-9571-49ee-8b61-8146645ae1ed', 'route': ['p1', 'e6', 'i9', 'x8', 'p3', 'c3']}
1769760260.547107,RECEIVED,2307f3d2-7691-4587-a8a7-e7ccb8e23c8c,86f5cef0-ffb4-45bc-a6af-ea87ede5f702,c4,c1,27,p1,?,surb={'id': '37d33a5c-990a-4e33-928e-60238f3786be', 'route': ['p1', 'e1', 'i1', 'x2', 'p1', 'c4']}
1769760260.5629041,RECEIVED,a7cd63e2-24b6-4d0c-aa9b-2176e5fdb710,d0d77f97-fef3-4a1b-8dad-8e526ceb8a4f,c4,c1,27,p1,?,surb={'id': '2acfeb75-1aa0-4b26-90e2-4105603d14a3', 'route': ['p1', 'e5', 'i10', 'x8', 'p1', 'c4']}
1769760260.6312418,RECEIVED,ea7cd0aa-0ee8-4da6-85ac-a9613e7e342d,d22e3f7c-0650-4b51-82b4-5e20fd70576b,c3,c1,27,p1,?,surb={'id': '13a625b3-38a5-4a53-bd3b-404c7ed96634', 'route': ['p1', 'e1', 'i4', 'x2', 'p3', 'c3']}
1769760260.7185993,SENT,6926346f-e7fe-4e7a-8179-3f1ab4044c06,5acf2ea0-1adf-45d1-9749-a0657c771328,c1,c5,3385,?,p1,
