timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769737441.673649,RECEIVED,dff2120d-675c-4432-ab9a-96904901859a,79d4bc3a-ba71-40d6-aad5-6e28c0b403e4,c5,c1,26,p1,?,surb={'id': 'a9e8a998-6f48-43ff-8d39-0b35bf0f86bf', 'route': ['p1', 'e9', 'i8', 'x10', 'p2', 'c5']}
1769737441.682795,RECEIVED,a1f0a2f9-0396-42f8-8d14-9560b8d4db26,f24f1a67-d493-4830-be5d-60e37155b453,c5,c1,27,p1,?,surb={'id': '542f49d2-aeaf-4b72-a2ee-3844c5a9cf76', 'route': ['p1', 'e7', 'i9', 'x9', 'p2', 'c5']}
1769737441.7404695,RECEIVED,1061d631-bd26-4ba7-836e-90d031700c63,1ec0c106-b20e-44c9-b103-2f75e52c3536,c4,c1,27,p1,?,surb={'id': '50f7ffc8-b493-493b-9bfd-46e1dc78f909', 'route': ['p1', 'e11', 'i3', 'x8', 'p1', 'c4']}
1769737441.8881004,SENT,f8e2b4af-0daa-40ec-9675-68fb2dd4fdf6,d08fc9c1-ddce-42b3-b6fe-920b3f929341,c1,c2,3376,?,p1,
1769737441.8882687,CREATED,1d4aab67-bbd9-4c7c-bbf1-6001feb1be62,ff037581-31fe-4b7b-8af9-41ba7803c840,c1,c2,26,?,?,surb={'id': '5d69c509-76be-474a-81f4-47c3c993027d', 'route': ['p2', 'e1', 'i5', 'x2', 'p1', 'c1']}
1769737442.1001353,SENT,96eb116c-67d9-4b50-8c94-252a9f639099,cf9b4413-019a-49d3-8e22-e31a3f72a2db,c1,c2,3400,?,p1,
1769737442.10029,CREATED,37ce0bb4-110f-4bb6-af86-dbcf8c1c5bdf,5597376f-38ca-4cf1-b4c7-787583b18298,c1,c2,27,?,?,surb={'id': 'dd19ef51-9084-43a7-82c0-528ad49dbbd1', 'route': ['p2', 'e11', 'i3', 'x5', 'p1', 'c1']}
1769737442.1597223,RECEIVED,89ead305-d2ba-4043-8463-2f301bead60f,46c861b2-5cca-43f6-9191-5cef8bdb2eb2,c5,c1,27,p1,?,surb={'id': '5833f5ba-65f8-4532-81ce-90d1b7748df1', 'route': ['p1', 'e9', 'i11', 'x6', 'p2', 'c5']}
1769737442.1860058,RECEIVED,26b8e0c9-5704-44ec-9fdb-331ae738b764,b8cb2975-27cc-4098-984e-7ed0ec471adf,c5,c1,27,p1,?,surb={'id': 'f80011ff-9b84-47b6-a291-578e02f81f26', 'route': ['p1', 'e5', 'i1', 'x12', 'p2', 'c5']}
1769737442.2906566,SENT,7380227b-712d-4525-91ff-957444fc24c3,5524d594-7635-45ed-8b74-86f122b974e7,c1,c2,3380,?,p1,
