timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769751622.8770587,RECEIVED,9f236cdc-d32a-4de8-995c-e32ba005b409,a2ad2a3a-4844-4341-8251-264c0b350881,c5,c4,26,p1,?,surb={'id': '88945c3e-b451-4cf8-ae7c-feb3ef6a2311', 'route': ['p1', 'e1', 'i11', 'x2', 'p2', 'c5']}
1769751622.9784076,SENT,56e43445-0ef7-4dfe-93df-34370a5f2731,d33df4c2-02aa-4295-93a1-90a085e5a0ad,c4,c5,3394,?,p1,
1769751622.9785426,CREATED,fa3c2cb3-84f2-47e6-9dd8-a37d31693dda,083112f3-325e-4d64-9c94-834f38dae096,c4,c5,27,?,?,surb={'id': '69d2d0e6-00ef-4026-8b3b-3fcf54dde04f', 'route': ['p2', 'e11', 'i5', 'x4', 'p1', 'c4']}
1769751622.99282,RECEIVED,55e6f63c-a277-4747-9fc6-87663f4ee331,ba9ed561-bdc2-49c5-bc63-d0ab99adf971,c2,c4,26,p1,?,surb={'id': 'a057c373-121a-4bf1-b483-449090b70b70', 'route': ['p1', 'e4', 'i3', 'x6', 'p2', 'c2']}
1769751623.031019,RECEIVED,99e1b937-535c-466a-8fe5-d8dfda952b82,f720bf8f-dfb4-407c-8ed3-29114dc0724d,c1,c4,27,p1,?,surb={'id': '27acd23e-acc2-4b91-8965-289feda9f84d', 'route': ['p1', 'e12', 'i2', 'x11', 'p1', 'c1']}
1769751623.102246,RECEIVED,a0d9c3f4-b756-47c7-a03c-b61f1a357ea9,9aaa4d6a-6ad4-4a59-a224-2070b86c58df,c2,c4,27,p1,?,surb={'id': '59b153cf-d696-4712-9755-89a1b125e40b', 'route': ['p1', 'e2', 'i5', 'x12', 'p2', 'c2']}
1769751623.4634278,RECEIVED,07f946bc-c311-47cd-ba57-f80c03b321e2,1eca5226-6b14-43e3-b8fe-ead77dd7cf3d,c1,c4,27,p1,?,surb={'id': 'b4eacde1-db8c-4530-b674-1865279b47b2', 'route': ['p1', 'e12', 'i12', 'x1', 'p1', 'c1']}
1769751623.4762096,RECEIVED,05bc0557-386f-4c92-b6fc-25f4049295e7,b30ab2f0-0d63-4cad-910f-5ccbca6dda89,c1,c4,26,p1,?,surb={'id': 'c927f335-5ac8-4300-8d34-06d706dd074a', 'route': ['p1', 'e11', 'i2', 'x3', 'p1', 'c1']}
1769751623.6552756,RECEIVED,b19970ed-a2a6-47c0-9d28-3b4080cb0f8a,7860eea1-51b8-4361-8eef-da2bff4e459c,c1,c4,27,p1,?,surb={'id': 'c293c263-9675-4d5d-9f93-5cd6dc33b642', 'route': ['p1', 'e12', 'i6', 'x2', 'p1', 'c1']}
1769751623.6775913,RECEIVED,7f554479-4a45-4673-b725-0692360d20e0,d5bd2d4a-7236-4ede-b712-ea133848f869,c1,c4,27,p1,?,surb={'id': 'bcc1c2bc-df50-40d4-bf79-30a7dbe3af66', 'route': ['p1', 'e11', 'i7', 'x9', 'p1', 'c1']}
1769751623.6829946,RECEIVED,1efc38a0-da53-4dd4-b766-27e25939e4c3,94c4d44c-e10e-4c34-b41e-a50c4cb71d73,c5,c4,27,p1,?,surb={'id': '1cf599b3-7dee-4e08-901c-8112441e7390', 'route': ['p1', 'e7', 'i12', 'x4', 'p2', 'c5']}
1769751623.733272,RECEIVED,14fedbe9-1ed1-442d-a2c4-8917bc36c76a,16715e96-79db-4519-aa77-2d01fe04f2fb,c5,c4,27,p1,?,surb={'id': '9abc64ae-9ae2-4789-bd4d-9fae22cb4ad9', 'route': ['p1', 'e9', 'i3', 'x4', 'p2', 'c5']}
1769751623.7962039,RECEIVED,362c249a-89d4-407b-9589-80e271746b2c,ba9ed561-bdc2-49c5-bc63-d0ab99adf971,c2,c4,26,p1,?,surb={'id': 'a057c373-121a-4bf1-b483-449090b70b70', 'route': ['p1', 'e4', 'i3', 'x6', 'p2', 'c2']}
1769751623.7999504,RECEIVED,e4488e34-0a24-410b-94e1-9561cf172d3f,a1402bc2-e573-48bb-8fa9-aee8e2b80d85,c5,c4,27,p1,?,surb={'id': '4acc18bd-c0b4-488c-8eae-702b0a4f2644', 'route': ['p1', 'e4', 'i4', 'x10', 'p2', 'c5']}
