timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769746066.3851843,SENT,49a5826a-764e-4a73-9b69-91f0776792fc,831f6b2a-73de-484d-b8b6-fee766e7a9cb,c4,DROP,2014,?,p1,
1769746066.3853073,CREATED,a3a1fcd6-8939-42ef-8cbf-92cfd871a653,525338eb-1bcc-481b-934f-5133ab82c6d2,c4,DROP,27,?,?,
1769746066.6913614,SENT,2c22deb0-7ab6-4321-856e-b2436132d26f,36e0494b-bf34-4692-8090-d4222b3e9c19,c4,c1,3401,?,p1,
1769746066.691519,CREATED,9ce53564-89d0-4ac0-8ab5-6e72a9aa422c,b7b2ee4f-d40a-4a4b-a0a2-14d3d2705cff,c4,c1,27,?,?,surb={'id': '36f99573-031b-405d-baa1-3c699d0195e1', 'route': ['p1', 'e6', 'i1', 'x1', 'p1', 'c4']}
1769746067.9438102,CREATED,b82ac34a-df74-4713-91c9-23e2e5fcafb6,cbd8863c-7efd-44d9-8f53-0df88dc6ebee,c4,DROP,27,?,?,
1769746069.07891,SENT,38a92b8f-4dad-497f-8e44-e8a8c2c9ce97,09f0e424-26b4-436b-b152-8181996a9e85,c4,c1,3379,?,p1,
1769746069.079071,CREATED,1227ec3b-b000-4390-b441-79d87e90a5cd,99612106-4869-47b8-9e58-73aa59d823db,c4,c1,26,?,?,surb={'id': '55616036-7f70-4413-8481-e7a57eb37fec', 'route': ['p1', 'e12', 'i5', 'x9', 'p1', 'c4']}
1769746069.3411274,RECEIVED,326eea34-f419-4ffd-985a-b36046b570f6,b0c03aa4-ee5b-4d0c-b74b-69aef49d2576,c1,c4,26,p1,?,surb={'id': '395f4150-1799-4980-9e9e-51f21770e0c3', 'route': ['p1', 'e1', 'i11', 'x7', 'p1', 'c1']}
1769746069.3488848,RECEIVED,b7f17417-a197-4f4d-a6af-9eb8b6142255,ce88bd56-29aa-431e-ae74-106062ee98ed,c1,c4,27,p1,?,surb={'id': '1683757a-6110-43ca-87d7-900a88ac966e', 'route': ['p1', 'e2', 'i11', 'x3', 'p1', 'c1']}
1769746069.5570207,SENT,dd0f3114-56e4-42d2-b6dc-0020fbc510ab,99502680-c795-415b-9872-92241f4dea1b,c4,c1,3359,?,p1,
1769746069.5572186,CREATED,a0ab6bdb-5bdb-4052-bd6b-285ac522afc0,345d66fb-dc04-4f3a-99a1-818b90ae22f1,c4,c1,27,?,?,surb={'id': '71ef5829-e369-4453-b612-8cf3d195f7f1', 'route': ['p1', 'e6', 'i7', 'x9', 'p1', 'c4']}
1769746069.7086823,SENT,0378b5d4-2c82-4f6b-89d1-c7a2ef6ebb95,af6eda95-a867-42e8-b00c-53b93f3ddc4d,c4,c1,3392,?,p1,
1769746069.708832,CREATED,b1f44d7a-34ed-46ce-b4f8-a7d42d8401bd,522abc2b-3889-45a0-a28d-1bf1f9c7bc46,c4,c1,27,?,?,surb={'id': '8d03466f-b3a3-4d32-a059-589a97f60d2e', 'route': ['p1', 'e5', 'i3', 'x11', 'p1', 'c4']}
1769746069.966735,RECEIVED,98c1cc34-f33e-4350-b570-8303f587b8e9,34e1aa8b-ec24-48bd-b873-efa345c7ee1b,c1,c4,27,p1,?,surb={'id': '30ada9c9-fd2d-475b-804f-ab9f5e0a69c4', 'route': ['p1', 'e12', 'i9', 'x1', 'p1', 'c1']}
1769746070.0119703,SENT,85310d77-896f-4246-87cc-23f36e048a8f,e8eefdad-dcd8-4577-9271-c19037d41f43,c4,c1,3384,?,p1,
1769746070.01213,CREATED,daf48ea6-a05e-494c-b251-d59f31d2e50e,889bca8d-d4b8-44d7-b3b2-b893e9f57c29,c4,c1,27,?,?,surb={'id': '3ccbf4c2-fd51-4350-a365-e2926245afb8', 'route': ['p1', 'e8', 'i5', 'x7', 'p1', 'c4']}
1769746070.1965961,SENT,73007406-2bcc-46ff-b004-aea4bbc07916,1de808d8-585c-49fc-a1db-28a8bb1e6b9e,c4,c1,3387,?,p1,
1769746070.1967282,CREATED,da5a68ee-983f-4233-b07c-313b68782888,0f561604-5d48-4981-920a-a9efa091f49c,c4,c1,27,?,?,surb={'id': '348a0885-2c30-436e-a61d-2c443c2f8f76', 'route': ['p1', 'e9', 'i2', 'x2', 'p1', 'c4']}
1769746070.3476105,SENT,3ef98f03-a1b7-4311-ad9b-6147d4790916,1e78ebd9-c572-4bf7-9684-457669b82422,c4,c1,3377,?,p1,
1769746070.3477554,CREATED,30b4b4fc-1891-45fd-9602-f92f6a896814,f52103ef-73dd-4c7b-8b7f-0d3bc58d2bae,c4,c1,26,?,?,surb={'id': '133c3417-3c79-4708-bbe4-d1b8d9888de0', 'route': ['p1', 'e10', 'i5', 'x7', 'p1', 'c4']}
1769746070.3896174,SENT,da112751-db65-4890-9b7b-fb8b2f69c8a3,3b87e006-796a-417a-8bb2-5ba8997b0212,c4,c1,3376,?,p1,
1769746070.3897498,CREATED,686c5a6d-563c-4481-b73f-fe891f211640,b4e2cfb1-82bc-4644-97fc-20cb0ca50176,c4,c1,27,?,?,surb={'id': 'b4381339-ecc5-45ff-81b6-fb24e5148435', 'route': ['p1', 'e5', 'i11', 'x3', 'p1', 'c4']}
1769746070.4122415,RECEIVED,c3324b1a-802e-420d-91ec-837b1a46d4ca,cff653db-b6d2-4d82-8f80-ac5a2a5bf954,c1,c4,27,p1,?,surb={'id': '9dee2445-d969-4ee2-8f68-396d39270fe1', 'route': ['p1', 'e3', 'i11', 'x1', 'p1', 'c1']}
1769746070.513691,RECEIVED,fd9cb68b-c28d-41be-8042-4173154788ee,b21e4059-d82e-430c-8bec-d642a1b4955c,c1,c4,27,p1,?,surb={'id': 'a0d0ba3d-04f3-46b6-97ba-3067a58b4325', 'route': ['p1', 'e4', 'i8', 'x6', 'p1', 'c1']}
1769746070.8278546,RECEIVED,3e45888e-dbe7-4134-bcaf-a41153572f08,a7ab59dc-53e1-4776-9a29-150b51113424,c1,c4,27,p1,?,surb={'id': '967fba0e-97bf-49ec-b254-fad64be7944f', 'route': ['p1', 'e1', 'i7', 'x2', 'p1', 'c1']}
1769746070.8504167,SENT,70561dd1-87b5-4695-921f-0dd71fe943da,40200b3e-b9df-4ba9-af85-06281a034614,c4,c1,3376,?,p1,
1769746070.8505435,CREATED,f947036d-2677-4baf-9f18-bd5d3d487bad,3e9a0e99-5173-413f-be38-bd73c09c737f,c4,c1,27,?,?,surb={'id': '4caa791b-ba95-4205-bd01-507b26dd80e4', 'route': ['p1', 'e5', 'i2', 'x11', 'p1', 'c4']}
1769746071.0967216,SENT,3c24d79e-7cb0-4a29-8a65-20f55972131a,a7d10e1c-366e-4724-b3c7-6e8011061e1d,c4,c1,3398,?,p1,
1769746071.0968544,CREATED,fece189d-c6e5-4413-bf49-9a1c67163ccb,9bb53fb6-3a43-4e63-a457-0cd9f4e9ccae,c4,c1,27,?,?,surb={'id': '91d361ac-5d48-493e-ace1-0b097f00c239', 'route': ['p1', 'e9', 'i2', 'x2', 'p1', 'c4']}
1769746071.114351,SENT,1fe564c2-ccfb-44d7-a94b-71fb8dfdb3b3,1872e13c-ca7f-49b9-84e0-b4043bef5971,c4,c1,3380,?,p1,
1769746071.1144812,CREATED,5ff8caa2-5986-4547-8367-1d5c223969e4,e82dcffa-9f85-4c77-b081-7d4c0b43e34e,c4,c1,26,?,?,surb={'id': 'c3bc7e9d-82e7-4fc5-8f61-5cdc14261ddb', 'route': ['p1', 'e4', 'i9', 'x11', 'p1', 'c4']}
1769746071.1892426,SENT,1d3944fb-c134-42fc-b0e1-fad0ce4c0081,5c2207d8-0374-40b1-98f5-4baffa873ff5,c4,DROP,2028,?,p1,
1769746071.1893682,CREATED,fb147d74-4088-4626-bf38-06a5a43cb66b,d1c83916-ff14-4b21-80da-78e26501b4cd,c4,DROP,27,?,?,
1769746071.2776215,SENT,e52b2f2b-cefe-42b5-b99b-524109c1ee3b,a79bac10-364e-4d37-95b7-302b2633f45b,c4,DROP,2028,?,p1,
1769746071.277737,CREATED,29b8818a-91a4-451e-8463-28133fcf54c2,ebde3113-10e0-4a62-81e9-a2f455d175d4,c4,DROP,26,?,?,
1769746071.6456323,SENT,a533b73c-db32-4624-965a-32a7e60a9727,d93063f0-60b5-4225-ae59-15df34a1cb33,c4,c1,3394,?,p1,
1769746071.6457636,CREATED,4d017783-58d4-4122-b03b-becf9e0f4d14,8fb32bab-0941-4922-a517-7e84f8710c6b,c4,c1,27,?,?,surb={'id': '87fd50e7-b7fb-4255-8bdb-ebe4f23d60e1', 'route': ['p1', 'e11', 'i9', 'x2', 'p1', 'c4']}
1769746071.854568,RECEIVED,da56ec11-2ec3-409b-9218-0e2c7fdbc9f7,c49b3742-1d4e-4a6c-ac04-ba67f73764f4,c1,c4,27,p1,?,surb={'id': '15d991f8-41c4-4b5d-b54d-5c3470d4efa1', 'route': ['p1', 'e11', 'i8', 'x6', 'p1', 'c1']}
1769746071.9071844,SENT,2d53de4d-d982-4cc2-8465-d44a723c393c,7e293bb8-c66b-49c4-9271-0218571e62d1,c4,DROP,2015,?,p1,
1769746071.9073036,CREATED,6623a5f1-25c3-45d4-96b5-0b802cb19e02,c030a65f-6698-44d3-a9ee-f226690c8700,c4,DROP,27,?,?,
1769746072.1402552,SENT,54bc1257-2b6c-4e0b-a62f-a6f96d2c3142,ec20bc43-6509-4b39-8746-08b39d00a41a,c4,DROP,2036,?,p1,
1769746072.1403909,CREATED,c6ffa2cd-22ea-41a5-826c-b7933bcc9a4d,d8393a18-5843-4d0b-960b-2e0a1f7e084f,c4,DROP,27,?,?,
1769746072.2161067,RECEIVED,0c3cfd78-f9d4-4230-a4a2-04bdfbf5afde,eb4ef5b1-12a1-4387-8d8c-2c415fe3cd7c,c1,c4,27,p1,?,surb={'id': '42700e26-bfe6-43df-83b1-a683a1a75ad1', 'route': ['p1', 'e4', 'i1', 'x2', 'p1', 'c1']}
1769746072.492631,RECEIVED,bddb9cda-ce0c-42c4-9e9c-7ed1b6d2bad1,b750365d-0437-4304-be03-3042146680a9,c1,c4,27,p1,?,surb={'id': '71758c00-598a-4b12-8cd3-bd4f081b827e', 'route': ['p1', 'e5', 'i12', 'x12', 'p1', 'c1']}
1769746072.6732607,RECEIVED,119db3d9-2842-47c1-9695-795c4dce49e4,a839d50d-5830-4e35-8281-413007a08034,c1,c4,27,p1,?,surb={'id': '010777d9-da41-42d8-bb13-b47439846da0', 'route': ['p1', 'e1', 'i10', 'x6', 'p1', 'c1']}
1769746072.9307656,RECEIVED,dfc73f88-913d-4408-b19c-0ace20a14aad,6b307b15-2ab6-4cbf-b5aa-cd0dac63b352,c1,c4,27,p1,?,surb={'id': '0e5a0199-ca32-4061-86cc-9ea933c461d0', 'route': ['p1', 'e1', 'i3', 'x5', 'p1', 'c1']}
1769746073.3685384,RECEIVED,6355756b-17b5-4195-9046-58175baa3706,492ae6d2-d8eb-48e1-a5a5-8ea1dfdf93f3,c1,c4,26,p1,?,surb={'id': '48c88bd7-5777-4a6a-bd27-ced1502ce1b5', 'route': ['p1', 'e2', 'i3', 'x9', 'p1', 'c1']}
1769746073.7349555,RECEIVED,d9da8492-e0f7-4edc-9b1d-e13c1d0c513e,80402b05-f946-445e-a6b5-ec7d99e18e84,c1,c4,25,p1,?,surb={'id': 'eed57242-4d49-4df6-834e-f4d546decc6d', 'route': ['p1', 'e8', 'i5', 'x4', 'p1', 'c1']}
1769746074.2570639,SENT,b25b70db-e983-43a9-94f7-8686c7f0ae8d,2da802af-1dac-4557-81cb-59f3f20336cf,c4,c1,3356,?,p1,
1769746074.2572143,CREATED,66374483-4d84-4ac6-a824-a0f0c13a85e8,33f00967-de7a-4a3e-908b-7e277a94f0b1,c4,c1,26,?,?,surb={'id': '31b9b00b-ff67-4abd-88d3-9f2d09f42e75', 'route': ['p1', 'e4', 'i2', 'x3', 'p1', 'c4']}
1769746074.2682333,SENT,bc88fe81-8f04-4a71-85d8-eac38001bdac,cd48a77b-ae1e-4df1-aca4-8fb88dabd7b3,c4,c1,3391,?,p1,
1769746074.2683797,CREATED,37ef05bf-5391-4014-97dc-005b7b6d5f66,1fac7ae7-e74b-4319-93b7-c8c4891c970c,c4,c1,27,?,?,surb={'id': '48444738-9e05-45f8-8e0e-e021af4a2fb2', 'route': ['p1', 'e7', 'i7', 'x11', 'p1', 'c4']}
1769746074.3238676,RECEIVED,bf75bdb0-c496-40be-b68a-0d3a707c51a7,26d1c3a9-1b49-4a43-82dd-7c660823c027,c1,c4,27,p1,?,surb={'id': 'e240e0ff-abd4-463e-aaff-c63fceee38a2', 'route': ['p1', 'e9', 'i6', 'x5', 'p1', 'c1']}
1769746074.3431973,RECEIVED,4167ef73-8562-4716-9cdf-7f1d021289fa,e72d0bcf-7363-476a-85ea-08888029a284,c1,c4,27,p1,?,surb={'id': '0dc665a7-586b-4499-bc71-9d5c35e9ff2f', 'route': ['p1', 'e2', 'i11', 'x4', 'p1', 'c1']}
1769746074.8497233,RECEIVED,05ab6645-93db-4596-8346-ce8f05362b53,a41dcfe0-3e42-4ae0-95bd-37a2fdd2f42a,c1,c4,27,p1,?,surb={'id': '6a63bf78-c460-445a-b785-45e0b5785639', 'route': ['p1', 'e12', 'i6', 'x10', 'p1', 'c1']}
1769746075.1709409,RECEIVED,6b7ef93c-e89a-4739-af76-60329cfe9626,09fd7fce-60b9-4bc6-82a4-bb8ef4342092,c1,c4,27,p1,?,surb={'id': '80097358-d6d4-4c8a-8eae-4470857db8e5', 'route': ['p1', 'e3', 'i10', 'x4', 'p1', 'c1']}
1769746075.2277696,RECEIVED,96d3fb83-7b14-4b46-b509-bccab917ffd2,ee125113-82c7-40a2-a6d8-de482c08cb5a,c1,c4,26,p1,?,surb={'id': '457d019a-d7b4-4c02-ab41-c1f6f4163575', 'route': ['p1', 'e3', 'i1', 'x3', 'p1', 'c1']}
1769746075.8265712,SENT,14331c75-d42f-4e9d-b9be-a1a21b4bce88,44509198-50ad-4248-a300-fe3099049ecd,c4,c1,3379,?,p1,
1769746075.8267007,CREATED,4577d5ef-1f37-44ab-86a1-c0ba3264cb7d,7bd6eaae-5a34-4d8a-bcf3-8a407f04adda,c4,c1,27,?,?,surb={'id': 'b2f98e78-ba56-41ca-a58e-6e11766d1097', 'route': ['p1', 'e7', 'i6', 'x12', 'p1', 'c4']}
1769746075.9785125,RECEIVED,50e847d4-89ed-427f-9e05-097998fa9d5e,fc57c04c-fdcd-4248-814e-96331c397a44,c1,c4,26,p1,?,surb={'id': 'cfe8e6f6-c852-4a98-83e1-9016fb3227be', 'route': ['p1', 'e11', 'i8', 'x3', 'p1', 'c1']}
1769746075.990216,RECEIVED,eed031f3-fe7f-414b-b160-bf3b1c57e688,b9f627ec-b7ed-4a3d-aa5b-cf37ed9484a1,c1,c4,27,p1,?,surb={'id': 'c8863ac4-41ca-4422-9aad-bc62352f99c4', 'route': ['p1', 'e4', 'i4', 'x4', 'p1', 'c1']}
1769746076.1958556,RECEIVED,adb92745-dcb3-4f11-9464-8369e34671b0,a8994718-7a4e-468c-b564-db95396b2ee4,c1,c4,27,p1,?,surb={'id': '66e82611-9ff2-4af7-bf31-12432c862f16', 'route': ['p1', 'e7', 'i10', 'x1', 'p1', 'c1']}
1769746076.4964557,SENT,7c980fb8-8a16-4746-ac19-d5898920af08,ef254841-0e90-42c1-8104-1937803b4637,c4,c1,3366,?,p1,
1769746076.4966033,CREATED,ee6e86cc-6e3a-486a-9bbe-d9fa515a7071,6b966ab0-0357-4973-ada9-95812b49dce3,c4,c1,27,?,?,surb={'id': '3be7b1cb-94df-4a4d-89ed-f158e081cee3', 'route': ['p1', 'e8', 'i2', 'x4', 'p1', 'c4']}
1769746076.6460247,RECEIVED,8625c4f1-e7dc-4540-baea-62b9ecd91b8e,90d22dca-3721-45c1-8c58-a612e99fec22,c1,c4,26,p1,?,surb={'id': 'a061edbd-13b3-40ad-a43d-a4c4d354525e', 'route': ['p1', 'e6', 'i9', 'x6', 'p1', 'c1']}
1769746076.6526427,RECEIVED,49bc6e59-51df-4a17-b852-72c2fd569d51,46fd085c-dea0-47c3-9ebf-73a6dbe6e477,c1,c4,27,p1,?,surb={'id': '5b341c98-465d-47ad-9bc3-ae8ae4d1d340', 'route': ['p1', 'e5', 'i8', 'x7', 'p1', 'c1']}
1769746077.0883942,SENT,48bd2719-074f-4386-b7c9-6a95005212ef,ebdec15c-078b-4b31-8d01-32361c14e11c,c4,c1,3406,?,p1,
1769746077.088545,CREATED,376d401a-66b1-4da1-8cea-e208b3326d80,5ea170b7-1824-4943-90fd-11b1b3ffb608,c4,c1,27,?,?,surb={'id': '6bd43f55-18c4-4e73-aacf-f37c16e39755', 'route': ['p1', 'e10', 'i4', 'x7', 'p1', 'c4']}
1769746077.236063,RECEIVED,012713c2-15d1-4e18-b8cb-54272dbc3b12,b9ffd9b3-ac0c-4f07-98f8-ab705fe53431,c1,c4,27,p1,?,surb={'id': '3ec28e8d-294b-4d37-b9e0-f619dae03495', 'route': ['p1', 'e10', 'i3', 'x12', 'p1', 'c1']}
1769746077.421614,SENT,dccea157-0ab8-44a2-877e-78ec9b78e668,eb517e53-6636-40a0-86b3-4a28d3b8a7f5,c4,c1,3383,?,p1,
1769746077.4217436,CREATED,3cb1b8f1-8151-42d8-9d4a-46ed2c221c8f,b74ce7cd-8850-4bcf-b40d-e1eeca7d5248,c4,c1,27,?,?,surb={'id': '8761cbc7-f002-4bd2-8e1a-54a32c815e58', 'route': ['p1', 'e3', 'i9', 'x1', 'p1', 'c4']}
1769746078.0595195,SENT,c3228069-a281-42c1-8dff-23aaba82ffa1,da63251b-5d95-4137-9df3-cc5f2df44439,c4,c1,3380,?,p1,
1769746078.059652,CREATED,62f1c456-ed38-4e21-8440-bcee5fb3ce27,89b9a0dd-6b11-4e8e-9382-afdafe4bdebc,c4,c1,27,?,?,surb={'id': '640e6f6d-9efa-47b6-a5c6-09c5797ee41f', 'route': ['p1', 'e6', 'i9', 'x6', 'p1', 'c4']}
1769746078.3049717,RECEIVED,36743b52-5dbf-4161-8445-54740bfd5466,30ced186-ca54-4aee-86a3-5e99370f2024,c1,c4,27,p1,?,surb={'id': 'ce19e3f2-d104-498c-af47-c070d4c9b661', 'route': ['p1', 'e9', 'i2', 'x5', 'p1', 'c1']}
1769746078.4244435,RECEIVED,0b453c2c-e519-4b39-b21d-a42906041632,e0898c7c-044e-44fc-8fff-a651a05049a5,c1,c4,27,p1,?,surb={'id': 'b5f2474f-27ac-4528-b77e-26c1b39bfa61', 'route': ['p1', 'e6', 'i1', 'x7', 'p1', 'c1']}
1769746078.5567148,SENT,ca7c3c59-ba8e-45ba-8648-ffe970642212,71b33c39-1474-4602-859c-80325383ebd7,c4,c1,3383,?,p1,
1769746078.5568497,CREATED,b90e731c-6e96-46fb-be57-b3be1ad25681,978fa4e8-3472-473c-a6a5-37a9ce07e4ea,c4,c1,27,?,?,surb={'id': 'a2354bf7-08ad-4c52-b995-96993544e8ec', 'route': ['p1', 'e8', 'i7', 'x8', 'p1', 'c4']}
1769746078.648488,RECEIVED,8cb5b9c8-c8bc-4f3a-8b42-ba12a0970ab5,cc4fa08b-12cf-4a38-b989-8f93ebbb13ed,c1,c4,27,p1,?,surb={'id': '05a8e1c2-8034-46b6-914b-ec4724d9bd91', 'route': ['p1', 'e7', 'i5', 'x5', 'p1', 'c1']}
1769746078.87373,SENT,df18235d-ccce-4788-8195-df9c95676e8c,ea8a1660-6836-4d44-b238-7a4e9073a12c,c4,c1,3376,?,p1,
1769746078.8738596,CREATED,3d6f5fe1-5775-405a-bc3f-1d14220ddebf,49d2b99f-e736-4f4f-9e0d-eb74fa37ffaf,c4,c1,26,?,?,surb={'id': '0d334152-d656-4eab-bc0a-050fab496a7a', 'route': ['p1', 'e4', 'i12', 'x7', 'p1', 'c4']}
1769746079.0557647,RECEIVED,ce1d6ad1-034c-4994-81b2-405b390945d6,000e04bf-1039-4dde-9f91-04f1e13ec631,c1,c4,27,p1,?,surb={'id': 'df9c9239-c025-47f8-8fc4-ed28cd17b591', 'route': ['p1', 'e5', 'i7', 'x2', 'p1', 'c1']}
1769746079.190321,RECEIVED,9f209a3b-0133-494c-bc20-49f06f365ce2,c65aa65f-d510-4753-94f5-532abcc2c3ac,c1,c4,27,p1,?,surb={'id': '01d15777-23f5-40ff-8eab-9903255d4fa2', 'route': ['p1', 'e1', 'i4', 'x1', 'p1', 'c1']}
1769746079.2097287,RECEIVED,927db590-818a-4c3c-8489-48d751465fca,afcd0d24-830e-4eee-826a-d99c977c55ab,c1,c4,27,p1,?,surb={'id': '9d47acd3-9c20-452b-a387-487283b91ce0', 'route': ['p1', 'e4', 'i8', 'x10', 'p1', 'c1']}
1769746079.321775,SENT,59c1f475-97a3-4a6d-8877-e6d8f43bc965,c680f4c8-9400-4cbb-ae25-5c6f4aad571b,c4,c1,3372,?,p1,
1769746079.3219051,CREATED,7952229b-6a37-4c7b-b1c6-44425f222718,a11f22bc-2708-4286-94d5-944032e43acc,c4,c1,27,?,?,surb={'id': '56cd15a6-c303-4ca6-b639-5bf1586fc837', 'route': ['p1', 'e4', 'i4', 'x11', 'p1', 'c4']}
1769746079.5447855,SENT,277bcbd4-903a-4026-91aa-977919504b24,e2acf536-19fc-4183-a26f-052a66babdd2,c4,c1,3379,?,p1,
1769746079.5449166,CREATED,313b0e52-d3be-4bf9-9fa1-9068d8d9676c,f107c82c-cd90-4f52-b64e-de7776ec8c74,c4,c1,27,?,?,surb={'id': 'bbd68157-c78f-4b39-8334-68b18a48861c', 'route': ['p1', 'e7', 'i11', 'x4', 'p1', 'c4']}
1769746079.6217692,SENT,5cfd681b-dfe6-465a-9175-094080d3031a,b30344f7-49ae-45cc-8c15-34cd05bc1c0c,c4,c1,3383,?,p1,
1769746079.6219203,CREATED,fec9fce6-5856-4ab2-91dd-85d5fbbe23fa,fc11b78c-0cc2-4ec3-9391-2cc53e8574eb,c4,c1,27,?,?,surb={'id': '6d4aae3f-9b13-4cd5-a633-02cb46149206', 'route': ['p1', 'e6', 'i12', 'x7', 'p1', 'c4']}
1769746079.7706563,RECEIVED,5e7bcb60-ee93-4045-abd1-5598918dca68,5cf28226-b792-4b69-a197-966ce81eab3c,c1,c4,27,p1,?,surb={'id': '62c8b3c8-cb65-46d7-96f2-4af19a4338f1', 'route': ['p1', 'e5', 'i6', 'x11', 'p1', 'c1']}
1769746079.7902503,RECEIVED,ba15134d-1a29-442c-aefc-ed00faeb9a49,418ffbf5-0eb1-42bd-867d-509135d07a85,c1,c4,27,p1,?,surb={'id': '682006c7-0ec1-4a30-b7c2-66b0136e1cbd', 'route': ['p1', 'e11', 'i12', 'x9', 'p1', 'c1']}
1769746079.8606033,SENT,4f0ca5ea-62c0-421e-a351-bda0c1b3ea65,e065db10-4a00-46b4-bd98-69d7ddb51e57,c4,c1,3367,?,p1,
1769746079.8607373,CREATED,0518e3fb-dc93-4084-b611-623e7ece57f8,2ff9bc3a-f7f4-416e-823c-53e9f716bad5,c4,c1,27,?,?,surb={'id': 'a1592fa4-3d00-44b6-b778-68738e2458cb', 'route': ['p1', 'e6', 'i4', 'x8', 'p1', 'c4']}
1769746079.9510944,SENT,40993003-64dd-4383-923f-054d5f4a6ee6,95c26bf2-4702-421b-8b65-6e6607238be6,c4,c1,3371,?,p1,
1769746079.951232,CREATED,b74cb3e5-a146-488d-a2f1-7273df7d99ac,49fb57a7-0c1a-408b-9e9d-264a60e307f3,c4,c1,27,?,?,surb={'id': 'fbba2ac7-00dc-4f93-a963-bd998a9fcd2a', 'route': ['p1', 'e10', 'i1', 'x3', 'p1', 'c4']}
1769746080.0936038,RECEIVED,61f7f0c0-ccfa-4ee7-a82a-83088b8b05a7,06c1167e-a720-4258-8490-b2efb345b10e,c1,c4,27,p1,?,surb={'id': 'a96e7f62-c27e-4aa2-bd28-387866ebe10d', 'route': ['p1', 'e4', 'i12', 'x12', 'p1', 'c1']}
1769746080.3529234,SENT,2d56e48d-050b-44e2-8f66-f57f935f7233,cf9db9ea-2af7-4c8f-86dc-a097df167cfa,c4,c1,3372,?,p1,
1769746080.353888,CREATED,677de0b3-0df6-4531-81e7-9b6dbc531163,a94dc9b6-1c45-46f2-8ac1-76d8901d9d94,c4,c1,25,?,?,surb={'id': '7154bea9-64cd-48aa-b9a6-70f98730756e', 'route': ['p1', 'e10', 'i1', 'x2', 'p1', 'c4']}
1769746080.543614,SENT,1147edc7-0cd6-406a-8b75-bf8b2876a6e2,427efeb5-75be-4760-af07-e1fc6d8c03ac,c4,c1,3395,?,p1,
