timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769473497.9677522,CREATED,0a281533-a621-4bef-86f0-2ae920ae9320,b7cf5f18-2f1c-4338-b8c3-590bbc14ffda,c4,DROP,26,?,?,
1769473498.1702008,RECEIVED,2e110c67-ff3f-45e1-9d9c-a84b1c3f7f28,4533e7a9-f32f-46a4-9591-838326656922,c3,c4,27,p1,?,surb={'id': '992c9e9a-4785-416f-a687-99f196389e5f', 'route': ['p1', 'e6', 'i12', 'x3', 'p3', 'c3']}
1769473498.1936288,RECEIVED,b9650411-ea9f-4a99-8412-16fc59e4d05e,510b06f9-da1c-4011-baa1-255a62130278,c5,c4,27,p1,?,surb={'id': '4cbb7270-cca3-453f-a734-fe97d6a9f442', 'route': ['p1', 'e7', 'i7', 'x5', 'p2', 'c5']}
1769473498.3017638,RECEIVED,9d81f428-9f28-4b7b-84d0-60cb27c436f2,d309657c-1c88-4467-83c2-07cdda481c37,c3,c4,27,p1,?,surb={'id': 'f8de5607-a02d-48e9-bc53-6e818d10ce6f', 'route': ['p1', 'e2', 'i12', 'x2', 'p3', 'c3']}
1769473498.3246195,SENT,ac3f0918-b135-466c-acc4-62b23e037409,2d00f1b1-2736-4e1b-a078-2526993e3c38,c4,DROP,2032,?,p1,
1769473498.324753,CREATED,091c1eda-ec0c-4ae9-ac5c-de62023f843a,524a921d-0a88-45c2-8871-bd2c5456dc0b,c4,DROP,27,?,?,
1769473498.3875537,RECEIVED,1e636e21-9e49-4118-89b9-8e0e34156722,26b22d97-81fd-4094-962a-0712cc87b59c,c3,c4,27,p1,?,surb={'id': '1a422101-65eb-4f6a-ad13-b9aa78d2ce60', 'route': ['p1', 'e9', 'i2', 'x12', 'p3', 'c3']}
1769473498.7677715,RECEIVED,1b869efe-47a5-4b3d-bb46-0bd4d1f41780,2d2fd36a-a427-4080-b5a9-32007c2e6641,c3,c4,27,p1,?,surb={'id': '67b63ede-6dd7-487a-ab81-66dd96e073f4', 'route': ['p1', 'e7', 'i10', 'x3', 'p3', 'c3']}
1769473498.80923,RECEIVED,94a85ed1-6876-4157-b4ae-9a49af91b7a1,4fba9572-216c-4757-ab5c-aa04728f6c60,c3,c4,27,p1,?,surb={'id': 'cd851fc4-2674-42e4-9c57-e8ca56fb9516', 'route': ['p1', 'e12', 'i7', 'x4', 'p3', 'c3']}
1769473499.0053496,SENT,4f23b540-4409-418d-9cb6-48f2a53cad36,ff46755d-f0fb-47f1-a70c-269bab9b3227,c4,c1,3359,?,p1,
1769473499.0054958,CREATED,ff1ecf3d-b16d-4db2-b651-912e59ff7c18,10e319c7-bf89-4790-b8ea-1db4c5b862fe,c4,c1,27,?,?,surb={'id': '1b11eced-0773-4083-9a20-cd49456091b0', 'route': ['p1', 'e7', 'i7', 'x8', 'p1', 'c4']}
1769473499.0152984,RECEIVED,6292783b-a10e-4af8-9f86-f3709c3729cd,050cfd4a-6611-414f-b6a9-3673be64b1e3,c5,c4,27,p1,?,surb={'id': '0554f054-2a48-4b78-bab3-1ae2779d9b5c', 'route': ['p1', 'e12', 'i9', 'x9', 'p2', 'c5']}
1769473499.0336478,SENT,41c9801d-70cd-4c48-91cd-0200bb9eb523,50ae200d-980c-4170-972b-8736ce0e4da1,c4,c1,3377,?,p1,
1769473499.033795,CREATED,719982ce-bf16-4ab1-a67c-d51c5dc587a9,ec7055cb-8a4e-4249-8635-b20fd55ba090,c4,c1,25,?,?,surb={'id': 'acdeda2a-eaf9-48c2-9031-74a28363e8b7', 'route': ['p1', 'e9', 'i6', 'x12', 'p1', 'c4']}
1769473499.0566878,RECEIVED,6c41a628-3af4-495a-a34b-3b0fc39eee45,1b0011c2-e4ed-43b2-88ca-a983ddc20052,c3,c4,27,p1,?,surb={'id': 'caa95594-dc17-4baa-bb82-260bb135b288', 'route': ['p1', 'e3', 'i9', 'x4', 'p3', 'c3']}
1769473499.0781024,SENT,d6481398-36a0-4a92-9cd5-14111ebb10f0,272bf4ae-d0d7-488b-ad25-9065eb9abbdf,c4,c1,3388,?,p1,
1769473499.0782459,CREATED,cb308ca7-3d2b-43d7-886d-cc1bace5d851,b9713a58-df5d-494a-838a-b459d706ba5d,c4,c1,27,?,?,surb={'id': '35401cc6-6ca9-444b-b6d1-36fa38f4ea71', 'route': ['p1', 'e11', 'i1', 'x7', 'p1', 'c4']}
1769473499.3701785,RECEIVED,ef989318-6628-41d2-9765-eaca40acd8fa,90eb2950-d4e3-4b7e-ad64-54426e98d49d,c3,c4,27,p1,?,surb={'id': 'd0a85e5a-e92b-4914-bb64-2e7443e11492', 'route': ['p1', 'e8', 'i3', 'x3', 'p3', 'c3']}
1769473499.5293205,RECEIVED,88118bda-3f73-494b-b492-df9444d40e0d,30ab03e1-22e4-4953-9118-50208ecc4454,c5,c4,27,p1,?,surb={'id': 'b07796ee-a11a-421e-b7cb-aa6b3ab53b7e', 'route': ['p1', 'e1', 'i6', 'x12', 'p2', 'c5']}
1769473499.9884026,RECEIVED,89dc8f21-c66a-4e00-acbf-bd64678d937f,7b90662d-01bd-4574-8271-16c421947dec,c5,c4,26,p1,?,surb={'id': '47d3bff2-1446-4a9f-a8bd-f83e4c250555', 'route': ['p1', 'e3', 'i4', 'x3', 'p2', 'c5']}
1769473500.0532496,RECEIVED,948fcf6f-18a3-44b7-b2c9-0851b3eba437,768ba141-65d1-48bd-a61a-fea56fb9fa08,c5,c4,27,p1,?,surb={'id': '0280c162-8684-4dce-8520-93d6dfaa6c9e', 'route': ['p1', 'e5', 'i12', 'x12', 'p2', 'c5']}
1769473500.4489882,RECEIVED,a45e8a08-a2c9-4b7d-8308-0ddf0daf864a,799e8ea1-3f19-46d8-a086-db745a54b450,c3,c4,27,p1,?,surb={'id': '2e4b417d-ef32-42ae-8aa6-439198f4506a', 'route': ['p1', 'e3', 'i7', 'x10', 'p3', 'c3']}
1769473500.8107898,RECEIVED,b51c02e0-5a70-4d66-9235-143bd5a8b60e,d0f1b9da-af7d-40d4-87c9-6166e3bf5064,c3,c4,27,p1,?,surb={'id': '8a710490-e5ac-4c6a-a759-d18425dddfbe', 'route': ['p1', 'e3', 'i4', 'x1', 'p3', 'c3']}
