timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769443268.6917877,RECEIVED,3810895c-0225-4398-aac4-d5f56adb20db,80855398-6b87-4cc0-ac70-2ceaa51b7b7e,c1,c5,25,p2,?,surb={'id': '7297211d-6ce7-4f65-b108-8625f315bdc8', 'route': ['p2', 'e10', 'i2', 'x8', 'p1', 'c1']}
1769443268.9723039,RECEIVED,caed0aee-aead-40a0-9493-58b125fde314,0ef14009-1a9a-4b7e-8ee6-a93d027ce7c6,c1,c5,27,p2,?,surb={'id': '8ce369bd-860c-4b0e-b038-732ac430e3b0', 'route': ['p2', 'e2', 'i2', 'x6', 'p1', 'c1']}
1769443268.9859872,SENT,f4dc4593-ceb8-461b-bcc5-a0707d9862cc,3f4d3a30-6232-4114-9dba-0d49ea8b196b,c5,c4,3375,?,p2,
1769443268.9861677,CREATED,d384a59d-e779-43c0-b0e3-f10b4ad6af58,25ef6c29-2a59-41c7-b68b-5b389cf01063,c5,c4,27,?,?,surb={'id': '7d02fd21-e5c2-4ff1-a254-b7636e1c044b', 'route': ['p1', 'e7', 'i2', 'x5', 'p2', 'c5']}
1769443269.0166707,RECEIVED,1c07c936-7dc1-46b7-bb29-fcd7ddcd70b0,4fa3f58e-bf0c-401d-841e-b5b6b3a3888d,c4,c5,25,p2,?,surb={'id': 'd4297c50-fd13-42e1-bf9c-c4cf89829288', 'route': ['p2', 'e2', 'i3', 'x8', 'p1', 'c4']}
1769443269.0317547,RECEIVED,162ea8e7-d076-4342-8d7c-df896d43fcaa,63e2b935-35e5-4756-9e1b-8cdee49a8744,c4,c5,27,p2,?,surb={'id': '3763ddeb-64d5-4556-98a7-c92e2c9c2b81', 'route': ['p2', 'e3', 'i3', 'x5', 'p1', 'c4']}
1769443269.1971133,RECEIVED,4ae7bb4d-bcbc-400e-bdc4-886de6f438c8,a37426b0-08a0-4638-a1a1-6758603d2a76,c4,c5,27,p2,?,surb={'id': '428737ca-1746-4ae6-8b2e-7da766e09f7b', 'route': ['p2', 'e7', 'i9', 'x10', 'p1', 'c4']}
1769443269.2157328,RECEIVED,d58c7aac-5174-45b3-868a-ab8c4b707b14,e9f2d90c-b762-4d6e-81cc-452c0a2b6947,c2,c5,27,p2,?,surb={'id': '2c255f51-7142-4e97-bc09-adaf809bedc6', 'route': ['p2', 'e10', 'i2', 'x1', 'p2', 'c2']}
1769443269.2162826,SENT,1f771698-725b-4627-abee-2da258a0d2c1,0c240607-6a8e-4f7a-a0aa-3b30612c14e6,c5,c4,3360,?,p2,
1769443269.2172935,CREATED,3f31be37-8b7c-4750-ad10-f9e788e1c55d,24e03773-3019-4033-affb-9fd998016a50,c5,c4,27,?,?,surb={'id': 'dbcb3496-a1e2-4805-b452-503918308fa8', 'route': ['p1', 'e9', 'i6', 'x4', 'p2', 'c5']}
1769443269.2296405,SENT,ddfdd56e-c9cc-465f-a872-a541b7448658,c2f328e6-caf8-472d-8ad2-1586d83be8b8,c5,c4,3379,?,p2,
1769443269.2297704,CREATED,3427b2ec-6f25-4ad6-bfa5-4ca79f2ae012,7fa8522d-5924-464b-8a3d-15ea7bd4a91d,c5,c4,27,?,?,surb={'id': '23962b38-6922-4892-b4ae-fb2585be0159', 'route': ['p1', 'e8', 'i6', 'x3', 'p2', 'c5']}
1769443269.2489164,RECEIVED,7ad0b034-6eaf-4387-9901-253df431a72b,86ac0266-8808-4f24-91da-dba0750a6053,c2,c5,27,p2,?,surb={'id': 'c122befb-188d-4288-a358-4f2a6740cdb1', 'route': ['p2', 'e12', 'i6', 'x7', 'p2', 'c2']}
1769443269.4388347,RECEIVED,3e9f305d-c313-472b-a00f-29a94e154268,a27565d5-34bf-41f3-ae6a-d33dd118a654,c2,c5,27,p2,?,surb={'id': 'e975df28-476b-48a4-8a63-74516e8d476b', 'route': ['p2', 'e12', 'i5', 'x6', 'p2', 'c2']}
1769443269.8139932,RECEIVED,a297f9a0-a41e-43b9-8eca-b89713824a79,183fb68d-542e-4b31-93e7-c79c26b46730,c4,c5,27,p2,?,surb={'id': 'd02f7a92-24b3-4a29-babd-5011000e7faa', 'route': ['p2', 'e6', 'i10', 'x11', 'p1', 'c4']}
