timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769443262.0073416,SENT,61b4ea7e-5f6e-4a9d-9f3d-2b78f11c7a9f,266b084c-a62b-453a-b1f6-34a3cffee0e2,c4,DROP,2031,?,p1,
1769443262.007466,CREATED,d315fd65-6fd0-48a1-999a-1caf79033b06,3ca3737c-05c6-4d9f-b34e-f7ede4bc9a6c,c4,DROP,27,?,?,
1769443262.4010198,SENT,58c4cd39-d55f-4772-a92c-6f7cb62cc291,e759b06a-b509-4997-b33f-c2a2503a303f,c4,c5,3376,?,p1,
1769443262.4012988,CREATED,95825d92-8822-42ee-af3d-4be46404835d,962f38cb-bce9-4abe-8971-301e622081c6,c4,c5,27,?,?,surb={'id': '77b18b56-655a-4e22-bd6a-e11994d3f745', 'route': ['p2', 'e7', 'i7', 'x7', 'p1', 'c4']}
1769443266.344035,RECEIVED,9a5a65b8-5648-4d13-baec-420a5c825bc1,27846b44-bbb5-43a2-803a-d2b9dd7c0c78,c5,c4,27,p1,?,surb={'id': '6428fa6a-6032-4df4-acb9-6e18609ce8ea', 'route': ['p1', 'e12', 'i6', 'x12', 'p2', 'c5']}
1769443266.6844592,SENT,ecd5ca38-5bd4-4937-be4d-aee13455ecf0,8b3b269f-92a0-475d-993e-b9c4f1b1deaa,c4,c5,3373,?,p1,
1769443266.6846032,CREATED,162ea8e7-d076-4342-8d7c-df896d43fcaa,63e2b935-35e5-4756-9e1b-8cdee49a8744,c4,c5,27,?,?,surb={'id': '3763ddeb-64d5-4556-98a7-c92e2c9c2b81', 'route': ['p2', 'e3', 'i3', 'x5', 'p1', 'c4']}
1769443266.8614182,RECEIVED,2768fad5-c8f6-4c71-9972-090172db3e0e,6bbd23fa-2350-4eff-b6b3-5d477702c92d,c5,c4,27,p1,?,surb={'id': '36029fdc-2392-45f4-89cd-b34c7aad27f3', 'route': ['p1', 'e8', 'i10', 'x4', 'p2', 'c5']}
1769443266.875151,RECEIVED,d3b828ce-7d15-43b0-b2ae-32d326b8c7b9,8ea35685-ce7a-4dca-883d-d975d143976b,c5,c4,27,p1,?,surb={'id': '9c244eb2-50d5-436d-820b-e5eb63937cd8', 'route': ['p1', 'e8', 'i6', 'x11', 'p2', 'c5']}
1769443266.8849409,SENT,89088b65-dfd7-4f05-a277-862711d5fe71,99b2d956-dcca-4fd5-95d8-5223eb3be81e,c4,c5,3352,?,p1,
1769443266.8851173,CREATED,1c07c936-7dc1-46b7-bb29-fcd7ddcd70b0,4fa3f58e-bf0c-401d-841e-b5b6b3a3888d,c4,c5,25,?,?,surb={'id': 'd4297c50-fd13-42e1-bf9c-c4cf89829288', 'route': ['p2', 'e2', 'i3', 'x8', 'p1', 'c4']}
1769443266.9388597,SENT,9115dae4-6718-4897-9ce1-2ed4204eeb1e,a8d48143-9007-4c98-8f3f-3a07aed18fc5,c4,c5,3392,?,p1,
1769443266.93897,CREATED,a297f9a0-a41e-43b9-8eca-b89713824a79,183fb68d-542e-4b31-93e7-c79c26b46730,c4,c5,27,?,?,surb={'id': 'd02f7a92-24b3-4a29-babd-5011000e7faa', 'route': ['p2', 'e6', 'i10', 'x11', 'p1', 'c4']}
1769443267.018007,SENT,70e1fad0-6b05-4006-831c-625004e1e858,3f9f2523-3032-4472-9e4d-0d6c416d7306,c4,c5,3379,?,p1,
1769443267.0181775,CREATED,57ff492d-f227-4f1a-96c5-f08fea4941a0,4c56eb4a-6f08-41c9-a791-97e13ade1ffb,c4,c5,27,?,?,surb={'id': '240a425f-6199-4f45-bf3c-33155c6bccb3', 'route': ['p2', 'e5', 'i7', 'x12', 'p1', 'c4']}
1769443267.5386147,SENT,f2cbcaaf-aec6-46ce-a12c-8ef26214a193,d9bfeef9-dc5c-48af-88a0-7b28ad44c357,c4,c5,3383,?,p1,
1769443267.5387838,CREATED,4ae7bb4d-bcbc-400e-bdc4-886de6f438c8,a37426b0-08a0-4638-a1a1-6758603d2a76,c4,c5,27,?,?,surb={'id': '428737ca-1746-4ae6-8b2e-7da766e09f7b', 'route': ['p2', 'e7', 'i9', 'x10', 'p1', 'c4']}
1769443267.61335,RECEIVED,7da7cbda-6720-4ec3-bbb7-b3f06832a031,b226e9e2-280b-4405-87d1-b516732c00c3,c5,c4,27,p1,?,surb={'id': 'd469f06c-02cc-4814-8297-bfd5ed3f9a9e', 'route': ['p1', 'e6', 'i6', 'x5', 'p2', 'c5']}
1769443268.0031328,SENT,8424dfa3-8257-4e07-aeea-d438295d67c7,e1002283-3d90-4d13-bc66-a92bd11763ce,c4,c5,3375,?,p1,
1769443268.0032828,CREATED,46174f4f-7884-44f4-8558-a087a73e3b1b,7b455619-f005-40c2-a1de-5c9895877513,c4,c5,27,?,?,surb={'id': '91affd0a-7990-4a04-9f0e-c8217fa0fc57', 'route': ['p2', 'e3', 'i2', 'x12', 'p1', 'c4']}
1769443268.1136875,SENT,816fec3f-4187-4651-90b7-be1f4d419c05,bb616c3a-b1fd-4e2f-8222-f5e894de8386,c4,c5,3400,?,p1,
1769443268.1138308,CREATED,fcbf8c5f-13e7-4b84-a633-c610d08a9be3,f12ed4ad-7681-47d0-9cc2-de1c9b24ef2b,c4,c5,27,?,?,surb={'id': '3f514e2d-bbf1-4df4-a239-b1ace8a2669b', 'route': ['p2', 'e7', 'i6', 'x2', 'p1', 'c4']}
