timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769443271.0069315,SENT,08fd2a37-4225-4f49-80eb-10098d67fe29,83ef9066-4672-4cc5-8e40-6e9f4b8fd8e8,c2,c5,3392,?,p2,
1769443271.0071042,CREATED,c82c00af-71a3-4f33-9f6e-7d26c300adb5,c5eca01b-a507-4f6d-b4ca-9c112cce1c71,c2,c5,27,?,?,surb={'id': 'dee43455-a449-420b-89e4-53365f4a27f1', 'route': ['p2', 'e11', 'i8', 'x9', 'p2', 'c2']}
1769443271.082168,RECEIVED,5e528cc7-5034-48bf-bbc7-34a83206c18b,a94cba42-c6a4-485d-9801-61bde56f74dc,c3,c2,27,p2,?,surb={'id': 'c4516bcc-7504-4603-b6ba-aeb0069aa6a1', 'route': ['p2', 'e3', 'i12', 'x4', 'p3', 'c3']}
1769443271.1768968,RECEIVED,3215cadc-c444-4732-acf3-f92223ecf6f6,47a633d1-3649-42b6-852c-329dd7db952b,c3,c2,27,p2,?,surb={'id': 'a646221f-5352-4e8b-909a-c4a0d0443a07', 'route': ['p2', 'e1', 'i8', 'x1', 'p3', 'c3']}
1769443271.291035,RECEIVED,5ed358f0-0cf2-42c9-afd0-61d0db2458c3,45c8ca75-5f49-4f71-b8d5-9ec1aa9acc66,c3,c2,26,p2,?,surb={'id': 'd8850992-271e-4fac-bd42-4520ec71d136', 'route': ['p2', 'e3', 'i3', 'x1', 'p3', 'c3']}
1769443271.4685028,SENT,f74ec8b3-f388-419f-8226-2a076a0e5e81,56476d74-ba77-4185-acc9-cb94783476c1,c2,c5,3399,?,p2,
1769443271.4686475,CREATED,37704ce3-d021-4d5f-9c2b-cc854208a7c5,c04bc7d8-fb4e-4da1-bf65-66fac6813a75,c2,c5,27,?,?,surb={'id': '7d341b20-d196-4140-a94f-f1a0fc7a177c', 'route': ['p2', 'e12', 'i3', 'x7', 'p2', 'c2']}
1769443271.5871623,RECEIVED,f9e9c02c-7d8e-4f92-ab17-63d9cc2cda2d,736306d8-34c4-4af4-bb6e-9748b8f76ef5,c3,c2,27,p2,?,surb={'id': '0039cd59-dcf9-4982-a0ba-be3b63dba2e5', 'route': ['p2', 'e6', 'i11', 'x7', 'p3', 'c3']}
1769443271.6296682,RECEIVED,91e2c5c5-0e9b-442f-abc8-3b5fb04c90b8,7a1e7c16-b9aa-49a0-9674-a07896d7463c,c3,c2,26,p2,?,surb={'id': '8d570b40-81e8-413c-a138-a53bcfbe2e7e', 'route': ['p2', 'e3', 'i6', 'x3', 'p3', 'c3']}
1769443271.7906265,SENT,5e84e76f-3d68-40dd-a4f5-506b4ebfd655,43a9c363-0c91-45dd-a0b2-4b05243a0fe9,c2,c5,3371,?,p2,
