timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769393808.877956,RECEIVED,90dbac88-ae38-4d54-ae3d-841f139f56a1,a223dda0-7fb7-4e83-8747-8509af52904c,c2,c5,27,p2,?,surb={'id': '5a5c35c1-f9bf-40eb-bc22-fb6301e0f8b0', 'route': ['p2', 'e8', 'i4', 'x4', 'p2', 'c2']}
1769393808.9043198,SENT,802fb12e-4fd9-4a45-92cf-29c26acc5714,93542944-375e-4162-8a82-ba05c2da3713,c5,c2,3380,?,p2,
1769393808.9044707,CREATED,c76abc67-2a4e-45b3-a6de-3ea0ee617bb5,c28ca98d-1dbf-41cd-ac67-ad17a8d57a11,c5,c2,27,?,?,surb={'id': '2ad5f4c0-8b1a-443a-ab7b-bfd5f196eb53', 'route': ['p2', 'e3', 'i2', 'x9', 'p2', 'c5']}
1769393808.980593,RECEIVED,350b30b3-281e-4e8f-ada3-989aba251a44,5e694543-a3e0-4c47-bc8a-ff2963ad4b3e,c2,c5,27,p2,?,surb={'id': '03097fb7-3b2b-4130-ac1e-e0ec2427f67d', 'route': ['p2', 'e1', 'i4', 'x7', 'p2', 'c2']}
1769393808.9875715,SENT,facfa125-f6a7-4e5f-ba32-0c0657516606,29e4aeb8-c0f7-4171-b363-0bb2bb8d7902,c5,c2,3380,?,p2,
1769393808.987723,CREATED,5923c0bc-a23f-4c03-8f94-1ec28889022f,4b6c6941-302a-448f-a622-49ab3910daac,c5,c2,27,?,?,surb={'id': 'aa195ddf-30d6-49cb-9ff5-4eec845852ea', 'route': ['p2', 'e6', 'i11', 'x5', 'p2', 'c5']}
1769393809.2343845,SENT,f71d1555-b5cf-4a44-9dd5-7d05d58d69f6,3bca4101-3468-4630-adb3-99e4dc82673a,c5,c2,3395,?,p2,
1769393809.2345579,CREATED,743af815-4c86-442d-84cf-7d1cf3ad6e11,4b6c6941-302a-448f-a622-49ab3910daac,c5,c2,27,?,?,surb={'id': 'aa195ddf-30d6-49cb-9ff5-4eec845852ea', 'route': ['p2', 'e6', 'i11', 'x5', 'p2', 'c5']}
1769393809.3649676,RECEIVED,d4ade10e-9107-4abe-bc9e-db5f97e2f98d,77d5b97e-a13d-40df-9705-9752fd8ba266,c2,c5,27,p2,?,surb={'id': '69263423-4c2a-43c7-bce1-f21aa6df90aa', 'route': ['p2', 'e9', 'i10', 'x8', 'p2', 'c2']}
1769393809.802095,RECEIVED,f9ce52a0-f5ab-4df2-ba14-65d303ed5e4b,8c77e25b-f829-4f44-95af-2bc798d9c0d4,c2,c5,27,p2,?,surb={'id': '7bb29479-ef43-4368-90d8-7fb0271fc371', 'route': ['p2', 'e7', 'i4', 'x9', 'p2', 'c2']}
1769393809.8214815,SENT,7afe5f9e-152d-49cd-8a14-9a75c816246e,5967ff36-e76c-4810-82a9-e0773a3a2ff0,c5,c2,3377,?,p2,
1769393809.8216472,CREATED,c7efc300-f37a-45e6-9eb5-89c0516b1e8f,1e624d18-4a42-4e06-8ca7-5ebada82e4b9,c5,c2,27,?,?,surb={'id': 'a49c3dae-b0d1-4c7a-940c-fd19b05f41e9', 'route': ['p2', 'e11', 'i1', 'x4', 'p2', 'c5']}
1769393809.9543977,RECEIVED,474a77f3-2dab-4304-822e-c2db8556f150,847bd5a7-8666-4657-aad6-fa6c503c3315,c2,c5,27,p2,?,surb={'id': 'b0818788-3217-4553-88ce-0bd4b36aa568', 'route': ['p2', 'e11', 'i4', 'x9', 'p2', 'c2']}
1769393809.959333,RECEIVED,0c1d9086-a2d6-45af-bf2c-aa6fac775775,8c77e25b-f829-4f44-95af-2bc798d9c0d4,c2,c5,27,p2,?,surb={'id': '7bb29479-ef43-4368-90d8-7fb0271fc371', 'route': ['p2', 'e7', 'i4', 'x9', 'p2', 'c2']}
