timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769393809.36809,RECEIVED,73abde56-752f-4259-b7dc-3feeda9a0606,fb006bf3-e153-4b98-9213-01486a4b0542,c1,c3,27,p3,?,surb={'id': '537f5e49-3bad-4b89-8bb4-13f27f9237b0', 'route': ['p3', 'e11', 'i5', 'x5', 'p1', 'c1']}
1769393809.4180326,SENT,c9916ccf-9219-43e0-9001-0e9544ad01d3,b61ea4c0-97d5-49a3-bc91-ec860f199bdb,c3,c1,3411,?,p3,
1769393809.4182098,CREATED,f945a2d4-30bd-45a3-9046-19de3bc542ef,98ba36b6-e8a9-4fa2-8044-cc771a5049a4,c3,c1,27,?,?,surb={'id': 'd098b16b-7e07-4a01-b19a-b9d8d1d12687', 'route': ['p1', 'e11', 'i2', 'x7', 'p3', 'c3']}
1769393809.50687,SENT,e69d82b3-007f-4060-9145-aa78098bd0b0,1e84e0f3-2681-49ef-9086-cf794a63c0f4,c3,c1,3360,?,p3,
1769393809.5070436,CREATED,6c91e02b-2868-4eb5-bebd-a748dcdd0e27,98ba36b6-e8a9-4fa2-8044-cc771a5049a4,c3,c1,27,?,?,surb={'id': 'd098b16b-7e07-4a01-b19a-b9d8d1d12687', 'route': ['p1', 'e11', 'i2', 'x7', 'p3', 'c3']}
1769393809.8559785,SENT,c470b87c-df98-4b85-97d0-14b569dbdb72,aaf3070e-4a6c-4f72-b8a4-7e2fff37f5c8,c3,c1,3376,?,p3,
1769393809.857263,CREATED,88203abb-d384-42a6-a18d-861ff0ccc6ba,7b461f22-1f0f-4000-930c-389c4805f0bc,c3,c1,27,?,?,surb={'id': '1a91fdf2-6752-4594-a463-38f8629c2848', 'route': ['p1', 'e4', 'i1', 'x6', 'p3', 'c3']}
1769393809.9466186,RECEIVED,0cd26285-b394-4c35-98f6-e794eaadb56b,68e5bb00-93aa-4891-a0d2-8fc6710d4e54,c1,c3,27,p3,?,surb={'id': 'd5336221-6ee1-4d92-9387-d390bfbaa62e', 'route': ['p3', 'e5', 'i7', 'x8', 'p1', 'c1']}
1769393810.0414915,SENT,7c44c099-b34c-43ad-8509-271aada6d623,100203c7-283e-4f53-9a41-b08734ad7a66,c3,c1,3356,?,p3,
1769393810.0416408,CREATED,cb9fb5f9-f74d-44fb-8a7d-29c392ed98a9,7b461f22-1f0f-4000-930c-389c4805f0bc,c3,c1,27,?,?,surb={'id': '1a91fdf2-6752-4594-a463-38f8629c2848', 'route': ['p1', 'e4', 'i1', 'x6', 'p3', 'c3']}
1769393810.2139444,SENT,0f61195c-4e96-438c-bc4b-19c680a84d42,10ef6021-4c2f-4eb3-9cbb-b4220f20a1d8,c3,c1,3374,?,p3,
1769393810.2141244,CREATED,a9a8d2e1-2f25-49ec-b758-1c1e657381e6,84452e8f-1b03-4cbe-a76e-3421e504c8b2,c3,c1,27,?,?,surb={'id': '8fa9c3d4-cc37-42b2-a1eb-7c534b713622', 'route': ['p1', 'e5', 'i1', 'x10', 'p3', 'c3']}
1769393810.2578573,SENT,fd361c6a-8b35-4eca-a244-5c0aec29cd35,35824960-caf4-4b08-ae6c-51080ddf980b,c3,c1,3391,?,p3,
1769393810.258022,CREATED,b135d3db-b7a4-4c41-bd6c-918de57ccfb5,84452e8f-1b03-4cbe-a76e-3421e504c8b2,c3,c1,27,?,?,surb={'id': '8fa9c3d4-cc37-42b2-a1eb-7c534b713622', 'route': ['p1', 'e5', 'i1', 'x10', 'p3', 'c3']}
