timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769393812.1824205,RECEIVED,69c817c9-7bb7-41b2-8753-d269bfa38584,80f96182-2a18-4ff6-85c1-7c834d78e0eb,c4,c2,27,p2,?,surb={'id': 'ff8a0061-229e-49a7-b52a-ad76deabef3a', 'route': ['p2', 'e11', 'i12', 'x2', 'p1', 'c4']}
1769393812.2358947,SENT,777eb802-3b25-47f6-99cd-dcf47abbedc0,13791268-29f9-496b-8f32-4663b0553e2f,c2,c5,3374,?,p2,
1769393812.2363508,CREATED,ba6d2de9-d055-4056-afef-6234084a0916,34d4ac35-617a-4300-b19b-fa337e9bf749,c2,c5,27,?,?,surb={'id': 'b106b073-af91-45b4-89db-4d06f620a0fa', 'route': ['p2', 'e12', 'i9', 'x5', 'p2', 'c2']}
1769393812.2831693,SENT,92edd382-3743-46a6-95b1-bfa4ba418919,eaf35677-0993-4838-8052-6b8fb3a29d6b,c2,c5,3391,?,p2,
1769393812.2833219,CREATED,48f9a0df-f652-4082-9ec2-239aa35a4904,d074f077-1462-46a8-892d-8c0949e8e18a,c2,c5,27,?,?,surb={'id': '2d1b6cfc-7083-43e0-8378-e62a86aa8f01', 'route': ['p2', 'e5', 'i10', 'x2', 'p2', 'c2']}
1769393812.3226748,RECEIVED,7e06a1b5-b7a5-467e-8787-781a90c418cf,23dc8ab2-4bf7-42c8-a242-953ba46ddc51,c4,c2,27,p2,?,surb={'id': 'e844c838-b7c8-4a64-b872-19be34cde38a', 'route': ['p2', 'e8', 'i1', 'x4', 'p1', 'c4']}
1769393812.5473032,RECEIVED,65da18aa-35cc-40e8-85c8-cc3e629931ee,9bee32ba-dbbe-4b16-899a-1935756bd862,c5,c2,26,p2,?,surb={'id': '0b485ab7-d444-4e01-86bd-003d77c38ef9', 'route': ['p2', 'e10', 'i11', 'x5', 'p2', 'c5']}
1769393812.8497133,RECEIVED,5a578ba3-4de3-4da4-8a32-3338cf035247,80c9d380-3f51-4a44-b6e2-28d5efe3f917,c4,c2,27,p2,?,surb={'id': '366e9e19-9384-4d29-945d-0b19dc92f174', 'route': ['p2', 'e2', 'i9', 'x1', 'p1', 'c4']}
1769393812.9065466,SENT,cab4c753-14ca-469a-82e8-d36fadfdd3f9,44cf61c3-dd10-4d80-89c1-ebb6cc4e988f,c2,c5,3371,?,p2,
1769393812.9066887,CREATED,0c13e285-ee34-4b20-ab0a-387e1dd258f0,d074f077-1462-46a8-892d-8c0949e8e18a,c2,c5,27,?,?,surb={'id': '2d1b6cfc-7083-43e0-8378-e62a86aa8f01', 'route': ['p2', 'e5', 'i10', 'x2', 'p2', 'c2']}
1769393812.9828122,RECEIVED,93acf8e0-1ea5-4502-a38b-79b4aec0c74e,53010a1b-1f76-459c-9a91-835ac16a2b7d,c4,c2,27,p2,?,surb={'id': 'd5aeb0e1-07d0-4269-8d10-1f525d3d5861', 'route': ['p2', 'e12', 'i1', 'x4', 'p1', 'c4']}
1769393813.0330224,RECEIVED,3eed89a8-1611-479d-8e67-d1d4f71809fb,60d97259-cfc4-4879-9b9e-3626b2b9e60d,c5,c2,27,p2,?,surb={'id': 'fbee05cc-85cd-4892-9060-c9ff82bad462', 'route': ['p2', 'e2', 'i9', 'x11', 'p2', 'c5']}
1769393813.1244617,RECEIVED,06e5f04e-9026-4322-a3de-0f77ac632749,c18527a1-c84c-4d37-a0d7-170a7a6c80ff,c5,c2,27,p2,?,surb={'id': 'c18cad2e-c9a5-45b3-bb4c-56865bde4240', 'route': ['p2', 'e2', 'i5', 'x1', 'p2', 'c5']}
1769393813.28219,RECEIVED,743af815-4c86-442d-84cf-7d1cf3ad6e11,4b6c6941-302a-448f-a622-49ab3910daac,c5,c2,27,p2,?,surb={'id': 'aa195ddf-30d6-49cb-9ff5-4eec845852ea', 'route': ['p2', 'e6', 'i11', 'x5', 'p2', 'c5']}
1769393813.4448657,RECEIVED,b7033294-ab1c-4d1e-ad0c-a18ef21845a2,03feb5c6-06ef-4828-ac7c-c73b2d93b43f,c5,c2,25,p2,?,surb={'id': 'b6b62f3b-54d0-4d25-a01b-980683abaea6', 'route': ['p2', 'e3', 'i5', 'x9', 'p2', 'c5']}
1769393813.63308,SENT,eaf4d174-d2d2-4ff8-b881-d36d6dff332e,1a54050f-4068-47e1-acc6-a70fe8c70416,c2,c5,3367,?,p2,
1769393813.6332316,CREATED,d9ca5e85-3819-43c2-8e1f-c61d04d4687d,ee61ce64-810d-4d28-8762-f8085aecdcbb,c2,c5,27,?,?,surb={'id': '4e7bd322-c36d-4b89-a926-2196f82122fb', 'route': ['p2', 'e10', 'i6', 'x7', 'p2', 'c2']}
1769393813.7438474,RECEIVED,a2a16f7d-b73f-444f-a7fc-f2b7e315d2be,d823b22e-8119-4c1f-936b-ba7b6a5b95e0,c4,c2,27,p2,?,surb={'id': 'd621035b-648e-45f4-8aff-0001263fb670', 'route': ['p2', 'e7', 'i6', 'x10', 'p1', 'c4']}
1769393813.9454699,RECEIVED,101478fd-515d-4f86-8916-b45e49aac3cb,d823b22e-8119-4c1f-936b-ba7b6a5b95e0,c4,c2,27,p2,?,surb={'id': 'd621035b-648e-45f4-8aff-0001263fb670', 'route': ['p2', 'e7', 'i6', 'x10', 'p1', 'c4']}
1769393813.9885473,SENT,ecade144-ca97-4b67-968e-9b2e933d1a38,c14ca7dd-d2e5-4cca-93ec-3c3040d952d0,c2,c5,3359,?,p2,
1769393813.988708,CREATED,d938e26b-3d19-49a6-a64a-0152b9e69564,ee61ce64-810d-4d28-8762-f8085aecdcbb,c2,c5,27,?,?,surb={'id': '4e7bd322-c36d-4b89-a926-2196f82122fb', 'route': ['p2', 'e10', 'i6', 'x7', 'p2', 'c2']}
1769393814.2815042,SENT,f766bead-54a0-4ca1-ba97-09c7f94fa5ef,bb4175a3-6496-4bd1-bf7c-28c08572bf6d,c2,c5,3392,?,p2,
1769393814.2815964,CREATED,c47bedd2-f5d0-4c9d-b410-94af82d45bc1,d6e6ff51-c2f6-4bcf-a220-0a7e94ec82b7,c2,c5,27,?,?,surb={'id': '7e4e4da8-3646-4653-a6fd-bced42ae757f', 'route': ['p2', 'e7', 'i1', 'x3', 'p2', 'c2']}
